"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.190829039E0,7.689634800E0,5.488237858E0
1.720052200E-2,2.553740025E0,7.390232563E0,6.719345093E0
5.720052200E-2,2.826820850E0,7.310970306E0,6.333801746E0
9.720052200E-2,3.468695641E0,7.098009109E0,5.202893734E0
1.372005220E-1,2.299801588E0,7.569694519E0,5.095216751E0
1.772005220E-1,2.865106106E0,6.194718838E0,5.217250824E0
2.172005220E-1,2.865106106E0,6.194718838E0,5.217250824E0
2.572005220E-1,4.697709084E0,7.656135082E0,6.586543560E0
2.972005220E-1,-7.298108935E-2,4.681856632E0,6.060720444E0
3.372005220E-1,-1.906780601E0,3.790829182E0,1.422682571E1
3.772005220E-1,-1.456331730E0,6.537191391E0,9.922138214E0
4.172005220E-1,-4.791627228E-1,6.183950901E0,7.928019524E0
4.572005220E-1,1.587039590E0,3.673580885E0,5.030610561E0
4.972005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
5.372005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
5.772005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
6.172005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
6.572005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
6.972005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
7.372005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
7.772005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
8.172005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
8.572005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
8.972005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
9.372005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
9.772005220E-1,9.882357717E-1,4.458127499E0,8.465806961E0
1.017200522E0,9.882357717E-1,4.458127499E0,8.465806961E0
1.057200522E0,9.882357717E-1,4.458127499E0,8.465806961E0
1.097200522E0,9.882357717E-1,4.458127499E0,8.465806961E0
1.137200522E0,9.882357717E-1,4.458127499E0,8.465806961E0
1.177200522E0,9.882357717E-1,4.458127499E0,8.465806961E0
1.217200522E0,9.882357717E-1,4.458127499E0,8.465806961E0
1.257200522E0,9.882357717E-1,4.458127499E0,8.465806961E0
1.297200522E0,8.682954907E-1,5.872584820E0,8.566305161E0
