"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.769635500E-2,-2.231663167E-1,3.171731234E-1,1.789591461E-1
8.818375100E-2,-3.797555864E-1,5.609783530E-1,1.901440918E-1
1.287077620E-1,-8.057156205E-1,1.029680848E0,2.918738425E-1
1.691942720E-1,-1.094393730E0,1.280942708E-1,5.085155964E-1
2.446866160E-1,-8.453955650E-1,5.785546899E-1,-1.337533236E0
2.851939600E-1,-1.614360690E0,2.500634491E-1,-1.082276702E0
3.257294800E-1,-8.845428824E-1,2.143648386E0,-1.186403260E-1
3.662244800E-1,3.029256463E-1,1.587197185E-1,2.956021577E-2
4.066781260E-1,6.612433791E-1,-6.163704395E-1,3.621792197E-1
4.471124490E-1,-1.999974996E-1,4.085168540E-1,4.617785215E-1
4.876699490E-1,-5.304860473E-1,3.382114768E-1,5.955983996E-1
5.281242720E-1,1.908098608E-1,1.233007237E-1,1.267627329E-1
5.686038030E-1,5.111786723E-1,4.873441160E-2,-7.563154399E-2
6.090947930E-1,4.706998467E-1,-3.308880031E-1,1.126483902E-1
6.496157300E-1,1.276948154E-1,-3.210346103E-1,2.010627389E-1
6.900738030E-1,-2.170412242E-2,-1.213034093E-1,2.079867423E-1
7.305703660E-1,2.336854935E-1,1.163767055E-1,4.585828185E-1
7.710914080E-1,5.706986189E-1,7.031869292E-1,1.994648874E-1
8.115778140E-1,9.033176303E-1,2.003570080E0,3.371462524E-1
8.520321370E-1,9.757534266E-1,1.404243469E0,1.204512239E0
8.925422410E-1,8.553821445E-1,1.183207631E0,1.416493654E0
9.330917200E-1,-3.374125659E-1,1.508103609E0,1.307573557E0
9.735813030E-1,-8.382052183E-1,7.998568416E-1,4.796211720E-1
1.014021772E0,-2.711018026E-1,6.142399907E-1,2.607157826E-1
1.054477137E0,-1.380808353E0,6.659038067E-1,4.604469836E-1
1.094989168E0,-6.806839108E-1,1.624480449E-2,2.929390781E-2
1.135481564E0,4.019923210E-1,-1.237001866E-1,2.055899799E-1
1.176032137E0,5.304860473E-1,-1.910761744E-1,9.613727778E-2
1.216512553E0,-4.434032366E-2,3.435376585E-1,1.738992929E-1
1.257018543E0,4.571181238E-1,-8.628387749E-2,1.941387206E-1
1.297437397E0,1.128081799E0,-1.083874583E0,4.977301359E-1
1.337897397E0,1.268825650E0,-1.142196059E0,3.557878435E-1
1.378468074E0,7.081136703E-1,5.953320861E-1,2.210358530E-2
1.418876928E0,9.371387362E-1,-3.860138059E-1,6.089138389E-1
1.459358126E0,3.372794092E-1,-2.312887162E-1,2.340849638E-1
1.499866460E0,-2.103835195E-1,3.667064607E-1,-6.258244067E-2
1.540350001E0,-6.884068251E-2,3.592498302E-1,-3.766930401E-1
1.580859897E0,-2.117150649E-2,3.480648994E-1,-1.796249151E-1
1.621335470E0,-1.171756312E-1,3.153089881E-1,1.264964193E-1
1.661896303E0,-4.399412274E-1,-8.231588006E-1,4.790885448E-1
1.702277970E0,-8.738905191E-1,-1.282274246E0,5.346138477E-1
1.742796460E0,-1.422086120E0,-6.701647043E-1,5.619104207E-2
1.783300887E0,-1.213433623E0,-1.958697289E-1,-2.343512699E-2
1.823856043E0,-1.084274054E0,2.849498391E-1,-2.334191799E-1
1.864335158E0,-1.092263341E0,1.222354889E0,-1.029015064E0
1.904821199E0,-1.209705234E0,2.216616869E0,-1.815556526E0
1.945257033E0,-1.620485783E0,2.307161570E0,-2.125406265E0
1.985789637E0,-1.812227726E0,1.826208830E0,-2.138189077E0
2.026247033E0,-1.509701490E0,1.838192701E0,-2.381328344E0
2.066705522E0,-1.223020673E0,2.927926064E0,-2.509422779E0
2.107163595E0,-1.132209539E0,2.631391764E0,-2.403165817E0
2.147690574E0,-1.373618007E0,1.418890357E0,-1.772148252E0
2.188173387E0,-2.343645811E0,2.860150635E-1,-8.809477091E-1
2.228672762E0,-1.348585010E0,1.234338760E0,-9.198287129E-1
2.269180574E0,-2.451766968E0,9.681636691E-1,5.991935730E-2
2.309705314E0,-1.465760589E0,2.884118557E-1,6.579145193E-1
2.350175783E0,-1.386134505E0,7.844109535E-1,3.778914213E-1
2.390680574E0,-1.454841971E0,-1.655105799E-1,6.933335662E-1
2.431126824E0,-1.712894678E0,-1.222887516E0,1.778539658E0
2.471598543E0,-2.305830002E0,1.072290182E0,4.788222313E-1
2.512113178E0,2.286256403E-1,1.348585010E0,-2.525933683E-1
2.552650470E0,2.089188248E-1,-1.078548431E-1,2.993304729E-1
2.593125626E0,2.294245660E-1,8.216941357E-1,6.379414201E-1
2.633574949E0,8.918663263E-1,4.569849670E-1,1.699046731E0
2.674064272E0,1.002650619E0,4.965317547E-1,1.523283243E0
2.714537501E0,9.275516272E-1,8.536511064E-1,1.666290760E0
2.755053803E0,3.236976862E-1,-1.784265228E-2,1.091464400E0
2.795581564E0,3.250292242E-1,-3.884105980E-1,-3.820191920E-1
2.836031928E0,1.229012609E-1,-3.902747631E-1,-1.175750971E0
2.876531876E0,1.362166703E-1,-2.689713426E-2,-1.012770295E0
2.917012605E0,6.524552125E-3,-5.199668407E-1,-2.332593918E0
2.957499533E0,-8.921326697E-2,-1.060705781E0,-2.371741295E0
2.998004741E0,-5.179695413E-2,-4.022586346E-1,-1.131011128E0
3.038536980E0,-6.671021879E-2,5.912043154E-2,-1.035939083E-1
3.078975366E0,1.238333434E-2,4.655068219E-1,4.692351520E-1
3.119454168E0,7.395380139E-1,-6.003919840E-1,4.146419466E-1
3.159931095E0,6.071828008E-1,-3.994623665E-3,-6.933335662E-1
3.200396460E0,6.487269402E-1,-2.587184608E-1,-7.480598688E-1
3.240907501E0,7.541849613E-1,-1.721682847E-1,-5.193011090E-2
3.281442605E0,6.045197248E-1,-2.845503688E-1,2.564548552E-1
3.321955105E0,7.126408815E-1,-2.166417688E-1,-6.897383928E-2
3.362445626E0,1.744319126E-2,-4.047885537E-2,-7.323476672E-2
3.402914949E0,-8.508548886E-2,-1.171756350E-2,-4.118457139E-1
3.443384116E0,-7.559159994E-1,-2.583190054E-2,-8.300828338E-1
3.483845730E0,1.205044836E-1,1.991985738E-1,1.067896113E-1
3.524359168E0,2.331528813E-1,1.805569977E-1,-2.896102369E-1
3.564880730E0,-9.214265645E-2,3.621792197E-1,-1.548582464E-1
3.605335991E0,-1.054580659E-1,4.933360517E-1,5.183690190E-1
3.645835835E0,6.854774356E-1,1.113701105E0,8.947957307E-2
3.686265574E0,3.157084286E-1,1.599979997E0,-1.099853039E0
3.726754741E0,8.820129633E-1,-4.234301299E-2,9.239565134E-1
3.767263855E0,9.730903506E-1,-7.110430300E-2,1.127016544E0
