"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.130004213E1,5.233470540E1,4.864965300E0,9.471690662E0,NaN,NaN,1.375399971E1,1.000000000E0
3.137404213E1,5.233467560E1,4.864939300E0,9.471633870E0,NaN,NaN,1.544299984E1,1.000000000E0
5.153004212E1,5.233470800E1,4.864975300E0,9.471700041E0,NaN,NaN,1.436299992E1,1.000000000E0
7.140004212E1,5.233469760E1,4.864962100E0,9.471677860E0,NaN,NaN,1.571700001E1,1.000000000E0
9.139304213E1,5.233467810E1,4.864934900E0,9.471634868E0,NaN,NaN,1.330500031E1,1.000000000E0
1.114090421E2,5.233469130E1,4.864950000E0,9.471662075E0,NaN,NaN,1.437399960E1,1.000000000E0
1.314300421E2,5.233469800E1,4.864953900E0,9.471673730E0,NaN,NaN,1.529599953E1,1.000000000E0
1.514220421E2,5.233469830E1,4.864963300E0,9.471679531E0,NaN,NaN,1.477700043E1,1.000000000E0
1.714600421E2,5.233469610E1,4.864971200E0,9.471680958E0,NaN,NaN,1.567199993E1,1.020572424E0
1.914450421E2,5.233470130E1,4.864966300E0,9.471685468E0,NaN,NaN,1.457900047E1,1.000000000E0
2.114480421E2,5.233470150E1,4.864970100E0,9.471687923E0,NaN,NaN,1.467000008E1,1.072843790E0
2.314740421E2,5.233470810E1,4.864963400E0,9.471693372E0,NaN,NaN,1.480799961E1,1.000000000E0
2.514670421E2,5.233470630E1,4.864964900E0,9.471691699E0,NaN,NaN,1.450100040E1,1.000000000E0
2.715330421E2,5.233470420E1,4.864959500E0,9.471685655E0,NaN,NaN,1.426299953E1,1.000000000E0
2.917220421E2,5.233470500E1,4.864968400E0,9.471691873E0,NaN,NaN,1.438399982E1,1.000000000E0
3.116170421E2,5.233470460E1,4.864970000E0,9.471692226E0,NaN,NaN,1.372599983E1,1.000000000E0
3.316400421E2,5.233470530E1,4.864963200E0,9.471689319E0,NaN,NaN,1.285099983E1,1.000000000E0
