"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.102803000E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.151360300E-2,1.204411983E-1,3.338766098E-2,-2.189388275E-1
1.219991750E-1,2.957990170E-1,1.245226860E-1,3.100543022E-1
1.624846960E-1,3.832373619E-1,1.877498627E-2,9.680652618E-2
2.380447480E-1,6.531569958E-1,-6.081962585E-2,3.822326660E-3
2.784932900E-1,-4.264657497E-1,6.672382355E-3,-6.545081139E-1
3.189794880E-1,-5.976454020E-1,5.712985992E-1,-9.577713013E-1
3.594867280E-1,2.727574110E-1,-3.558411598E-1,5.955142975E-1
3.999722480E-1,8.887258768E-1,-4.330844879E-1,-1.748136044E0
4.404793840E-1,1.664426208E0,1.609249115E-1,-2.689463139E0
4.809391230E-1,-8.044311404E-1,-1.513848782E0,2.378886223E0
5.214246960E-1,-3.575898409E0,-1.695836306E0,1.723405838E0
5.619194360E-1,-2.349311352E0,-1.429050922E0,1.623867035E0
6.024659460E-1,9.269748330E-1,7.251806259E-1,-3.452682495E-2
6.429260500E-1,6.385087967E-3,5.296769142E-1,3.865194321E-1
6.834287070E-1,-7.632629871E-1,-4.369320869E-1,3.617248535E-1
7.238592800E-1,5.113003254E-1,1.466207504E-1,8.957862854E-2
7.643446440E-1,-2.206182480E-1,1.915173531E-1,-6.667652130E-1
8.048780820E-1,-6.723376513E-1,-2.475109100E-1,-4.304451942E-1
8.452925610E-1,2.282813787E-1,1.850657463E-1,-5.278286934E-1
8.857957900E-1,-9.655356407E-3,-3.800077438E-1,-5.053911209E-1
9.262748530E-1,5.695750713E-1,-1.847376823E-1,1.000804901E-1
9.668124050E-1,1.020718813E-1,8.657932281E-3,2.571630478E-1
1.007249540E0,-1.550846100E-1,-4.229736328E-2,2.642087936E-1
1.047792300E0,-4.184901714E-2,1.592321396E-1,-2.022423744E-1
1.088279957E0,1.057226658E-1,-2.754354477E-2,-2.286968231E-1
1.128762092E0,6.092101336E-1,-1.354393959E-1,1.736640930E-1
1.169252040E0,-7.208049297E-3,-3.350596428E-1,1.152115822E0
1.209752405E0,-4.747410417E-1,2.851066589E-1,4.281024933E-1
1.250199540E0,-2.755474448E-1,1.939792633E-1,1.210509300E0
1.290676728E0,7.407267094E-1,-7.258796692E-2,1.673827171E0
1.331144748E0,-5.137214065E-1,1.197104454E-1,8.909225464E-2
1.371642665E0,-9.288750589E-2,-3.009099960E-1,-9.282913208E-1
1.412109280E0,-1.132733345E0,-1.130354404E0,-9.219722748E-1
1.452582040E0,-1.022077680E0,-8.026380539E-1,9.617958069E-1
1.493111259E0,-7.547310591E-1,-1.417615891E0,1.534545898E0
1.533640321E0,-5.555214286E-1,-1.236097813E0,7.717485428E-1
1.574124748E0,1.990872994E-2,-7.716526985E-1,-1.110978603E0
1.614600998E0,7.072656751E-1,-4.442725182E-1,-8.084478378E-1
1.655083082E0,5.740858316E-1,1.019940376E-1,-6.952400208E-1
1.695565478E0,-6.546908617E-2,8.299765587E-1,-7.767505646E-1
1.736046936E0,-3.526471257E-1,8.563423157E-2,-4.930901527E-1
1.776530009E0,4.544978738E-1,8.324971199E-1,-1.101013184E0
1.817024800E0,-1.473320127E0,5.878343582E-1,-7.216348648E-1
1.857510217E0,-1.197104931E0,7.864375114E-1,4.596157074E-1
1.897996728E0,-5.583596826E-1,6.701622009E-1,-6.606998444E-1
1.938483186E0,1.419271231E-1,-5.922641754E-1,-6.416316032E-1
1.978963394E0,3.347103596E-1,5.378689766E-1,-5.585289001E-1
2.019438342E0,-3.029346466E-2,-4.867076874E-3,-6.056671143E-1
2.059922353E0,7.317833900E-1,5.240807533E-1,3.232831955E-1
2.100390009E0,6.699943542E-1,6.487956047E-1,3.866028786E-1
2.140851675E0,1.427791357E0,8.141832352E-1,3.643989563E-1
2.181356467E0,1.669301987E-1,6.148686409E-1,2.520418167E-2
2.221875894E0,2.096393108E-1,8.277034760E-2,-4.897713661E-1
2.262361467E0,8.465270996E-1,-9.995460510E-3,4.032135010E-3
2.302859436E0,1.002147198E-1,-4.212651253E-1,3.165731430E-1
2.343333186E0,9.656245708E-1,-3.399848938E-2,-1.541969776E0
2.383823238E0,-3.765451908E-1,2.125864029E-1,-5.705747604E-1
2.424312925E0,1.302926540E-1,4.395165443E-1,-1.121527672E0
2.464777873E0,-3.851985931E-2,2.334728241E-1,-6.106448174E-1
2.505277925E0,-2.760558128E-1,-3.549842834E-1,1.000588894E0
2.545772873E0,3.043699265E-1,-3.734922409E-1,1.344225883E0
2.586257613E0,2.563972473E-1,-2.500352859E-1,-5.205240250E-1
2.626742717E0,-8.198938370E-1,-1.159012794E0,-6.265230179E-1
2.667214280E0,-1.094307899E-1,-5.478854179E-1,-9.535207748E-1
2.707693238E0,-1.192665100E-1,7.629394531E-6,-1.745662689E-1
2.748182717E0,1.721688509E0,-7.368555069E-1,-4.749870300E-2
2.788684175E0,-8.151839972E-1,-1.034920692E0,-1.435078621E0
2.829173498E0,4.328062534E-1,-9.959211349E-1,1.383280754E0
2.869659696E0,3.891082764E0,-4.964184761E-1,3.831281662E-1
2.910131519E0,2.913275719E0,-9.471592903E-1,-1.476567745E0
2.950609905E0,1.220682859E-1,-1.941830397E0,7.900848389E-1
2.991084384E0,-1.833390951E0,-1.959818840E0,4.623374939E-1
3.031586675E0,-1.537185431E0,-1.348179221E0,9.749250412E-1
3.072060165E0,-4.947462082E-1,-1.771726370E0,-6.698570251E-1
3.112520894E0,-9.873685837E-1,-1.069465876E0,-4.354338169E0
3.153067300E0,-1.553479671E0,1.975854635E-1,-1.516306400E0
3.193553030E0,-2.999042034E0,-1.278420985E-1,5.185003281E-1
3.233994280E0,-2.825914860E0,1.653000355E0,-1.271514893E0
3.274526155E0,3.246358395E0,3.698489666E0,8.656076431E0
3.315011050E0,1.279157162E0,2.979668140E0,-2.225017071E0
3.355496936E0,-1.525516987E0,2.386545181E0,-1.947570324E0
3.395979019E0,-2.281142235E0,9.478647709E-1,-2.297341824E0
3.436466363E0,-1.257428646E0,8.694043159E-1,1.461465359E0
3.476951415E0,-3.395881176E0,1.048502684E0,-9.554553032E-1
3.517434280E0,-3.895573616E-1,3.929841518E-1,4.307561398E0
3.557921780E0,1.394686222E0,1.204553604E0,2.450154781E0
3.598409071E0,9.863495827E-1,5.618476868E-2,9.446573257E-2
3.638894436E0,6.338281631E-1,-6.283092499E-2,-1.010802269E0
3.679359853E0,3.544807434E-2,-4.510821104E-1,-1.133756638E-1
3.719819488E0,-3.973293304E-1,-1.103147507E0,-1.942128420E0
3.760314905E0,1.229414940E0,-5.443656445E-2,1.021859646E0
3.800800998E0,-1.520948410E-1,1.686000824E-1,1.099096298E0
3.841292509E0,1.136043549E0,9.811156988E-1,-3.027029037E-1
3.881817405E0,9.360418320E-1,7.720378637E-1,5.952882767E-2
3.922303290E0,-9.298629761E-1,3.578325510E-1,-1.286211014E0
3.962719280E0,7.128715515E-3,7.341393232E-1,-4.947695732E-1
4.003280113E0,-3.124027729E0,-1.495383620E0,-1.478600502E-1
4.043742925E0,1.796813011E0,7.360780239E-2,1.582271576E0
4.084238603E0,-9.996223450E-2,-7.627060413E-1,3.439521790E-2
4.124730686E0,7.234444618E-1,4.463191032E-1,-3.493261337E-1
4.165181728E0,2.290208817E0,2.714360952E-1,-2.239117622E-1
4.205717665E0,4.292147636E0,1.800012231E0,1.685083866E0
4.246165321E0,3.426845312E0,1.883978844E-1,-9.897756577E-2
4.286670165E0,-6.002625465E0,-1.118346930E0,-2.066673994E0
4.327155894E0,-1.669595718E0,2.034808159E0,-1.173661709E0
4.367644384E0,-1.407996178E0,3.853744030E0,3.869347572E-1
4.408129123E0,-2.693553448E0,7.671003342E-1,5.225915909E-1
4.448542092E0,1.887993813E-1,-3.327392340E0,-1.370011330E0
4.489102769E0,2.318337440E0,-5.449337006E0,-4.233765602E-1
4.529589019E0,1.105032444E0,1.456695914E0,-6.175155640E-1
4.570051884E0,1.066782475E0,1.563355923E-1,2.603610992E0
4.610540790E0,3.836264610E-1,-1.152689695E0,-1.487226486E0
4.651024436E0,-7.647705078E-2,-4.173593521E-1,3.035454750E-1
4.691481259E0,-6.980609894E-2,5.859951973E-1,3.315515518E-1
4.731966988E0,1.003341675E0,3.909903526E0,-4.853610992E-1
4.772452717E0,3.134851456E-1,3.088181496E0,-1.687223434E0
4.812980842E0,2.770336866E0,8.408050537E-1,2.017594337E0
4.853478967E0,2.602347374E0,7.817015648E-1,-1.814382553E0
4.893958238E0,-2.690768242E-1,2.081660271E0,-3.263010979E-1
4.934439644E0,-2.717137337E-1,-2.917780876E-1,-5.818052292E-1
4.974930217E0,1.465856075E0,-1.355791092E0,-1.035362720E0
5.015423707E0,2.479924202E0,-1.328267097E0,-5.809831619E-1
5.055906936E0,-2.864441395E0,-4.027780533E0,-3.529987335E-1
5.096394228E0,-2.041050911E0,-7.023833275E0,2.083674431E0
5.136878915E0,3.162860870E-1,-5.586032867E-1,3.690752983E-1
5.177375530E0,9.896831512E-1,7.929034233E-1,3.209633827E-1
5.217859332E0,1.966401100E0,8.064522743E-1,3.629050255E-1
5.258328915E0,-9.074921608E-1,-1.809213638E0,3.560171127E-1
5.298823134E0,-1.240893364E0,-7.310013771E-1,9.210901260E-1
5.339311363E0,8.659400940E-1,5.545516014E-1,4.958751202E-1
5.379791311E0,8.637785912E-1,-1.153515816E0,-2.185988426E-2
5.420230842E0,-1.143207550E-1,-1.370780468E0,7.156515121E-2
5.460700373E0,1.319590569E0,-1.564931870E-2,-1.150714159E0
5.501212353E0,7.920455933E-2,-5.049343109E-1,-5.938339233E-1
5.541699175E0,3.399386406E-1,6.376647949E-1,-1.208506465E0
5.582194123E0,3.101563454E-1,4.038643837E-1,-4.379990101E-1
5.622713134E0,4.226870537E-1,5.592522621E-1,-9.513139725E-2
5.663187978E0,9.613513947E-3,3.577742577E-1,-1.550824642E-1
5.703668446E0,-6.186523438E-1,-1.894688606E-1,-3.086640835E-1
5.744156675E0,5.039377213E-1,4.624466896E-1,1.111955643E-1
5.784655217E0,2.392749786E-1,-2.379894257E-2,1.344583035E-1
