Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Datetime
0.002962458333,-2.624192963,5.208269348,5.317841492,2024-06-04 15:48:16.002962
0.04326745834,-0.1357676697,3.818409576,12.67204834,2024-06-04 15:48:16.043267
0.08357145833,-2.466121674,4.406237183,7.87003418,2024-06-04 15:48:16.083571
0.1238754583,-1.147513733,4.531826019,8.037835236,2024-06-04 15:48:16.123875
0.1641794583,1.018182678,3.864064636,10.39947418,2024-06-04 15:48:16.164179
0.2044834583,0.427660675,3.930676117,9.668993225,2024-06-04 15:48:16.204483
0.2447877083,-0.1610650635,3.86361557,6.458020477,2024-06-04 15:48:16.244788
0.2850917083,2.540367279,4.387975159,9.094338226,2024-06-04 15:48:16.285092
0.3253957083,3.515439606,3.668720856,9.315428467,2024-06-04 15:48:16.325396
0.3656997083,0.7006929016,3.856131134,7.934999084,2024-06-04 15:48:16.365700
0.4060037083,2.214794312,3.97827713,8.653804321,2024-06-04 15:48:16.406004
0.4463087083,2.513123932,3.608396301,7.450007629,2024-06-04 15:48:16.446309
0.4866127083,3.614234161,3.91391098,6.791377258,2024-06-04 15:48:16.486613
0.5269167083,2.833008728,1.939067688,8.347092133,2024-06-04 15:48:16.526917
0.5672207083,4.723427582,2.862946472,6.148913269,2024-06-04 15:48:16.567221
0.6075257083,5.674100647,1.656455383,8.80843277,2024-06-04 15:48:16.607526
0.6478297083,3.952380981,2.883753204,8.284671936,2024-06-04 15:48:16.647830
0.6881337083,5.449417877,2.211950226,7.778873749,2024-06-04 15:48:16.688134
0.7284377083,7.646399231,3.47517334,10.76666061,2024-06-04 15:48:16.728438
0.7687417083,5.995781708,2.892584839,7.106621704,2024-06-04 15:48:16.768742
0.8090467083,3.063379669,1.481618958,5.374274139,2024-06-04 15:48:16.809047
0.8493507083,1.495989075,0.3861968994,3.221450958,2024-06-04 15:48:16.849351
0.8896547083,0.6149212646,-3.081791382,2.076931,2024-06-04 15:48:16.889655
0.9299587083,3.609294434,-3.900438995,3.070564728,2024-06-04 15:48:16.929959
0.9702627083,15.46134796,-5.37771698,11.16423386,2024-06-04 15:48:16.970263
1.010566708,14.33074905,-2.134710846,13.39220078,2024-06-04 15:48:17.010567
1.050871708,14.53297852,-2.244133301,7.899672546,2024-06-04 15:48:17.050872
1.091175708,13.04986267,-1.56903717,5.519921265,2024-06-04 15:48:17.091176
1.131479708,12.3262674,-0.8611592102,3.866160278,2024-06-04 15:48:17.131480
1.171783708,8.579558716,-3.042123871,0.9029223633,2024-06-04 15:48:17.171784
1.212087708,6.763984222,-3.826492767,2.065854034,2024-06-04 15:48:17.212088
1.252392125,6.464906158,-6.026018829,8.543483734,2024-06-04 15:48:17.252392
1.292697125,7.518115997,-6.479875031,8.43166626,2024-06-04 15:48:17.292697
1.333001125,8.284522247,-3.98651001,6.234535217,2024-06-04 15:48:17.333001
1.408571125,7.126530304,-2.585273895,-0.9617500305,2024-06-04 15:48:17.408571
1.448875125,11.97285233,-2.347268829,6.640790405,2024-06-04 15:48:17.448875
1.489179125,9.642947388,0.1357676697,-1.410217438,2024-06-04 15:48:17.489179
1.529483125,12.74090515,1.671723633,2.552941132,2024-06-04 15:48:17.529483
1.569787125,7.713609467,0.5406756592,-0.7201524353,2024-06-04 15:48:17.569787
1.610091125,-5.432203674,-3.569177856,0.8631051636,2024-06-04 15:48:17.610091
1.650396125,10.16775604,-1.445394287,-1.168619843,2024-06-04 15:48:17.650396
1.690700125,7.688312073,-3.93965744,1.592687988,2024-06-04 15:48:17.690700
1.731004125,13.35522766,-2.476749573,1.207987976,2024-06-04 15:48:17.731004
1.771308125,11.69038971,-2.314636688,-0.5301974487,2024-06-04 15:48:17.771308
1.811612125,8.053103485,-10.59616516,0.4379891968,2024-06-04 15:48:17.811612
1.851916125,9.667795715,-7.009324036,0.0296383667,2024-06-04 15:48:17.851916
1.892220125,9.13490387,-4.7271698,0.8628057861,2024-06-04 15:48:17.892220
1.932524125,7.595654755,-5.357958069,0.6956034851,2024-06-04 15:48:17.932524
1.972828125,8.018226013,-4.71309906,0.8626560974,2024-06-04 15:48:17.972828
2.013132125,6.635700989,-7.648644562,-0.4297563171,2024-06-04 15:48:18.013132
2.053436125,7.854167175,-7.113058319,2.148482208,2024-06-04 15:48:18.053436
2.093740125,12.23495728,-3.532803497,3.37098999,2024-06-04 15:48:18.093740
2.134044125,8.369395752,-6.13244751,3.807931366,2024-06-04 15:48:18.134044
2.174348125,5.235812073,-3.865262146,5.118306427,2024-06-04 15:48:18.174348
2.214652125,4.516258392,-2.873424683,4.885540466,2024-06-04 15:48:18.214652
2.254955875,5.495971069,-5.092559967,8.436905365,2024-06-04 15:48:18.254956
2.295259875,4.198618927,-4.106260986,1.463656311,2024-06-04 15:48:18.295260
2.335563875,-0.7482939148,-7.96598465,7.707771606,2024-06-04 15:48:18.335564
2.375867875,0.9999206543,-7.61720993,5.674699402,2024-06-04 15:48:18.375868
2.416172875,-0.1258882141,-5.314847717,5.76615921,2024-06-04 15:48:18.416173
2.456476875,-2.538870392,-8.280780029,8.501271515,2024-06-04 15:48:18.456477
2.496780875,-6.04577774,-8.057594147,14.56875412,2024-06-04 15:48:18.496781
2.537084875,6.823710022,3.862717438,-23.36955276,2024-06-04 15:48:18.537085
2.577388875,-9.150172119,-9.929601288,4.902754669,2024-06-04 15:48:18.577389
2.617692875,-4.59723999,-10.30951126,0.803379364,2024-06-04 15:48:18.617693
2.657996875,-5.96045517,-9.910740509,1.265767822,2024-06-04 15:48:18.657997
2.698300875,-5.700146484,-7.632178802,-2.856060791,2024-06-04 15:48:18.698301
2.738604875,-6.934779053,-8.823850708,0.9675878906,2024-06-04 15:48:18.738605
2.778908875,-7.424261169,-6.820716248,0.8870553589,2024-06-04 15:48:18.778909
2.819212875,-7.073091431,-6.7642836,0.6230044556,2024-06-04 15:48:18.819213
2.859516875,-6.604865112,-5.407804413,1.249152374,2024-06-04 15:48:18.859517
2.899820875,-9.566007385,-5.297334137,2.075434113,2024-06-04 15:48:18.899821
2.940124875,-7.858807526,-5.375471649,0.3926335144,2024-06-04 15:48:18.940125
2.980428875,-7.076833649,-6.484964447,0.8878038025,2024-06-04 15:48:18.980429
3.020732875,-7.795638885,-4.875661011,1.828747101,2024-06-04 15:48:19.020733
3.061037875,-8.168214111,-4.147575073,2.16704361,2024-06-04 15:48:19.061038
3.101341875,-7.000941467,-8.195756836,2.246977386,2024-06-04 15:48:19.101342
3.141645875,-7.285050659,-6.918462982,0.9526190186,2024-06-04 15:48:19.141646
3.181949875,-6.88942337,-6.420149231,1.034648438,2024-06-04 15:48:19.181950
3.222253875,-6.760990448,-6.323749695,1.420995026,2024-06-04 15:48:19.222254
3.262557958,-7.112459564,-4.09533371,1.496138763,2024-06-04 15:48:19.262558
3.302861958,-7.912994843,-7.829767914,1.553170166,2024-06-04 15:48:19.302862
3.343165958,-6.238277435,-6.552324371,1.025966492,2024-06-04 15:48:19.343166
3.383469958,-6.150709534,0.4805007935,-0.3838018799,2024-06-04 15:48:19.383470
3.423774958,-5.010829926,-7.16440155,2.271825714,2024-06-04 15:48:19.423775
3.464078958,-6.628366241,-2.474803619,-0.4564009094,2024-06-04 15:48:19.464079
3.504382958,-4.832700348,-8.466543732,3.397185516,2024-06-04 15:48:19.504383
3.544686958,-3.492836609,-6.278992767,1.877845001,2024-06-04 15:48:19.544687
3.584990958,-1.641935577,-8.710985413,-0.933608551,2024-06-04 15:48:19.584991
3.625294958,-1.497485962,-8.472531281,1.809586945,2024-06-04 15:48:19.625295
3.665598958,-2.925815735,-11.96716415,1.567839661,2024-06-04 15:48:19.665599
3.705903958,-2.306852875,-12.40814713,1.979932709,2024-06-04 15:48:19.705904
3.746207958,-3.302582245,-10.96544724,2.678979034,2024-06-04 15:48:19.746208
3.786511958,-1.940863953,-13.11108536,2.194885712,2024-06-04 15:48:19.786512
3.826815958,2.038161621,-12.5916655,1.493893433,2024-06-04 15:48:19.826816
3.867119958,0.9654922485,-11.05795486,2.007325745,2024-06-04 15:48:19.867120
3.907423958,-3.673959961,-5.106630707,-0.4875361633,2024-06-04 15:48:19.907424
3.947728958,-1.013093262,-9.841883698,2.418820038,2024-06-04 15:48:19.947729
3.988032958,-1.120869141,-9.303902435,2.292931824,2024-06-04 15:48:19.988033
4.028336958,-0.6438111877,-9.339079285,2.428549805,2024-06-04 15:48:20.028337
4.068640958,-0.5803431702,-9.394314423,2.217189331,2024-06-04 15:48:20.068641
4.108945958,-0.6209088135,-9.736502838,2.685715027,2024-06-04 15:48:20.108946
4.149249958,-0.3764671326,-9.553134155,2.785108337,2024-06-04 15:48:20.149250
4.189553958,-0.05523513794,-9.46017746,2.334694977,2024-06-04 15:48:20.189554
4.229857958,-0.3266207886,-9.410630493,2.61281662,2024-06-04 15:48:20.229858
4.270162375,-0.1347198486,-9.415570221,2.477947083,2024-06-04 15:48:20.270162
4.310467375,-0.4767585754,-9.561217346,2.481389923,2024-06-04 15:48:20.310467
4.350771375,-0.4538562012,-9.306297455,2.211650848,2024-06-04 15:48:20.350771
4.391075375,-0.3712280273,-9.559870148,2.37181778,2024-06-04 15:48:20.391075
4.431379375,-1.208287354,-9.454788666,2.750679932,2024-06-04 15:48:20.431379
4.471684375,-0.4055067444,-9.124725037,2.489323425,2024-06-04 15:48:20.471684
4.511988375,-0.135617981,-9.631571045,3.085084534,2024-06-04 15:48:20.511988
4.552292375,-0.6872209167,-9.756561127,2.821183319,2024-06-04 15:48:20.552292
4.592596375,-0.8460406494,-8.66682724,2.427202606,2024-06-04 15:48:20.592596
4.632901375,-0.9647438049,-9.404044189,2.367327118,2024-06-04 15:48:20.632901
4.673205375,-0.3480262756,-9.618997192,2.862946472,2024-06-04 15:48:20.673205
4.713509375,-0.2067201233,-9.895023193,2.450404358,2024-06-04 15:48:20.713509
4.753814375,-0.3882925415,-9.359436951,2.380799103,2024-06-04 15:48:20.753814
4.794118375,-0.02589614868,-9.1371492,1.854343872,2024-06-04 15:48:20.794118
4.834422375,-2.415975952,-8.920549622,3.552263031,2024-06-04 15:48:20.834422
