Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.004669250004,-5.392087097,6.108048248,5.662125549,2024-06-05 12:09:54.004669
0.04497316667,-2.995720367,6.045478363,9.059909821,2024-06-05 12:09:54.044973
0.08527616668,-4.338877258,5.444029083,7.623496857,2024-06-05 12:09:54.085276
0.1255791667,-3.530258789,5.557792511,7.493417358,2024-06-05 12:09:54.125579
0.1658821667,-2.981649628,5.480553131,6.067033539,2024-06-05 12:09:54.165882
0.2061861667,-2.809657288,5.583389282,7.096891937,2024-06-05 12:09:54.206186
0.2464891667,-3.153641968,5.033881989,7.278314667,2024-06-05 12:09:54.246489
0.2867921667,-2.012265472,5.870043182,6.924450531,2024-06-05 12:09:54.286792
0.3270961667,-1.712588654,5.588179321,9.132059784,2024-06-05 12:09:54.327096
0.3673991667,-2.978057098,4.760700073,8.234077148,2024-06-05 12:09:54.367399
0.4077031667,-1.451232147,6.096821594,8.444240112,2024-06-05 12:09:54.407703
0.4480061667,-1.816921692,4.421954498,8.383167114,2024-06-05 12:09:54.448006
0.4883091667,-3.428919525,4.661157074,7.688761139,2024-06-05 12:09:54.488309
0.5286131667,-1.505718842,3.595373383,8.372988281,2024-06-05 12:09:54.528613
0.5689161667,-1.357527008,3.005749512,7.710316315,2024-06-05 12:09:54.568916
0.6092201667,-1.365610199,-0.4183799744,6.00132019,2024-06-05 12:09:54.609220
0.6495231667,0.6231541443,-0.01691482544,7.053182831,2024-06-05 12:09:54.649523
0.6898261667,6.317911835,6.710545349,4.362827454,2024-06-05 12:09:54.689826
0.7301301667,-2.71340744,-0.765358429,3.352129211,2024-06-05 12:09:54.730130
0.7704331667,3.33940567,2.949466553,8.201744385,2024-06-05 12:09:54.770433
0.8107371667,2.623594208,0.226179657,12.56487122,2024-06-05 12:09:54.810737
0.8510401667,-0.7105723572,-0.7891589355,12.60049713,2024-06-05 12:09:54.851040
0.8913441667,-1.508113861,-2.327958984,11.08789261,2024-06-05 12:09:54.891344
0.9316471667,-1.051413574,-2.952759705,6.844217377,2024-06-05 12:09:54.931647
0.9719511667,1.517244873,-6.312073975,5.640121307,2024-06-05 12:09:54.971951
1.012255167,4.740192719,-7.015311584,7.022346954,2024-06-05 12:09:55.012255
1.052558125,12.45050903,-9.297615509,12.5796904,2024-06-05 12:09:55.052558
1.092862125,16.09303436,-5.664221191,6.679260406,2024-06-05 12:09:55.092862
1.133165125,11.41675873,-6.08095459,8.398285675,2024-06-05 12:09:55.133165
1.173469125,9.193432159,-7.703280945,11.46421005,2024-06-05 12:09:55.173469
1.213772125,7.728129272,-4.887187042,8.195158081,2024-06-05 12:09:55.213772
1.254076125,12.18720657,-1.031504974,4.648882599,2024-06-05 12:09:55.254076
1.294380125,6.692433014,-4.396806793,12.17612961,2024-06-05 12:09:55.294380
1.334683125,9.38413559,-1.15020813,5.895490265,2024-06-05 12:09:55.334683
1.374987125,5.488935699,-1.595681763,2.088906097,2024-06-05 12:09:55.374987
1.415291125,3.74311615,-0.06586303711,-0.7632627869,2024-06-05 12:09:55.415291
1.455594125,9.189989319,1.721869354,0.8065228271,2024-06-05 12:09:55.455594
1.495898125,6.043083344,-3.353775787,5.712121582,2024-06-05 12:09:55.495898
1.536202125,4.646188202,-4.017794952,-3.596421204,2024-06-05 12:09:55.536202
1.576505125,11.72332123,-3.821702728,1.615141296,2024-06-05 12:09:55.576505
1.616809125,8.21521637,-11.4303804,1.258133698,2024-06-05 12:09:55.616809
1.657113125,8.315657501,-9.119036865,2.870281219,2024-06-05 12:09:55.657113
1.697416125,12.15277817,-0.419128418,-0.1405577087,2024-06-05 12:09:55.697416
1.737720125,4.749772797,-2.340233459,0.2673440552,2024-06-05 12:09:55.737720
1.778024125,7.468419342,-4.959187317,2.689457245,2024-06-05 12:09:55.778024
1.818328125,7.947123871,-3.014880524,4.210743713,2024-06-05 12:09:55.818328
1.858631125,3.752995605,-20.77649506,-0.0975970459,2024-06-05 12:09:55.858631
1.898935125,7.295977936,-10.35456757,0.6201603699,2024-06-05 12:09:55.898935
1.939239125,3.693120117,-5.012476501,1.783990173,2024-06-05 12:09:55.939239
1.979543125,5.664520569,-9.258097687,-4.879552917,2024-06-05 12:09:55.979543
2.019846125,3.067271576,-8.941356354,-0.09205856323,2024-06-05 12:09:56.019846
2.060150125,4.699776764,-8.671168213,-0.4933740234,2024-06-05 12:09:56.060150
2.100454125,4.621639252,-8.504414978,-1.091081085,2024-06-05 12:09:56.100454
2.140758125,4.390669556,-7.655230865,-0.5769003296,2024-06-05 12:09:56.140758
2.181062125,3.491339722,-2.907853088,-1.731599121,2024-06-05 12:09:56.181062
2.221365125,4.415218506,-7.575297089,-1.703008575,2024-06-05 12:09:56.221365
2.261669125,2.142943726,-5.112618256,-4.031865692,2024-06-05 12:09:56.261669
2.301973125,3.315904541,-8.397537231,2.976410522,2024-06-05 12:09:56.301973
2.342277125,5.495072937,-17.19609055,-4.685107269,2024-06-05 12:09:56.342277
2.382581125,3.965104523,-12.66561172,-1.762734375,2024-06-05 12:09:56.382581
2.422885125,-3.633693695,-11.28862518,-3.276386719,2024-06-05 12:09:56.422885
2.463190125,0.02260299683,-11.58650574,-1.098864899,2024-06-05 12:09:56.463190
2.503494125,0.3456312561,-10.54616913,-2.294728088,2024-06-05 12:09:56.503494
2.543798125,-0.4632865906,-12.08856171,-4.287833405,2024-06-05 12:09:56.543798
2.584102125,-1.441203003,-7.879165192,0.7060816956,2024-06-05 12:09:56.584102
2.624406125,-0.6885681152,-8.7814888,-3.393892365,2024-06-05 12:09:56.624406
2.664710125,0.9544152832,-12.57714569,-2.056273956,2024-06-05 12:09:56.664710
2.705014125,-3.101400604,-6.34650238,-2.389630737,2024-06-05 12:09:56.705014
2.745318125,-1.463356934,-10.96035782,-2.785856781,2024-06-05 12:09:56.745318
2.785621125,-1.322499847,-7.057673492,-2.768492889,2024-06-05 12:09:56.785621
2.825925125,-0.6366261292,-8.646619263,-1.3947995,2024-06-05 12:09:56.825925
2.866229125,-0.4819976807,-9.599537659,-2.083666992,2024-06-05 12:09:56.866229
2.906533125,-1.21217926,-9.54669754,-2.205363922,2024-06-05 12:09:56.906533
2.946837125,-0.9267228699,-10.24634262,-1.755549316,2024-06-05 12:09:56.946837
2.987141125,-0.6068380737,-9.405690765,-1.621877289,2024-06-05 12:09:56.987141
3.027445125,-1.297950897,-8.653355255,-1.295855255,2024-06-05 12:09:57.027445
3.067749375,-0.9436376953,-9.419911194,-1.6708255,2024-06-05 12:09:57.067749
3.108053375,-0.4110452271,-10.4443808,-1.686692505,2024-06-05 12:09:57.108053
3.148357375,-1.52817215,-9.291029205,-2.239792328,2024-06-05 12:09:57.148357
3.188661375,-1.321751404,-9.158404999,-1.512305145,2024-06-05 12:09:57.188661
3.228965375,-0.4306544495,-10.28196854,-3.60031311,2024-06-05 12:09:57.228965
3.269269375,0.3700305176,-10.20712418,-2.756218414,2024-06-05 12:09:57.269269
3.309573375,1.082997894,-9.55373291,-1.59134079,2024-06-05 12:09:57.309573
3.349877375,-0.06825805664,-9.122629395,-2.054328003,2024-06-05 12:09:57.349877
3.390181375,-0.456101532,-9.524693298,-0.4763095093,2024-06-05 12:09:57.390181
3.430485375,-2.008373566,-9.823471985,-1.981429596,2024-06-05 12:09:57.430485
3.470789375,-1.37249588,-9.449699249,-0.3826043701,2024-06-05 12:09:57.470789
3.511093375,-0.7800279236,-9.458231506,-1.719174957,2024-06-05 12:09:57.511093
3.551397375,0.2856060791,-10.20712418,-0.4216731262,2024-06-05 12:09:57.551397
3.591702375,-1.525028687,-9.593101044,-0.7673043823,2024-06-05 12:09:57.591702
3.632006375,-1.321452026,-9.999954987,-0.9740245056,2024-06-05 12:09:57.632006
3.672310375,-1.006357269,-9.903705139,-0.3986210632,2024-06-05 12:09:57.672310
3.712614375,-2.217488708,-9.698930969,-1.154249725,2024-06-05 12:09:57.712614
3.752918375,-1.860181732,-8.694669342,-0.9638456726,2024-06-05 12:09:57.752918
3.793222375,-1.368154907,-10.71876022,1.098266144,2024-06-05 12:09:57.793222
3.833526375,-3.741469574,-9.759554901,-1.223256226,2024-06-05 12:09:57.833526
3.873830375,-3.528013458,-9.915979614,-1.823657684,2024-06-05 12:09:57.873830
3.914134375,-3.03868103,-12.94627808,-3.113076324,2024-06-05 12:09:57.914134
3.954438375,-0.9482780457,-7.651638336,-1.773212585,2024-06-05 12:09:57.954438
3.994743375,-1.50586853,-6.790479126,-2.153421936,2024-06-05 12:09:57.994743
4.035047375,0.5959107971,-8.513246613,-3.570225677,2024-06-05 12:09:58.035047
4.075351,-2.984643402,-8.620573425,-3.406765594,2024-06-05 12:09:58.075351
4.115655,-2.122436371,-9.960287476,-6.088139648,2024-06-05 12:09:58.115655
4.155959,-1.287921753,-10.34962784,-1.448088684,2024-06-05 12:09:58.155959
4.196263,-3.081492004,-7.268734589,-2.095492401,2024-06-05 12:09:58.196263
4.236567,-1.572180634,-8.315058746,-1.186283112,2024-06-05 12:09:58.236567
4.276872,-1.727557526,-8.671617279,-2.69709137,2024-06-05 12:09:58.276872
4.317176,-0.9659413147,-10.00863693,-2.584525452,2024-06-05 12:09:58.317176
4.35748,-1.287622375,-10.35860916,-3.012036438,2024-06-05 12:09:58.357480
4.397784,-1.404828644,-9.976902924,-1.207239532,2024-06-05 12:09:58.397784
4.438088,-1.657802582,-9.346414032,-1.162033539,2024-06-05 12:09:58.438088
4.478392,-1.256487122,-9.367370453,-2.011067963,2024-06-05 12:09:58.478392
4.518697,-1.060245209,-9.57603653,-1.540596313,2024-06-05 12:09:58.518697
4.559001,-1.007255402,-9.84158432,-1.750010834,2024-06-05 12:09:58.559001
4.599305,-3.065325623,-9.036857758,1.091230774,2024-06-05 12:09:58.599305
4.639609,0.3867956543,-12.25037521,-2.192640381,2024-06-05 12:09:58.639609
4.679913,-2.701432343,-8.608448639,-2.576591949,2024-06-05 12:09:58.679913
4.720218,-2.135908356,-9.820627899,-2.083816681,2024-06-05 12:09:58.720218
4.760522,-2.412533112,-10.85153412,-3.556753693,2024-06-05 12:09:58.760522
4.800826,-1.47548172,-9.812544708,-1.718276825,2024-06-05 12:09:58.800826
4.84113,-1.552421722,-9.940079498,-1.630559235,2024-06-05 12:09:58.841130
4.881435,-1.690434723,-9.510023804,-2.287393341,2024-06-05 12:09:58.881435
4.921739,-1.845661926,-9.569300537,-2.420466614,2024-06-05 12:09:58.921739
4.962043,-0.9446855164,-9.51750824,-1.483265533,2024-06-05 12:09:58.962043
5.002347,0.8283773804,-7.886050873,-2.081122284,2024-06-05 12:09:59.002347
5.0426515,-2.113455048,-10.80363373,-3.707340546,2024-06-05 12:09:59.042651
5.0829555,-0.9693841553,-9.338779907,-1.343755646,2024-06-05 12:09:59.082955
5.1232595,-1.976340179,-6.500831451,-2.102228394,2024-06-05 12:09:59.123259
5.1635645,-1.384620667,-10.38016434,-2.950214996,2024-06-05 12:09:59.163564
5.2038685,-1.677112427,-9.151519318,-2.521207123,2024-06-05 12:09:59.203868
5.2441725,-1.557810516,-8.966204681,-2.265838165,2024-06-05 12:09:59.244173
5.2844765,-1.869911499,-10.05339386,-2.917732544,2024-06-05 12:09:59.284477
5.3247815,-2.180964661,-9.910740509,-1.855990448,2024-06-05 12:09:59.324782
5.3650855,-1.852098541,-8.681197357,-2.429597626,2024-06-05 12:09:59.365086
5.4053895,-2.144290924,-10.52685928,-2.705623627,2024-06-05 12:09:59.405390
5.4456945,-1.758393402,-9.140442352,-2.504891052,2024-06-05 12:09:59.445695
5.4859985,-1.990111542,-9.74563385,-2.752775574,2024-06-05 12:09:59.485998
5.5263025,-1.112935638,-9.570647736,-2.038161621,2024-06-05 12:09:59.526302
5.5666075,-1.687590637,-9.128467255,-2.476899261,2024-06-05 12:09:59.566607
5.6069115,-2.568059692,-9.382339325,-1.852996674,2024-06-05 12:09:59.606911
5.6472155,-0.4825964355,-8.732540588,-3.794160004,2024-06-05 12:09:59.647215
5.6875205,-1.4929953,-11.20779327,-2.429298248,2024-06-05 12:09:59.687520
5.7278245,-0.5159770203,-3.342998199,-2.536924438,2024-06-05 12:09:59.727824
5.7681285,-4.068838806,-11.12591354,-3.277135162,2024-06-05 12:09:59.768129
5.8084335,-1.78668457,-10.90138046,-0.8155041504,2024-06-05 12:09:59.808433
5.8487375,-7.062463531,-12.92397446,-2.248324585,2024-06-05 12:09:59.848738
5.8890415,-3.557502136,-7.236701202,-2.144290924,2024-06-05 12:09:59.889042
5.9293465,-5.424868927,-10.5160817,-1.954635315,2024-06-05 12:09:59.929347
5.9696505,-3.287164307,-11.52797745,-0.6583309937,2024-06-05 12:09:59.969651
6.0099545,-5.565576324,-14.32625839,-2.052531738,2024-06-05 12:10:00.009955
6.05026025,2.510429535,-10.65619034,0.1606159973,2024-06-05 12:10:00.050260
6.09056425,0.6441105652,-4.385879517,0.8743318176,2024-06-05 12:10:00.090564
6.13086825,3.703748016,-13.7993541,-6.457571411,2024-06-05 12:10:00.130868
6.17117325,1.847308502,-13.46420105,-7.598049774,2024-06-05 12:10:00.171173
6.21147725,-0.9110055542,-10.1285376,-2.234104156,2024-06-05 12:10:00.211477
6.25178225,2.583627319,-11.50043472,0.8439450073,2024-06-05 12:10:00.251782
6.29208625,10.6407724,-6.861880646,7.750133514,2024-06-05 12:10:00.292086
6.33239025,5.971532135,-11.18369339,5.052742767,2024-06-05 12:10:00.332390
6.37269525,1.027164001,-7.689958649,1.4239888,2024-06-05 12:10:00.372695
6.41299925,-2.366728363,-6.798861694,2.605930939,2024-06-05 12:10:00.412999
6.45330425,-4.51071991,-5.776338043,3.935466156,2024-06-05 12:10:00.453304
6.49360825,-6.717281342,-4.549788666,7.914641418,2024-06-05 12:10:00.493608
6.53391225,-4.202510834,-1.733395386,8.345744934,2024-06-05 12:10:00.533912
6.57421725,-0.6987469482,-6.583010559,11.32769394,2024-06-05 12:10:00.574217
6.61452125,-0.4778063965,-1.579365692,7.70732254,2024-06-05 12:10:00.614521
6.65482625,-2.467019806,-3.692221985,7.793692932,2024-06-05 12:10:00.654826
6.69513025,0.2152523804,-0.1588197327,6.921456757,2024-06-05 12:10:00.695130
6.73543525,-1.275796967,-0.656534729,12.50589386,2024-06-05 12:10:00.735435
6.77573925,0.7132667542,3.81332016,12.00802917,2024-06-05 12:10:00.775739
6.81604325,1.257684631,1.862127686,9.292077026,2024-06-05 12:10:00.816043
6.85634825,2.311493225,1.378483429,9.803862762,2024-06-05 12:10:00.856348
6.89665225,0.7271878052,0.8693920898,10.18976028,2024-06-05 12:10:00.896652
6.93695725,3.14046936,1.823058929,9.021739197,2024-06-05 12:10:00.936957
6.97726125,1.626667328,0.7937992859,8.96171402,2024-06-05 12:10:00.977261
7.01756625,1.528321838,1.272354126,8.333620148,2024-06-05 12:10:01.017566
7.057870167,2.143392792,0.6650669861,9.829758911,2024-06-05 12:10:01.057870
7.098175167,2.653382263,1.30348938,6.773264923,2024-06-05 12:10:01.098175
7.138479167,0.315693512,3.531605988,9.450298004,2024-06-05 12:10:01.138479
7.178783167,1.163380737,1.42518631,8.740324402,2024-06-05 12:10:01.178783
7.219088167,0.6004014587,1.603615265,7.518864441,2024-06-05 12:10:01.219088
7.259392167,-1.248703308,2.734214172,7.677983551,2024-06-05 12:10:01.259392
7.299697167,-0.398770752,1.782792664,10.44512924,2024-06-05 12:10:01.299697
7.340001167,-2.950514374,0.5484594727,9.480984192,2024-06-05 12:10:01.340001
7.380306167,-4.961881714,1.239721985,9.486971741,2024-06-05 12:10:01.380306
7.420610167,-2.992277527,-0.12753479,10.12135254,2024-06-05 12:10:01.420610
7.460915167,-3.441942444,1.252595215,11.04193817,2024-06-05 12:10:01.460915
7.501219167,-6.30563736,0.0122744751,9.629325714,2024-06-05 12:10:01.501219
7.541524167,-4.76459198,1.463806,10.45485901,2024-06-05 12:10:01.541524
7.581828167,-7.475754089,-0.4784051514,7.560627594,2024-06-05 12:10:01.581828
7.622133167,-6.843618622,1.191971283,7.882458344,2024-06-05 12:10:01.622133
7.662437167,-8.189769287,-0.5676196289,6.180796967,2024-06-05 12:10:01.662437
7.702742167,-5.118605804,-0.1276844788,-7.048692169,2024-06-05 12:10:01.702742
7.743046167,-6.250252533,-2.418370972,0.2418969727,2024-06-05 12:10:01.743046
7.783351167,-4.646786957,-3.879781952,-4.337080994,2024-06-05 12:10:01.783351
7.823655167,-8.101752319,-5.937852173,1.176703033,2024-06-05 12:10:01.823655
7.863960167,-7.277865601,-10.59586578,0.09819580078,2024-06-05 12:10:01.863960
