"Time (s)","X (hPa)"
-5.677475000E-1,1.012110367E3
4.407385000E-1,1.012118454E3
1.449234500E0,1.012126541E3
2.457679500E0,1.012130051E3
3.466183500E0,1.012130814E3
3.813960500E0,1.012130661E3
4.889665500E0,1.012130661E3
5.965413500E0,1.012123718E3
7.041074500E0,1.012122192E3
8.116812500E0,1.012121353E3
9.192518500E0,1.012121353E3
1.026826850E1,1.012123566E3
1.134398150E1,1.012130585E3
1.241972250E1,1.012130814E3
1.349547450E1,1.012131271E3
1.457122750E1,1.012134857E3
1.564690950E1,1.012135086E3
1.672259050E1,1.012135925E3
1.779823150E1,1.012138290E3
1.887391750E1,1.012141190E3
1.994960650E1,1.012141190E3
2.102533650E1,1.012143250E3
2.210103950E1,1.012146454E3
2.317679050E1,1.012146454E3
2.425250450E1,1.012146454E3
2.532817450E1,1.012148972E3
2.640386050E1,1.012157440E3
2.747954250E1,1.012159958E3
2.855521550E1,1.012163315E3
2.963082250E1,1.012169647E3
3.070649650E1,1.012169647E3
3.178216850E1,1.012160568E3
3.285782550E1,1.012158508E3
3.393347750E1,1.012156754E3
3.500913150E1,1.012156754E3
3.608474350E1,1.012164307E3
3.716037350E1,1.012172318E3
3.823601350E1,1.012183685E3
3.931159750E1,1.012187042E3
4.038719150E1,1.012187042E3
4.146269350E1,1.012185593E3
4.253821850E1,1.012181854E3
4.361376150E1,1.012174835E3
4.468933050E1,1.012169418E3
4.576488350E1,1.012161636E3
4.684042050E1,1.012156982E3
4.791598750E1,1.012151260E3
4.899155950E1,1.012150726E3
5.006711650E1,1.012147903E3
5.114270950E1,1.012147903E3
5.221829050E1,1.012153244E3
5.329387850E1,1.012158279E3
5.436949350E1,1.012160950E3
5.544508150E1,1.012162933E3
5.652066750E1,1.012163239E3
5.759625550E1,1.012167282E3
5.867186350E1,1.012170639E3
5.974745350E1,1.012177353E3
6.082301250E1,1.012177353E3
6.189856350E1,1.012165756E3
6.297415050E1,1.012164993E3
6.404971950E1,1.012161407E3
6.512532850E1,1.012158051E3
6.620087950E1,1.012161407E3
6.727637950E1,1.012164764E3
6.835192450E1,1.012165833E3
6.942745050E1,1.012164764E3
7.050294850E1,1.012154617E3
7.157845350E1,1.012147522E3
7.265400550E1,1.012136536E3
7.372950550E1,1.012130432E3
7.480497950E1,1.012126846E3
7.588047950E1,1.012126846E3
7.695602150E1,1.012129822E3
7.803155950E1,1.012135696E3
7.910708150E1,1.012142868E3
8.018261350E1,1.012145004E3
8.125810350E1,1.012145004E3
8.233355850E1,1.012143784E3
8.340900650E1,1.012143784E3
8.448453250E1,1.012144928E3
8.556011150E1,1.012148743E3
8.663565750E1,1.012152328E3
