Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.007188250005,-0.723991096,-0.2583918273,0.07643901557,2024-06-05 12:09:54.007188
0.06764316667,0.1025247425,-0.4153423905,-0.102613911,2024-06-05 12:09:54.067643
0.1280981667,0.1404389739,-0.3238469362,0.1343567967,2024-06-05 12:09:54.128098
0.1885531667,-0.3759025633,-0.5645011663,0.01786777377,2024-06-05 12:09:54.188553
0.2490081667,-0.173622489,-0.6177380085,0.1199106574,2024-06-05 12:09:54.249008
0.3094631667,-0.4847166538,-0.7781535387,-0.2994414568,2024-06-05 12:09:54.309463
0.3699181667,0.02025037445,-1.124891043,-0.01722895913,2024-06-05 12:09:54.369918
0.4303731667,-0.340279758,-0.5478533506,-0.3413485885,2024-06-05 12:09:54.430373
0.4908281667,-1.298637033,-1.419071317,0.04227626696,2024-06-05 12:09:54.490828
0.5512831667,-2.539260149,-0.2250132412,1.148987532,2024-06-05 12:09:54.551283
0.6117391667,-1.013290524,-2.996844292,1.954947829,2024-06-05 12:09:54.611739
0.6721941667,-0.1612329632,-0.5217211843,1.255967498,2024-06-05 12:09:54.672194
0.7326491667,0.01373764966,-0.9243993163,1.345931292,2024-06-05 12:09:54.732649
0.7931041667,-2.211053371,2.380630016,0.6161094904,2024-06-05 12:09:54.793104
0.8535591667,-0.7110019326,-0.6993505955,0.5919410586,2024-06-05 12:09:54.853559
0.9140151667,0.6578286886,-3.514276505,2.090913534,2024-06-05 12:09:54.914015
0.9744701667,0.2053428888,-2.987684011,4.352485657,2024-06-05 12:09:54.974470
1.034925167,-0.6394796968,-4.550737858,5.791616917,2024-06-05 12:09:55.034925
1.095381125,-1.12880528,-1.221445322,2.783147335,2024-06-05 12:09:55.095381
1.155836125,-1.72091043,1.502171278,1.427080154,2024-06-05 12:09:55.155836
1.216291125,0.5102370977,-0.3332717121,0.9483756423,2024-06-05 12:09:55.216291
1.276747125,0.5382674932,-3.042112589,-0.4011183083,2024-06-05 12:09:55.276747
1.337202125,1.992412686,-3.567962885,-0.5867925882,2024-06-05 12:09:55.337202
1.397658125,3.457928181,-1.319586992,0.1704675406,2024-06-05 12:09:55.397658
1.458113125,1.126554489,-2.888138771,-0.6178990006,2024-06-05 12:09:55.458113
1.518569125,-0.1018605679,-1.024964094,0.3427239656,2024-06-05 12:09:55.518569
1.579024125,0.4844516516,-0.9432145953,2.36939168,2024-06-05 12:09:55.579024
1.639480125,-3.734342813,3.239365816,5.827014446,2024-06-05 12:09:55.639480
1.699935125,-1.377688885,0.4820511341,2.175817728,2024-06-05 12:09:55.699935
1.760391125,-0.6949052215,-0.4253381193,0.2372327149,2024-06-05 12:09:55.760391
1.820847125,0.5123221278,-2.388142109,-2.049297094,2024-06-05 12:09:55.820847
1.881302125,-0.2880158126,-0.3112933636,-0.005847461056,2024-06-05 12:09:55.881302
1.941758125,-0.03405568376,-3.534739971,1.581620812,2024-06-05 12:09:55.941758
2.002214125,-0.08043217659,-0.2497179955,0.7912449837,2024-06-05 12:09:56.002214
2.062669125,0.01998276263,0.0325422585,-0.01013752539,2024-06-05 12:09:56.062669
2.123125125,-0.4312696457,-0.4148302078,-0.2615172863,2024-06-05 12:09:56.123125
2.183581125,0.2504232824,-1.095539451,1.029884577,2024-06-05 12:09:56.183581
2.244036125,0.2947646081,-1.123168349,1.255341649,2024-06-05 12:09:56.244036
2.304492125,0.276514709,-2.074162722,-1.274722695,2024-06-05 12:09:56.304492
2.364948125,0.3262489736,-0.9119232297,3.887032747,2024-06-05 12:09:56.364948
