"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.188250005E-3,-1.561942159E0,4.920279944E-1,-1.410809176E0
6.764316667E-2,5.623021710E-1,1.609738469E-3,1.574158747E0
1.280981667E-1,-7.516771138E-2,1.656048417E-2,1.726793879E-1
1.885531667E-1,1.351464030E-1,1.717987972E-1,-1.492459111E0
2.490081667E-1,-1.535423282E-1,-3.721606582E-1,-3.381286937E-1
3.094631667E-1,9.897994164E-1,6.705510896E-1,1.018532342E-1
3.699181667E-1,-6.068604393E-1,-3.042206901E-1,1.742938042E-1
4.303731667E-1,9.134362417E-1,7.134655595E-1,4.925869882E-1
4.908281667E-1,-1.794336237E0,8.083132446E-2,-8.309139025E-1
5.512831667E-1,-6.351917341E-1,-1.082181915E0,-3.625723940E-1
6.117391667E-1,-1.750896979E0,-3.125349630E0,-3.419931185E0
6.721941667E-1,3.973913353E0,9.576046470E-1,-4.402645238E0
7.326491667E-1,-4.774472605E0,-2.816132787E0,-6.017098902E0
7.931041667E-1,1.783192467E0,1.152818400E0,1.154884733E0
8.535591667E-1,-1.746330596E0,-1.154243293E0,2.852163037E0
9.140151667E-1,-3.468611594E0,-1.900014573E0,-1.476005630E0
9.744701667E-1,-2.847764177E0,-6.481643813E0,-3.143616332E0
1.034925167E0,2.404934070E0,-7.022390808E0,3.067513651E0
1.095381125E0,1.029113814E1,-1.917003804E0,-2.872649342E-1
1.155836125E0,7.242425042E0,2.189639590E0,1.875674515E0
1.216291125E0,2.900305502E0,5.629944813E-1,1.620680948E0
1.276747125E0,2.094611810E0,-3.414382178E-1,1.877754954E0
1.337202125E0,2.591281325E0,3.399248999E0,4.737133455E-1
1.397658125E0,-2.393130296E0,1.447963846E0,8.600927950E0
1.458113125E0,5.837556052E-1,5.442876012E0,-2.078431103E0
1.518569125E0,-6.047684518E0,-7.774110022E-1,9.053659147E-1
1.579024125E0,2.868485540E0,1.444414294E-1,1.668029362E-1
1.639480125E0,-1.922177421E0,-5.644068763E0,5.939207557E0
1.699935125E0,6.869542837E0,7.717867409E0,-1.594112809E0
1.760391125E0,1.444295011E0,7.258212524E0,-3.212850289E0
1.820847125E0,2.559737935E0,5.159398320E0,3.583576040E0
1.881302125E0,1.922552812E0,-7.594347317E0,-1.803883570E-1
1.941758125E0,-1.655207587E0,3.172485790E0,2.582664868E0
2.002214125E0,-1.487712926E-1,-1.567802238E-1,8.104871663E-1
2.062669125E0,1.491715345E-1,-1.207333088E-2,2.470097780E-1
2.123125125E0,-1.632028055E-1,-6.331482053E-2,3.557562947E-2
2.183581125E0,-8.993707645E-1,5.774176912E0,-4.745705473E-1
2.244036125E0,-1.570470615E0,2.090578401E0,-1.971458778E0
2.304492125E0,-3.560132799E-1,4.852066326E-1,4.938550154E0
2.364948125E0,4.341586273E0,3.260781670E-1,9.785843106E-1
2.425404125E0,-4.019893810E0,-1.672126506E0,-1.376410883E0
2.485860125E0,1.455743274E0,-1.465002925E0,-3.149826075E0
2.546316125E0,6.810056189E-1,-2.509951817E0,-2.505437182E0
2.606772125E0,-3.628580305E-1,1.199757435E0,6.086116804E-1
2.667228125E0,2.552179824E0,-3.075160055E0,-2.135799305E-1
2.727684125E0,1.500208426E-1,-2.651621082E0,8.494191706E-1
2.788139125E0,1.959621236E-2,2.480491206E0,-9.088417920E-1
2.848595125E0,2.823550272E-1,-3.046358424E-1,-4.994270611E-1
2.909051125E0,-1.522018540E-1,7.426022351E-2,-6.085792284E-1
2.969507125E0,3.823617107E-1,-3.009333855E-1,-1.675146885E-1
3.029963125E0,-3.701812296E-1,9.953393608E-1,2.134619629E-1
3.090419375E0,4.345087878E-1,-4.286196184E-1,-3.048469269E-1
3.150875375E0,-6.938081706E-1,3.849011564E-1,-8.554875572E-1
3.211331375E0,2.431224029E-1,-3.357939005E-1,-1.194087975E0
3.271787375E0,1.419459401E0,-5.139486212E-1,-1.671254686E0
3.332243375E0,1.370682074E0,4.286511934E-1,-8.477609003E-1
3.392699375E0,7.068026572E-1,1.650388312E-1,5.201121712E-1
3.453155375E0,2.034904137E-2,-5.275691253E-1,-5.256787205E-1
3.513611375E0,7.812520382E-1,2.063488251E-1,-1.091165212E0
3.574068375E0,9.004992771E-1,-5.807746947E-2,-1.551371197E-1
3.634524375E0,3.596818230E-1,-3.369890714E-1,-7.816955495E-1
3.694980375E0,5.388880192E-1,-5.611812598E-1,-7.286461008E-1
3.755436375E0,-6.296354905E-2,9.486598688E-1,-1.074861494E0
3.815892375E0,-5.053888822E-1,8.352045894E-2,4.979442072E-1
3.876348375E0,-1.640691728E0,-4.265596443E-1,-2.034630780E-1
3.936804375E0,1.477214396E0,8.138154745E-2,-1.068108544E0
3.997261375E0,4.998977619E-1,2.462753677E0,4.138112524E-1
4.057717000E0,1.632103192E0,3.874862105E-1,-5.125461665E-1
4.118173000E0,-3.374986562E-1,-6.484760964E-1,-3.570148494E0
4.178629000E0,7.102086604E-2,-1.045515488E0,7.283897004E-1
4.239085000E0,-3.257575934E-1,8.378405142E-1,2.116285392E0
4.299542000E0,1.196910499E0,1.378615576E-1,4.387867570E-1
4.359998000E0,-7.916559890E-2,-1.040740651E0,-1.919190663E-1
4.420454000E0,-2.361574920E-1,-2.829245460E-1,1.390422859E0
4.480910000E0,2.836260657E-1,3.854133725E-2,3.112092823E-1
4.541367000E0,2.713198695E-1,-9.131643462E-1,6.313124719E-1
4.601823000E0,-1.518463725E0,3.896403247E-1,3.323817870E0
4.662279000E0,-6.529239272E-1,6.785740542E-1,-1.403035010E-1
4.722736000E0,-7.136589561E-1,-3.278557205E-1,-5.882518217E-2
4.783192000E0,-1.705673736E-1,-9.545521080E-2,1.596431668E0
4.843648000E0,-1.884407039E-1,-4.324846280E-1,3.647586679E-1
4.904105000E0,-1.563161011E-1,5.203776348E-1,2.414101920E-1
4.964561000E0,4.372724743E-1,-1.570796013E-2,5.272282326E-1
5.025018000E0,-2.416870576E0,1.846310967E-1,6.028157741E-2
5.085473500E0,5.666432901E-1,9.655858040E-2,8.587709150E-1
5.145929500E0,-9.912210207E-1,-1.194521838E-1,2.761885536E-1
5.206386500E0,-1.690481208E-1,2.781011778E-1,-2.752983150E-1
5.266842500E0,1.614975966E0,2.221222740E0,-2.544050440E-1
5.327299500E0,-6.037555678E-1,-4.864140826E-1,3.645016828E-1
5.387755500E0,2.767501786E-1,-3.804409003E-1,-6.034934664E-1
