"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.348991394E-1,5.235824129E1,4.918317123E0,1.259587166E0,0.000000000E0,4.670580017E-1,4.904962924E0,3.125040119E0
1.134930134E0,5.235827011E1,4.918319255E0,1.024309814E0,4.800551433E-2,4.670594229E-1,4.899458013E0,3.133663705E0
2.134957790E0,5.235826966E1,4.918318650E0,1.017338092E0,7.447556112E-2,4.670590352E-1,4.892011027E0,3.145276641E0
3.134985447E0,5.235826580E1,4.918318987E0,7.020790260E-1,4.786057509E-2,4.670592426E-1,4.946400800E0,3.059028630E0
4.135011315E0,5.235826625E1,4.918320971E0,8.595439009E-1,7.777301945E-2,4.670605110E-1,5.126054207E0,2.747381535E0
5.135034919E0,5.235826487E1,4.918320562E0,9.870005334E-1,5.922827108E-2,4.670602471E-1,5.485682751E0,1.931792376E0
6.135058165E0,5.235826296E1,4.918319056E0,9.565402009E-1,3.552531971E-2,4.670592810E-1,6.093869961E0,1.261371350E0
7.135080218E0,5.235825422E1,4.918316325E0,1.362714860E0,1.303730787E-1,4.670575187E-1,6.546537698E0,1.203406633E0
8.135100961E0,5.235825596E1,4.918311426E0,1.409876348E0,7.471203773E-2,4.670543927E-1,5.324954059E0,2.338675117E0
9.135120988E0,5.235824724E1,4.918313774E0,9.628566271E-1,5.983899377E-2,4.670558747E-1,5.202248548E0,2.600220582E0
1.013513899E1,5.235825694E1,4.918303952E0,1.272370813E0,6.392036940E-1,3.404730526E2,5.165762950E0,2.671971215E0
1.113515878E1,5.235825666E1,4.918304190E0,1.226122835E0,1.553882631E-1,3.371355834E2,5.164888560E0,2.673661009E0
1.213517523E1,5.235826234E1,4.918305642E0,1.040425523E0,2.828884760E-1,3.371355839E2,5.237162269E0,2.529163577E0
1.313519144E1,5.235826127E1,4.918313450E0,2.988869008E-1,4.202327222E-1,3.371355893E2,5.360403893E0,2.256237385E0
1.413520753E1,5.235826273E1,4.918332767E0,1.326355217E0,5.503234171E-1,3.436616303E2,5.821000918E0,1.557856867E0
1.513522243E1,5.235827690E1,4.918369100E0,1.150639369E0,1.251431229E0,4.697695119E1,6.814022241E0,1.159085146E0
1.613523650E1,5.235828806E1,4.918401965E0,1.208078559E0,1.882375176E0,5.484514129E1,7.236085240E0,1.137578030E0
1.713524997E1,5.235829287E1,4.918445105E0,-5.643641390E-1,2.176833139E0,6.362423650E1,7.495434852E0,1.135855312E0
1.813526320E1,5.235829787E1,4.918514033E0,-1.374652824E0,2.935135101E0,7.240900348E1,7.838779178E0,1.258320376E0
1.913527560E1,5.235831907E1,4.918560902E0,-2.206303691E0,3.219615621E0,6.856436777E1,8.080304527E0,1.205954734E0
2.013528872E1,5.235834181E1,4.918627466E0,-1.776010478E0,3.900904442E0,6.473576599E1,7.814795813E0,1.183313585E0
2.113530016E1,5.235833365E1,4.918692361E0,-1.199880783E0,4.045108182E0,6.840126421E1,7.661558351E0,1.163586377E0
2.213531137E1,5.235834306E1,4.918764188E0,-3.441385515E-1,4.437544012E0,6.857272579E1,7.820866310E0,1.148899711E0
2.313532138E1,5.235835436E1,4.918863060E0,2.426950177E-1,5.033197158E0,7.000888052E1,8.343588676E0,1.230684054E0
2.413533211E1,5.235834715E1,4.918941209E0,9.730299190E-2,4.975426212E0,7.436187045E1,8.481427207E0,1.257965737E0
2.513534176E1,5.235835179E1,4.919018189E0,-7.543996722E-1,5.031240678E0,7.470546907E1,8.810974216E0,1.269519152E0
2.613535178E1,5.235839272E1,4.919088277E0,1.785789866E0,5.215456275E0,6.864339470E1,8.664008145E0,1.232161826E0
2.713536203E1,5.235842382E1,4.919153087E0,1.148620655E0,5.257678164E0,6.653913217E1,9.241622829E0,1.213593988E0
2.813537061E1,5.235844605E1,4.919239623E0,1.057755612E-1,5.621636552E0,6.760774889E1,9.409108059E0,1.203368315E0
2.913538003E1,5.235845126E1,4.919324810E0,2.761680186E-1,5.652139526E0,6.935162882E1,9.545316639E0,1.194384427E0
3.013538778E1,5.235846935E1,4.919403003E0,9.130813070E-1,5.689231844E0,6.772546975E1,9.524439434E0,1.184598038E0
3.113539636E1,5.235848037E1,4.919488937E0,1.099308520E0,5.700954941E0,6.893820020E1,9.298017440E0,1.185165003E0
3.213540483E1,5.235849616E1,4.919577205E0,4.982742332E-1,5.667401576E0,7.008659868E1,9.671329308E0,1.181522994E0
3.313541245E1,5.235849809E1,4.919647439E0,-8.593903044E-1,5.449186323E0,7.275314947E1,9.171965223E0,1.177499696E0
3.413542056E1,5.235854148E1,4.919712550E0,1.010147607E0,5.349199858E0,6.894344825E1,8.875020391E0,1.171723630E0
3.513542807E1,5.235855692E1,4.919783435E0,3.493660055E-1,5.248715852E0,6.847271115E1,8.956021636E0,1.165329113E0
3.613543463E1,5.235856037E1,4.919766584E0,2.565542208E-1,1.679295967E0,7.341902798E1,8.278686127E0,1.150972078E0
3.713544250E1,5.235854559E1,4.919834165E0,-1.443192683E0,2.475000184E0,8.700321014E1,8.133888205E0,1.148646602E0
3.813544917E1,5.235856878E1,4.919864342E0,3.334176736E-1,1.737722395E0,7.786101664E1,7.998999126E0,1.134996939E0
3.913545573E1,5.235855917E1,4.919931470E0,4.999764403E-1,3.075541129E0,8.928895499E1,7.693810950E0,1.141351793E0
4.013546288E1,5.235860629E1,4.919950806E0,-6.720872894E-1,1.909433628E0,6.804411466E1,6.987468873E0,1.139645154E0
4.113546932E1,5.235861394E1,4.920005203E0,1.034675010E0,1.882181637E0,7.396578453E1,6.675667096E0,1.134798098E0
4.213547528E1,5.235861628E1,4.920056927E0,-3.525011363E-1,1.623491217E0,7.874913776E1,6.404304657E0,1.118473693E0
4.313548195E1,5.235862057E1,4.920125893E0,-5.382846724E-1,2.329504887E0,8.143627415E1,6.252016437E0,1.129819709E0
4.413548827E1,5.235866088E1,4.920168939E0,1.094106302E0,1.969343328E0,6.461862762E1,6.104603026E0,1.151733562E0
4.513549411E1,5.235868155E1,4.920235818E0,-4.369961647E-1,1.781847736E0,7.347540698E1,6.037827100E0,1.239131188E0
4.613550031E1,5.235869238E1,4.920290999E0,-2.851989651E-1,2.162267525E0,7.344899978E1,6.193922598E0,1.135474975E0
4.713550639E1,5.235872334E1,4.920344383E0,-6.990934145E-1,1.784139328E0,6.125097039E1,6.007255975E0,1.298569062E0
4.813551283E1,5.235873639E1,4.920449043E0,-6.668048603E-1,3.552034894E0,8.138674881E1,5.755631839E0,1.561475585E0
4.913551760E1,5.235871741E1,4.920510037E0,-5.540779252E-1,1.722389543E0,8.058538957E1,5.610654400E0,1.721389804E0
5.013552356E1,5.235872855E1,4.920624662E0,-7.275841078E-1,3.500122415E0,8.019509699E1,5.402227690E0,2.154175717E0
5.113552964E1,5.235878649E1,4.920638953E0,-3.714775387E-1,1.845879737E0,5.303710428E1,5.240089137E0,2.523093909E0
5.213553596E1,5.235882078E1,4.920670905E0,-1.050927010E0,1.650847513E0,6.098646722E1,5.137910803E0,2.725143962E0
5.313554144E1,5.235883346E1,4.920733877E0,-1.127041868E0,2.462434781E0,7.024103286E1,5.177684187E0,2.648796612E0
5.413554645E1,5.235884608E1,4.920773894E0,-2.203376163E-1,1.741326604E0,7.385266017E1,5.260035113E0,2.481243165E0
5.513555205E1,5.235885325E1,4.920859507E0,-8.426749855E-1,2.743503826E0,8.096683906E1,5.382094439E0,2.203995573E0
5.613554311E1,5.235885654E1,4.920897037E0,-1.087114856E0,1.786521242E0,8.714988676E1,5.554131319E0,1.801519032E0
5.713547230E1,5.235885437E1,4.920979561E0,-2.638939330E-1,3.024241722E0,8.700979432E1,5.916981431E0,1.443994181E0
5.813539493E1,5.235886293E1,4.921007717E0,-6.554536279E-1,1.410609564E0,8.235861411E1,5.863381142E0,1.462405779E0
5.913531852E1,5.235887947E1,4.921083605E0,4.349752981E-2,2.812495709E0,7.994504430E1,6.147683869E0,1.175198066E0
6.013524711E1,5.235889435E1,4.921106486E0,-6.927365242E-1,1.374710759E0,7.454098682E1,6.331883703E0,1.159185652E0
