"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.188250005E-3,-5.139404297E0,-3.439028168E1,-3.434252167E1
6.764316667E-2,-6.058197021E0,-3.349003601E1,-3.480331039E1
1.280981667E-1,-6.948364258E0,-3.386612701E1,-3.437221146E1
1.885531667E-1,-8.168640137E0,-3.384620667E1,-3.451696777E1
2.490081667E-1,-9.156250000E0,-3.303074646E1,-3.492675781E1
3.094631667E-1,-1.051324463E1,-3.263623810E1,-3.541644669E1
3.699181667E-1,-1.145605469E1,-3.197842407E1,-3.577894592E1
4.303731667E-1,-1.354187012E1,-3.222930908E1,-3.494670868E1
4.908281667E-1,-1.437274170E1,-3.069683075E1,-3.583922958E1
5.512831667E-1,-1.765283203E1,-2.649348450E1,-3.780986404E1
6.117391667E-1,-2.302575684E1,-2.148716736E1,-3.789701843E1
6.721941667E-1,-2.859268188E1,-1.497181702E1,-3.752759552E1
7.326491667E-1,-3.172091675E1,-1.461151123E1,-3.535948944E1
7.931041667E-1,-3.107794189E1,-1.046180725E1,-3.710506821E1
8.535591667E-1,-2.823785400E1,-6.371170044E0,-3.993555832E1
9.140151667E-1,-3.056704712E1,-4.219856262E0,-3.864398956E1
9.744701667E-1,-3.997000122E1,-1.655769348E0,-3.043197250E1
1.034925167E0,-4.487203979E1,1.022566223E1,-2.377624893E1
1.095381125E0,-4.661727905E1,2.474806213E1,-1.494209671E1
1.155836125E0,-4.359979248E1,3.507326889E1,-1.025519180E1
1.216291125E0,-3.852731323E1,4.025084686E1,-1.114558029E1
1.276747125E0,-3.745132446E1,4.021403885E1,-8.795753479E0
1.337202125E0,-3.806134033E1,3.854854584E1,-6.570722580E0
1.397658125E0,-3.911656189E1,3.651980972E1,-2.512822151E0
1.458113125E0,-3.922254944E1,3.643199539E1,1.335720062E0
1.518569125E0,-4.066883850E1,3.601177216E1,2.670809746E0
1.579024125E0,-3.886817932E1,3.821949387E1,6.958565235E0
1.639480125E0,-2.979995728E1,4.520035553E1,8.925529480E0
1.699935125E0,-1.754464722E1,4.898936462E1,1.422278881E1
1.760391125E0,-1.247875977E1,4.955410767E1,1.806058884E1
1.820847125E0,-1.460214233E1,4.958827591E1,2.068913269E1
1.881302125E0,-1.609661865E1,4.930088043E1,2.345923615E1
1.941758125E0,-1.245578003E1,4.823919296E1,2.650926971E1
2.002214125E0,-6.293487549E0,4.974388123E1,2.544247437E1
2.062669125E0,-5.372009277E0,4.983121109E1,2.525363922E1
2.123125125E0,-5.333923340E0,4.980338287E1,2.506643295E1
2.183581125E0,-3.427032471E0,4.901808167E1,2.696227455E1
2.244036125E0,2.263214111E0,4.954283142E1,2.726774025E1
2.304492125E0,5.808319092E0,4.828450012E1,3.024982071E1
2.364948125E0,1.362234497E1,4.652005005E1,3.019729805E1
2.425404125E0,2.279858398E1,4.237808990E1,2.939174461E1
2.485860125E0,3.060324097E1,3.865201569E1,2.632317162E1
2.546316125E0,3.297482300E1,3.718819046E1,2.493530464E1
2.606772125E0,3.042819214E1,3.786141205E1,2.682647133E1
2.667228125E0,3.348571777E1,3.572954559E1,2.519947815E1
2.727684125E0,3.381256104E1,3.552266693E1,2.462198448E1
2.788139125E0,3.230496216E1,3.637530136E1,2.557158661E1
2.848595125E0,3.147720337E1,3.732378387E1,2.563431168E1
2.909051125E0,3.096890259E1,3.808171463E1,2.482298660E1
2.969507125E0,3.082308960E1,3.870061493E1,2.447439194E1
3.029963125E0,3.071255493E1,3.883849716E1,2.444770813E1
3.090419375E0,3.104275513E1,3.922471619E1,2.391944313E1
3.150875375E0,3.097576904E1,3.960035706E1,2.369797325E1
3.211331375E0,3.126416016E1,3.976802826E1,2.268840027E1
3.271787375E0,3.221505737E1,3.911413574E1,2.113726044E1
3.332243375E0,3.304431152E1,3.884753418E1,2.010226822E1
3.392699375E0,3.443740845E1,3.912315369E1,1.850302887E1
3.453155375E0,3.603311157E1,3.868507385E1,1.634751701E1
3.513611375E0,3.744979858E1,3.815103149E1,1.387160110E1
3.574068375E0,3.768945312E1,3.856065369E1,1.278022957E1
3.634524375E0,3.878384399E1,3.886630249E1,1.129554558E1
3.694980375E0,3.939477539E1,3.875811005E1,1.037223911E1
3.755436375E0,3.990270996E1,3.867058945E1,9.948187828E0
3.815892375E0,3.981460571E1,3.863365555E1,1.350150681E1
3.876348375E0,3.973309326E1,3.616145325E1,1.936631584E1
3.936804375E0,3.887573242E1,3.344001770E1,2.363978958E1
3.997261375E0,3.852050781E1,3.256414413E1,2.442383957E1
4.057717000E0,3.817306519E1,3.301179886E1,2.320426178E1
4.118173000E0,3.865798950E1,3.165390015E1,2.284663391E1
4.178629000E0,3.620968628E1,3.103018188E1,2.607040215E1
4.239085000E0,3.510879517E1,3.192340088E1,2.722022057E1
4.299542000E0,3.435293579E1,3.345849228E1,2.685902596E1
4.359998000E0,3.502847290E1,3.400714874E1,2.622435379E1
4.420454000E0,3.569763184E1,3.445243454E1,2.460839081E1
4.480910000E0,3.694445801E1,3.445866776E1,2.323887825E1
4.541367000E0,3.757379150E1,3.470622253E1,2.268687439E1
4.601823000E0,3.774343872E1,3.496949005E1,2.219296265E1
4.662279000E0,3.894277954E1,3.548010254E1,1.903679848E1
4.722736000E0,3.827264404E1,3.620989227E1,1.956155396E1
4.783192000E0,3.732144165E1,3.634513855E1,2.118844986E1
4.843648000E0,3.748281860E1,3.619208908E1,2.178904533E1
4.904105000E0,3.745001221E1,3.588021469E1,2.214067841E1
4.964561000E0,3.748773193E1,3.567741013E1,2.252958679E1
5.025018000E0,3.781216431E1,3.462188721E1,2.373497581E1
5.085473500E0,3.778692627E1,3.433348465E1,2.406015778E1
5.145929500E0,3.794940186E1,3.425295639E1,2.376043510E1
5.206386500E0,3.752325439E1,3.416879654E1,2.430262756E1
5.266842500E0,3.792086792E1,3.426240540E1,2.411338425E1
5.327299500E0,3.795767212E1,3.400133514E1,2.431011200E1
5.387755500E0,3.856500244E1,3.358048248E1,2.418983841E1
5.448212500E0,3.883078003E1,3.308385468E1,2.399876022E1
5.508668500E0,3.929333496E1,3.283612442E1,2.377123260E1
5.569125500E0,3.998599243E1,3.277814102E1,2.288073540E1
5.629581500E0,4.078768921E1,3.035765457E1,2.464641190E1
5.690038500E0,4.056054688E1,2.798713303E1,2.746778488E1
5.750494500E0,4.222650146E1,2.665391541E1,2.650898361E1
5.810951500E0,4.596951294E1,2.455899811E1,2.100392914E1
5.871407500E0,4.617330933E1,2.593771362E1,1.800366783E1
5.931864500E0,4.280883789E1,2.966017914E1,2.059378052E1
5.992320500E0,3.251773071E1,3.616177368E1,2.782326508E1
6.052778250E0,2.822399902E1,3.848460007E1,2.598091888E1
6.113234250E0,2.625296021E1,3.987107849E1,2.242124176E1
6.173691250E0,2.161026001E1,4.294221497E1,1.995566368E1
6.234147250E0,1.989852905E1,4.341507339E1,1.315289688E1
6.294604250E0,1.730154419E1,4.392126465E1,7.130053520E0
6.355061250E0,7.541717529E0,4.514382553E1,-1.126789284E1
6.415517250E0,-3.432159424E0,3.746667480E1,-2.807625580E1
6.475974250E0,-1.398190308E1,2.841215515E1,-3.450959396E1
6.536430250E0,-1.842855835E1,2.150204468E1,-3.725062180E1
6.596887250E0,-2.779345703E1,1.397106171E1,-3.524600983E1
6.657344250E0,-3.015936279E1,7.729118347E0,-3.540719986E1
6.717800250E0,-2.900357056E1,7.085983276E0,-3.648411560E1
6.778257250E0,-3.106564331E1,-1.994430542E0,-3.570743561E1
6.838714250E0,-3.161380005E1,-5.020378113E0,-3.505772781E1
6.899170250E0,-3.115142822E1,-6.347068787E0,-3.483570099E1
6.959627250E0,-3.116064453E1,-7.940505981E0,-3.428321457E1
7.020084250E0,-3.032873535E1,-9.050323486E0,-3.483835983E1
