Time (s),X (hPa),Datetime
-0.5294515417,999.9810791,2024-06-15 02:32:13.470548
0.4786674583,999.9861908,2024-06-15 02:32:14.478667
1.486768458,999.9913025,2024-06-15 02:32:15.486768
2.494811458,999.9989319,2024-06-15 02:32:16.494811
3.502880458,1000.007019,2024-06-15 02:32:17.502880
3.851170458,1000.009155,2024-06-15 02:32:17.851170
4.926516458,1000.012817,2024-06-15 02:32:18.926516
6.001913458,1000.014725,2024-06-15 02:32:20.001913
7.077278458,1000.019989,2024-06-15 02:32:21.077278
8.152623458,1000.02243,2024-06-15 02:32:22.152623
9.227962458,1000.024796,2024-06-15 02:32:23.227962
10.30329546,1000.03006,2024-06-15 02:32:24.303295
11.37860046,1000.034637,2024-06-15 02:32:25.378600
12.45391746,1000.035324,2024-06-15 02:32:26.453917
13.52923646,1000.035248,2024-06-15 02:32:27.529236
14.60451246,1000.035858,2024-06-15 02:32:28.604512
15.67980546,1000.035248,2024-06-15 02:32:29.679805
16.75508546,1000.037384,2024-06-15 02:32:30.755085
17.83035246,1000.040131,2024-06-15 02:32:31.830352
18.90560846,1000.045395,2024-06-15 02:32:32.905608
19.98083946,1000.052414,2024-06-15 02:32:33.980839
21.05611846,1000.058594,2024-06-15 02:32:35.056118
22.13137546,1000.061569,2024-06-15 02:32:36.131375
23.20671846,1000.06485,2024-06-15 02:32:37.206718
24.28206746,1000.065613,2024-06-15 02:32:38.282067
25.35741846,1000.065613,2024-06-15 02:32:39.357418
26.43277346,1000.062408,2024-06-15 02:32:40.432773
27.50814246,1000.061035,2024-06-15 02:32:41.508142
28.58349846,1000.059662,2024-06-15 02:32:42.583498
29.65885446,1000.059662,2024-06-15 02:32:43.658854
30.73420446,1000.059891,2024-06-15 02:32:44.734204
31.80957046,1000.062408,2024-06-15 02:32:45.809570
32.88487946,1000.062408,2024-06-15 02:32:46.884879
33.96021246,1000.062103,2024-06-15 02:32:47.960212
35.03550246,1000.060272,2024-06-15 02:32:49.035502
36.11078446,1000.058517,2024-06-15 02:32:50.110784
37.18608246,1000.054092,2024-06-15 02:32:51.186082
38.26139446,1000.052185,2024-06-15 02:32:52.261394
39.33667546,1000.05188,2024-06-15 02:32:53.336675
40.41195946,1000.050735,2024-06-15 02:32:54.411959
41.48721946,1000.050735,2024-06-15 02:32:55.487219
42.56249346,1000.049133,2024-06-15 02:32:56.562493
43.63774746,1000.04776,2024-06-15 02:32:57.637747
44.71303246,1000.04776,2024-06-15 02:32:58.713032
45.78826046,1000.048218,2024-06-15 02:32:59.788260
46.86349846,1000.049362,2024-06-15 02:33:00.863498
47.93874746,1000.049362,2024-06-15 02:33:01.938747
49.01399146,1000.048523,2024-06-15 02:33:03.013991
50.08924146,1000.047836,2024-06-15 02:33:04.089241
