Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.05279795837,-0.1105202696,-0.108571685,0.03457107782,2024-06-15 02:32:14.052798
0.09309395833,0.219128792,-0.1497980636,-0.03616327465,2024-06-15 02:32:14.093094
0.1333909583,-0.02629200518,-0.1075542694,0.1990327889,2024-06-15 02:32:14.133391
0.1736879584,-0.3476380205,-0.1029791155,-0.2268374687,2024-06-15 02:32:14.173688
0.2139849584,1.405469791,1.936730848,-2.184854813,2024-06-15 02:32:14.213985
0.2542819583,1.90937465,1.299662085,0.5509585726,2024-06-15 02:32:14.254282
0.2945789583,0.4203320673,-0.7471811897,0.1675765228,2024-06-15 02:32:14.294579
0.3348759584,-0.7822758856,-0.4364195117,-0.8523573965,2024-06-15 02:32:14.334876
0.3751729584,0.2169898805,-1.10921447,-0.5559450781,2024-06-15 02:32:14.375173
0.4154699583,-0.06277863085,-0.6150124812,1.390039866,2024-06-15 02:32:14.415470
0.4557669583,1.948616776,-0.2708380589,-0.6450274086,2024-06-15 02:32:14.455767
0.4960639584,1.823861167,-0.5333479285,-2.308930975,2024-06-15 02:32:14.496064
0.5363609584,0.4208697188,-1.280569464,-2.99021229,2024-06-15 02:32:14.536361
0.5766579583,3.116127986,0.130378291,-3.28270522,2024-06-15 02:32:14.576658
0.6169549583,4.235269275,-0.6361010492,-3.507210819,2024-06-15 02:32:14.616955
0.6572519584,1.713686761,-2.34840582,-4.223792945,2024-06-15 02:32:14.657252
0.6975489584,0.9469700235,-3.08750645,-2.969727155,2024-06-15 02:32:14.697549
0.7378469583,-4.222328802,-5.057742721,1.304310329,2024-06-15 02:32:14.737847
0.7781439583,-5.162839406,-3.959362265,0.5058531511,2024-06-15 02:32:14.778144
0.8184409584,0.2511063373,-4.433746578,-2.588942438,2024-06-15 02:32:14.818441
0.8587379584,4.892815572,-4.580790018,7.469854833,2024-06-15 02:32:14.858738
0.8990352084,-3.392670296,-2.282423792,15.74778902,2024-06-15 02:32:14.899035
0.9393332084,0.4690876132,0.781001485,5.868216512,2024-06-15 02:32:14.939333
0.9796302083,0.3153912109,-0.9893401176,0.6457214731,2024-06-15 02:32:14.979630
1.019927208,-0.02366719007,-0.6029754031,-0.530001567,2024-06-15 02:32:15.019927
1.060224208,-0.8760374504,0.3207864368,1.968570692,2024-06-15 02:32:15.060224
1.100522208,-1.627518682,0.9216012937,3.876493478,2024-06-15 02:32:15.100522
1.140819208,-1.032607175,1.26287462,3.941468323,2024-06-15 02:32:15.140819
1.181116208,-0.4964788949,1.217606938,2.466685345,2024-06-15 02:32:15.181116
1.221414208,-0.6269963497,0.1102223539,0.2746799719,2024-06-15 02:32:15.221414
1.261711208,-2.589173111,-0.3342759633,2.909044166,2024-06-15 02:32:15.261711
1.302008208,0.551719003,-1.091124939,-1.628165969,2024-06-15 02:32:15.302008
1.342306208,-0.4984649017,-2.282985271,-3.135646577,2024-06-15 02:32:15.342306
1.382603208,0.5420129174,-2.554292131,-5.722131431,2024-06-15 02:32:15.382603
1.422901208,1.456213975,-2.407350286,-5.395493685,2024-06-15 02:32:15.422901
1.463198208,2.527668881,-2.267732078,-4.124917697,2024-06-15 02:32:15.463198
1.503496208,5.50066229,-1.642567077,-4.505383156,2024-06-15 02:32:15.503496
1.543793208,8.415919123,-0.372637791,0.2365724981,2024-06-15 02:32:15.543793
1.584090208,-1.065273814,-2.061132993,7.472802415,2024-06-15 02:32:15.584090
1.624388208,-3.712911188,-4.166872639,0.1479275393,2024-06-15 02:32:15.624388
1.664686208,-5.196184323,-2.523056012,2.552673329,2024-06-15 02:32:15.664686
1.704983208,-6.108756931,-2.692037621,2.587190613,2024-06-15 02:32:15.704983
1.745281208,-0.5785539222,-1.871587311,0.1916553569,2024-06-15 02:32:15.745281
1.785578208,-0.4235114908,-0.5182176733,-2.317535445,2024-06-15 02:32:15.785578
1.825876208,-2.349201919,-2.099424654,-2.041164751,2024-06-15 02:32:15.825876
1.866173208,2.49423801,0.3518421686,2.111130195,2024-06-15 02:32:15.866173
1.906471083,3.284105043,3.409062966,3.577731748,2024-06-15 02:32:15.906471
1.946768083,2.511760361,4.570412965,8.132441431,2024-06-15 02:32:15.946768
1.987066083,1.731749395,2.477462933,1.388016145,2024-06-15 02:32:15.987066
2.027364083,0.6268817443,1.6778521,1.328233042,2024-06-15 02:32:16.027364
2.067661083,-0.1532870972,1.826944404,0.51079054,2024-06-15 02:32:16.067661
2.107959083,0.4854697573,1.499958749,0.5859927499,2024-06-15 02:32:16.107959
2.148257083,5.088699635,5.751923579,4.636451418,2024-06-15 02:32:16.148257
2.188554083,-8.499537815,-9.166665945,-7.664395207,2024-06-15 02:32:16.188554
2.228852083,-3.481100662,0.4146921355,-0.2253236246,2024-06-15 02:32:16.228852
2.269150083,-0.211374507,1.852779157,14.47567346,2024-06-15 02:32:16.269150
2.309448083,-1.759824216,0.1499202704,2.062811728,2024-06-15 02:32:16.309448
2.349745083,-0.8279373774,-2.425925574,0.09509736121,2024-06-15 02:32:16.349745
2.390043083,-1.223736282,-3.929110817,0.3863670534,2024-06-15 02:32:16.390043
2.430341083,3.187172241,1.983179083,-0.9310807997,2024-06-15 02:32:16.430341
2.470639083,0.6542747802,1.435018988,-0.121495201,2024-06-15 02:32:16.470639
2.510937083,-1.199371227,-2.418734084,1.524095471,2024-06-15 02:32:16.510937
2.551235083,-0.4169237253,0.2874853742,-0.03189999662,2024-06-15 02:32:16.551235
2.591533083,0.6577269763,-0.1417598963,0.2461771711,2024-06-15 02:32:16.591533
2.631831083,0.04171023577,0.1916360611,0.3869173129,2024-06-15 02:32:16.631831
2.672129083,1.015816895,13.82067538,0.6997585166,2024-06-15 02:32:16.672129
2.712426083,0.4720758328,-4.130638028,2.315651765,2024-06-15 02:32:16.712426
2.752724083,-1.6709518,-4.051876618,-0.5069821753,2024-06-15 02:32:16.752724
2.793022083,-0.8446101281,-0.05523104489,0.2579593106,2024-06-15 02:32:16.793022
2.833320083,1.759250312,5.618823994,0.5776522815,2024-06-15 02:32:16.833320
2.873618083,1.420339114,-1.112709936,0.6188032311,2024-06-15 02:32:16.873618
2.913916083,-1.740099803,-4.457562287,-0.3086803615,2024-06-15 02:32:16.913916
2.954214083,1.355410608,-1.026456488,0.1959255785,2024-06-15 02:32:16.954214
2.994512083,0.8046552265,-6.282523901,-0.04218481041,2024-06-15 02:32:16.994512
3.034810083,0.2022043186,-2.209727699,-0.08749013364,2024-06-15 02:32:17.034810
3.075108083,0.5415540572,3.872912058,-0.450651927,2024-06-15 02:32:17.075108
3.115406083,-0.08334942788,0.1382889891,0.257426008,2024-06-15 02:32:17.115406
3.155704083,0.6498174477,0.1920775259,0.08337303601,2024-06-15 02:32:17.155704
3.196002083,-0.6707009245,0.2792437238,0.2055560157,2024-06-15 02:32:17.196002
3.236300083,-0.3556216626,-0.06803878605,0.2143028656,2024-06-15 02:32:17.236300
3.276598083,-0.4815369201,0.1989719778,0.3151871431,2024-06-15 02:32:17.276598
3.316896083,0.1160369714,-0.001059515476,0.204977653,2024-06-15 02:32:17.316896
3.357194083,0.1905588578,-0.1903233612,0.270377079,2024-06-15 02:32:17.357194
3.397492083,0.04415904969,-0.0753255862,0.2628895732,2024-06-15 02:32:17.397492
3.437790083,-0.2052695753,-0.04339277208,0.4064335281,2024-06-15 02:32:17.437790
3.478088083,-0.6293021992,-0.01991854012,0.4528329384,2024-06-15 02:32:17.478088
3.518387083,-0.5036480199,-0.2523868775,0.7703507817,2024-06-15 02:32:17.518387
3.558685083,-0.6432916626,0.310346818,0.1443267509,2024-06-15 02:32:17.558685
3.598983083,0.249213886,0.2180140203,-0.2606561561,2024-06-15 02:32:17.598983
3.639281083,0.2895371622,-0.009993476272,0.1557364959,2024-06-15 02:32:17.639281
3.679579083,0.6433521813,-0.3029787415,0.2512700593,2024-06-15 02:32:17.679579
3.719877083,0.1262662366,-0.01527994394,0.145513224,2024-06-15 02:32:17.719877
3.760176083,0.2045920292,0.3123863268,-0.1661481211,2024-06-15 02:32:17.760176
3.800474083,-0.3581252941,-0.2115481693,0.05974385284,2024-06-15 02:32:17.800474
3.840772083,-0.7413195021,-0.0146794349,0.1951128155,2024-06-15 02:32:17.840772
3.881070083,-0.2936085784,0.02125053585,0.3941964021,2024-06-15 02:32:17.881070
3.921368458,-0.6008489169,-0.254546839,0.4022193667,2024-06-15 02:32:17.921368
3.961667458,-0.2773097572,0.1771998703,0.2955299004,2024-06-15 02:32:17.961667
4.001965458,0.1779423206,-0.1490262312,0.3919721212,2024-06-15 02:32:18.001965
4.042263458,-0.2465938948,-0.298979246,0.5782708438,2024-06-15 02:32:18.042263
4.082561458,-0.7599117476,-0.1855374151,-0.01841105483,2024-06-15 02:32:18.082561
4.122859458,-0.9342311333,0.03202052236,-0.2889980489,2024-06-15 02:32:18.122859
4.163158458,-0.4058365273,0.3794170529,-0.0411807704,2024-06-15 02:32:18.163158
4.203456458,-0.07306622207,-0.3964324504,0.2298954894,2024-06-15 02:32:18.203456
4.243754458,0.1004865937,-0.1647511482,0.3945842186,2024-06-15 02:32:18.243754
4.284053458,0.4610156782,-0.4316905761,0.7630405927,2024-06-15 02:32:18.284053
4.324351458,-0.0480347304,-0.1474860746,0.7518670752,2024-06-15 02:32:18.324351
4.364649458,-0.5799946761,0.111305843,0.7758734038,2024-06-15 02:32:18.364649
4.404947458,-1.300867196,0.4072620785,0.5005362413,2024-06-15 02:32:18.404947
4.445246458,-1.05428865,-0.2033217216,0.5728031856,2024-06-15 02:32:18.445246
4.485544458,-1.945480622,0.2393774074,0.09510612289,2024-06-15 02:32:18.485544
4.525842458,-1.079146333,-0.6624070877,0.4567505729,2024-06-15 02:32:18.525842
4.566141458,0.6238952789,-0.7770189464,0.5312955558,2024-06-15 02:32:18.566141
4.606439458,1.409906366,-0.2186297321,1.0828178,2024-06-15 02:32:18.606439
4.646737458,0.6138392374,0.5668945742,0.5575226204,2024-06-15 02:32:18.646737
4.687036458,-0.3651726508,0.6468254274,0.1027133596,2024-06-15 02:32:18.687036
4.727334458,-1.288514076,-0.1208753961,0.3066806138,2024-06-15 02:32:18.727334
4.767633458,-1.171824409,-0.9658267093,1.353030499,2024-06-15 02:32:18.767633
4.807931458,-0.4854191789,-0.9982033271,1.256644996,2024-06-15 02:32:18.807931
4.848229458,-0.5655617014,-0.6224337673,1.483999944,2024-06-15 02:32:18.848229
4.888528458,-1.116182597,-0.2168182647,1.400306992,2024-06-15 02:32:18.888528
4.928825958,-0.4366376129,-0.1821700037,1.14256041,2024-06-15 02:32:18.928826
4.969123958,1.879678542,-0.2907837886,-0.3170080391,2024-06-15 02:32:18.969124
5.009422958,-0.3696681364,0.3035383201,0.3159933279,2024-06-15 02:32:19.009423
5.049720958,0.1406746531,-0.09934419394,1.439341396,2024-06-15 02:32:19.049721
5.090019958,1.47929542,-0.2100091821,1.333973839,2024-06-15 02:32:19.090020
5.130317958,-0.24486882,-0.3031939191,1.773103243,2024-06-15 02:32:19.130318
5.170616958,-0.5947236662,-0.4738302898,0.9491580516,2024-06-15 02:32:19.170617
5.210914958,-1.265861962,-0.7697210366,1.158967844,2024-06-15 02:32:19.210915
5.251213958,-0.08046561766,-0.1427235174,1.929891652,2024-06-15 02:32:19.251214
5.291511958,-0.01325207474,-1.534818095,0.8398993188,2024-06-15 02:32:19.291512
5.331810958,-1.479101439,-1.936990172,0.5886099637,2024-06-15 02:32:19.331811
5.372108958,-1.128219529,0.1090400469,0.9742879227,2024-06-15 02:32:19.372109
5.412407958,0.0875396888,0.8273968023,0.9329136094,2024-06-15 02:32:19.412408
5.452705958,1.229641239,-1.152855749,0.143496227,2024-06-15 02:32:19.452706
5.493004958,0.7039236344,0.1771004677,0.3417071897,2024-06-15 02:32:19.493005
5.533302958,-0.4168366018,0.01477123618,0.3103321999,2024-06-15 02:32:19.533303
5.573601958,-0.2820150116,-1.45870138,0.4825098968,2024-06-15 02:32:19.573602
5.613899958,1.626617042,-0.3534191626,-1.954464576,2024-06-15 02:32:19.613900
5.654198958,2.775320975,1.527328981,-1.395308207,2024-06-15 02:32:19.654199
5.694496958,1.753768547,0.8720484799,-0.1846503925,2024-06-15 02:32:19.694497
5.734795958,1.538564114,1.950131789,-0.4615312564,2024-06-15 02:32:19.734796
5.775093958,2.892221727,3.057952284,-0.4444392604,2024-06-15 02:32:19.775094
5.815392958,1.899114541,0.6637250501,-0.1247211099,2024-06-15 02:32:19.815393
5.855690958,-0.03446115017,-1.966194091,0.4937792355,2024-06-15 02:32:19.855691
5.895989958,-0.2826906574,0.6014136118,-0.3214822555,2024-06-15 02:32:19.895990
5.93628875,0.8560803187,0.2915842724,1.350019183,2024-06-15 02:32:19.936289
5.97658675,-0.7331253603,-2.476455458,0.3207665563,2024-06-15 02:32:19.976587
6.01688575,-0.6212149152,-0.5518432564,-0.6934435236,2024-06-15 02:32:20.016886
6.05718375,-0.4322337824,-0.9661781269,0.4649091929,2024-06-15 02:32:20.057184
6.09748275,0.2155999973,1.225562367,-0.4197154784,2024-06-15 02:32:20.097483
6.13778175,-1.834748098,3.284216141,1.605884569,2024-06-15 02:32:20.137782
6.17807975,1.878874404,0.704520489,-1.865951765,2024-06-15 02:32:20.178080
6.21837875,-2.714513441,0.7325783533,1.511245045,2024-06-15 02:32:20.218379
6.25867775,-0.5704827181,-0.696525591,-0.1515838033,2024-06-15 02:32:20.258678
6.29897575,1.078467764,0.5519379812,0.4263935834,2024-06-15 02:32:20.298976
6.33927475,1.771042976,1.464990646,0.07463386059,2024-06-15 02:32:20.339275
6.37957375,0.3467086056,0.2161458349,-0.08208321333,2024-06-15 02:32:20.379574
6.41987175,-0.405658772,-1.01264595,1.041483833,2024-06-15 02:32:20.419872
6.46017075,-1.482681104,0.342615847,0.3366136801,2024-06-15 02:32:20.460171
6.50046975,-1.34114194,0.9054466063,0.31349262,2024-06-15 02:32:20.500470
6.54076775,-0.8757950833,1.11196617,0.2770176888,2024-06-15 02:32:20.540768
6.58106675,-0.3088575321,1.062883472,-0.08068719059,2024-06-15 02:32:20.581067
6.62136575,-0.06162585229,0.7416707736,0.2369496435,2024-06-15 02:32:20.621366
6.66166375,-0.3784893921,-0.09134754181,0.7663805223,2024-06-15 02:32:20.661664
6.70196275,-0.2839400612,-0.07504316568,0.2920777774,2024-06-15 02:32:20.701963
6.74226175,-0.4539406934,0.8422165704,-0.1366190243,2024-06-15 02:32:20.742262
6.78256075,-0.3565138015,0.6799364555,-0.1529391879,2024-06-15 02:32:20.782561
6.82285875,-0.4232379873,-1.271361853,0.446647169,2024-06-15 02:32:20.822859
6.86315775,-1.293496342,-0.9386330634,1.049767291,2024-06-15 02:32:20.863158
6.903457,-0.9173945144,1.278203096,-0.1563764736,2024-06-15 02:32:20.903457
6.943756,-0.6862764452,2.256724695,-0.5529056954,2024-06-15 02:32:20.943756
6.984054,-0.6397388213,0.4845710403,-0.1890580237,2024-06-15 02:32:20.984054
7.024353,-1.511065682,-0.6678315496,-0.1136640251,2024-06-15 02:32:21.024353
7.064652,-1.76201429,-0.176255545,0.3370551449,2024-06-15 02:32:21.064652
7.104951,-0.4199108485,-0.5544616395,0.2586714649,2024-06-15 02:32:21.104951
7.145249,-0.6253393219,0.003689008355,0.6556111613,2024-06-15 02:32:21.145249
7.185548,-0.8666849752,1.915895757,0.5407543042,2024-06-15 02:32:21.185548
7.225847,-2.00431589,2.288434145,1.248779322,2024-06-15 02:32:21.225847
7.266146,0.3662835487,-4.043594622,-0.4574148166,2024-06-15 02:32:21.266146
7.306444,0.5826769401,-2.316436461,-3.099024296e-05,2024-06-15 02:32:21.306444
7.346743,-0.6108282137,-0.4206732523,-1.286776283,2024-06-15 02:32:21.346743
7.387042,0.7384008645,-1.366020674,-0.0364983201,2024-06-15 02:32:21.387042
7.427341,-0.05458437938,0.2423436999,-0.7245071492,2024-06-15 02:32:21.427341
7.46764,-1.003049061,1.046921158,1.778877953,2024-06-15 02:32:21.467640
7.507939,-0.2225493401,0.6839686954,0.4936909425,2024-06-15 02:32:21.507939
7.548237,0.3977998583,1.749489262,-1.111002549,2024-06-15 02:32:21.548237
7.588536,-3.272556208,0.2834127885,-1.684088155,2024-06-15 02:32:21.588536
7.628835,-2.613287905,-1.215336757,-0.8554722083,2024-06-15 02:32:21.628835
7.669134,-1.10214007,-2.326121204,-0.7014796445,2024-06-15 02:32:21.669134
7.709433,-0.4144167316,-1.820196717,0.2349311846,2024-06-15 02:32:21.709433
7.749732,-0.8066062231,0.4037935102,0.08503518015,2024-06-15 02:32:21.749732
7.79003,-0.2843914662,3.897338802,-1.135454435,2024-06-15 02:32:21.790030
7.830329,-3.047234337,3.122007946,1.782464635,2024-06-15 02:32:21.830329
7.870628,-8.062388864,-9.196760395,2.13042279,2024-06-15 02:32:21.870628
7.910927333,0.9255624899,0.9252154577,0.4808264834,2024-06-15 02:32:21.910927
7.951226333,0.2957583073,-1.545464121,0.1722721294,2024-06-15 02:32:21.951226
7.991525333,-1.702580267,0.00995196104,-1.361759807,2024-06-15 02:32:21.991525
8.031824333,-0.879396822,-1.703130198,-0.7181918639,2024-06-15 02:32:22.031824
8.072123333,-1.139528775,-0.7257330179,0.08185721844,2024-06-15 02:32:22.072123
8.112421333,0.252363781,1.828828377,-1.527786818,2024-06-15 02:32:22.112421
8.152720333,0.5018557021,1.749316769,-1.470492876,2024-06-15 02:32:22.152720
8.193019333,-0.1677288428,0.8536841297,-0.8183271861,2024-06-15 02:32:22.193019
8.233318333,0.4792114824,0.6900381052,-1.139657414,2024-06-15 02:32:22.233318
8.273617333,0.4065855557,0.2964205045,0.328570835,2024-06-15 02:32:22.273617
8.313916333,-0.8312077251,-1.392630767,0.4872917497,2024-06-15 02:32:22.313916
8.354215333,0.6688820019,0.8802503693,-1.046339945,2024-06-15 02:32:22.354215
8.394514333,0.552911835,-0.8419341499,0.5250343573,2024-06-15 02:32:22.394514
8.434813333,-1.292229981,-2.646148673,-0.1188212693,2024-06-15 02:32:22.434813
8.475112333,0.3850885597,-0.5646790642,-0.8754509747,2024-06-15 02:32:22.475112
8.515411333,2.188387701,3.78529504,-2.529628283,2024-06-15 02:32:22.515411
8.555709333,1.768925407,0.1629045975,-0.6850960386,2024-06-15 02:32:22.555709
8.596008333,2.621048915,0.09307831764,-1.257379407,2024-06-15 02:32:22.596008
8.636307333,-1.162760055,0.01324452817,1.231720655,2024-06-15 02:32:22.636307
8.676606333,-0.68843743,-1.361426516,-0.7414006323,2024-06-15 02:32:22.676606
8.716905333,2.022266842,-0.2643216294,1.006594666,2024-06-15 02:32:22.716905
8.757204333,1.08579491,-0.2075346404,-0.1426720619,2024-06-15 02:32:22.757204
8.797503333,1.780824198,1.790058998,-0.9065944147,2024-06-15 02:32:22.797503
8.837802333,1.077359132,1.208644034,-0.2106950605,2024-06-15 02:32:22.837802
8.878101333,-1.775369039,0.2236887431,0.8459143496,2024-06-15 02:32:22.878101
8.918400375,-2.296832501,0.7175282049,-0.944642247,2024-06-15 02:32:22.918400
8.958699375,-0.7486035249,2.321209543,-2.00010034,2024-06-15 02:32:22.958699
8.998998375,-1.178287337,1.102593668,0.003615333438,2024-06-15 02:32:22.998998
9.039297375,-0.3513382848,-1.051566771,0.6959563646,2024-06-15 02:32:23.039297
9.079596375,-1.108905445,-1.41954667,0.9506163472,2024-06-15 02:32:23.079596
9.119895375,-1.431828454,-0.6547636074,0.01649411827,2024-06-15 02:32:23.119895
9.160194375,-0.1251062952,0.6844417351,-0.3912629271,2024-06-15 02:32:23.160194
9.200493375,-1.007392373,-1.625682072,0.04343399495,2024-06-15 02:32:23.200493
9.240792375,-1.352551466,-0.988354277,-0.1250848067,2024-06-15 02:32:23.240792
9.281091375,0.4119215785,0.9996733171,0.02575698495,2024-06-15 02:32:23.281091
9.321390375,-1.821079647,-1.929630282,1.0064862,2024-06-15 02:32:23.321390
9.361689375,-0.5273381237,-0.5951559216,-0.159689506,2024-06-15 02:32:23.361689
9.401988375,-0.4874764486,-2.258710994,0.5818038046,2024-06-15 02:32:23.401988
9.442287375,1.156727483,-1.45701095,-0.09509472996,2024-06-15 02:32:23.442287
9.482586375,1.60286419,0.7751267874,-2.413191216,2024-06-15 02:32:23.482586
9.522885375,-0.01902917862,2.354787764,-1.734508403,2024-06-15 02:32:23.522885
9.563184375,-3.190457792,0.8419078374,0.5500259417,2024-06-15 02:32:23.563184
9.603483375,-3.045288969,0.1816870236,-0.4279673615,2024-06-15 02:32:23.603483
9.643782375,-3.094424291,-2.128059638,1.184846743,2024-06-15 02:32:23.643782
9.684081375,-0.1622079018,1.121855566,-2.44675745,2024-06-15 02:32:23.684081
9.724380375,-0.7284259531,-0.640263682,0.9664149392,2024-06-15 02:32:23.724380
9.764679375,-1.977333914,-1.984316366,-0.2293047014,2024-06-15 02:32:23.764679
9.804978375,-1.274607204,-2.981636764,1.259559249,2024-06-15 02:32:23.804978
9.845277375,0.04166959763,-2.888850222,-2.030252677,2024-06-15 02:32:23.845277
9.885576375,0.2276794678,-0.04034227967,-0.0816525659,2024-06-15 02:32:23.885576
9.925875625,0.5607146519,0.5443161356,-2.509265354,2024-06-15 02:32:23.925876
9.966174625,1.105982714,4.38467616,-2.379829634,2024-06-15 02:32:23.966175
10.00647362,0.1737950367,1.139783129,-2.493946234,2024-06-15 02:32:24.006474
10.04677263,-1.804095824,-3.878261091,-0.3807402778,2024-06-15 02:32:24.046773
10.08707263,0.3984523711,-2.34525154,-1.296927634,2024-06-15 02:32:24.087073
10.12737163,-2.315243629,-1.034357831,0.4231974953,2024-06-15 02:32:24.127372
10.16767063,2.596558144,-0.5686212569,-2.469002012,2024-06-15 02:32:24.167671
10.20796963,3.270128444,-1.679788113,-1.243818544,2024-06-15 02:32:24.207970
10.24826863,2.416913846,3.869942842,0.6477492875,2024-06-15 02:32:24.248269
10.28856762,0.4632725573,3.197980819,-1.645903498,2024-06-15 02:32:24.288568
10.32886662,0.58860704,-0.2050139058,-0.4573572215,2024-06-15 02:32:24.328867
10.36916562,-1.316343606,-1.881199549,-0.05667940021,2024-06-15 02:32:24.369166
10.40946463,-0.01877716362,-0.09731345594,-0.7001394626,2024-06-15 02:32:24.409465
10.44976363,1.635888095,0.6484994853,-0.7157798874,2024-06-15 02:32:24.449764
10.49006263,0.8457462421,2.542228448,-0.3064975959,2024-06-15 02:32:24.490063
10.53036163,0.5967516267,1.484588758,0.07318579763,2024-06-15 02:32:24.530362
10.57066063,-0.7214623578,-1.422983664,0.955858376,2024-06-15 02:32:24.570661
10.61095962,-0.8345657811,-1.38865583,0.1919389468,2024-06-15 02:32:24.610960
10.65125862,0.1357574371,0.7692555982,-0.04650466025,2024-06-15 02:32:24.651259
10.69155862,-2.109217278,-4.193579212,0.8630487379,2024-06-15 02:32:24.691559
10.73185762,2.699269457,0.01348250985,1.163877751,2024-06-15 02:32:24.731858
10.77215663,-0.4276848679,-1.008027819,1.249363459,2024-06-15 02:32:24.772157
10.81245563,0.4800754816,3.017769633,-0.5108349788,2024-06-15 02:32:24.812456
10.85275463,-0.5381979015,1.564582762,0.2028270471,2024-06-15 02:32:24.852755
10.89305363,-2.110224169,-4.399332206,3.802217467,2024-06-15 02:32:24.893054
10.93335183,0.3158222969,-0.6573866683,2.214097031,2024-06-15 02:32:24.933352
10.97365083,0.2298612832,0.2125977445,0.8036992067,2024-06-15 02:32:24.973651
11.01394983,1.398985229,1.169063646,-0.4722831166,2024-06-15 02:32:25.013950
11.05424883,-0.4529617234,-0.6659832448,0.1682498297,2024-06-15 02:32:25.054249
11.09454883,-2.042843925,-1.934885759,1.636746174,2024-06-15 02:32:25.094549
11.13484783,1.205886779,1.602941081,-0.6509594089,2024-06-15 02:32:25.134848
11.17514683,1.210460033,0.7298810327,0.4089633259,2024-06-15 02:32:25.175147
11.21544583,-1.684742897,-1.674511001,1.283051315,2024-06-15 02:32:25.215446
11.25574483,0.7890741509,0.5045907372,0.4934842435,2024-06-15 02:32:25.255745
11.29604383,-0.3800523528,-0.9043461603,-0.8878789392,2024-06-15 02:32:25.296044
11.33634283,-1.65829024,-0.1566591865,0.7566861311,2024-06-15 02:32:25.336343
11.37664183,0.02158704311,-0.1488794661,-0.02448667735,2024-06-15 02:32:25.376642
11.41694083,-0.240889205,0.8410985827,0.4976354742,2024-06-15 02:32:25.416941
11.45724083,-2.137565749,-2.001484961,-0.8552786654,2024-06-15 02:32:25.457241
11.49753983,0.2585282081,-1.209235772,-0.04963642895,2024-06-15 02:32:25.497540
