Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.9012403488,52.35015342,4.933578232,-1.173313141,0.0,,3.559083627,3.0,2024-06-15 02:32:14.901240
1.901169062,52.35013402,4.933572197,0.6109275818,0.0,,3.535533906,3.0,2024-06-15 02:32:15.901169
2.901097894,52.35012836,4.933570353,0.5141868591,0.0,,3.535533906,3.0,2024-06-15 02:32:16.901098
3.901028872,52.35012467,4.933571694,0.6577415466,0.0,108.6328125,3.535533906,3.0,2024-06-15 02:32:17.901029
4.90096426,52.3501253,4.933569767,0.2696800232,0.2199999988,323.0859375,3.535533906,3.0,2024-06-15 02:32:18.900964
5.90090239,52.35012073,4.933579406,1.068691254,0.6800000072,60.46875,3.535533906,3.0,2024-06-15 02:32:19.900902
6.900853395,52.35011675,4.93359114,0.9315452576,0.6800000072,91.40625,3.535533906,3.0,2024-06-15 02:32:20.900853
7.900798082,52.3501166,4.933601117,0.9315453609,0.6800000072,91.4062579,4.610597927,3.544985725,2024-06-15 02:32:21.900798
8.90075016,52.35012216,4.933649983,0.9056055509,1.460000038,79.10157916,4.610597927,3.544985724,2024-06-15 02:32:22.900750
9.900706172,52.35013768,4.933697195,0.8535427712,2.190000057,59.76564698,4.610597948,3.544985698,2024-06-15 02:32:23.900706
10.90066242,52.35014597,4.933744996,1.112515241,2.940000057,67.50003156,4.610597959,3.544985683,2024-06-15 02:32:24.900662
11.90062892,52.35015801,4.93377006,1.287014753,2.940000057,63.9844057,4.610597982,3.544985653,2024-06-15 02:32:25.900629
12.90059721,52.35018283,4.933800079,2.041653425,2.940000057,52.38283956,4.610598033,3.544985587,2024-06-15 02:32:26.900597
13.90056312,52.35020476,4.933836751,1.635708568,2.869999886,47.46096207,4.610598079,3.544985527,2024-06-15 02:32:27.900563
14.90052927,52.35022606,4.933874711,1.897915752,3.190000057,48.16409012,4.610598124,3.544985469,2024-06-15 02:32:28.900529
15.90049756,52.35024654,4.933913485,1.989346436,3.230000019,49.92190372,4.610598168,3.544985411,2024-06-15 02:32:29.900498
16.90046692,52.35027162,4.933959462,2.8678257,3.710000038,48.86721997,4.610598219,3.544985345,2024-06-15 02:32:30.900467
17.90043819,52.35029176,4.934003844,2.59890479,3.690000057,52.38284646,4.610598263,3.544985288,2024-06-15 02:32:31.900438
18.9004097,52.35031049,4.93405463,2.295682145,3.710000038,57.30472378,4.610598303,3.544985236,2024-06-15 02:32:32.900410
19.90038252,52.35032623,4.934109547,2.1305821,3.799999952,61.52347631,4.610598333,3.544985197,2024-06-15 02:32:33.900383
20.90035713,52.35035231,4.934166727,1.954068861,4.46999979,56.95316854,4.610598381,3.544985135,2024-06-15 02:32:34.900357
21.90033293,52.35037653,4.934218617,2.638578139,4.46999979,54.49222978,4.610598429,3.544985072,2024-06-15 02:32:35.900333
22.90030956,52.35040424,4.934262035,3.778592692,4.329999924,49.9219135,4.636073833,3.511603116,2024-06-15 02:32:36.900310
23.90028691,52.35043914,4.934303751,3.659574138,4.329999924,44.64847286,4.702369513,3.422317635,2024-06-15 02:32:37.900287
24.90026546,52.35047305,4.934339867,2.971768962,4.329999924,40.42972013,4.630061161,3.519527053,2024-06-15 02:32:38.900265
25.90024447,52.35050062,4.934373091,3.288663355,4.119999886,39.7265931,4.617833227,3.535555589,2024-06-15 02:32:39.900244
26.90022421,52.35052892,4.934422174,3.603910129,4.409999847,44.64847351,4.61059877,3.544984629,2024-06-15 02:32:40.900224
27.90020478,52.35054387,4.934434381,-2.454902761,4.153605741,46.96172972,4.826769973,3.24450746,2024-06-15 02:32:41.900205
28.90018606,52.35057209,4.934473543,-2.437699099,4.205842307,46.21621143,4.828351319,3.242153694,2024-06-15 02:32:42.900186
29.90016711,52.35060084,4.934517288,-2.50172567,4.111524254,44.94220726,4.827282742,3.243744498,2024-06-15 02:32:43.900167
30.90014994,52.35062677,4.934557439,-2.507978696,4.084696964,43.29574046,4.827110155,3.244001324,2024-06-15 02:32:44.900150
31.90013361,52.35065438,4.934598157,-2.531431698,4.025783016,44.18933081,4.823409514,3.249501145,2024-06-15 02:32:45.900134
32.90011728,52.35067944,4.934643347,-2.640027732,4.084352849,46.28098572,4.821454924,3.252400568,2024-06-15 02:32:46.900117
33.90010154,52.35070493,4.934684001,-2.839816797,3.919904382,46.69854924,4.818354494,3.256992017,2024-06-15 02:32:47.900102
34.90008616,52.35073141,4.934727298,-2.517025554,3.792402593,44.89199721,4.815447281,3.261288781,2024-06-15 02:32:48.900086
35.90007138,52.35075629,4.934766243,-2.515539451,3.633146719,44.25629434,4.814075913,3.263312755,2024-06-15 02:32:49.900071
36.90005589,52.35077785,4.934796519,-2.554540677,3.55988226,42.16929738,4.814142599,3.263214377,2024-06-15 02:32:50.900056
37.90004277,52.35080324,4.934819933,-2.48036685,3.425348561,40.91252262,4.814422815,3.262800942,2024-06-15 02:32:51.900043
38.90002894,52.35082899,4.934844119,-2.397495746,3.314914418,39.17074899,4.811617688,3.266936219,2024-06-15 02:32:52.900029
39.90001476,52.35085136,4.934867053,-2.3984734,3.032886695,35.79673323,4.810397374,3.268732803,2024-06-15 02:32:53.900015
40.90000212,52.35086883,4.93488373,-2.484311222,2.710041396,33.16682838,4.814537016,3.262632427,2024-06-15 02:32:54.900002
41.8999896,52.35086953,4.934880205,-2.412407967,1.504208862,24.36695713,4.751760501,3.353402627,2024-06-15 02:32:55.899990
42.89997661,52.35088116,4.934882086,-2.403666448,1.036478058,12.44219367,4.752762371,3.35198253,2024-06-15 02:32:56.899977
43.89996409,52.35090408,4.934911683,-1.881456102,1.718262513,25.91444464,4.749070708,3.357210814,2024-06-15 02:32:57.899964
44.89995241,52.35092608,4.934969775,-2.329238789,3.351727226,50.5423389,4.747656864,3.359209927,2024-06-15 02:32:58.899952
45.89994097,52.35094023,4.935002732,-2.671254299,3.336965759,56.85910748,4.747894012,3.358874735,2024-06-15 02:32:59.899941
46.89992905,52.35095832,4.935036365,-3.437610106,3.409991781,55.77076575,4.745419477,3.362369852,2024-06-15 02:33:00.899929
47.89991713,52.35097449,4.935065974,-2.669715015,3.203961176,53.47774086,4.744126983,3.364193247,2024-06-15 02:33:01.899917
48.89990652,52.35099321,4.935092011,-2.6603719,2.933297025,46.5630648,4.743664502,3.364845334,2024-06-15 02:33:02.899907
49.89989543,52.35101149,4.935118443,-2.483597489,2.675894877,40.5354866,4.744082354,3.364256181,2024-06-15 02:33:03.899895
50.89988422,52.35103261,4.935153485,-2.853860327,3.016991806,35.01417129,4.745676486,3.362007097,2024-06-15 02:33:04.899884
51.89987409,52.35103071,4.935206478,-2.38940458,2.882143342,67.37186086,4.757063415,3.345875775,2024-06-15 02:33:05.899874
52.899863,52.3510265,4.935257461,-2.710252169,3.171365118,91.06846973,4.755043809,3.348745348,2024-06-15 02:33:06.899863
53.89985263,52.35106309,4.935297138,-2.111685851,3.745909885,63.4651475,4.752038811,3.353008227,2024-06-15 02:33:07.899853
54.8998419,52.35109464,4.935312162,-3.291312052,3.47587967,39.70173258,4.751219446,3.354169168,2024-06-15 02:33:08.899842
55.89983189,52.35111783,4.935337211,-2.258579347,3.230507184,31.28303059,4.755894099,3.347537655,2024-06-15 02:33:09.899832
56.89982212,52.35113679,4.935390505,-2.486468138,3.56893208,38.49680535,4.754436976,3.349606854,2024-06-15 02:33:10.899822
57.8998121,52.35115753,4.935441977,-2.144677143,3.956882851,43.39809678,4.755629997,3.347912837,2024-06-15 02:33:11.899812
58.89980233,52.35117977,4.935469357,-3.076244343,3.497133934,39.6514757,4.757690201,3.344984452,2024-06-15 02:33:12.899802
59.89979184,52.3512014,4.935503968,-2.656677517,3.456917792,43.6459432,4.757249947,3.345610554,2024-06-15 02:33:13.899792
60.89978242,52.351224,4.935557702,-2.46753484,3.963706893,50.59985601,4.760675525,3.340734287,2024-06-15 02:33:14.899782
61.899773,52.35125035,4.935594397,-3.247935005,4.045733248,49.49880868,4.757852553,3.344753522,2024-06-15 02:33:15.899773
62.89976299,52.3512694,4.93564849,-2.815149277,4.22370065,52.12529752,4.764159271,3.335764301,2024-06-15 02:33:16.899763
63.89975405,52.35128637,4.935697917,-2.555702691,4.025377302,54.82824039,4.767618235,3.330818729,2024-06-15 02:33:17.899754
64.89974451,52.3513118,4.935738486,-2.655107843,3.915373616,46.57068967,4.764364361,3.335471371,2024-06-15 02:33:18.899745
65.89973414,52.35134045,4.935774626,-3.318029324,4.006547146,44.47420456,4.766249091,3.332777616,2024-06-15 02:33:19.899734
66.89972568,52.35136184,4.935824518,-4.624708493,3.990130626,44.32065658,4.778330387,3.315432964,2024-06-15 02:33:20.899726
67.89971709,52.35138171,4.935875027,-3.503500589,3.971145092,50.19407922,4.776985866,3.317369902,2024-06-15 02:33:21.899717
68.89970756,52.35141384,4.935917391,-2.906984491,4.277609078,46.65674259,4.778929226,3.314569728,2024-06-15 02:33:22.899708
69.89969814,52.35143665,4.93596122,-3.241207624,4.113292295,42.43929916,4.775560385,3.319421643,2024-06-15 02:33:23.899698
70.8996892,52.35145625,4.936012926,-3.092304063,4.091922379,46.13215487,4.781820133,3.310397748,2024-06-15 02:33:24.899689
71.89968026,52.3514781,4.936073998,-2.755145097,4.368514175,50.52920226,4.786405738,3.303764087,2024-06-15 02:33:25.899680
72.89967132,52.35150379,4.936120871,-3.140806207,4.447391132,47.74922062,4.780829353,3.311828457,2024-06-15 02:33:26.899671
73.89966154,52.35153187,4.936160162,-3.05669895,4.261721312,45.68415094,4.782661813,3.309181624,2024-06-15 02:33:27.899662
74.89965343,52.35155616,4.936211743,-2.899493905,4.230588471,49.10062535,4.790719058,3.297506322,2024-06-15 02:33:28.899653
75.89964449,52.3515868,4.936261183,-2.917586457,4.431693269,45.80670338,4.80147204,3.281829258,2024-06-15 02:33:29.899644
76.89963567,52.35161341,4.936298663,-3.507125473,4.336122266,45.17480027,4.787650914,3.301959381,2024-06-15 02:33:30.899636
77.89962733,52.351634,4.936352089,-3.362435241,4.252778019,45.36797891,4.786504747,3.30362064,2024-06-15 02:33:31.899627
78.89961827,52.35166073,4.936395419,-4.273929505,4.324791228,43.98562991,4.790308976,3.298102022,2024-06-15 02:33:32.899618
79.89960849,52.35168807,4.936434078,-4.396511301,4.215117688,41.17187523,4.801009796,3.282505441,2024-06-15 02:33:33.899608
80.89960051,52.35170988,4.93646925,-4.03095119,3.707252767,41.42785593,4.801702648,3.281491843,2024-06-15 02:33:34.899601
81.89959133,52.35173177,4.936529424,-3.780673144,4.107523597,46.96618628,4.79755733,3.287549345,2024-06-15 02:33:35.899591
82.89958286,52.35175656,4.936580906,-3.099683874,4.206508553,48.57824688,4.795493596,3.29055895,2024-06-15 02:33:36.899583
83.89957416,52.3517798,4.936623036,-3.171855313,4.041410669,45.81308332,4.802629872,3.280134654,2024-06-15 02:33:37.899574
84.89956486,52.35180786,4.936673034,-3.76664736,4.324964438,48.75820784,4.80588957,3.275356846,2024-06-15 02:33:38.899565
85.8995564,52.35183613,4.936722454,-3.463785904,4.516998957,49.04483357,4.804504275,3.277388549,2024-06-15 02:33:39.899556
86.89954817,52.35186691,4.93676385,-3.64547355,4.40847358,49.50864914,4.815594452,3.261071466,2024-06-15 02:33:40.899548
87.89953911,52.35189924,4.936807968,-3.75341739,4.570250352,44.44103337,4.820044378,3.254490625,2024-06-15 02:33:41.899539
88.89953065,52.3519287,4.936849196,-3.781395396,4.463031084,45.1706338,4.81713171,3.258800259,2024-06-15 02:33:42.899531
89.89952195,52.3519478,4.936909913,-3.723785616,4.439175593,45.73035635,4.796461235,3.289148318,2024-06-15 02:33:43.899522
90.8995136,52.35197138,4.936962855,-3.615614711,4.328169976,45.65213235,4.794125558,3.292551772,2024-06-15 02:33:44.899514
91.89950538,52.35200018,4.937011481,-3.313388797,4.29633705,46.81481316,4.795744162,3.290193758,2024-06-15 02:33:45.899505
92.89949691,52.35202328,4.937073031,-3.181250399,4.663660203,52.35893258,4.792051076,3.295570288,2024-06-15 02:33:46.899497
93.89948821,52.35204844,4.937126524,-2.941656706,4.495834338,44.30271049,4.785450313,3.305147854,2024-06-15 02:33:47.899488
94.89947879,52.35207525,4.93716867,-2.816042189,4.315186425,45.94721328,4.790837426,3.297334347,2024-06-15 02:33:48.899479
95.89947069,52.35210805,4.937197147,-2.874766018,4.14403752,43.10627426,4.785825469,3.304604608,2024-06-15 02:33:49.899471
96.89946187,52.35214061,4.93723844,-2.723957488,4.119536441,46.0947855,4.778216237,3.315597476,2024-06-15 02:33:50.899462
97.8994534,52.35217395,4.937276904,-3.647089511,4.218325879,41.77347981,4.779039493,3.31441074,2024-06-15 02:33:51.899453
98.89944565,52.35220114,4.937315391,-4.689992388,4.158275031,44.28731695,4.790572978,3.297718541,2024-06-15 02:33:52.899446
99.89943635,52.35222082,4.937362334,-4.076520616,4.110593636,48.4039397,4.787859998,3.301656202,2024-06-15 02:33:53.899436
100.8994287,52.35224301,4.937411521,-3.170700086,4.151293453,50.29015527,4.805035725,3.276609332,2024-06-15 02:33:54.899429
101.8994195,52.35225768,4.937478739,-2.441834023,4.214824378,55.64074071,4.806066717,3.275096906,2024-06-15 02:33:55.899419
102.8994119,52.35229831,4.937498058,-2.723171442,4.387252788,44.5458671,4.809531028,3.270007389,2024-06-15 02:33:56.899412
103.8994023,52.35230686,4.93755801,-2.551948593,4.08445306,50.73683757,4.820780095,3.25340073,2024-06-15 02:33:57.899402
104.8993943,52.3523334,4.937577037,-2.669909113,3.65215864,45.45231506,4.828544622,3.2418658,2024-06-15 02:33:58.899394
105.8993868,52.35234948,4.93763302,-3.058323681,3.742142889,48.55718775,4.874419947,3.172470206,2024-06-15 02:33:59.899387
106.8993773,52.352382,4.937684638,-2.951015584,4.291895406,47.46308674,4.891610864,3.145898948,2024-06-15 02:34:00.899377
107.8993695,52.35237878,4.937761714,-2.971595751,4.254856511,61.41306219,4.894028778,3.142136113,2024-06-15 02:34:01.899370
108.8993604,52.35243595,4.937786376,-2.832190251,4.841287759,42.01763925,4.868881495,3.180963694,2024-06-15 02:34:02.899360
109.8993524,52.35245206,4.937821794,-2.889617239,4.325409462,44.03447076,4.827865609,3.242876917,2024-06-15 02:34:03.899352
110.8993435,52.35247928,4.937890722,-2.893040011,5.002282381,53.688155,4.819105725,3.25588038,2024-06-15 02:34:04.899344
111.8993353,52.35250554,4.93792437,-2.300800733,4.578203275,47.37616627,4.813499605,3.26416277,2024-06-15 02:34:05.899335
112.8993268,52.35252966,4.937971768,-2.322378198,4.33616978,45.83004673,4.841248664,3.222863387,2024-06-15 02:34:06.899327
113.8993181,52.35255408,4.938007947,-2.303227343,3.92444185,44.5198928,4.8578988,3.1977111,2024-06-15 02:34:07.899318
114.8993096,52.35258501,4.938064134,-2.08731268,4.177013489,45.47167359,4.83973918,3.225129718,2024-06-15 02:34:08.899310
115.8993196,52.35261292,4.93810176,-2.362985176,3.815738494,44.82870863,4.875143332,3.171358467,2024-06-15 02:34:09.899320
116.8992928,52.3526648,4.938137281,-3.075893863,4.429837527,35.38162381,4.834307538,3.233265789,2024-06-15 02:34:10.899293
117.8992842,52.35270452,4.938199297,-3.189143663,5.136133174,37.71002625,4.861016832,3.192969213,2024-06-15 02:34:11.899284
118.899276,52.3527308,4.938250957,-3.337190164,4.932977134,42.00476638,4.882549106,3.159944819,2024-06-15 02:34:12.899276
119.8992676,52.35275814,4.93830184,-2.90838897,4.832447866,47.79846228,4.875384846,3.170987171,2024-06-15 02:34:13.899268
120.8992594,52.35278006,4.938336237,-2.726827482,4.097418148,48.56308659,4.879093306,3.165278115,2024-06-15 02:34:14.899259
121.899251,52.35281038,4.938375175,-2.784476744,3.806346099,45.89707407,4.875961767,3.170099979,2024-06-15 02:34:15.899251
122.8992419,52.35283641,4.938433271,-2.653958225,4.243233124,48.7334728,4.882229891,3.160437996,2024-06-15 02:34:16.899242
123.8992339,52.35286597,4.938494928,-3.339469587,4.562559137,46.89531406,4.857827663,3.197819167,2024-06-15 02:34:17.899234
124.8992257,52.35289744,4.938535383,-3.824534511,4.538497202,44.88053103,4.85611504,3.200419309,2024-06-15 02:34:18.899226
125.8997644,52.35291828,4.938570699,-3.546469769,3.930375799,43.35333879,4.86870516,3.181233581,2024-06-15 02:34:19.899764
126.899775,52.3529496,4.938629686,-4.124451111,4.146337053,45.52365317,4.900399886,3.132190605,2024-06-15 02:34:20.899775
127.8997756,52.3529786,4.938675285,-3.425073075,4.316665448,48.67592545,4.903017819,3.128090999,2024-06-15 02:34:21.899776
128.8997819,52.35300573,4.938726186,-2.893065161,4.460328987,48.38908644,4.876810538,3.168794093,2024-06-15 02:34:22.899782
129.8997951,52.3530374,4.938756353,-3.327989594,4.344189004,43.01908801,4.889528281,3.149134837,2024-06-15 02:34:23.899795
130.8998002,52.35306161,4.938796488,-2.766211532,4.092773689,40.8653516,4.900352968,3.132264009,2024-06-15 02:34:24.899800
131.8998121,52.35308794,4.938835346,-2.819647494,4.094276105,41.15772253,4.875694895,3.17051042,2024-06-15 02:34:25.899812
132.8998225,52.35311445,4.938881457,-2.898024937,4.125405795,40.84260271,4.873926074,3.173228901,2024-06-15 02:34:26.899822
133.8998274,52.35314326,4.938929109,-2.914786774,4.140372012,44.63078558,4.862581862,3.190585318,2024-06-15 02:34:27.899827
134.8998396,52.35317097,4.938962455,-2.978964998,3.941633445,44.35774424,4.866390284,3.184773561,2024-06-15 02:34:28.899840
135.8998549,52.35318827,4.938987543,-3.147375082,3.129492242,43.16072689,4.875899757,3.170195355,2024-06-15 02:34:29.899855
136.8998607,52.35319587,4.939016689,-3.718312295,2.19218691,48.52052547,4.883890361,3.157871431,2024-06-15 02:34:30.899861
137.8998752,52.35319205,4.939062322,-3.113448598,2.278275377,75.7276402,4.907667334,3.120791305,2024-06-15 02:34:31.899875
