Time (s),X (µT),Y (µT),Z (µT),Datetime
0.05279795837,0.3341064453,-23.94657898,-44.13851929,2024-06-15 02:32:14.052798
0.09309395833,0.1045837402,-23.48847198,-44.10672379,2024-06-15 02:32:14.093094
0.1333909583,0.1476135254,-22.64121246,-45.14030457,2024-06-15 02:32:14.133391
0.1736879584,1.239013672,-21.43638611,-45.50409698,2024-06-15 02:32:14.173688
0.2139849584,3.050476074,-18.72081757,-46.59466553,2024-06-15 02:32:14.213985
0.2542819583,3.621185303,-14.94764709,-47.8092041,2024-06-15 02:32:14.254282
0.2945789583,2.986663818,-12.33830261,-48.70146942,2024-06-15 02:32:14.294579
0.3348759584,2.326965332,-9.939361572,-49.04015732,2024-06-15 02:32:14.334876
0.3751729584,1.897583008,-8.750434875,-49.39053345,2024-06-15 02:32:14.375173
0.4154699583,4.590301514,-7.414894104,-49.28383636,2024-06-15 02:32:14.415470
0.4557669583,11.86529541,-5.293647766,-48.4763298,2024-06-15 02:32:14.455767
0.4960639584,19.61987305,-3.32144928,-45.90228653,2024-06-15 02:32:14.496064
0.5363609584,20.24935913,-1.726737976,-45.6969986,2024-06-15 02:32:14.536361
0.5766579583,18.43319702,-0.01726531982,-46.54373932,2024-06-15 02:32:14.576658
0.6169549583,16.13845825,0.8867797852,-47.36551666,2024-06-15 02:32:14.616955
0.6572519584,17.19235229,4.477645874,-46.58050537,2024-06-15 02:32:14.657252
0.6975489584,20.55096436,10.21335602,-44.01674271,2024-06-15 02:32:14.697549
0.7378469583,21.65274048,16.6737442,-41.26779938,2024-06-15 02:32:14.737847
0.7781439583,19.70724487,20.42198944,-40.46565628,2024-06-15 02:32:14.778144
0.8184409584,15.87475586,22.24025726,-41.3682251,2024-06-15 02:32:14.818441
0.8587379584,17.18243408,29.73174286,-36.03861237,2024-06-15 02:32:14.858738
0.8990352084,21.90722656,36.98121643,-26.16747856,2024-06-15 02:32:14.899035
0.9393332084,23.69451904,37.95834351,-23.90395355,2024-06-15 02:32:14.939333
0.9796302083,22.90679932,37.95501328,-24.39488411,2024-06-15 02:32:14.979630
1.019927208,21.6867981,38.16415405,-25.64850235,2024-06-15 02:32:15.019927
1.060224208,20.27664185,38.62158585,-26.5516777,2024-06-15 02:32:15.060224
1.100522208,18.79589844,38.27092743,-28.35881233,2024-06-15 02:32:15.100522
1.140819208,17.02639771,36.69246292,-31.55469131,2024-06-15 02:32:15.140819
1.181116208,14.97091675,33.38304901,-35.28953552,2024-06-15 02:32:15.181116
1.221414208,12.18734741,29.48313522,-39.60848618,2024-06-15 02:32:15.221414
1.261711208,8.88269043,25.14745331,-43.18335724,2024-06-15 02:32:15.261711
1.302008208,6.631378174,19.40582275,-46.07080078,2024-06-15 02:32:15.302008
1.342306208,7.590454102,16.21245575,-46.9914856,2024-06-15 02:32:15.342306
1.382603208,10.5475769,15.18710327,-46.67855453,2024-06-15 02:32:15.382603
1.422901208,13.20144653,16.31957245,-45.33568573,2024-06-15 02:32:15.422901
1.463198208,16.27032471,18.70472717,-43.46000671,2024-06-15 02:32:15.463198
1.503496208,20.1506958,21.95317078,-40.00882339,2024-06-15 02:32:15.503496
1.543793208,21.39050293,27.37661743,-35.71483612,2024-06-15 02:32:15.543793
1.584090208,18.43411255,32.04444504,-33.65555954,2024-06-15 02:32:15.584090
1.624388208,13.58981323,33.79776001,-34.44906998,2024-06-15 02:32:15.624388
1.664686208,11.36956787,35.81966019,-33.28892517,2024-06-15 02:32:15.664686
1.704983208,11.75445557,38.60639191,-29.3933506,2024-06-15 02:32:15.704983
1.745281208,12.3420105,39.94283676,-27.74474144,2024-06-15 02:32:15.745281
1.785578208,13.12158203,41.72436523,-26.22734261,2024-06-15 02:32:15.785578
1.825876208,15.06417847,44.34443283,-23.42537308,2024-06-15 02:32:15.825876
1.866173208,17.98678589,47.13969421,-18.44150352,2024-06-15 02:32:15.866173
1.906471083,20.16687012,48.84331512,-12.75841618,2024-06-15 02:32:15.906471
1.946768083,23.20559692,48.62265778,-7.620488167,2024-06-15 02:32:15.946768
1.987066083,24.45648193,47.92166519,-6.377999306,2024-06-15 02:32:15.987066
2.027364083,25.71707153,47.09680176,-5.384980202,2024-06-15 02:32:16.027364
2.067661083,26.80111694,46.650177,-4.402484417,2024-06-15 02:32:16.067661
2.107959083,27.24545288,46.62812424,-4.440079689,2024-06-15 02:32:16.107959
2.148257083,24.62451172,47.85296631,-6.683907509,2024-06-15 02:32:16.148257
2.188554083,16.8447876,50.97769165,-11.12139225,2024-06-15 02:32:16.188554
2.228852083,13.20471191,52.84686279,-12.11769104,2024-06-15 02:32:16.228852
2.269150083,11.7409668,54.24647522,-11.83969593,2024-06-15 02:32:16.269150
2.309448083,10.57058716,55.82266998,-13.32153702,2024-06-15 02:32:16.309448
2.349745083,11.11373901,56.72847366,-16.27390099,2024-06-15 02:32:16.349745
2.390043083,11.54312134,56.47235489,-17.60918045,2024-06-15 02:32:16.390043
2.430341083,12.79995728,55.81323242,-17.1924572,2024-06-15 02:32:16.430341
2.470639083,11.35144043,56.64516449,-17.8425827,2024-06-15 02:32:16.470639
2.510937083,10.02200317,58.78398514,-14.46766376,2024-06-15 02:32:16.510937
2.551235083,10.06491089,59.7046051,-11.38992596,2024-06-15 02:32:16.551235
2.591533083,9.247436523,59.79075623,-11.99148846,2024-06-15 02:32:16.591533
2.631831083,8.974731445,59.64365005,-12.56105518,2024-06-15 02:32:16.631831
2.672129083,9.906219482,59.85849762,-14.29400158,2024-06-15 02:32:16.672129
2.712426083,16.57696533,59.29547119,-22.73300362,2024-06-15 02:32:16.712426
2.752724083,23.39471436,61.03078461,-27.81207466,2024-06-15 02:32:16.752724
2.793022083,33.8147583,63.53991699,-32.9287262,2024-06-15 02:32:16.793022
2.833320083,56.95352173,67.88022614,-40.53275681,2024-06-15 02:32:16.833320
2.873618083,64.58880615,52.78144836,-86.59288788,2024-06-15 02:32:16.873618
2.913916083,71.59524536,34.64293671,-150.373703,2024-06-15 02:32:16.913916
2.954214083,83.65710449,8.063964844,-179.5891571,2024-06-15 02:32:16.954214
2.994512083,94.25894165,-7.895957947,-180.5912323,2024-06-15 02:32:16.994512
3.034810083,104.2400818,-13.49980164,-176.4098511,2024-06-15 02:32:17.034810
3.075108083,117.6321411,-16.37945557,-167.8201904,2024-06-15 02:32:17.075108
3.115406083,122.3902893,-18.54426575,-167.5358124,2024-06-15 02:32:17.115406
3.155704083,126.696991,-20.59735107,-167.1248932,2024-06-15 02:32:17.155704
3.196002083,130.4633179,-22.20501709,-166.6192627,2024-06-15 02:32:17.196002
3.236300083,133.1869812,-23.71500397,-166.3750305,2024-06-15 02:32:17.236300
3.276598083,135.307251,-24.81646729,-165.7876129,2024-06-15 02:32:17.276598
3.316896083,136.7061462,-25.61005402,-165.5164948,2024-06-15 02:32:17.316896
3.357194083,137.6604309,-26.16883087,-165.7795868,2024-06-15 02:32:17.357194
3.397492083,138.4255066,-26.81134796,-165.6007843,2024-06-15 02:32:17.397492
3.437790083,139.1994019,-27.26868439,-165.5341644,2024-06-15 02:32:17.437790
3.478088083,139.8578186,-27.95143127,-165.441803,2024-06-15 02:32:17.478088
3.518387083,140.6653748,-28.46504211,-165.7337646,2024-06-15 02:32:17.518387
3.558685083,141.3721619,-28.73041534,-167.0123444,2024-06-15 02:32:17.558685
3.598983083,141.8852234,-27.21894836,-169.7526855,2024-06-15 02:32:17.598983
3.639281083,142.668457,-27.06216431,-169.9967651,2024-06-15 02:32:17.639281
3.679579083,142.9927673,-27.83937073,-169.082901,2024-06-15 02:32:17.679579
3.719877083,143.4945374,-28.54789734,-168.6220398,2024-06-15 02:32:17.719877
3.760176083,143.6972351,-28.9812851,-168.241684,2024-06-15 02:32:17.760176
3.800474083,144.0556946,-28.89192963,-168.0762634,2024-06-15 02:32:17.800474
3.840772083,144.45224,-28.88935089,-167.9052582,2024-06-15 02:32:17.840772
3.881070083,144.6170044,-29.00362396,-167.5613098,2024-06-15 02:32:17.881070
3.921368458,144.9873657,-29.3825531,-167.7973175,2024-06-15 02:32:17.921368
3.961667458,145.1985779,-29.44901276,-167.8084259,2024-06-15 02:32:17.961667
4.001965458,145.3289795,-29.98326111,-167.1781006,2024-06-15 02:32:18.001965
4.042263458,145.9398804,-30.19989777,-166.5989532,2024-06-15 02:32:18.042263
4.082561458,146.2179565,-31.05736542,-165.8704987,2024-06-15 02:32:18.082561
4.122859458,146.1289673,-32.27828979,-164.8680725,2024-06-15 02:32:18.122859
4.163158458,146.0516357,-33.22609711,-163.5865326,2024-06-15 02:32:18.163158
4.203456458,145.919342,-33.68927765,-162.2616272,2024-06-15 02:32:18.203456
4.243754458,145.9771729,-34.17492676,-161.4305725,2024-06-15 02:32:18.243754
4.284053458,145.6231995,-34.7718277,-161.2327881,2024-06-15 02:32:18.284053
4.324351458,145.6254272,-35.80036926,-161.1611023,2024-06-15 02:32:18.324351
4.364649458,145.9372253,-37.29833984,-161.3061218,2024-06-15 02:32:18.364649
4.404947458,146.624939,-39.01461792,-161.1833191,2024-06-15 02:32:18.404947
4.445246458,147.1221313,-40.17378235,-160.7075806,2024-06-15 02:32:18.445246
4.485544458,146.7013855,-40.67352295,-158.5450287,2024-06-15 02:32:18.485544
4.525842458,145.9622192,-41.03152466,-155.6936493,2024-06-15 02:32:18.525842
4.566141458,145.0999146,-41.9981842,-153.5028839,2024-06-15 02:32:18.566141
4.606439458,144.5019836,-42.51707458,-152.8272858,2024-06-15 02:32:18.606439
4.646737458,144.2913513,-43.10066223,-153.3905334,2024-06-15 02:32:18.646737
4.687036458,144.0757751,-43.93891907,-154.4019928,2024-06-15 02:32:18.687036
4.727334458,143.4342346,-45.13859558,-155.8824005,2024-06-15 02:32:18.727334
4.767633458,143.1947632,-45.69215393,-156.7633057,2024-06-15 02:32:18.767633
4.807931458,142.9951477,-46.68054199,-157.7738495,2024-06-15 02:32:18.807931
4.848229458,143.3239441,-46.64686584,-159.0301666,2024-06-15 02:32:18.848229
4.888528458,144.2904358,-45.79428101,-160.2134705,2024-06-15 02:32:18.888528
4.928825958,146.6066589,-44.2077179,-162.5344849,2024-06-15 02:32:18.928826
4.969123958,148.8605957,-42.93479919,-164.0512695,2024-06-15 02:32:18.969124
5.009422958,149.9498596,-41.60852051,-165.0058441,2024-06-15 02:32:19.009423
5.049720958,151.4451904,-40.37350464,-165.4050751,2024-06-15 02:32:19.049721
5.090019958,153.0511475,-39.24723816,-166.2616425,2024-06-15 02:32:19.090020
5.130317958,154.7399292,-36.99966431,-167.4320984,2024-06-15 02:32:19.130318
5.170616958,153.2626648,-32.04000092,-167.7300568,2024-06-15 02:32:19.170617
5.210914958,152.1531067,-29.41552734,-169.9001312,2024-06-15 02:32:19.210915
5.251213958,153.850769,-27.28382111,-174.8827515,2024-06-15 02:32:19.251214
5.291511958,155.3132019,-26.32782745,-181.276886,2024-06-15 02:32:19.291512
5.331810958,154.5361938,-27.24221039,-189.6868439,2024-06-15 02:32:19.331811
5.372108958,156.4165344,-29.00126648,-191.6368408,2024-06-15 02:32:19.372109
5.412407958,163.4536438,-34.70933533,-183.1330872,2024-06-15 02:32:19.412408
5.452705958,168.2879333,-40.12355042,-175.2167358,2024-06-15 02:32:19.452706
5.493004958,167.3039246,-39.4223938,-175.9364624,2024-06-15 02:32:19.493005
5.533302958,167.1421509,-40.29495239,-177.8920593,2024-06-15 02:32:19.533303
5.573601958,168.2357178,-40.9589386,-179.9083099,2024-06-15 02:32:19.573602
5.613899958,170.0042725,-42.18942261,-181.7055664,2024-06-15 02:32:19.613900
5.654198958,171.5168152,-43.415802,-182.7947083,2024-06-15 02:32:19.654199
5.694496958,172.8218384,-44.63113403,-184.5939941,2024-06-15 02:32:19.694497
5.734795958,174.3009644,-45.01419067,-185.1521454,2024-06-15 02:32:19.734796
5.775093958,175.2145996,-45.42533875,-184.8394165,2024-06-15 02:32:19.775094
5.815392958,176.1483154,-45.53320312,-185.0001373,2024-06-15 02:32:19.815393
5.855690958,176.8527832,-45.70466614,-185.2417297,2024-06-15 02:32:19.855691
