Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.016757625,-0.1949367076,-0.7692260146,0.4077963829,2024-06-04 16:48:43.016758
0.056500625,-0.2052788436,-0.4355436265,0.1564102769,2024-06-04 16:48:43.056501
0.096243625,-0.1917574257,-0.6124148369,0.03078757226,2024-06-04 16:48:43.096244
0.135985625,-0.1136258841,-0.9164355993,0.2304306775,2024-06-04 16:48:43.135986
0.1757283333,-0.3688930869,-0.7095803618,-0.0415318273,2024-06-04 16:48:43.175728
0.2154703333,-0.01735633984,-0.483233422,0.09582009912,2024-06-04 16:48:43.215470
0.2552133333,-0.0903242901,-0.6892518997,0.2001942098,2024-06-04 16:48:43.255213
0.2949553333,-0.1921750307,-0.8821971416,0.05356859043,2024-06-04 16:48:43.294955
0.3346983333,-0.2119340748,-0.7415659428,0.0392418839,2024-06-04 16:48:43.334698
0.3744403333,-0.1841695756,-0.8772870302,0.209275797,2024-06-04 16:48:43.374440
0.4141833333,-0.08537002653,-0.2600224316,-0.05655933172,2024-06-04 16:48:43.414183
0.4539263333,-1.106702328,1.730198622,-0.5469232798,2024-06-04 16:48:43.453926
0.4936683333,-3.08223629,4.175919533,-0.5789536238,2024-06-04 16:48:43.493668
0.5334113333,-0.8037071228,5.073718071,-0.8033965826,2024-06-04 16:48:43.533411
0.5731533333,0.08171831071,1.841376424,-0.969612062,2024-06-04 16:48:43.573153
0.6128963333,2.617133617,1.432069659,-2.188635588,2024-06-04 16:48:43.612896
0.6526383333,2.038950443,2.852258205,-1.817846417,2024-06-04 16:48:43.652638
0.6923813333,2.101254463,3.536717653,0.1105273888,2024-06-04 16:48:43.692381
0.7321233333,1.54018569,-3.457897902,1.799978733,2024-06-04 16:48:43.732123
0.7718663333,1.426202178,-2.027866125,0.9529734254,2024-06-04 16:48:43.771866
0.8116083333,2.190219402,-0.07343009114,-1.484811902,2024-06-04 16:48:43.811608
0.8513513333,2.456510544,-2.05781889,-1.521029949,2024-06-04 16:48:43.851351
0.8910943333,1.339375377,-1.226024508,-3.234673023,2024-06-04 16:48:43.891094
0.9308363333,0.7800345421,0.3568929732,-2.598907709,2024-06-04 16:48:43.930836
0.9705793333,0.9829125404,0.1073588356,-0.9999579787,2024-06-04 16:48:43.970579
1.010321333,0.6087727547,0.7958517075,-0.7982148528,2024-06-04 16:48:44.010321
1.050064333,-0.628012538,1.288579583,-1.054879189,2024-06-04 16:48:44.050064
1.089806333,-1.247130871,1.435714602,-0.7046144605,2024-06-04 16:48:44.089806
1.129549333,-1.978620052,1.773151517,-1.363328934,2024-06-04 16:48:44.129549
1.169290708,-2.422932625,2.070336103,-1.725479245,2024-06-04 16:48:44.169291
1.209033708,-1.694298506,2.322683334,-1.300872087,2024-06-04 16:48:44.209034
1.248775708,-2.110283852,1.993250847,-0.9616507292,2024-06-04 16:48:44.248776
1.288518708,-1.196996808,2.272424698,-1.421549797,2024-06-04 16:48:44.288519
1.328260708,-0.9575845599,2.413286209,-0.9081405997,2024-06-04 16:48:44.328261
1.368003708,-1.014312029,0.298748225,0.3357571065,2024-06-04 16:48:44.368004
1.407745708,-1.409383535,-1.035068274,2.036090374,2024-06-04 16:48:44.407746
1.447488708,-3.014430523,-3.712941408,3.39907217,2024-06-04 16:48:44.447489
1.487230708,-5.018352985,-4.628230095,2.380265474,2024-06-04 16:48:44.487231
1.526973708,-5.610501289,-5.488736629,0.8134717941,2024-06-04 16:48:44.526974
1.566715708,-7.418590069,-6.203355789,1.032991052,2024-06-04 16:48:44.566716
1.606458708,-9.222868919,-1.535071373,0.09866274148,2024-06-04 16:48:44.606459
1.646200708,-8.97919178,0.6020666361,0.4160323143,2024-06-04 16:48:44.646201
1.685943708,-7.850667477,-0.153222695,2.781116962,2024-06-04 16:48:44.685944
1.725685708,-6.145701408,1.485791683,3.211052895,2024-06-04 16:48:44.725686
1.765428708,1.21091938,2.787659407,1.410476804,2024-06-04 16:48:44.765429
1.805170708,-0.7818623185,1.941884398,1.912426472,2024-06-04 16:48:44.805171
1.844913708,0.1973098665,0.8193234801,3.538486242,2024-06-04 16:48:44.844914
1.884655708,1.885558724,-0.1811485291,0.5405794978,2024-06-04 16:48:44.884656
1.924398708,2.672757387,-1.066310167,-1.052881956,2024-06-04 16:48:44.924399
1.964140708,1.628251791,-1.340386033,-0.9990835786,2024-06-04 16:48:44.964141
2.003883708,0.1516765952,-2.36188817,0.5097213984,2024-06-04 16:48:45.003884
2.043625708,-0.5472945571,-0.0874638781,-1.049407125,2024-06-04 16:48:45.043626
2.083368708,0.7766560316,-0.4702492058,-1.827136517,2024-06-04 16:48:45.083369
2.123110708,-0.2522645295,-1.079685688,1.950113773,2024-06-04 16:48:45.123111
2.162854083,-0.8186669946,4.274474621,0.4207130075,2024-06-04 16:48:45.162854
2.202596083,-0.04131418094,5.188807964,-0.01351837907,2024-06-04 16:48:45.202596
2.242339083,5.460426807,1.728688359,-0.3401224017,2024-06-04 16:48:45.242339
2.282081083,6.451086044,1.397709846,-4.269600868,2024-06-04 16:48:45.282081
2.321824083,4.00707674,-1.384790182,-4.986045361,2024-06-04 16:48:45.321824
2.361566083,-0.3020924926,-4.114055634,-3.626268864,2024-06-04 16:48:45.361566
2.401309083,-1.893739343,-2.384044886,-1.608321071,2024-06-04 16:48:45.401309
2.441051083,-1.681144118,-0.1923913062,0.4818179607,2024-06-04 16:48:45.441051
2.480794083,-0.9866032004,5.102602005,-0.001085703727,2024-06-04 16:48:45.480794
2.520536083,-1.181754589,3.465373993,-0.008275494911,2024-06-04 16:48:45.520536
2.560279083,-2.132245064,0.4353684783,1.75381577,2024-06-04 16:48:45.560279
2.600021083,-1.320944905,1.435717225,0.3339261413,2024-06-04 16:48:45.600021
2.639764083,1.0492239,-1.883049607,3.540094137,2024-06-04 16:48:45.639764
2.679506083,-0.3004930019,-2.09479475,4.681267262,2024-06-04 16:48:45.679506
2.719249083,-0.09195767343,-3.220404625,-0.08505772054,2024-06-04 16:48:45.719249
2.758991083,-0.4780609012,-1.313324213,1.015771389,2024-06-04 16:48:45.758991
2.798734083,0.5730739236,-2.119200706,2.249813795,2024-06-04 16:48:45.798734
2.838476083,-0.7055385113,-1.045632124,1.248488903,2024-06-04 16:48:45.838476
2.878219083,0.5618800521,-1.737747192,-0.3024444282,2024-06-04 16:48:45.878219
2.917961083,0.5358652472,0.1066237688,-0.7598587275,2024-06-04 16:48:45.917961
2.957704083,0.1576167643,0.499460578,0.2440541834,2024-06-04 16:48:45.957704
2.997446083,-1.009313822,0.01569004357,1.192378283,2024-06-04 16:48:45.997446
3.037188083,-0.1393659264,0.5758678913,0.3963482678,2024-06-04 16:48:46.037188
3.076931083,-0.949790597,2.25238657,-1.228721738,2024-06-04 16:48:46.076931
3.116673083,-2.850387096,1.410719752,-2.179675341,2024-06-04 16:48:46.116673
3.156415958,-1.001136065,2.462569714,-3.67767477,2024-06-04 16:48:46.156416
3.196157958,1.128195882,3.811454058,-1.687332153,2024-06-04 16:48:46.196158
3.235900958,-0.2873716652,0.3491421938,-0.08022458106,2024-06-04 16:48:46.235901
3.275642958,1.099175215,-1.346283555,-0.6428957582,2024-06-04 16:48:46.275643
3.315385958,-0.126205653,-1.858525038,-1.785420775,2024-06-04 16:48:46.315386
3.355127958,-2.359330893,-3.604824066,-2.632474422,2024-06-04 16:48:46.355128
3.394870958,0.5496708155,-0.9545186758,-1.242367864,2024-06-04 16:48:46.394871
