Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.02427762501,-5.796546021,3.188369751,6.340963898,2024-06-05 16:22:28.024278
0.073953625,-3.384461975,4.260440369,8.782835999,2024-06-05 16:22:28.073954
0.113694625,-4.832251282,4.540957031,5.280868378,2024-06-05 16:22:28.113695
0.153435625,-3.816164246,3.233575745,10.77279785,2024-06-05 16:22:28.153436
0.193176625,-4.470603333,3.273692322,9.46601532,2024-06-05 16:22:28.193177
0.2329200833,-5.514233093,3.671115875,6.874155121,2024-06-05 16:22:28.232920
0.2726610833,-4.290527802,3.685635681,8.602910156,2024-06-05 16:22:28.272661
0.3124020833,-3.684438171,4.608466644,6.434519348,2024-06-05 16:22:28.312402
0.3521430833,-4.969665527,4.423152008,8.524622955,2024-06-05 16:22:28.352143
0.3918840833,-2.498753815,2.883304138,7.336693268,2024-06-05 16:22:28.391884
0.4316240833,-3.675756226,6.041885834,8.758287048,2024-06-05 16:22:28.431624
0.4713650833,-1.764380951,3.758085022,7.725883942,2024-06-05 16:22:28.471365
0.5111060833,-5.61991333,0.5655239868,8.731642456,2024-06-05 16:22:28.511106
0.5508470833,-0.04311035156,2.012115784,12.34887039,2024-06-05 16:22:28.550847
0.5905880833,0.5149291992,1.341510315,7.717651062,2024-06-05 16:22:28.590588
0.6303290833,-1.519041138,-0.6041436768,4.966072998,2024-06-05 16:22:28.630329
0.6700690833,-0.3486250305,2.077679443,9.498198395,2024-06-05 16:22:28.670069
0.7098100833,-2.793341217,-0.9879455566,8.51234848,2024-06-05 16:22:28.709810
0.7495510833,3.955823822,2.115700378,16.74717407,2024-06-05 16:22:28.749551
0.7892920833,2.344574432,1.67786087,11.45837219,2024-06-05 16:22:28.789292
0.8290330833,0.6023474121,5.439089355,6.499633942,2024-06-05 16:22:28.829033
0.8687740833,0.4983137512,2.960543518,11.38831787,2024-06-05 16:22:28.868774
0.9085140833,1.00396225,3.458857269,11.55836426,2024-06-05 16:22:28.908514
0.9482550833,1.289268951,5.386099548,9.768236847,2024-06-05 16:22:28.948255
0.9879960833,0.1889071655,3.819756775,9.642049255,2024-06-05 16:22:28.987996
1.027737083,0.7896080017,4.289629669,8.33571579,2024-06-05 16:22:29.027737
1.067478083,-0.2932402039,3.891906738,7.37501358,2024-06-05 16:22:29.067478
1.107218083,0.9488768005,4.410877533,7.781268768,2024-06-05 16:22:29.107218
1.146959083,0.1402583313,3.615281982,7.977810059,2024-06-05 16:22:29.146959
1.186700083,0.603993988,3.726800079,8.60710144,2024-06-05 16:22:29.186700
1.226438125,0.7122189331,4.408183136,7.719447327,2024-06-05 16:22:29.226438
1.266179125,0.37676651,4.269721069,8.538544006,2024-06-05 16:22:29.266179
1.305919125,0.5051994324,3.713627472,9.473350067,2024-06-05 16:22:29.305919
1.345660125,0.9380992126,4.097129974,9.085207214,2024-06-05 16:22:29.345660
1.385401125,-0.1703457642,3.686833191,9.05062912,2024-06-05 16:22:29.385401
1.425142125,0.06601272583,4.390968933,8.359366608,2024-06-05 16:22:29.425142
1.464883125,2.205064545,4.115691376,7.050787811,2024-06-05 16:22:29.464883
1.504623125,0.5692662048,3.110232239,8.258326721,2024-06-05 16:22:29.504623
1.544364125,1.573976898,1.353036346,5.67020874,2024-06-05 16:22:29.544364
1.584105125,1.468596039,-0.1963916016,3.08433609,2024-06-05 16:22:29.584105
1.623846125,1.951042786,1.850751343,5.901328125,2024-06-05 16:22:29.623846
1.663587125,0.4531077576,-1.14437027,9.912387085,2024-06-05 16:22:29.663587
1.703327125,-2.232158203,-0.2541714478,17.5602832,2024-06-05 16:22:29.703327
1.743068125,1.906435547,1.554068298,16.25290192,2024-06-05 16:22:29.743068
1.782809125,-3.521277466,6.022126923,6.527625732,2024-06-05 16:22:29.782809
1.822550125,-6.362818451,0.9410929871,9.845925293,2024-06-05 16:22:29.822550
1.862291125,-10.14081207,-0.1121168518,13.96640671,2024-06-05 16:22:29.862291
1.902031125,-6.937323761,-1.962718506,14.43253738,2024-06-05 16:22:29.902031
1.941772125,-7.676786041,-5.002896423,5.582341461,2024-06-05 16:22:29.941772
1.981513125,1.552122345,-3.039429474,4.290527802,2024-06-05 16:22:29.981513
2.021254125,-5.641468506,-11.59683426,7.184160461,2024-06-05 16:22:30.021254
2.060994125,3.505709839,-3.914360046,1.420096893,2024-06-05 16:22:30.060994
2.100735125,0.6216572571,-4.334087219,12.51846771,2024-06-05 16:22:30.100735
2.140476125,-9.973011017,-6.347400513,8.208181,2024-06-05 16:22:30.140476
2.180217125,-9.839338989,-3.095562744,12.53687943,2024-06-05 16:22:30.180217
2.219958083,-8.990603943,-3.895948334,7.540718994,2024-06-05 16:22:30.219958
2.259698083,-11.26287872,-3.060685272,7.336244202,2024-06-05 16:22:30.259698
2.299439083,-9.087302856,-2.156864777,9.426497498,2024-06-05 16:22:30.299439
2.339180083,-4.250710602,-3.098556519,8.137228546,2024-06-05 16:22:30.339180
2.378921083,-6.659052429,-4.209246826,3.528911591,2024-06-05 16:22:30.378921
2.418662083,-4.515210571,-6.560856628,8.612041168,2024-06-05 16:22:30.418662
2.458402083,-7.176676025,-9.686656494,2.685864716,2024-06-05 16:22:30.458402
2.498143083,-3.187471619,-2.215093689,12.17478241,2024-06-05 16:22:30.498143
2.537884083,-5.88665863,-3.820654907,7.94368103,2024-06-05 16:22:30.537884
2.577625083,-6.775510254,-3.632945251,4.908143463,2024-06-05 16:22:30.577625
2.617365083,-6.640041962,-4.568799133,4.17841095,2024-06-05 16:22:30.617365
2.657106083,-7.819888458,-4.488266602,6.711144104,2024-06-05 16:22:30.657106
2.696847083,-8.067323914,-8.219707031,2.505789185,2024-06-05 16:22:30.696847
2.736588083,-3.383713531,-5.228926392,5.285957794,2024-06-05 16:22:30.736588
2.776329083,-6.294710083,-7.988437958,5.398074646,2024-06-05 16:22:30.776329
2.816070083,-6.330635376,-8.764424286,0.4019142151,2024-06-05 16:22:30.816070
2.855810083,-3.949836273,-9.283544769,1.79491745,2024-06-05 16:22:30.855810
2.895551083,-3.842359772,-2.708168335,6.67417099,2024-06-05 16:22:30.895551
2.935292083,-8.910670166,-8.059989166,2.312391357,2024-06-05 16:22:30.935292
2.975033083,-10.04306534,-5.977220306,4.993765411,2024-06-05 16:22:30.975033
3.014774083,-8.820557556,-5.517077179,5.86091217,2024-06-05 16:22:31.014774
3.054514083,-6.211333466,-4.015100555,3.955225067,2024-06-05 16:22:31.054514
3.094255083,-6.972949677,-2.664908295,4.675078125,2024-06-05 16:22:31.094255
3.133996083,-12.26294907,-5.959706726,2.017354889,2024-06-05 16:22:31.133996
3.173737083,-9.390572205,-2.604284363,3.379073181,2024-06-05 16:22:31.173737
3.213478083,-7.796686707,-2.6701474,1.036893768,2024-06-05 16:22:31.213478
3.25321825,-7.397017822,-3.804338837,0.2848576355,2024-06-05 16:22:31.253218
3.29295925,-5.35077301,-4.623285828,2.850522308,2024-06-05 16:22:31.292959
3.33270025,-6.192772064,-4.546046448,6.261479187,2024-06-05 16:22:31.332700
3.37244125,-6.851252747,-5.506149902,3.691323853,2024-06-05 16:22:31.372441
3.41218225,-10.49901718,-3.301384735,6.564898224,2024-06-05 16:22:31.412182
3.45192225,-12.31144821,-3.401975555,-2.201322327,2024-06-05 16:22:31.451922
3.49166325,-5.38594986,2.203118591,4.14562912,2024-06-05 16:22:31.491663
3.53140425,-6.62731842,-2.451751556,8.689729614,2024-06-05 16:22:31.531404
3.57114525,-8.339008942,-1.33971405,3.010838928,2024-06-05 16:22:31.571145
3.61088625,-14.17477341,0.7183561707,6.280489655,2024-06-05 16:22:31.610886
3.65062625,-11.17126923,-1.051263885,-1.723066864,2024-06-05 16:22:31.650626
3.69036725,-8.192763062,-6.352789307,-2.165397034,2024-06-05 16:22:31.690367
3.73010825,-6.679110718,-1.63579834,12.42610977,2024-06-05 16:22:31.730108
3.76984925,1.444496155,-2.862796783,1.6907341,2024-06-05 16:22:31.769849
3.80958925,-9.184600525,-7.744145966,12.53493347,2024-06-05 16:22:31.809589
3.84933025,-3.474873962,-5.197342072,5.032385101,2024-06-05 16:22:31.849330
3.88907125,-9.439969482,-8.053103485,-11.81747543,2024-06-05 16:22:31.889071
3.92881225,-6.037245483,-0.16615448,8.599467316,2024-06-05 16:22:31.928812
3.96855325,-15.0720076,-14.96408203,7.036417694,2024-06-05 16:22:31.968553
4.00829325,-2.473905487,-7.102580109,7.412884827,2024-06-05 16:22:32.008293
4.04803425,1.752256165,-9.429191895,2.861599274,2024-06-05 16:22:32.048034
4.08777525,-12.09499832,-16.52428757,6.662944336,2024-06-05 16:22:32.087775
4.12751525,-4.846022644,-3.925736389,14.34092789,2024-06-05 16:22:32.127515
4.16725625,-1.477427673,-6.661746826,3.460952911,2024-06-05 16:22:32.167256
4.20699725,-4.48497345,-10.68493057,7.552694092,2024-06-05 16:22:32.206997
4.246738333,-3.509152679,-6.051615601,7.73187149,2024-06-05 16:22:32.246738
4.286478333,-2.108215942,-4.378544769,3.490291901,2024-06-05 16:22:32.286478
4.326219333,-5.209616547,-4.245471497,4.756059723,2024-06-05 16:22:32.326219
4.365960333,-3.071013794,-1.339115295,3.879183197,2024-06-05 16:22:32.365960
4.405700333,-4.095483398,-1.944157104,5.431155853,2024-06-05 16:22:32.405700
4.445441333,-5.999374237,-2.077080688,5.815257111,2024-06-05 16:22:32.445441
4.485182333,-4.237388306,-2.018103333,7.150031433,2024-06-05 16:22:32.485182
4.524923333,-8.201445007,-4.366869049,6.321654053,2024-06-05 16:22:32.524923
4.564663333,-6.278394012,-5.30167511,10.6049968,2024-06-05 16:22:32.564663
4.604404333,-5.905669098,-5.641917572,7.21589447,2024-06-05 16:22:32.604404
4.644145333,-7.558382263,1.582808533,2.970572662,2024-06-05 16:22:32.644145
4.683885333,-5.804629211,-7.47455658,6.692582703,2024-06-05 16:22:32.683885
4.723626333,-8.875493317,-12.18106934,3.055595856,2024-06-05 16:22:32.723626
4.763367333,-4.838837585,0.4046086121,5.208718414,2024-06-05 16:22:32.763367
4.803107333,-5.309309235,-15.03473511,-0.1592687988,2024-06-05 16:22:32.803107
4.842848333,-0.4065545654,-16.10964981,10.90632019,2024-06-05 16:22:32.842848
4.882589333,-7.385342102,-9.366172943,3.512296143,2024-06-05 16:22:32.882589
4.922329333,-3.488345947,-11.01783829,3.7384758,2024-06-05 16:22:32.922329
4.962070333,-3.977229309,-10.57625656,4.931644592,2024-06-05 16:22:32.962070
5.001811333,-3.841611328,-10.21116577,2.599344635,2024-06-05 16:22:33.001811
5.041551333,-7.560926971,-5.17533783,6.471941528,2024-06-05 16:22:33.041551
5.081292333,-8.754844208,-3.599864044,2.743494873,2024-06-05 16:22:33.081292
5.121032333,-8.515491943,-5.72873703,5.957012329,2024-06-05 16:22:33.121032
5.160773333,-7.341782684,-4.909790039,6.891519012,2024-06-05 16:22:33.160773
5.200514333,-10.71142548,-7.937693481,6.623127136,2024-06-05 16:22:33.200514
5.240253375,-6.472091217,-4.463717651,6.065536652,2024-06-05 16:22:33.240253
5.279994375,-1.11278595,-2.199675751,1.895358582,2024-06-05 16:22:33.279994
5.319734375,-2.130070496,2.627486115,3.211571503,2024-06-05 16:22:33.319734
5.359475375,-3.942501526,0.7068301392,5.93470871,2024-06-05 16:22:33.359475
5.399216375,-5.744154968,0.3622467041,5.122946777,2024-06-05 16:22:33.399216
5.438956375,-3.800895996,-2.172582092,5.565426636,2024-06-05 16:22:33.438956
5.478697375,-4.119732971,-1.221160583,6.755601654,2024-06-05 16:22:33.478697
5.518437375,-5.331163788,-4.741390228,4.481530609,2024-06-05 16:22:33.518437
5.558178375,-5.599256287,-4.031266937,6.348148956,2024-06-05 16:22:33.558178
5.597919375,-7.350314941,-5.749693451,4.348307648,2024-06-05 16:22:33.597919
5.637659375,-5.639522552,-7.304210815,5.865552521,2024-06-05 16:22:33.637659
5.677400375,-9.851164398,-9.525292053,6.785090332,2024-06-05 16:22:33.677400
5.717140375,-10.05324417,-8.656199341,5.533093872,2024-06-05 16:22:33.717140
5.756881375,-6.269712067,-7.601043549,3.653602295,2024-06-05 16:22:33.756881
5.796622375,-4.752167816,-8.575966187,7.579188995,2024-06-05 16:22:33.796622
5.836362375,-5.278024292,-8.862320709,6.590345306,2024-06-05 16:22:33.836362
5.876103375,-4.395010529,-8.14261734,1.451531525,2024-06-05 16:22:33.876103
5.915843375,-7.184160461,-6.600374451,2.62329483,2024-06-05 16:22:33.915843
5.955584375,-7.046446838,-6.857090607,6.274502106,2024-06-05 16:22:33.955584
5.995324375,-3.62845459,-6.064937897,6.057303772,2024-06-05 16:22:33.995324
6.035065375,-7.030430145,-7.745044098,7.012766876,2024-06-05 16:22:34.035065
6.074805375,-5.70418808,-6.371650085,6.765032043,2024-06-05 16:22:34.074805
6.114546375,-7.976013794,-6.073170776,7.953710175,2024-06-05 16:22:34.114546
6.154287375,-7.526348877,-6.53376297,5.524561615,2024-06-05 16:22:34.154287
6.194027375,-6.981332245,-4.711003418,5.670358429,2024-06-05 16:22:34.194027
6.233768583,-4.193230133,-0.7071295166,4.130061493,2024-06-05 16:22:34.233769
6.273508583,-3.608695679,-1.625320129,3.878584442,2024-06-05 16:22:34.273509
6.313249583,-3.635789337,-0.3866459656,1.770967255,2024-06-05 16:22:34.313250
6.352989583,-0.6631210327,2.528392181,5.44672348,2024-06-05 16:22:34.352990
6.392730583,-2.904709625,-0.9526190186,6.856342163,2024-06-05 16:22:34.392731
6.432470583,-2.902015228,-3.042722626,6.859785004,2024-06-05 16:22:34.432471
6.472211583,-4.310885468,-4.196223907,6.998396759,2024-06-05 16:22:34.472212
6.511951583,-6.742728424,-5.433550873,6.232289886,2024-06-05 16:22:34.511952
