Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.008483791666,0.01642512113,0.06789932996,-0.8212291592,2024-06-05 18:03:09.008484
0.04821879166,0.337158933,-0.04799716204,-0.622785185,2024-06-05 18:03:09.048219
0.08795279167,0.6301751154,0.2232145339,-0.01909992993,2024-06-05 18:03:09.087953
0.1276877917,0.1740920021,0.2974385047,-0.901559962,2024-06-05 18:03:09.127688
0.1674217917,0.660647295,0.3662561399,0.1038792944,2024-06-05 18:03:09.167422
0.2071567917,0.7920277988,-0.2758932692,-0.2893412805,2024-06-05 18:03:09.207157
0.2468907917,0.8449229541,-0.6995912862,-1.647962303,2024-06-05 18:03:09.246891
0.2866247917,1.340943427,-1.83154207,-3.106971247,2024-06-05 18:03:09.286625
0.3263597917,3.946099318,-5.500970439,-7.678800992,2024-06-05 18:03:09.326360
0.3660937917,5.210286638,-6.312604317,-10.01262473,2024-06-05 18:03:09.366094
0.4058287917,7.532817067,-5.360348995,-10.90691778,2024-06-05 18:03:09.405829
0.4455627917,4.716890395,-6.656532279,-11.01576954,2024-06-05 18:03:09.445563
0.4852975417,-4.483495274,-11.28395677,9.974464635,2024-06-05 18:03:09.485298
0.5250315417,-5.759988059,-8.849902977,1.834939302,2024-06-05 18:03:09.525032
0.5647665417,-10.18372713,-14.05315366,3.999056965,2024-06-05 18:03:09.564767
0.6045005417,-6.644730844,-6.576297371,16.97066401,2024-06-05 18:03:09.604501
0.6442345417,-9.388437971,-4.0815565,40.64582969,2024-06-05 18:03:09.644235
0.6839695417,-7.381271271,-1.125432892,3.686333839,2024-06-05 18:03:09.683970
0.7237035417,4.104278196,9.181289831,-4.847554615,2024-06-05 18:03:09.723704
0.7634385417,-3.210146536,4.693481067,-0.2209101462,2024-06-05 18:03:09.763439
0.8031725417,4.14497774,2.91220751,-2.102610801,2024-06-05 18:03:09.803173
0.8429075417,-0.831660592,1.404909335,0.6642238176,2024-06-05 18:03:09.842908
0.8826415417,0.005644317269,-1.029383605,-5.04215229,2024-06-05 18:03:09.882642
0.9223765417,4.295089214,-10.71450228,-1.858076735,2024-06-05 18:03:09.922377
0.9621105417,7.291562119,-0.1205830353,3.544890862,2024-06-05 18:03:09.962111
1.001844542,1.021062432,-4.398670886,-5.275204765,2024-06-05 18:03:10.001845
1.041579542,-9.257085534,-1.497831532,3.902116562,2024-06-05 18:03:10.041580
1.081313542,4.813699236,2.634737247,-9.754921567,2024-06-05 18:03:10.081314
1.121048542,1.62093004,5.402713242,8.629270574,2024-06-05 18:03:10.121049
1.160782542,-1.569527752,3.885024565,-6.937195707,2024-06-05 18:03:10.160783
1.200516542,-5.134592092,8.862016069,-5.597041946,2024-06-05 18:03:10.200517
1.240251542,1.792000566,-8.146194082,0.2846705063,2024-06-05 18:03:10.240252
1.279985542,1.950063377,-9.689012337,-8.608318831,2024-06-05 18:03:10.279986
1.319720542,11.01967314,0.872844286,6.883886642,2024-06-05 18:03:10.319721
1.359454542,-0.6014925492,3.96306326,-1.745438165,2024-06-05 18:03:10.359455
1.399189542,-2.270734039,2.032731897,-0.8462434016,2024-06-05 18:03:10.399190
1.438923542,3.951677561,-4.58372766,1.840273717,2024-06-05 18:03:10.438924
1.478657208,4.606616001,0.7425192046,1.706665424,2024-06-05 18:03:10.478657
1.518392208,4.508633623,1.226233628,1.08833114,2024-06-05 18:03:10.518392
1.558126208,7.153829784,-1.764987307,3.557754151,2024-06-05 18:03:10.558126
1.597861208,6.721739843,-4.15267443,3.710282865,2024-06-05 18:03:10.597861
1.637595208,0.7363793358,-5.644870416,2.411109899,2024-06-05 18:03:10.637595
1.677329208,-3.847558531,-7.20024966,-1.443952948,2024-06-05 18:03:10.677329
1.717064208,-4.266603334,-5.011316414,-0.827840606,2024-06-05 18:03:10.717064
1.756798208,-4.548030993,-4.603239233,-2.173249844,2024-06-05 18:03:10.756798
1.796533208,-3.043336583,-2.831031784,-1.856789178,2024-06-05 18:03:10.796533
1.836267208,-3.645154822,-3.035242283,-0.1782324886,2024-06-05 18:03:10.836267
1.876001208,-2.593131968,-0.7603222221,-3.218595178,2024-06-05 18:03:10.876001
1.915736208,-1.266665516,0.8293781313,-0.95971403,2024-06-05 18:03:10.915736
1.955470208,-1.307553195,-2.884083864,-2.580987886,2024-06-05 18:03:10.955470
1.995205208,-0.3704021081,0.9371522561,-5.108979533,2024-06-05 18:03:10.995205
2.034939208,0.01314907238,3.517099338,-5.784970872,2024-06-05 18:03:11.034939
2.074673208,1.320968754,5.028201419,-5.703311582,2024-06-05 18:03:11.074673
2.114408208,-0.2096484089,2.69238173,-6.489320623,2024-06-05 18:03:11.114408
2.154142208,-1.04584264,1.0217755,-1.929432061,2024-06-05 18:03:11.154142
2.193876208,-1.045157346,0.9862776384,-2.587812172,2024-06-05 18:03:11.193876
2.233611208,0.7691500559,-4.104329066,4.386843138,2024-06-05 18:03:11.233611
2.273345208,-0.2417727193,1.039049344,-2.165444396,2024-06-05 18:03:11.273345
2.313080208,2.226445181,5.45265665,-1.855126814,2024-06-05 18:03:11.313080
2.352814208,2.19027986,-2.099384893,3.44029119,2024-06-05 18:03:11.352814
2.392548208,-1.391651943,-7.0061642,3.908730347,2024-06-05 18:03:11.392548
2.432283208,-3.498926484,4.404979447,2.140278565,2024-06-05 18:03:11.432283
2.472017458,-2.693292434,5.071715228,0.6802323246,2024-06-05 18:03:11.472017
2.511751458,-2.026006575,2.399477448,-0.6254579473,2024-06-05 18:03:11.511751
2.551486458,-3.653856064,-4.397447648,1.946008333,2024-06-05 18:03:11.551486
2.591220458,-2.805299358,-3.104687324,1.264038216,2024-06-05 18:03:11.591220
2.630955458,-0.7472567649,1.630291432,-0.07695754409,2024-06-05 18:03:11.630955
2.670689458,-0.9606392057,0.8949777514,-0.9796460187,2024-06-05 18:03:11.670689
2.710423458,-0.9219069569,0.05628939092,0.2129509163,2024-06-05 18:03:11.710423
2.750158458,2.008493287,-0.6228758168,1.394684602,2024-06-05 18:03:11.750158
2.789892458,-0.02341707543,-1.197170627,0.09774878114,2024-06-05 18:03:11.789892
2.829626458,-0.6088194028,-0.2797003913,0.5445301437,2024-06-05 18:03:11.829626
2.869361458,-1.165728175,0.3883872664,3.069587073,2024-06-05 18:03:11.869361
2.909095458,0.2798168605,-0.2056857508,3.781461021,2024-06-05 18:03:11.909095
2.948830458,-1.852827397,-1.309388051,-1.526516803,2024-06-05 18:03:11.948830
2.988564458,-0.0004101273604,0.3772962677,-0.6746236753,2024-06-05 18:03:11.988564
3.028298458,2.15841502,2.55815217,-0.2908106858,2024-06-05 18:03:12.028298
3.068033458,3.134409306,0.6068871903,1.138408156,2024-06-05 18:03:12.068033
3.107767458,-1.636799968,-2.27844944,2.163770338,2024-06-05 18:03:12.107767
3.147502458,-2.680978197,0.2046519631,-0.1825383782,2024-06-05 18:03:12.147502
3.187236458,1.521513048,-4.665942435,2.324028486,2024-06-05 18:03:12.187236
