Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.009366989136,51.93588017,4.476225077,2.057140827,,,11.28167733,20.27304077,2024-06-05 18:03:09.009367
0.01148498058,51.93588017,4.476225077,2.022541285,,,11.28167733,19.96578407,2024-06-05 18:03:09.011485
0.01148498058,51.93588017,4.476225077,2.009183168,,,11.28167733,16.62128067,2024-06-05 18:03:09.011485
4.223411083,51.93567992,4.476875653,1.709377289,3.789999962,183.8671875,11.63703453,3.0,2024-06-05 18:03:13.223411
5.260176897,51.9356813,4.47678756,1.875026703,1.909999967,227.109375,8.879163842,3.0,2024-06-05 18:03:14.260177
6.235455275,51.9357567,4.476712877,0.7132835388,2.210000038,226.0546875,7.222621189,3.0,2024-06-05 18:03:15.235455
7.234813333,51.93570984,4.476574156,1.454250336,2.210000038,232.734375,5.901499993,3.0,2024-06-05 18:03:16.234813
8.234122872,51.9356748,4.476538198,2.533718109,3.150000095,206.71875,5.576590042,3.0,2024-06-05 18:03:17.234123
9.233446121,51.93565087,4.476516908,2.89358139,3.230000019,202.8515625,5.398622406,3.0,2024-06-05 18:03:18.233446
10.23281217,51.9356062,4.476457313,2.955287933,6.510000229,215.859375,4.773093085,3.0,2024-06-05 18:03:19.232812
11.23217475,51.93560176,4.476390425,3.193080902,6.510000229,253.4765625,4.562607037,3.0,2024-06-05 18:03:20.232175
12.23159945,51.93557179,4.476349773,3.096340179,5.170000076,207.7734375,4.350658794,3.0,2024-06-05 18:03:21.231599
13.23107946,51.93553068,4.476314744,3.096342341,5.170000076,207.7734099,4.771710802,3.324953091,2024-06-05 18:03:22.231079
14.23055112,51.93549997,4.476282603,4.437405897,3.910000086,212.6952883,4.749550154,3.356532491,2024-06-05 18:03:23.230551
15.23008227,51.93546776,4.476247459,5.326016724,3.890000105,218.6718472,4.706286902,3.416928537,2024-06-05 18:03:24.230082
16.22964704,51.93545656,4.476196059,5.247708206,3.140000105,207.0702961,4.706108458,3.417174303,2024-06-05 18:03:25.229647
17.2292155,51.93541454,4.476142971,5.25533856,4.699999809,193.7109247,4.673552922,3.461566137,2024-06-05 18:03:26.229215
18.22882938,51.93540796,4.476085646,4.998868307,3.920000076,199.3359226,4.609653438,3.546213786,2024-06-05 18:03:27.228829
19.22848392,51.93537492,4.476039713,5.327359945,4.559999943,208.4765376,4.609653369,3.546213876,2024-06-05 18:03:28.228484
20.2281251,51.93534566,4.476017199,5.405728783,4.119999886,208.47654,4.623218497,3.5285107,2024-06-05 18:03:29.228125
21.22779238,51.93531747,4.475990268,5.456693284,4.340000153,210.5859122,4.722833274,3.394021642,2024-06-05 18:03:30.227792
22.22747862,51.93527755,4.475983774,5.283353441,4.340000153,198.6327966,5.054159699,3.095484748,2024-06-05 18:03:31.227479
23.22718191,51.93521866,4.475965061,5.216153735,4.340000153,195.4687367,6.105212235,3.0,2024-06-05 18:03:32.227182
24.2269026,51.93518157,4.475929629,5.91976753,5.039999962,202.8515401,7.017526407,3.0,2024-06-05 18:03:33.226903
25.22664034,51.93517397,4.475846596,5.89504829,5.039999962,221.835899,6.087577199,3.0,2024-06-05 18:03:34.226640
26.22639167,51.93516627,4.47578882,5.873319249,4.320000172,229.2187126,6.718166389,3.0,2024-06-05 18:03:35.226392
27.22615957,51.93515904,4.475684076,6.433317177,4.840000153,236.2499539,6.230681787,3.0,2024-06-05 18:03:36.226160
28.2259407,51.93511726,4.47566539,6.226102823,4.840000153,224.6483986,6.449010851,3.0,2024-06-05 18:03:37.225941
29.22573173,51.93508874,4.475628826,6.035428994,4.840000153,242.5780758,5.521184957,3.0,2024-06-05 18:03:38.225732
30.22553599,51.93502813,4.475622342,6.716642383,4.849999905,208.1249738,4.901585687,3.173160451,2024-06-05 18:03:39.225536
31.22535062,51.93501661,4.475529471,6.895658555,4.929999828,232.7343301,4.856382704,3.200013135,2024-06-05 18:03:40.225351
32.22517514,51.93501753,4.475399201,6.801604581,6.300000191,253.124931,4.79418412,3.292466501,2024-06-05 18:03:41.225175
33.22501063,51.93497376,4.47541884,3.503891424,4.624540841,228.8353465,5.016751355,3.044449819,2024-06-05 18:03:42.225011
34.22485542,51.93493459,4.475394346,3.132770207,4.612664879,216.9639217,5.014786804,3.048111623,2024-06-05 18:03:43.224855
35.22470701,51.93490076,4.475368895,3.347813743,4.274123457,214.5880336,4.972821927,3.015887783,2024-06-05 18:03:44.224707
36.22456574,51.93486783,4.475329711,2.990106499,4.055417458,216.4284892,5.016812668,3.027785343,2024-06-05 18:03:45.224566
37.22443414,51.93482751,4.475278888,3.299551035,4.611298993,211.4605391,4.938004451,3.072563925,2024-06-05 18:03:46.224434
38.22430897,51.93479021,4.475230759,3.74290736,4.836908512,221.5775922,4.916381499,3.107045218,2024-06-05 18:03:47.224309
39.22418964,51.93475343,4.475202198,3.411611427,4.380493809,214.2647057,4.910812777,3.115839358,2024-06-05 18:03:48.224190
40.22407758,51.93471897,4.475168802,3.555139353,4.335194828,210.2957048,4.924784192,3.093709375,2024-06-05 18:03:49.224078
41.22397077,51.93468233,4.475146693,2.968221214,4.055662182,210.6898038,5.02635874,3.083489444,2024-06-05 18:03:50.223971
42.22386789,51.93465982,4.475041605,3.516255366,4.89385696,224.9575295,4.955250579,3.065389042,2024-06-05 18:03:51.223868
43.22377181,51.93462274,4.475003334,2.930097264,4.599325211,219.4145938,5.009475918,3.073325344,2024-06-05 18:03:52.223772
44.2236799,51.9345994,4.47492143,2.471986342,4.620656108,224.8163152,5.508329883,2.973908739,2024-06-05 18:03:53.223680
45.22359276,51.93457681,4.474901453,2.547369406,3.740562084,222.3042656,5.421108332,3.009897555,2024-06-05 18:03:54.223593
46.2235086,51.93456561,4.474865402,2.256124493,2.978168713,227.1276469,5.489317534,2.91236199,2024-06-05 18:03:55.223509
47.2234304,51.93456656,4.474876328,2.663387486,1.627609938,228.8312857,5.468110016,3.012242011,2024-06-05 18:03:56.223430
48.22335339,51.93457735,4.474855539,3.544385471,1.27193999,249.434673,4.975362327,3.064346048,2024-06-05 18:03:57.223353
49.22328138,51.93457143,4.474790871,3.299866091,1.999132419,249.1069835,4.936008624,3.075769155,2024-06-05 18:03:58.223281
50.223212,51.93456967,4.474737206,3.674332173,2.166674312,250.4326956,4.946220321,3.059320442,2024-06-05 18:03:59.223212
51.22314644,51.93455144,4.474734291,3.256337397,1.756896312,248.2412267,4.841799845,3.222035272,2024-06-05 18:04:00.223146
52.22308254,51.93455473,4.474709993,3.112686515,1.97467669,270.1460138,4.809181197,3.270521861,2024-06-05 18:04:01.223083
53.2230221,51.93456617,4.474683179,3.337284697,2.314935391,270.3179486,4.835600588,3.231331612,2024-06-05 18:04:02.223022
54.22296393,51.93455159,4.474691588,3.060971284,1.125110005,217.9261877,4.861156057,3.192757244,2024-06-05 18:04:03.222964
55.22290897,51.93453902,4.474690889,2.710586896,0.9463397614,207.7601956,4.826242087,3.245292645,2024-06-05 18:04:04.222909
56.22285438,51.93451923,4.474686527,2.61907807,1.560908237,206.0848297,4.858269575,3.197147755,2024-06-05 18:04:05.222854
57.22280347,51.93449547,4.474678717,3.382146104,2.092315911,207.5391392,4.830447376,3.239029975,2024-06-05 18:04:06.222803
58.22275245,51.93447629,4.474661906,3.031156677,2.264434874,209.0764995,4.867105042,3.183681132,2024-06-05 18:04:07.222752
59.22270513,51.93443704,4.474624471,2.780764197,2.948756646,204.2563159,4.902236136,3.129315883,2024-06-05 18:04:08.222705
60.22265863,51.93439246,4.474581593,4.361627045,3.783967913,204.4896691,4.805698295,3.275637484,2024-06-05 18:04:09.222659
61.22261345,51.93435856,4.474543092,4.105979593,3.854799111,213.7971624,4.82799631,3.242682325,2024-06-05 18:04:10.222613
62.22257161,51.9343261,4.474503483,3.949752555,4.021272014,214.3959782,4.816151754,3.260248351,2024-06-05 18:04:11.222572
63.22252882,51.93429848,4.474442806,3.714859665,4.319687162,221.5676766,4.825712639,3.246079875,2024-06-05 18:04:12.222529
64.22248745,51.93426769,4.474393827,3.831532198,4.473102624,221.5139991,4.830743358,3.238588527,2024-06-05 18:04:13.222487
