Time (s),X (µT),Y (µT),Z (µT),Datetime
0.008483791666,15.68169785,-23.99523544,-35.7782135,2024-06-05 18:03:09.008484
0.04821879166,15.58149338,-24.05449677,-36.31199646,2024-06-05 18:03:09.048219
0.08795279167,15.19390106,-23.9395752,-36.44537354,2024-06-05 18:03:09.087953
0.1276877917,14.86821365,-23.807827,-36.5852356,2024-06-05 18:03:09.127688
0.1674217917,14.74196243,-23.61270523,-37.00880432,2024-06-05 18:03:09.167422
0.2071567917,14.44093704,-23.50869751,-37.09919739,2024-06-05 18:03:09.207157
0.2468907917,14.23329544,-23.32803726,-37.24424744,2024-06-05 18:03:09.246891
0.2866247917,14.35374451,-22.74700928,-37.75495911,2024-06-05 18:03:09.286625
0.3263597917,15.7619133,-21.65652847,-38.37339783,2024-06-05 18:03:09.326360
0.3660937917,17.43730545,-17.49747086,-40.56878662,2024-06-05 18:03:09.366094
0.4058287917,19.22122574,-8.531158447,-43.80297852,2024-06-05 18:03:09.405829
0.4455627917,19.24599838,7.235361099,-42.03337097,2024-06-05 18:03:09.445563
0.4852975417,18.83929825,18.22107315,-34.23536682,2024-06-05 18:03:09.485298
0.5250315417,20.98967743,24.89602661,-22.73558044,2024-06-05 18:03:09.525032
0.5647665417,23.29240417,27.82370567,-14.4467926,2024-06-05 18:03:09.564767
0.6045005417,27.31746292,27.97632408,-8.822296143,2024-06-05 18:03:09.604501
0.6442345417,31.52357864,26.56468582,-4.278442383,2024-06-05 18:03:09.644235
0.6839695417,33.24428177,25.7067585,-0.3930969238,2024-06-05 18:03:09.683970
0.7237035417,33.59160995,25.14866829,1.463577271,2024-06-05 18:03:09.723704
0.7634385417,33.08175278,24.44151306,3.472442627,2024-06-05 18:03:09.763439
0.8031725417,33.15152359,22.08237648,7.203903198,2024-06-05 18:03:09.803173
0.8429075417,34.0587883,20.06070137,4.410186768,2024-06-05 18:03:09.842908
0.8826415417,34.44931412,17.99755096,3.881134033,2024-06-05 18:03:09.882642
0.9223765417,35.86215591,15.02545166,2.191970825,2024-06-05 18:03:09.922377
0.9621105417,37.20930099,12.2556057,-0.7262268066,2024-06-05 18:03:09.962111
1.001844542,36.94708633,12.68619728,-1.206817627,2024-06-05 18:03:10.001845
1.041579542,36.28889084,12.93495369,1.691741943,2024-06-05 18:03:10.041580
1.081313542,35.22422409,13.18062401,5.608169556,2024-06-05 18:03:10.081314
1.121048542,33.80732346,15.12756538,3.383163452,2024-06-05 18:03:10.121049
1.160782542,31.03375626,19.05078888,5.10925293,2024-06-05 18:03:10.160783
1.200516542,22.31664276,26.84634972,5.854400635,2024-06-05 18:03:10.200517
1.240251542,6.331134796,33.20611572,7.70022583,2024-06-05 18:03:10.240252
1.279985542,1.011787415,33.77804947,8.869003296,2024-06-05 18:03:10.279986
1.319720542,5.777858734,34.17578506,6.704528809,2024-06-05 18:03:10.319721
1.359454542,5.931015015,34.39162445,5.637527466,2024-06-05 18:03:10.359455
1.399189542,6.077102661,32.98147583,9.916732788,2024-06-05 18:03:10.399190
1.438923542,7.680084229,30.52615356,13.98564148,2024-06-05 18:03:10.438924
1.478657208,7.434318542,30.06196213,14.25787354,2024-06-05 18:03:10.478657
1.518392208,4.069843292,30.26155663,13.14355469,2024-06-05 18:03:10.518392
1.558126208,0.7240142822,30.2289505,11.99697876,2024-06-05 18:03:10.558126
