"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.662966666E-2,-4.620828032E-1,-7.770761251E-1,3.612389565E-1
7.636466667E-2,1.040204149E-2,-6.266192794E-1,2.329606563E-1
1.160996667E-1,4.852417391E-3,-1.038912535E0,4.466601014E-1
1.558336667E-1,-5.989255905E-1,-8.067379594E-1,1.365063787E-1
1.955686667E-1,-3.691081703E-1,-1.092560172E0,1.636811048E-1
2.353036667E-1,-9.542521834E-1,1.212511808E-1,1.041801572E-1
2.750386667E-1,-2.882721663E0,1.556189060E0,-1.305718869E-1
3.147726667E-1,-2.456664562E0,1.770488262E0,-3.160123527E-1
3.545076667E-1,-7.170309424E-1,4.321885109E-1,-5.198274255E-1
3.942426667E-1,-1.601356268E0,3.547396898E0,-7.612185478E-1
4.339766667E-1,-1.409687161E0,3.326107264E0,-1.821154237E0
4.737116667E-1,-5.350222588E-1,3.927465379E-1,-1.582198381E0
5.134466667E-1,-5.436760187E-2,-1.235883594E0,-5.396047831E-1
5.531816667E-1,4.781027734E-1,-1.738102436E0,6.626594663E-1
5.929156667E-1,5.239418149E-1,-2.067932367E0,6.137137413E-1
6.326506667E-1,-8.558502793E-1,-2.162079334E0,2.884748876E-1
6.723856667E-1,-3.166673899E0,-1.987525463E0,2.688850462E-1
7.121206667E-1,-4.819906235E0,-1.532088280E0,-1.377425790E0
7.518546667E-1,-4.650484085E0,-1.047231913E0,-1.828241587E0
7.915896667E-1,-6.377527714E0,1.291821599E0,-1.427927852E0
8.313246667E-1,-6.001618385E0,1.693710685E0,-1.928418316E-2
8.710596667E-1,-6.341554165E0,1.961243033E0,2.129804611E0
9.107936667E-1,-2.558471680E0,3.400001287E0,1.929472685E0
9.505289167E-1,5.287197232E-1,1.412802815E0,1.328768015E0
9.902639167E-1,1.353908062E0,-2.055586576E0,3.667413473E0
1.029998917E0,2.682428956E-1,-1.738119483E0,3.790502548E0
1.069732917E0,-8.295112103E-2,-3.660483837E0,2.562904835E0
1.109467917E0,9.577737004E-2,-4.641888618E0,2.216389179E0
1.149202917E0,7.496802807E-1,-1.986334682E0,1.657465935E0
1.188937917E0,-3.039247692E-1,-1.692193031E0,2.046837330E0
1.228672917E0,-2.786813676E-1,-1.847821474E0,1.417940617E0
1.268406917E0,7.266229391E-1,-6.902903318E-1,9.997932315E-1
1.308141917E0,4.800651073E-1,-1.454879642E0,6.701893210E-1
1.347876917E0,1.894837141E0,-3.089782715E0,1.041391492E0
1.387611917E0,6.139873862E-1,1.538783312E-1,-4.984128773E-1
1.427346917E0,8.338553309E-1,-1.571089029E-1,1.303168982E-1
1.467080917E0,6.957970262E-1,-6.803249568E-2,-6.837787032E-1
1.506815917E0,-2.531442940E-1,1.198860884E0,-2.157433510E0
1.546550917E0,-5.225600004E-1,1.672344923E0,-1.964697838E-1
1.586285917E0,-1.416066140E-1,9.307554960E-1,-3.052130640E-1
1.626020917E0,-3.436799943E-1,1.067746401E0,-1.267963529E0
1.665754917E0,-1.126426578E0,1.629232049E0,-1.894276261E0
1.705489917E0,-1.472677708E0,2.243370056E0,-3.742452621E0
1.745224917E0,-1.092412710E0,2.132378966E-1,-2.895756245E0
1.784959917E0,-1.235660553E0,-2.992202044E-1,-1.491833329E0
1.824694917E0,2.346215397E-1,-1.454313874E0,-1.259019136E0
1.864429917E0,-3.590059578E-1,-2.085929736E-4,-9.944745898E-1
1.904163917E0,-7.228999734E-1,-7.920919359E-2,-1.451956481E-1
1.943898917E0,-1.219690323E0,1.326675296E0,-6.259996891E-1
1.983633917E0,-1.110975146E0,6.766839623E-1,-5.552930832E-1
2.023368917E0,9.124957025E-2,-3.012343347E-1,-1.298707128E0
2.063103917E0,-8.072726130E-1,-1.422299385E0,-1.342325449E0
2.102838917E0,7.433480620E-1,-2.535847902E0,-2.547762096E-1
2.142572917E0,-1.444485426E0,-1.802715659E0,-3.496478498E-2
2.182307917E0,-1.735200524E0,1.879180670E0,-2.357748300E-1
2.222042917E0,-1.984613299E0,1.393805265E0,-8.323038816E-1
2.261777917E0,-1.040292978E0,-1.518487453E0,-7.388570905E-1
2.301512917E0,-3.124325275E-1,8.213216662E-1,-2.751695633E0
2.341247917E0,-1.241579413E0,-2.413519174E-1,-2.499971867E0
2.380982917E0,6.389611363E-1,-6.994263530E-1,-3.772604704E0
2.420717917E0,5.315459967E-1,1.754401207E0,-1.939692974E0
2.460451917E0,7.773542404E-1,2.763062954E0,4.613795757E0
2.500186917E0,2.560980320E0,-2.328468084E0,2.494560480E0
2.539921917E0,1.763500214E0,-1.377037525E0,-7.490231991E-1
2.579656917E0,1.928146243E0,1.639206529E0,-1.200199723E0
2.619391917E0,-1.189603686E0,1.722106934E0,-1.208782792E0
2.659126917E0,-7.795538902E-1,3.960510731E0,5.472455621E-1
2.698861917E0,1.529640436E0,-4.813836813E-1,2.924333334E0
2.738596917E0,2.312912226E0,-1.842004061E0,1.120236158E0
2.778331917E0,1.860496402E0,3.663940728E-1,-1.316143870E-1
2.818066917E0,1.344751716E0,-8.804576397E-1,-6.995623112E-1
2.857800917E0,1.162678957E0,1.532754004E-1,1.047052860E0
2.897535917E0,7.352793217E-1,6.119424701E-1,1.726820827E0
2.937270917E0,1.190709591E0,-3.916738555E-2,1.537998676E0
2.977006417E0,3.581876159E-1,8.238486648E-1,1.415137053E0
3.016741417E0,3.076908290E-1,5.324972272E-1,1.085234404E0
