"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.662966666E-2,-1.356736465E0,-8.575865614E-1,-1.108696407E-1
7.636466667E-2,4.457186311E-2,-2.105187669E-1,-2.728416073E-1
1.160996667E-1,-1.165355927E0,-5.894966939E-1,-1.689348895E0
1.558336667E-1,-3.941228002E-2,1.463408974E-1,-1.108971811E0
1.955686667E-1,-9.134745410E-1,-3.339350706E-1,-1.610972232E-1
2.353036667E-1,4.220648897E-1,-3.062713087E-1,5.017121530E-1
2.750386667E-1,4.836230604E-1,3.151482591E-1,-2.238097220E0
3.147726667E-1,2.448641422E-1,6.306558296E-1,-1.061351502E-1
3.545076667E-1,1.729728889E0,-1.752316099E0,7.717839342E-1
3.942426667E-1,5.221560654E-1,7.282647161E-1,4.525577100E0
4.339766667E-1,3.479075187E0,6.460762529E-1,-4.517365855E-1
4.737116667E-1,-5.435308546E-1,-3.559770271E-1,-2.060207963E0
5.134466667E-1,-1.318872820E0,-1.213241042E0,-1.626560909E-1
5.531816667E-1,7.120704138E-1,-2.023393601E0,5.390665054E-2
5.929156667E-1,5.453809721E0,-2.186284896E-2,-2.744326932E0
6.326506667E-1,8.412862199E0,-1.931538959E0,-6.330773370E0
6.723856667E-1,4.754798771E0,-6.043286827E0,-7.159644256E0
7.121206667E-1,5.504662371E0,-6.821325527E0,-1.002862973E0
7.518546667E-1,-2.256883739E0,-8.163473774E0,1.754783331E0
7.915896667E-1,-8.355357757E0,-9.683389655E0,2.773058395E0
8.313246667E-1,-1.368143213E1,-9.853002763E0,6.390676925E0
8.710596667E-1,-1.684327423E1,-9.491348382E0,4.292691856E0
9.107936667E-1,-6.431677601E0,1.085903376E0,1.378247786E1
9.505289167E-1,-9.760902100E0,7.378668675E0,9.253728063E0
9.902639167E-1,-4.190217648E0,1.275685285E0,2.129023113E-1
1.029998917E0,-8.768794495E-1,3.487557158E0,-3.215884701E0
1.069732917E0,6.197620575E0,4.670713763E0,-6.389819723E0
1.109467917E0,5.650231143E0,1.867221780E0,-9.097016251E-1
1.149202917E0,-9.248277873E-1,6.796136892E-1,2.526926869E0
1.188937917E0,-1.948133211E0,-6.068510545E0,-5.287216115E0
1.228672917E0,2.927026109E0,-2.982819363E0,-1.604732083E0
1.268406917E0,-3.172581684E0,1.086452722E0,1.297459731E0
1.308141917E0,6.868385088E-1,4.028205335E-2,-5.811880928E0
1.347876917E0,1.292509478E-1,1.583848752E0,1.047939159E0
1.387611917E0,2.026681783E0,1.244357073E0,1.522848845E-2
1.427346917E0,-6.961806053E-1,-3.296946698E0,-2.143031434E0
1.467080917E0,2.888740295E0,7.748069447E-1,1.908399627E0
1.506815917E0,2.604928726E0,4.257522023E0,1.240379797E0
1.546550917E0,-6.759408191E0,-5.366781517E0,-5.886994845E0
1.586285917E0,1.442978802E0,2.352107108E0,-8.147188693E-1
1.626020917E0,1.267378145E0,1.987061926E0,1.784650909E0
1.665754917E0,-6.011545801E-1,-7.697333157E-2,1.131229822E0
1.705489917E0,6.465969182E0,1.709097281E0,-1.034216913E0
1.745224917E0,-5.163895998E0,-3.781345246E0,-1.984349111E0
1.784959917E0,-4.055501892E0,1.429275268E0,2.198018357E0
1.824694917E0,1.068070245E0,3.629945630E-1,-1.377165467E-1
1.864429917E0,2.577914882E0,-5.821476209E-1,-9.690257210E-1
1.904163917E0,-1.964539914E0,-1.971920854E0,-1.901605747E0
1.943898917E0,-6.791915787E0,2.749264905E0,1.027829999E0
1.983633917E0,-4.419509485E0,5.316798348E0,3.200069445E0
2.023368917E0,4.512980443E-1,3.105795956E0,3.117030212E0
2.063103917E0,-2.245682228E0,5.223776164E0,1.449310460E0
2.102838917E0,-8.590899975E0,-1.313117990E0,-1.459114194E0
2.142572917E0,9.591708822E0,-5.061351623E0,-6.129781179E0
2.182307917E0,2.926578797E0,-2.421066538E0,1.086354196E-2
2.222042917E0,2.292803185E0,4.909810504E0,-5.274981986E0
2.261777917E0,-4.885140517E0,-4.204945030E0,6.941290512E0
2.301512917E0,2.111218780E0,7.446713308E0,2.970305445E0
2.341247917E0,-3.782537493E0,2.444643096E0,-4.569076291E0
2.380982917E0,1.576796279E0,-1.213385190E1,1.396057820E1
2.420717917E0,-1.211249436E1,-7.754219549E0,-1.011421543E0
2.460451917E0,-4.450776594E0,-1.177424346E1,1.325927924E0
2.500186917E0,1.995091264E1,3.874435843E0,-5.446267397E0
2.539921917E0,1.203408788E1,1.004670348E1,-2.459219913E0
2.579656917E0,-2.796553677E0,4.621529909E0,6.557638321E0
2.619391917E0,-9.268056664E0,-1.075259104E1,1.338125947E0
2.659126917E0,-6.039429418E0,-8.541029658E0,1.967611456E-1
2.698861917E0,1.577631116E0,-1.406693321E0,1.999846571E0
2.738596917E0,3.970340412E0,6.396027128E0,-4.061963650E0
2.778331917E0,2.637600628E0,5.314738959E0,4.929752433E-1
2.818066917E0,2.291667071E-1,-2.205859766E0,9.567489070E-1
2.857800917E0,-9.540518788E0,-8.312787103E0,-1.613954312E0
2.897535917E0,-8.905481932E-1,-2.756276302E0,-1.209860255E0
2.937270917E0,-4.359800935E-2,1.055636433E0,-1.583994348E0
2.977006417E0,1.161806082E0,3.010345423E-1,-3.297537267E0
3.016741417E0,2.034528454E0,6.970962793E-1,-9.889220417E-1
3.056476417E0,2.105731753E0,1.268703709E0,-1.399646841E0
3.096211417E0,1.816317675E-1,6.512377363E-1,-2.231041970E0
3.135946417E0,-7.425320685E-1,3.504224646E-1,-1.129112545E0
3.175681417E0,-1.170050364E0,8.577233863E-1,-1.255110687E0
3.215416417E0,3.163179946E-1,1.849104182E0,-9.458853650E-1
3.255151417E0,-3.341420621E-1,1.592180450E0,-1.883323842E-1
3.294886417E0,6.236178285E-1,1.320424086E0,-3.254139233E-1
3.334621417E0,1.033709667E0,1.698816122E0,-1.676539400E0
3.374356417E0,8.270149791E-1,2.374427977E0,1.902391613E-2
3.414091417E0,-1.843179783E-1,7.964738023E-1,-9.233689070E-2
3.453826417E0,2.265452688E0,2.958164871E-1,-6.157720345E-1
3.493561417E0,-1.949620597E0,-3.040605934E0,1.139824060E0
3.533296417E0,-2.641513000E0,-2.145136431E0,5.904366338E-1
3.573031417E0,-4.376538590E0,-4.493474132E-1,-4.980658293E-1
3.612766417E0,2.027295302E0,1.111610659E0,-1.293660795E0
3.652501417E0,-7.368303023E-2,-2.537075881E0,-8.231625411E-1
3.692236417E0,-2.353398173E0,6.212198853E-2,-8.457026803E-1
3.731971417E0,-1.868943785E0,-4.637311544E0,1.588991379E0
3.771706417E0,-3.263440983E0,-1.376915790E0,-5.455949217E-1
3.811441417E0,-3.337942112E0,-2.883735663E0,1.027324215E0
3.851176417E0,-3.272100417E-1,-4.916204435E-1,-8.510639924E-1
3.890911417E0,-7.232072400E-1,-8.527029669E-1,-2.199615817E0
3.930646417E0,-1.154551661E0,-1.355046034E0,-1.222344645E0
3.970381042E0,1.417966460E0,-1.477376803E0,-1.942717520E0
4.010116042E0,1.712682501E0,1.227707126E0,-1.739658923E0
4.049851042E0,-1.532862201E0,-2.582325144E0,-1.414910998E0
4.089586042E0,-1.299629487E0,-6.685759002E-1,-3.123224167E0
4.129321042E0,-1.992515332E0,-7.619296217E-1,1.505475013E0
4.169056042E0,-1.018937334E0,-2.562110735E0,1.899585534E0
4.208791042E0,-6.415046073E-1,-2.099401265E0,-1.541120224E0
4.248526042E0,1.370493940E0,-3.039879709E-1,-8.692207664E-1
4.288261042E0,-1.068614036E0,-1.594487177E0,2.618950349E-1
4.327996042E0,2.125433654E-1,-1.378054243E0,-1.111650420E0
4.367731042E0,5.090939704E-1,-6.067246377E-1,-1.266123333E0
4.407466042E0,-1.559051880E-1,-9.141811770E-1,-1.010160883E0
4.447201042E0,-1.398781746E0,-2.704722571E0,-2.303978968E0
4.486936042E0,9.142621610E-1,-2.885267633E-1,-1.790237339E0
