"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.169896126E-2,5.193170201E1,4.454411636E0,-2.340799868E-1,NaN,NaN,2.905079366E1,2.934067726E0
1.270496845E-2,5.193170201E1,4.454411636E0,-2.340799868E-1,NaN,NaN,2.905079366E1,3.017419577E0
1.270496845E-2,5.193170201E1,4.454411636E0,-2.340799868E-1,NaN,NaN,2.905079366E1,2.154972076E0
3.215631962E0,5.193170201E1,4.454411636E0,-2.340799868E-1,NaN,NaN,2.905079366E1,2.964372635E0
3.346212983E0,5.193142174E1,4.453945868E0,-3.699684143E-1,2.059999943E0,1.047656250E2,1.545485307E1,4.000000000E0
4.348074079E0,5.193142459E1,4.453984341E0,1.131557465E0,2.059999943E0,9.281250000E1,3.738344942E0,3.000000000E0
5.339847922E0,5.193143327E1,4.454036644E0,1.646144867E0,3.029999971E0,7.207031250E1,3.535533906E0,3.000000000E0
6.346891999E0,5.193144572E1,4.454087187E0,1.588100433E0,4.260000229E0,6.960937500E1,3.535533906E0,3.000000000E0
7.341457009E0,5.193144970E1,4.454131108E0,9.010276794E-1,4.260000229E0,7.417968750E1,3.535533906E0,3.000000000E0
8.323215485E0,5.193146818E1,4.454170335E0,1.291652679E0,3.630000114E0,5.203125000E1,3.535533906E0,3.000000000E0
9.323247313E0,5.193148042E1,4.454212831E0,1.673427582E0,3.430000067E0,6.152343750E1,3.535533906E0,3.000000000E0
1.032325161E1,5.193150380E1,4.454248119E0,1.727321625E0,3.430000067E0,5.097656250E1,3.535533906E0,3.000000000E0
1.132328534E1,5.193152019E1,4.454285335E0,2.060878754E0,3.119999886E0,5.589843750E1,3.535533906E0,3.000000000E0
1.232331669E1,5.193153783E1,4.454327244E0,2.639736176E0,3.440000057E0,5.273437500E1,3.535533906E0,3.000000000E0
1.332331991E1,5.193155657E1,4.454365633E0,2.844326019E0,3.170000076E0,5.027343750E1,3.535533906E0,3.000000000E0
1.432335007E1,5.193157477E1,4.454401080E0,2.844326873E0,3.170000076E0,5.027346541E1,4.609648920E0,3.546219658E0
1.532337582E1,5.193158997E1,4.454439020E0,2.985257048E0,3.170000076E0,5.238284124E1,4.609648950E0,3.546219619E0
1.632337511E1,5.193160518E1,4.454481756E0,3.171719523E0,3.309999943E0,5.589846887E1,4.609648979E0,3.546219582E0
1.732340240E1,5.193162522E1,4.454521549E0,3.255154627E0,3.400000095E0,5.238284333E1,4.609649017E0,3.546219532E0
1.832343495E1,5.193164549E1,4.454560506E0,3.337246913E0,3.400000095E0,4.957034212E1,4.609649057E0,3.546219481E0
1.932343471E1,5.193165426E1,4.454607928E0,3.445218104E0,3.400000095E0,5.941409600E1,4.609649073E0,3.546219460E0
