Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
1.113273125,52.33490007,4.86633056,-12.63661773,2.24000001,79.80000305,10.11939907,12.75246716,2024-06-04 14:55:54.113273
1.968666458,52.33492791,4.86636042,-2.325526326,2.49000001,92.0,9.384366035,11.22733593,2024-06-04 14:55:54.968666
2.970465416,52.33492064,4.86639086,-1.547076748,2.539999962,98.59999847,7.537331104,9.070191383,2024-06-04 14:55:55.970465
3.97044354,52.33491752,4.86644074,-0.1605779805,2.890000105,94.19999695,5.078794956,6.31317091,2024-06-04 14:55:56.970444
4.971235519,52.33490764,4.8664509,-2.681521123,2.549999952,78.80000305,4.377759933,5.253098011,2024-06-04 14:55:57.971236
5.970375415,52.33491288,4.86649421,-1.63089082,3.029999971,88.09999847,4.396144867,4.841949463,2024-06-04 14:55:58.970375
6.973240831,52.33490617,4.86654241,1.115465217,3.160000086,92.90000153,4.596255302,5.359908104,2024-06-04 14:55:59.973241
7.972164789,52.33490472,4.8665891,-0.7221565852,3.670000076,87.5,4.560891151,5.502742767,2024-06-04 14:56:00.972165
8.972136768,52.3349046,4.86664482,1.78928871,3.869999886,86.5,4.475437641,5.182301521,2024-06-04 14:56:01.972137
9.971802028,52.33490242,4.86669847,0.711557559,3.730000019,89.69999695,4.530701637,5.359840393,2024-06-04 14:56:02.971802
10.97123375,52.33489983,4.86674848,-0.07009470907,3.839999914,86.80000305,4.865751743,5.555401325,2024-06-04 14:56:03.971234
11.97232437,52.33489995,4.86680528,0.08411277219,4.110000134,83.59999847,4.659634113,5.176808834,2024-06-04 14:56:04.972324
12.97216218,52.33490062,4.86686278,-0.5240687089,3.930000067,83.0,4.593674183,4.979183674,2024-06-04 14:56:05.972162
13.97162942,52.33489878,4.86692537,-0.347460769,4.429999828,84.0,4.637063503,4.909918785,2024-06-04 14:56:06.971629
14.97261958,52.33488927,4.86699193,0.1751469531,4.460000038,94.69999695,4.786183834,5.038022041,2024-06-04 14:56:07.972620
15.97140926,52.33488427,4.86705601,-0.4523258486,4.099999905,90.69999695,4.672162056,4.77646637,2024-06-04 14:56:08.971409
16.97154041,52.33488247,4.8671184,-1.108298534,4.019999981,85.09999847,4.869209766,4.829937458,2024-06-04 14:56:09.971540
17.9711252,52.3348817,4.86717905,-1.676624281,3.960000038,82.5,5.024375439,4.667181015,2024-06-04 14:56:10.971125
18.96956958,52.33488332,4.86723931,-1.005567006,3.980000019,78.30000305,4.717067242,4.691999435,2024-06-04 14:56:11.969570
19.97065833,52.33488203,4.86730666,0.004418454905,3.960000038,84.59999847,4.514048576,4.525102615,2024-06-04 14:56:12.970658
20.97077463,52.33487609,4.8673681,0.3990375459,3.730000019,91.80000305,4.583888531,4.524278164,2024-06-04 14:56:13.970775
21.97102135,52.33487242,4.86742376,1.775834257,3.599999905,94.80000305,4.578269005,4.643733978,2024-06-04 14:56:14.971021
22.97065062,52.33486951,4.86748045,1.222029599,3.700000048,90.19999695,4.472809792,4.67809391,2024-06-04 14:56:15.970651
23.97018265,52.33487294,4.86755419,1.233062956,4.71999979,89.09999847,4.434378624,4.612342358,2024-06-04 14:56:16.970183
