"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.327964000E-2,-7.433995008E-1,-1.697315693E0,-2.906754613E-1
7.370620300E-2,-6.700315475E-1,3.222329915E-2,-2.672403455E-1
1.141956300E-1,2.161091566E-1,-5.513912439E-1,5.900059342E-1
1.992692760E-1,-2.245111704E0,-2.303033829E0,7.633726001E-1
2.397646400E-1,-2.252568483E0,-1.711163640E0,2.155898571E0
2.802471400E-1,-1.003050089E0,-6.379414201E-1,2.884118319E0
3.207878170E-1,-1.215031385E0,3.113143444E-1,2.285590649E0
3.612247450E-1,-1.185737491E0,9.705604315E-1,-1.215697169E0
4.017014110E-1,1.338198930E-1,4.292888939E-1,4.207670316E-2
4.421982860E-1,2.086525202E0,-1.890788600E-2,1.569620848E0
4.826940150E-1,1.646717072E0,9.793485999E-1,7.649704814E-1
5.231783380E-1,2.091851383E-1,1.507038474E0,2.753627300E-1
5.636695360E-1,1.346188188E-1,1.837660074E0,1.288931966E0
6.041593800E-1,-2.322607517E0,2.330463648E0,1.827540398E0
6.446458380E-1,-1.277880192E0,1.344590425E0,1.705704331E0
6.851547970E-1,-1.399716139E0,1.134473205E0,8.808145523E-1
7.256606820E-1,-1.408770680E0,5.431357026E-1,2.191716880E-1
7.661149010E-1,1.316894293E-1,5.015916228E-1,-8.282186836E-2
8.066045360E-1,-3.477985859E-1,4.473978654E-2,3.406082690E-1
8.470968800E-1,-3.105154335E-1,-6.071828306E-2,-5.479292274E-1
8.875861510E-1,-1.495054603E0,1.056844354E0,-1.120625138E0
9.280713590E-1,-2.581858635E0,2.954556942E0,-1.759631753E0
9.685586510E-1,-2.002238512E0,3.134315014E0,-1.795050740E0
1.009064328E0,-1.514495015E0,2.514216185E0,-1.367892385E0
1.049530370E0,-2.446973324E0,1.248719454E0,-1.514628172E0
1.090031984E0,-2.652696609E0,2.577863932E-1,-3.407414258E-1
1.130498026E0,-3.456281662E0,6.768224239E-1,9.870715737E-1
1.171020734E0,-9.117063284E-1,1.786262631E0,9.966586232E-1
1.211512297E0,-1.344057798E0,-1.745650619E-1,1.155511498E0
1.252017088E0,6.159709692E-1,9.042496681E-1,9.191629291E-1
1.292492817E0,5.050535798E-1,1.536332369E0,3.264939189E-1
1.332958703E0,5.547201037E-1,7.989247679E-4,1.122755647E0
1.373445890E0,7.491251230E-1,-4.488625526E-1,1.593588591E0
1.413937245E0,6.657706499E-1,-1.252181411E0,-7.061163187E-1
1.454442453E0,9.978570342E-1,-6.258244067E-2,-1.871214986E0
1.494917401E0,2.053503036E0,2.428731322E-1,-3.421262264E0
1.535404484E0,1.034607530E0,-8.433982730E-1,-2.715145826E0
1.575899640E0,1.892120093E-1,-3.275591508E-2,-1.590526104E0
1.616396099E0,-5.283555984E-1,1.668953896E0,-2.592510879E-1
1.656873599E0,-9.460600615E-1,1.456706226E-1,-1.459768653E0
1.697373078E0,5.499265343E-2,1.914756298E-1,-1.135804653E0
1.737863182E0,2.070546746E-1,3.675054014E-2,-1.676410437E-1
1.778355995E0,5.211652517E-1,4.994611442E-1,-9.379376769E-1
1.818842765E0,4.459331632E-1,5.165048838E-1,-3.189041317E-1
1.859331099E0,3.023930192E-1,9.316794276E-1,-3.248428106E0
1.899797036E0,1.450447917E0,-2.925396264E-1,-3.030987501E0
1.940298911E0,1.119826213E-1,-6.358109713E-1,5.351464152E-1
1.980794432E0,3.103822768E-1,-1.937392503E-1,2.199706137E-1
2.021283651E0,1.356840581E-1,2.639114857E-1,-1.043928340E-1
2.061769901E0,2.214353085E-1,-8.149032295E-2,-1.677742042E-2
2.102291099E0,3.125127256E-1,-1.837527007E-2,1.190397888E-1
2.142765838E0,8.271534443E-1,-4.422048628E-1,8.757547140E-1
2.183261567E0,8.258218765E-1,-7.034532428E-1,5.971962810E-1
2.223742557E0,7.134398222E-1,-3.655080795E-1,-3.701684624E-2
2.264240786E0,2.264951766E-1,1.251648832E-2,-2.022611201E-1
2.304719276E0,-2.306229472E-1,-1.517957076E-2,-3.623123765E-1
2.345213130E0,-4.026580751E-1,-1.864157850E-3,-3.114475012E-1
2.385681932E0,-3.430050313E-1,1.312899739E-1,-1.817553788E-1
2.426185370E0,-4.247616604E-2,-3.302222490E-2,-1.263632625E-1
2.466674797E0,3.047898114E-1,-1.242327988E-1,8.122401685E-2
2.507151515E0,5.696333647E-1,-3.314206302E-1,1.896114796E-1
2.547633130E0,7.208964229E-1,-3.154421151E-1,1.653774232E-1
2.588133547E0,8.356752992E-1,-4.286231399E-1,1.504641622E-1
2.628612557E0,8.178326488E-1,-1.687062830E-1,2.159759998E-1
2.669082713E0,9.485899806E-1,-1.561897993E-1,2.466014475E-1
2.709607817E0,9.674978852E-1,-2.307561040E-1,3.725652397E-1
2.750096463E0,1.028482437E0,-2.616478503E-1,1.507304758E-1
2.790586880E0,8.931978941E-1,-1.857500076E-1,2.130466048E-3
2.831073651E0,4.901403487E-1,-2.677729428E-1,-7.057169080E-2
2.871556359E0,-1.163767055E-1,-4.500609636E-2,-2.507292330E-1
2.912059484E0,-5.936011076E-1,1.051917598E-1,-3.620460629E-1
2.952546255E0,-9.372718930E-1,2.985315621E-1,-4.416722357E-1
2.993027140E0,-9.141030908E-1,1.989322603E-1,-5.175700784E-1
3.033530578E0,-9.223586321E-1,-6.391397864E-2,-6.443328261E-1
3.074010422E0,-6.119763851E-1,4.447348043E-2,-5.489944816E-1
3.114529536E0,-5.770899653E-1,6.551183015E-2,-5.418041348E-1
3.155026724E0,-7.322145700E-1,1.153114736E-1,-7.098446488E-1
3.195479276E0,-1.153247952E0,4.745613039E-1,-6.824148893E-1
3.235959380E0,-1.516625524E0,1.558702230E0,-8.764204979E-1
3.276469692E0,-1.328079224E0,2.312487841E0,-6.195661426E-1
3.316957817E0,-9.415328503E-1,1.885595560E0,-2.880123854E-1
3.357437765E0,-7.969274521E-1,9.628375173E-1,-1.274285018E-1
3.397915734E0,-8.001231551E-1,3.672390878E-1,-2.115819156E-1
3.438406463E0,-7.745575905E-1,-1.944050193E-2,-2.291582525E-1
3.478902765E0,-8.595098853E-1,3.275591508E-2,-3.197030723E-1
3.519399380E0,-8.808145523E-1,3.589835167E-1,-2.041252851E-1
