"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.370620300E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.141956300E-1,-7.580399513E-1,5.878844261E-1,-3.436579704E0
1.992692760E-1,-1.473381996E0,1.130217791E0,-2.411627769E0
2.397646400E-1,4.033262730E-1,-1.489827871E0,4.945421219E-1
2.802471400E-1,5.695806742E-1,8.032345772E-1,2.996946335E0
3.207878170E-1,2.872721672E0,-2.803440094E-1,-5.768136978E-1
3.612247450E-1,1.029879284E1,1.176125288E0,-2.443772316E0
4.017014110E-1,2.542419910E0,3.218197823E-2,2.579907417E0
4.421982860E-1,-4.492236137E0,-4.577432632E0,5.228652954E-1
4.826940150E-1,-1.718322933E-2,-2.682939529E0,-7.799148560E-2
5.231783380E-1,5.399412155E0,3.119175673E0,-4.156615257E0
5.636695360E-1,3.627874255E-1,5.969250202E-1,-1.128126621E0
6.041593800E-1,9.609951973E-1,1.139399529E0,-3.540699005E0
6.446458380E-1,2.352511883E-1,-1.559786797E-1,1.817264557E-1
6.851547970E-1,1.600161076E0,-5.999646187E-1,2.884971619E0
7.256606820E-1,2.241126776E0,-2.043740273E0,6.738300323E-1
7.661149010E-1,4.635810852E-1,-2.293356657E0,2.037598610E0
8.066045360E-1,-2.546398640E-1,7.232069969E-2,-3.689718246E-1
8.470968800E-1,-2.065277100E-1,6.024516225E-1,-6.154928207E-1
8.875861510E-1,1.172022820E0,-8.318221569E-1,-2.735500336E-1
9.280713590E-1,2.594950914E0,-1.515337348E0,-3.562498569E0
9.685586510E-1,1.433512688E0,-3.143431902E0,-3.802714348E-1
1.009064328E0,-4.469232559E-1,-3.183450937E0,2.197847366E-1
1.049530370E0,-3.835744858E-1,1.617069244E-1,-2.666025162E0
1.090031984E0,-7.202742100E0,8.794226646E-1,-1.418771267E0
1.130498026E0,-1.074222279E1,2.144799232E0,-5.525083542E-1
1.171020734E0,-8.797349930E0,3.074417591E0,7.929896355E0
1.211512297E0,-5.895538330E-1,3.539546490E0,4.141663551E0
1.252017088E0,1.228237152E-2,3.079085350E0,5.421063423E0
1.292492817E0,4.307168007E0,3.343087912E0,6.042079449E0
1.332958703E0,5.312730312E0,3.649344921E0,-2.811160088E0
1.373445890E0,-1.466274261E0,9.168860912E-1,1.118734360E0
1.413937245E0,2.810169220E0,2.886182785E0,-1.354918480E-1
1.454442453E0,8.781850815E0,2.749019384E0,-3.650879860E-1
1.494917401E0,-4.302241325E0,-5.346065044E0,9.510431290E-1
1.535404484E0,5.644173622E-1,-7.185603619E0,-3.393878937E0
1.575899640E0,-2.884362698E0,-1.561806679E0,-4.959306717E-1
1.616396099E0,-4.658793449E0,-1.614830017E0,5.827288628E-1
1.656873599E0,-1.285400391E0,-2.733195305E0,-6.027460098E-1
1.697373078E0,2.309256077E0,1.153915882E0,5.736737251E-1
1.737863182E0,-9.090723991E-1,-2.542308331E0,-7.515525818E-1
1.778355995E0,7.053861618E-1,1.146498203E0,2.947454453E-1
1.818842765E0,4.595994949E-2,1.448985481E1,1.583675385E0
1.859331099E0,2.834284306E0,-3.524336815E-1,-6.504778862E-1
1.899797036E0,2.739896297E0,-7.566368103E0,-7.935757637E-1
1.940298911E0,-2.389323711E0,-9.420747757E0,-1.592093945E0
1.980794432E0,2.651920319E-1,-4.160397053E0,-8.056077957E-1
2.021283651E0,3.387823105E-1,3.800179005E0,7.770538330E-2
2.061769901E0,8.748817444E-2,-1.224258900E0,1.930141449E-1
2.102291099E0,-5.598635674E-1,-7.741274834E-1,-1.682424545E-2
2.142765838E0,-1.533733845E0,-1.177023888E0,1.802846432E0
2.183261567E0,-2.080945969E-1,-2.497262001E0,-1.228702068E0
2.223742557E0,3.208736420E0,1.896507502E0,-2.592505932E0
2.264240786E0,2.328908443E-1,1.370643616E0,1.146678925E-1
2.304719276E0,3.677768707E-1,8.653860092E-1,-1.204495430E0
2.345213130E0,3.595583439E-1,2.316513062E-1,-7.208466530E-1
