Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Datetime
0.0,-3.145365477,5.248656273,7.100401878,2024-06-05 17:19:23.000000
0.011244027,-2.917748213,6.046363831,7.260721207,2024-06-05 17:19:23.011244
0.051244027,-3.154936552,5.902495384,6.374479294,2024-06-05 17:19:23.051244
0.091244027,-2.596810818,5.543272972,6.388836384,2024-06-05 17:19:23.091244
0.131244027,-2.596810818,5.543272972,6.388836384,2024-06-05 17:19:23.131244
0.171244027,-3.432803154,6.075077534,6.494120598,2024-06-05 17:19:23.171244
0.211244027,-1.73898387,5.006682396,8.49332428,2024-06-05 17:19:23.211244
0.251244027,-2.07098794,4.182653904,10.1282196,2024-06-05 17:19:23.251244
0.291244027,-1.660020709,4.588536739,8.953044891,2024-06-05 17:19:23.291244
0.331244027,-2.773879766,4.446163654,7.119544506,2024-06-05 17:19:23.331244
0.371244027,-1.124626637,4.007678986,7.124330521,2024-06-05 17:19:23.371244
0.411244027,-0.3484548032,2.130808592,8.953044891,2024-06-05 17:19:23.411244
0.451244027,-0.6574280262,0.2826521695,10.36899757,2024-06-05 17:19:23.451244
0.491244027,-1.886441588,-0.05144568533,11.18465137,2024-06-05 17:19:23.491244
0.531244027,-1.701895118,2.77746892,11.0371933,2024-06-05 17:19:23.531244
0.571244027,-2.420639277,3.703491211,10.74138069,2024-06-05 17:19:23.571244
0.611244027,-1.213460207,3.115455151,8.683553696,2024-06-05 17:19:23.611244
0.651244027,-1.288834095,2.690130949,8.142177582,2024-06-05 17:19:23.651244
0.691244027,-1.65762794,1.833799481,10.05643559,2024-06-05 17:19:23.691244
0.731244027,-0.2407777756,2.812463999,10.25145054,2024-06-05 17:19:23.731244
0.771244027,-0.02153540403,3.591925859,10.52572727,2024-06-05 17:19:23.771244
0.811244027,-0.4109672904,2.413460732,8.712566376,2024-06-05 17:19:23.811244
0.851244027,-0.04067798331,3.152543783,8.556734085,2024-06-05 17:19:23.851244
0.891244027,-0.07058826834,3.091526747,8.480163574,2024-06-05 17:19:23.891244
0.931244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:23.931244
0.971244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:23.971244
1.011244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:24.011244
1.051244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:24.051244
1.091244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:24.091244
1.131244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:24.131244
1.171244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:24.171244
1.211244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:24.211244
1.251244027,0.2850449979,4.219742775,8.912366867,2024-06-05 17:19:24.251244
1.291244027,5.363512039,0.6311069727,7.129116058,2024-06-05 17:19:24.291244
1.331244027,2.233700037,-0.1654038578,11.44696426,2024-06-05 17:19:24.331244
1.371244027,-0.6852445602,-0.432502687,5.743073463,2024-06-05 17:19:24.371244
1.411244027,-5.167001247,-1.071984529,5.473581791,2024-06-05 17:19:24.411244
1.451244027,-8.360222816,-2.036292076,3.522534132,2024-06-05 17:19:24.451244
1.491244027,-8.155337334,-2.061416626,12.23270798,2024-06-05 17:19:24.491244
1.531244027,-10.43480015,-2.08534503,8.345866203,2024-06-05 17:19:24.531244
1.571244027,-8.359026909,-1.553540111,9.148359299,2024-06-05 17:19:24.571244
1.611244027,-9.934102058,-2.68175602,9.027522087,2024-06-05 17:19:24.611244
1.651244027,-8.148159027,-2.224128723,9.130413055,2024-06-05 17:19:24.651244
1.691244027,-6.600900173,-2.084148407,5.114359379,2024-06-05 17:19:24.691244
1.731244027,2.771486759,-0.9245268703,16.20688629,2024-06-05 17:19:24.731244
1.771244027,-5.593522072,-3.042174816,10.33789158,2024-06-05 17:19:24.771244
1.811244027,-9.221340179,-3.266202927,2.360818624,2024-06-05 17:19:24.811244
1.851244027,-2.524727106,2.094916344,4.634000301,2024-06-05 17:19:24.851244
1.891244027,-7.8810606,-0.5784648657,5.426921844,2024-06-05 17:19:24.891244
1.931244027,-1.943869352,1.13419795,6.801897526,2024-06-05 17:19:24.931244
1.971244027,-15.80668736,-8.754440308,4.212564468,2024-06-05 17:19:24.971244
2.011244027,-3.952643871,-2.33449769,5.924030781,2024-06-05 17:19:25.011244
2.051244027,-9.43460083,-4.952843666,6.173183441,2024-06-05 17:19:25.051244
2.091244027,-0.8718847632,-0.1064806059,10.11984539,2024-06-05 17:19:25.091244
2.131244027,-7.719544888,-2.859123945,7.610372543,2024-06-05 17:19:25.131244
2.171244027,-7.369893551,-4.16710043,7.478767395,2024-06-05 17:19:25.171244
2.211244027,-7.434499741,-7.412964344,4.136891365,2024-06-05 17:19:25.211244
2.251244027,-7.481160164,-11.67577839,3.732205153,2024-06-05 17:19:25.251244
2.291244027,-5.300102234,-5.992226124,5.20169735,2024-06-05 17:19:25.291244
2.331244027,-5.560022354,-5.101198673,7.477570534,2024-06-05 17:19:25.331244
2.371244027,-5.73948431,-4.749154568,7.208079338,2024-06-05 17:19:25.371244
2.411244027,-5.737091541,-3.809971809,5.998208046,2024-06-05 17:19:25.411244
2.451244027,-5.901299,-4.450949192,6.273681641,2024-06-05 17:19:25.451244
2.491244027,-6.588936329,-5.480760098,6.207879066,2024-06-05 17:19:25.491244
2.531244027,-5.550451279,-4.967200756,5.413761139,2024-06-05 17:19:25.531244
2.571244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.571244
2.611244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.611244
2.651244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.651244
2.691244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.691244
2.731244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.731244
2.771244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.771244
2.811244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.811244
2.851244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.851244
2.891244027,-6.17557621,-3.814757586,6.726523399,2024-06-05 17:19:25.891244
2.931244027,-0.6598208547,0.5318048596,10.43360424,2024-06-05 17:19:25.931244
2.971244027,-5.048556805,-13.93220997,8.725727081,2024-06-05 17:19:25.971244
3.011244027,-10.7054882,-10.31635571,3.297309637,2024-06-05 17:19:26.011244
3.051244027,-5.417350292,-9.245567322,0.5246263742,2024-06-05 17:19:26.051244
3.091244027,-4.618446827,-3.212364435,5.229514122,2024-06-05 17:19:26.091244
3.131244027,-4.278367043,-1.882852316,6.84646368,2024-06-05 17:19:26.131244
3.171244027,-4.58255434,-5.011467934,9.82762146,2024-06-05 17:19:26.171244
3.211244027,-4.153940201,-5.104787827,7.172186852,2024-06-05 17:19:26.211244
3.251244027,-4.061517239,-3.919144392,7.878667831,2024-06-05 17:19:26.251244
3.291244027,-3.564408541,-4.340580463,8.003393173,2024-06-05 17:19:26.291244
3.331244027,-2.911766052,-4.09860611,7.459624767,2024-06-05 17:19:26.331244
3.371244027,-3.544069529,-4.396811485,7.888238907,2024-06-05 17:19:26.371244
3.411244027,-3.151347399,3.937090635,5.29292345,2024-06-05 17:19:26.411244
3.451244027,-3.96939373,-8.634500504,9.055039406,2024-06-05 17:19:26.451244
3.491244027,-3.522534132,-3.209971666,6.791129589,2024-06-05 17:19:26.491244
3.531244027,-3.579961777,-6.261717796,8.296813011,2024-06-05 17:19:26.531244
3.571244027,-3.253042459,-6.494120598,8.040482521,2024-06-05 17:19:26.571244
3.611244027,-4.204189301,-5.586343765,8.492127419,2024-06-05 17:19:26.611244
3.651244027,-3.048156977,-2.203789711,7.63579607,2024-06-05 17:19:26.651244
3.691244027,-3.73699069,-4.26879549,8.27767086,2024-06-05 17:19:26.691244
3.731244027,-3.545265913,-4.091427803,7.918448448,2024-06-05 17:19:26.731244
3.771244027,-3.83270359,-3.992125511,8.115856171,2024-06-05 17:19:26.771244
3.811244027,-3.602693558,-4.41984272,8.329116821,2024-06-05 17:19:26.811244
3.851244027,-3.638885021,-3.413660526,7.391428947,2024-06-05 17:19:26.851244
3.891244027,-3.613760471,-3.484248877,8.308777809,2024-06-05 17:19:26.891244
3.931244027,-3.802793503,-3.99451828,8.205885887,2024-06-05 17:19:26.931244
3.971244027,-3.530908823,-3.456731319,7.8810606,2024-06-05 17:19:26.971244
4.011244027,-3.164507866,-3.061317444,8.508877754,2024-06-05 17:19:27.011244
4.051244027,-2.637488842,-2.239681959,9.122037888,2024-06-05 17:19:27.051244
4.091244027,-3.187239647,-4.122534275,8.609375954,2024-06-05 17:19:27.091244
4.131244027,-3.674777269,-3.443570852,9.83121109,2024-06-05 17:19:27.131244
4.171244027,-4.002892971,-2.257628202,8.351848602,2024-06-05 17:19:27.171244
4.211244027,-2.407478571,-2.581257343,9.22492981,2024-06-05 17:19:27.211244
4.251244027,-2.575275421,-4.459323883,10.11745262,2024-06-05 17:19:27.251244
4.291244027,-2.575275421,-4.459323883,10.11745262,2024-06-05 17:19:27.291244
4.331244027,-2.575275421,-4.459323883,10.11745262,2024-06-05 17:19:27.331244
4.371244027,-2.575275421,-4.459323883,10.11745262,2024-06-05 17:19:27.371244
4.411244027,-2.575275421,-4.459323883,10.11745262,2024-06-05 17:19:27.411244
4.451244027,-2.575275421,-4.459323883,10.11745262,2024-06-05 17:19:27.451244
