"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.665105625E0,5.235346467E1,4.913056340E0,-7.783351356E0,2.899999917E-1,3.165000000E2,6.218281555E1,5.816531372E1
1.711234375E0,5.235346574E1,4.913054900E0,-7.827234947E0,2.800000012E-1,3.187000122E2,6.223026276E1,5.817879486E1
2.713181301E0,5.235334580E1,4.913210960E0,6.481400910E0,1.500000060E-1,2.942999878E2,4.364941406E1,4.453570557E1
3.712764426E0,5.235322948E1,4.913192800E0,8.714624143E0,1.899999976E0,2.850000000E2,2.999174500E1,3.151273727E1
4.712440936E0,5.235328888E1,4.913338550E0,1.788282202E1,1.110000014E0,3.232999878E2,1.803562164E1,1.919626236E1
5.711319529E0,5.235324000E1,4.913086440E0,-6.045493028E0,3.199999928E-1,4.300000000E1,1.208939743E1,1.317648697E1
6.710810206E0,5.235323979E1,4.913114580E0,-7.545843326E0,0.000000000E0,NaN,9.124188423E0,1.033129883E1
7.711240414E0,5.235324839E1,4.913116320E0,-1.369878425E1,2.039999962E0,9.219999695E1,6.122434616E0,7.356031418E0
8.722357132E0,5.235324557E1,4.913142150E0,-9.353558516E0,1.450000048E0,9.730000305E1,5.452320099E0,6.539884090E0
9.713595569E0,5.235324030E1,4.913182660E0,-1.064724284E0,2.259999990E0,9.519999695E1,6.000109196E0,7.356994152E0
1.071236567E1,5.235323793E1,4.913225660E0,-2.808660390E0,2.460000038E0,9.100000000E1,5.718303204E0,7.147454739E0
1.171506031E1,5.235323331E1,4.913278470E0,-1.195538367E0,3.170000076E0,9.080000305E1,5.690914154E0,7.111221790E0
1.271335588E1,5.235322591E1,4.913323420E0,-1.316433598E0,2.730000019E0,9.730000305E1,5.887135506E0,7.500171661E0
1.371424156E1,5.235321100E1,4.913361170E0,3.130771620E0,2.460000038E0,1.125000000E2,5.905343533E0,7.619117260E0
1.471377848E1,5.235319668E1,4.913403490E0,6.148903158E0,2.890000105E0,1.100999985E2,6.309867382E0,8.116247177E0
1.571310916E1,5.235316852E1,4.913464750E0,6.923251590E0,2.720000029E0,1.004000015E2,6.796014786E0,7.791433811E0
1.671252734E1,5.235317568E1,4.913514470E0,9.755321622E0,2.640000105E0,9.019999695E1,6.738555431E0,8.314003944E0
1.771437984E1,5.235318617E1,4.913568140E0,1.046435177E1,2.930000067E0,7.119999695E1,6.093228340E0,8.032875061E0
1.871684463E1,5.235319882E1,4.913612630E0,1.328611163E1,2.940000057E0,5.579999924E1,6.062627792E0,8.001295090E0
1.971876619E1,5.235320095E1,4.913660490E0,1.399720178E1,2.920000076E0,5.500000000E1,6.462899685E0,8.228197098E0
2.071295890E1,5.235321511E1,4.913696960E0,1.334618084E1,2.319999933E0,4.979999924E1,6.098250389E0,7.944059372E0
2.171949265E1,5.235323162E1,4.913756900E0,1.303343357E1,3.880000114E0,5.809999847E1,5.833710194E0,7.287686348E0
2.271940072E1,5.235324345E1,4.913810420E0,1.062533907E1,3.759999990E0,7.150000000E1,5.965943813E0,6.846288681E0
2.371863421E1,5.235322628E1,4.913862290E0,1.022660196E1,3.779999971E0,9.509999847E1,5.292717457E0,6.519736290E0
2.472112160E1,5.235321278E1,4.913937160E0,1.186255126E1,3.890000105E0,1.070999985E2,5.256032944E0,6.394128323E0
2.571715832E1,5.235319474E1,4.914005430E0,1.226063632E1,4.320000172E0,1.110000000E2,4.673063755E0,5.783531666E0
2.671770379E1,5.235317681E1,4.914061200E0,1.152315526E1,4.360000134E0,1.135000000E2,4.520042896E0,5.465250969E0
2.771579192E1,5.235315890E1,4.914120110E0,1.201553443E1,4.449999809E0,1.145999985E2,5.011818409E0,5.428493023E0
2.871905645E1,5.235314495E1,4.914175610E0,1.216978248E1,3.619999886E0,1.088000031E2,4.569689751E0,5.266701221E0
2.971688379E1,5.235313455E1,4.914231370E0,1.161523444E1,4.269999981E0,1.054000015E2,4.786108971E0,5.127924919E0
3.071447837E1,5.235312806E1,4.914288390E0,1.137453543E1,3.750000000E0,1.000000000E2,6.091942787E0,5.307343483E0
3.171477046E1,5.235312349E1,4.914341290E0,1.158561900E1,3.500000000E0,1.005000000E2,7.973912239E0,5.573164463E0
3.271572994E1,5.235311993E1,4.914387660E0,1.183814311E1,3.119999886E0,9.759999847E1,1.009596443E1,5.845954895E0
3.371263895E1,5.235311763E1,4.914431860E0,1.187014774E1,3.119999886E0,9.609999847E1,1.315789604E1,6.140131474E0
3.471180983E1,5.235311502E1,4.914454860E0,1.185685162E1,1.659999967E0,9.700000000E1,1.464570332E1,6.784381866E0
3.571330702E1,5.235311397E1,4.914465360E0,1.188114818E1,1.259999990E0,9.769999695E1,1.732940483E1,7.990043163E0
3.671304473E1,5.235311295E1,4.914475420E0,1.189940204E1,1.289999962E0,9.890000153E1,2.002750397E1,9.773466110E0
3.771134978E1,5.235311264E1,4.914477770E0,1.189171252E1,0.000000000E0,NaN,2.234393120E1,9.633492470E0
4.071641566E1,5.235311068E1,4.914519680E0,7.445200685E0,2.970000029E0,6.340000153E1,1.391734600E1,1.023687267E1
4.171417905E1,5.235299578E1,4.914789840E0,3.707644709E0,3.029999971E0,1.076999969E2,8.560613632E0,8.033070564E0
4.272014988E1,5.235299424E1,4.914847770E0,5.731052360E0,2.259999990E0,8.290000153E1,6.692739010E0,7.185326099E0
4.371528566E1,5.235301138E1,4.914893920E0,8.670190139E0,2.359999895E0,5.359999847E1,6.535590172E0,7.258977890E0
4.471373415E1,5.235302835E1,4.914937850E0,1.188001732E1,2.089999914E0,5.800000000E1,5.890207291E0,6.764408588E0
4.571545597E1,5.235304531E1,4.914981610E0,1.104791323E1,3.190000057E0,4.659999847E1,5.685905933E0,6.624182701E0
4.671611681E1,5.235307045E1,4.915030010E0,1.103943180E1,4.179999828E0,4.009999847E1,4.881645203E0,5.931810379E0
4.772100680E1,5.235310362E1,4.915075370E0,1.243598930E1,4.349999905E0,3.110000038E1,4.448046684E0,5.631298065E0
4.871568092E1,5.235313770E1,4.915120040E0,1.312746956E1,4.369999886E0,3.370000076E1,4.438686848E0,5.587951183E0
4.971391097E1,5.235316948E1,4.915162170E0,1.277304666E1,4.329999924E0,3.670000076E1,4.457376957E0,5.680912495E0
5.071774644E1,5.235320550E1,4.915200430E0,1.400737266E1,4.400000095E0,2.760000038E1,4.465617657E0,5.744642735E0
5.171637232E1,5.235324165E1,4.915231890E0,1.349346495E1,4.239999771E0,2.820000076E1,4.563839436E0,5.728210926E0
5.271578951E1,5.235327598E1,4.915269870E0,1.407928985E1,3.990000010E0,3.240000153E1,4.888977528E0,6.038040638E0
5.372217300E1,5.235330711E1,4.915304340E0,1.585517169E1,3.710000038E0,2.629999924E1,4.779196739E0,6.108581543E0
5.471298977E1,5.235333811E1,4.915337790E0,1.637140919E1,3.410000086E0,3.300000000E1,4.864299297E0,6.247128963E0
5.572209888E1,5.235336455E1,4.915362490E0,1.653155609E1,3.210000038E0,2.489999962E1,5.231297970E0,6.670671940E0
5.671464461E1,5.235339201E1,4.915381710E0,1.611418664E1,3.130000114E0,2.050000000E1,5.256660461E0,6.707564354E0
5.771603763E1,5.235341640E1,4.915399900E0,1.583328684E1,2.890000105E0,2.310000038E1,5.394204617E0,6.717110157E0
5.871897467E1,5.235344012E1,4.915417060E0,1.693580836E1,2.799999952E0,1.119999981E1,5.575387955E0,7.054628849E0
5.971831946E1,5.235346374E1,4.915451850E0,1.780341558E1,3.000000000E0,3.929999924E1,6.039984226E0,7.660866737E0
6.071492269E1,5.235349494E1,4.915491410E0,1.892726187E1,3.119999886E0,2.010000038E1,5.777818203E0,7.475934982E0
6.171493961E1,5.235352662E1,4.915521000E0,1.775428913E1,3.019999981E0,2.210000038E1,5.900389671E0,7.524378777E0
6.271631295E1,5.235355364E1,4.915550220E0,1.798200538E1,2.839999914E0,3.359999847E1,5.737998486E0,7.288901806E0
6.371498055E1,5.235357607E1,4.915573510E0,1.778002421E1,2.529999971E0,2.710000038E1,5.834633827E0,7.113700867E0
6.471626404E1,5.235360301E1,4.915595060E0,1.716227694E1,2.750000000E0,2.020000076E1,5.873078346E0,7.034456253E0
6.572258133E1,5.235362969E1,4.915615900E0,1.582193368E1,2.769999981E0,2.650000000E1,6.051352024E0,7.180767059E0
6.671659878E1,5.235365704E1,4.915644820E0,1.547170833E1,3.079999924E0,3.259999847E1,5.988089561E0,7.235923767E0
6.771985570E1,5.235368424E1,4.915677110E0,1.502816196E1,2.849999905E0,3.370000076E1,5.900793076E0,6.952900410E0
6.871812440E1,5.235371242E1,4.915714900E0,1.242080178E1,2.779999971E0,3.459999847E1,5.872965813E0,6.816664219E0
6.971980539E1,5.235373543E1,4.915749060E0,1.157753131E1,2.720000029E0,3.650000000E1,5.505817890E0,6.477250099E0
7.072233424E1,5.235375829E1,4.915774610E0,1.130597197E1,2.470000029E0,2.429999924E1,5.647125244E0,6.538980007E0
7.172234086E1,5.235378181E1,4.915794750E0,1.110661504E1,2.509999990E0,2.689999962E1,6.008257866E0,6.697434425E0
7.272216638E1,5.235380602E1,4.915824000E0,1.025009882E1,2.480000019E0,3.139999962E1,5.973956108E0,6.722000599E0
7.371910534E1,5.235382555E1,4.915851900E0,1.268831395E1,2.130000114E0,3.440000153E1,6.395193100E0,7.119982243E0
7.471314023E1,5.235385040E1,4.915898350E0,9.402975531E0,2.470000029E0,4.190000153E1,6.587645531E0,7.105301380E0
7.572072674E1,5.235387115E1,4.915932980E0,1.047760984E1,1.929999948E0,3.609999847E1,7.001874447E0,7.516438484E0
7.671999382E1,5.235389840E1,4.915972120E0,1.299451671E1,2.420000076E0,3.800000000E1,7.584640026E0,7.846812248E0
7.771672633E1,5.235392609E1,4.916018970E0,9.401077078E0,2.349999905E0,4.070000076E1,7.302408695E0,7.695895195E0
7.872072315E1,5.235395869E1,4.916063920E0,1.024428882E1,3.279999971E0,3.850000000E1,6.791911125E0,7.628844738E0
7.972051216E1,5.235399495E1,4.916112420E0,1.037711960E1,3.750000000E0,4.409999847E1,6.428512573E0,7.240506649E0
8.071520341E1,5.235402848E1,4.916160720E0,9.963803830E0,3.619999886E0,4.090000153E1,6.042679310E0,6.794494629E0
8.171494763E1,5.235406199E1,4.916203200E0,9.537972468E0,4.019999981E0,3.579999924E1,5.682818413E0,6.374412060E0
8.272235158E1,5.235409662E1,4.916241530E0,9.034625654E0,4.369999886E0,3.470000076E1,5.271781445E0,6.095278263E0
8.371905997E1,5.235413196E1,4.916277370E0,8.064481537E0,4.030000210E0,3.529999924E1,5.365483284E0,5.970530987E0
8.471557268E1,5.235416681E1,4.916315760E0,9.876320617E0,4.219999790E0,3.659999847E1,5.472406864E0,6.107624054E0
8.572802315E1,5.235420106E1,4.916352750E0,1.042778206E1,4.230000019E0,3.659999847E1,5.317153931E0,6.187894821E0
8.672229585E1,5.235423653E1,4.916393580E0,1.090942323E1,4.480000019E0,3.890000153E1,5.001540661E0,5.836997032E0
8.771861325E1,5.235427065E1,4.916437440E0,1.166645486E1,4.179999828E0,4.140000153E1,5.308743000E0,5.957896233E0
8.871433195E1,5.235430361E1,4.916483040E0,1.166884718E1,4.170000076E0,4.450000000E1,4.980082989E0,5.597016811E0
8.971712616E1,5.235433623E1,4.916529680E0,1.301389098E1,3.960000038E0,4.529999924E1,5.236344814E0,5.600477695E0
9.071723418E1,5.235436603E1,4.916572020E0,1.449143564E1,3.569999933E0,4.520000076E1,5.846883774E0,5.582359791E0
9.172167096E1,5.235440611E1,4.916614760E0,1.492590427E1,4.230000019E0,3.850000000E1,5.067703724E0,5.451347828E0
9.272244075E1,5.235444345E1,4.916656650E0,1.492915515E1,4.059999943E0,4.070000076E1,5.451025009E0,5.629075527E0
9.371674330E1,5.235447324E1,4.916696350E0,1.722591213E1,3.460000038E0,4.629999924E1,6.140830040E0,5.848339081E0
9.471702095E1,5.235451255E1,4.916734300E0,1.950162447E1,3.609999895E0,4.470000076E1,6.063232899E0,6.123045921E0
9.572241325E1,5.235454819E1,4.916773630E0,1.997673426E1,3.569999933E0,4.609999847E1,5.908280373E0,6.069658756E0
9.671832835E1,5.235458218E1,4.916820650E0,1.888031295E1,3.940000057E0,4.279999924E1,5.033284187E0,5.440123081E0
9.771954798E1,5.235461717E1,4.916878800E0,1.937923637E1,4.429999828E0,5.220000076E1,4.502690792E0,5.098039627E0
9.872331330E1,5.235465130E1,4.916941020E0,1.833745048E1,4.789999962E0,4.920000076E1,4.178542137E0,5.020400524E0
9.971515559E1,5.235468677E1,4.917002990E0,1.495600570E1,4.719999790E0,4.929999924E1,3.938023090E0,4.821753502E0
1.007195099E2,5.235471927E1,4.917064100E0,1.472049127E1,4.579999924E0,5.040000153E1,3.960517645E0,4.763678551E0
