"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.753639936E0,6.007779598E0,5.813961029E0
8.600688000E-3,-1.257727385E0,5.432903767E0,8.470592499E0
4.860068800E-2,-3.017947674E-1,6.175576210E0,8.204689980E0
8.860068800E-2,-3.017947674E-1,6.175576210E0,8.204689980E0
1.286006880E-1,-3.017947674E-1,6.175576210E0,8.204689980E0
1.686006880E-1,-1.045663476E0,5.845067501E0,9.404690742E0
2.086006880E-1,-1.170090318E0,6.195915222E0,7.024729252E0
2.486006880E-1,-3.077768087E-1,4.358526230E0,1.135813046E1
2.886006880E-1,5.306084156E-1,5.557629585E0,9.237193108E0
3.286006880E-1,1.019342422E0,6.008975983E0,6.777969360E0
3.686006880E-1,1.905284971E-1,4.957629204E0,7.967501163E0
4.086006880E-1,8.036893010E-1,5.187340260E0,7.957930088E0
4.486006880E-1,-6.370890141E-1,4.619643211E0,6.042774677E0
4.886006880E-1,-1.940280080E0,3.563211918E0,9.348459244E0
5.286006880E-1,3.085544825E0,2.399103880E0,1.138235855E1
5.686006880E-1,2.461317301E0,3.999004960E-1,1.232124233E1
6.086006880E-1,2.828017235E0,-7.178468257E-2,1.202064323E1
6.486006880E-1,5.950351715E0,-7.749754190E-1,9.277871132E0
6.886006880E-1,3.388835192E-1,-1.239781260E0,1.090678501E1
7.286006880E-1,-1.521237016E0,-4.109672904E-1,8.202297211E0
7.686006880E-1,-9.125627279E-1,-3.292523861E0,1.134138107E1
8.086006880E-1,-4.217349887E-1,-3.172882795E0,9.212965012E0
8.486006880E-1,-4.217349887E-1,-3.172882795E0,9.212965012E0
8.886006880E-1,6.263213158E-1,3.764508247E0,1.055085278E1
9.286006880E-1,8.132606149E-1,2.474477768E0,6.061916828E0
9.686006880E-1,3.238685369E0,3.917948008E0,6.525227547E0
1.008600688E0,1.838076591E1,8.078767776E0,7.392625332E0
1.048600688E0,1.838076591E1,8.078767776E0,7.392625332E0
1.088600688E0,1.838076591E1,8.078767776E0,7.392625332E0
1.128600688E0,1.838076591E1,8.078767776E0,7.392625332E0
1.168600688E0,1.838076591E1,8.078767776E0,7.392625332E0
1.208600688E0,1.838076591E1,8.078767776E0,7.392625332E0
1.248600688E0,1.838076591E1,8.078767776E0,7.392625332E0
1.288600688E0,-5.533402562E-1,7.486543655E-1,6.563811779E0
1.328600688E0,8.706883192E-1,3.281756163E0,8.069195747E0
1.368600688E0,1.578664780E0,3.182454109E0,1.015932655E1
1.408600688E0,-2.484049082E0,1.267298698E0,7.794919014E0
1.448600688E0,-5.285745144E0,1.523629785E0,9.934102058E0
1.488600688E0,-6.443871498E0,2.008774519E0,9.313762665E0
1.528600688E0,-6.632007122E0,3.212364435E0,9.743574142E0
1.568600688E0,-3.824328899E0,1.446760416E0,8.520841599E0
1.608600688E0,-2.292623281E0,2.231307030E0,8.610571861E0
1.648600688E0,-2.796611547E0,1.315155149E0,9.397511482E0
1.688600688E0,-3.728615999E0,2.627917528E0,9.925727844E0
1.728600688E0,-5.667699337E0,2.973979473E0,1.141346455E1
1.768600688E0,-6.177968979E0,4.050749779E0,1.003340435E1
1.808600688E0,4.217349887E-1,4.218546391E0,8.299205780E0
1.848600688E0,-2.201396942E0,7.546364665E-1,9.885049820E0
1.888600688E0,4.620839596E0,4.056731701E0,9.668199539E0
1.928600688E0,3.340978622E-1,3.854238987E0,9.484849930E0
1.968600688E0,-4.549055099E0,2.898605585E0,7.774580002E0
