Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
0.144627813,0.2590954304,0.04392528534,0.004498958588,2024-06-05 18:49:11.144628
0.185059896,0.1972723007,0.01111745834,0.1683120728,2024-06-05 18:49:11.185060
0.225492917,-0.06410932541,0.07352256775,0.01400184631,2024-06-05 18:49:11.225493
0.266100573,0.1425147057,0.1401281357,-0.4836645126,2024-06-05 18:49:11.266101
0.30612474,-0.6265611649,0.3499660492,-0.1253509521,2024-06-05 18:49:11.306125
0.346955,-0.1849792004,0.3320865631,-0.5781006813,2024-06-05 18:49:11.346955
0.387441406,1.01412487,-0.5178608894,-0.4753055573,2024-06-05 18:49:11.387441
0.427879948,0.7452262044,-0.7629981041,0.09422874451,2024-06-05 18:49:11.427880
0.468489427,1.13537991,-1.625006199,0.8188781738,2024-06-05 18:49:11.468489
0.50876724,0.4067218304,-1.573428154,1.691252708,2024-06-05 18:49:11.508767
0.54946099,-0.1470967531,-0.7221701145,0.7528533936,2024-06-05 18:49:11.549461
0.589883698,-0.2832895517,0.8002176285,-0.7124004364,2024-06-05 18:49:11.589884
0.630354479,-1.145772457,0.4603476524,-0.4500041008,2024-06-05 18:49:11.630354
0.670851979,-0.162001133,-0.1112594604,0.3602170944,2024-06-05 18:49:11.670852
0.711335156,-1.288969517,0.5988020897,-0.4942669868,2024-06-05 18:49:11.711335
0.751835625,-0.1657888889,0.171690464,-0.3243761063,2024-06-05 18:49:11.751836
0.792227292,-0.2882947922,0.3138604164,0.1850090027,2024-06-05 18:49:11.792227
0.832807656,0.5507378578,0.2239222527,1.249336243,2024-06-05 18:49:11.832808
0.873300313,0.8626019955,-0.7622244358,2.415481567,2024-06-05 18:49:11.873300
0.913785625,0.930891037,-1.577830791,8.93006897,2024-06-05 18:49:11.913786
0.954259948,2.960305691,-1.54807353,-0.3864407539,2024-06-05 18:49:11.954260
0.994768854,0.3171730042,-5.253459454,-5.80439043,2024-06-05 18:49:11.994769
1.035188021,3.669589043,-5.120062351,-7.308780193,2024-06-05 18:49:12.035188
1.075698229,-0.5707111359,-6.596262455,1.374400616,2024-06-05 18:49:12.075698
1.116053906,4.579208851,-4.526872635,7.645105839,2024-06-05 18:49:12.116054
1.156425833,3.480162144,1.412079334,6.045855522,2024-06-05 18:49:12.156426
1.197173021,-1.410274506,-0.08165764809,6.717332363,2024-06-05 18:49:12.197173
1.237519948,-2.026150703,2.879970551,2.023280621,2024-06-05 18:49:12.237520
1.278000365,-2.852528572,1.231473684,0.1335186958,2024-06-05 18:49:12.278000
1.318674583,1.183979034,-0.03620815277,-8.02672863,2024-06-05 18:49:12.318675
1.35913151,-1.136672497,1.505887866,-10.25428963,2024-06-05 18:49:12.359132
