Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.0650625,-0.3681216538,-0.2862010598,0.01350757573,2024-06-04 14:17:44.065062
0.1048025,-0.4039864838,-0.3527011871,0.006765995175,2024-06-04 14:17:44.104802
0.1445425,-0.5148466825,-0.4237873256,0.03818756714,2024-06-04 14:17:44.144542
0.1842825,-0.5768226981,-0.5547369123,-0.006932526361,2024-06-04 14:17:44.184282
0.2240225,-0.2854609191,-0.4062066376,0.01513222419,2024-06-04 14:17:44.224022
0.263761625,-0.1269174665,-0.2767394483,0.06684357673,2024-06-04 14:17:44.263762
0.303501625,-0.2606348693,-0.2862750888,0.1167310625,2024-06-04 14:17:44.303502
0.343241625,-0.3816584051,-0.3844220638,0.1205678806,2024-06-04 14:17:44.343242
0.382981625,-0.3503256142,-0.4348486066,0.149517864,2024-06-04 14:17:44.382982
0.422721625,-0.4604763091,-0.6635142565,0.08451155573,2024-06-04 14:17:44.422722
0.462461625,-0.5206075907,-0.6828911901,0.007474591956,2024-06-04 14:17:44.462462
0.502201625,-0.2486697882,-0.2736429572,0.03893448412,2024-06-04 14:17:44.502202
0.541941625,-0.1419134587,-0.1539937109,0.1671823412,2024-06-04 14:17:44.541942
0.581680625,0.04467784986,-0.04583805427,0.2620718777,2024-06-04 14:17:44.581681
0.621420625,0.2110301256,0.04046496004,0.304443717,2024-06-04 14:17:44.621421
0.661160625,0.3191047907,-0.1206464767,0.3485036194,2024-06-04 14:17:44.661161
0.700900625,0.1855276227,-0.2500815392,0.2716962397,2024-06-04 14:17:44.700901
0.740640625,0.2497856021,-0.3105942905,0.2859225571,2024-06-04 14:17:44.740641
0.780380625,0.08728253096,-0.1207564473,0.2349883765,2024-06-04 14:17:44.780381
0.820120625,-0.004104854539,0.2987998128,0.1906965077,2024-06-04 14:17:44.820121
0.859860625,0.2052776068,0.03108768165,0.173703447,2024-06-04 14:17:44.859861
0.899599625,0.07049221545,-0.3272346258,0.309248507,2024-06-04 14:17:44.899600
0.939339625,-0.08312837034,-0.3021540046,0.4011224508,2024-06-04 14:17:44.939340
0.979079625,-0.2020139992,-0.1220872253,0.5846989751,2024-06-04 14:17:44.979080
1.018819625,-0.2218957692,-0.1535189152,0.53309834,2024-06-04 14:17:45.018820
1.058559625,-0.361389488,0.4799985588,0.04163456336,2024-06-04 14:17:45.058560
1.098299625,-0.2919365168,0.5503140688,-0.495141983,2024-06-04 14:17:45.098300
1.138039625,-0.5339277983,0.02891843021,-0.03781627119,2024-06-04 14:17:45.138040
1.177779625,-2.672042131,1.231595516,0.9623118043,2024-06-04 14:17:45.177780
1.217518625,-2.482903957,0.5667549968,0.506573379,2024-06-04 14:17:45.217519
1.257258625,-1.618611217,-0.1488916874,-0.295240432,2024-06-04 14:17:45.257259
1.2969985,-1.440042615,-1.231076121,-0.02835292742,2024-06-04 14:17:45.296998
1.3367385,-0.6082129478,0.02374811098,-0.2254051268,2024-06-04 14:17:45.336739
1.3764785,1.202957749,-0.3185300529,-1.970895648,2024-06-04 14:17:45.376478
1.4162185,3.506441832,-0.9475173354,-1.581498981,2024-06-04 14:17:45.416219
1.4559575,3.595267296,-3.732517242,-0.9180213809,2024-06-04 14:17:45.455958
1.4956975,0.8124243617,-4.532714844,-1.207511306,2024-06-04 14:17:45.495697
