Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.0166295,-2.581980743,6.807843018,6.084696808,2024-06-04 14:43:06.016630
0.0563695,-2.588567047,6.752158813,6.789580994,2024-06-04 14:43:06.056370
0.0961085,-2.660866699,6.565646667,6.593638458,2024-06-04 14:43:06.096108
0.1358485,-2.463576965,6.606661377,6.789730682,2024-06-04 14:43:06.135848
0.1755885,-2.199076996,6.393654327,7.093898163,2024-06-04 14:43:06.175588
0.2153285,-1.761237488,6.511609039,7.426805878,2024-06-04 14:43:06.215328
0.2550685,-1.994602203,6.011199646,7.437733154,2024-06-04 14:43:06.255068
0.294808625,-1.810485077,6.086343384,7.378157043,2024-06-04 14:43:06.294809
0.334548625,-1.657203827,6.180198212,7.597600708,2024-06-04 14:43:06.334549
0.374288625,-1.938917999,6.125262451,7.572303314,2024-06-04 14:43:06.374289
0.414027625,-1.6416362,5.951773224,7.695497131,2024-06-04 14:43:06.414028
0.453767625,-1.305734711,5.722599792,7.91913208,2024-06-04 14:43:06.453768
0.493507625,-0.9264234924,5.411247253,8.577762451,2024-06-04 14:43:06.493508
0.533247625,-0.6251000977,5.384153595,8.42927124,2024-06-04 14:43:06.533248
0.572987625,-0.725690918,5.377866669,8.584498444,2024-06-04 14:43:06.572988
0.612727625,-0.6601272583,5.291496277,8.465795288,2024-06-04 14:43:06.612728
0.652467625,-0.6140231323,5.501210175,8.389603729,2024-06-04 14:43:06.652468
0.692207625,-0.9205856323,5.76271637,7.728728027,2024-06-04 14:43:06.692208
0.731947625,-0.4504133606,5.657934265,7.717501373,2024-06-04 14:43:06.731948
0.771686625,-0.3026705933,5.797593842,7.505991211,2024-06-04 14:43:06.771687
0.811426625,-0.0592767334,5.661526794,8.031697998,2024-06-04 14:43:06.811427
0.851166625,-0.3737727356,5.84923645,8.273445282,2024-06-04 14:43:06.851167
0.890906625,-0.69620224,5.926326141,7.750732269,2024-06-04 14:43:06.890907
0.930646625,-0.1041833496,6.031108246,7.345524902,2024-06-04 14:43:06.930647
0.970386625,-0.2100132751,6.018534393,7.837851105,2024-06-04 14:43:06.970387
1.010126625,0.4851411438,5.477259979,8.017776947,2024-06-04 14:43:07.010127
1.049865625,1.867516479,4.97759903,8.397088165,2024-06-04 14:43:07.049866
1.089605625,2.270927582,5.031187592,8.893905029,2024-06-04 14:43:07.089606
1.129345625,1.058448944,3.924538879,7.567213898,2024-06-04 14:43:07.129346
1.169085625,-1.594633942,5.977220306,7.815547485,2024-06-04 14:43:07.169086
1.208825625,0.08487350464,3.676055603,10.66187851,2024-06-04 14:43:07.208826
1.248565625,-0.8428971863,4.882247314,10.32418076,2024-06-04 14:43:07.248566
1.2883055,-0.1327738953,2.111658783,9.494905243,2024-06-04 14:43:07.288306
1.3280445,-0.7924520874,1.097218323,11.15944382,2024-06-04 14:43:07.328045
1.3677845,1.254092102,2.500849457,9.772278442,2024-06-04 14:43:07.367784
1.4075245,-0.6614744568,-0.2008822632,13.73229355,2024-06-04 14:43:07.407525
1.4472645,-0.0773890686,1.815275116,4.989723816,2024-06-04 14:43:07.447264
1.4870045,2.019300842,4.52000061,3.491639099,2024-06-04 14:43:07.487005
1.5267445,1.185983734,3.919599152,14.78924561,2024-06-04 14:43:07.526744
1.5664845,1.929337921,4.451592865,6.503525848,2024-06-04 14:43:07.566484
1.6062235,1.352287903,5.273683319,6.079906769,2024-06-04 14:43:07.606224
1.6459635,0.5325924683,4.468657379,8.72296051,2024-06-04 14:43:07.645963
