"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.506250000E-2,2.275337410E1,-3.172017288E1,-2.457887268E1
1.048025000E-1,2.219774437E1,-3.137582397E1,-2.515356445E1
1.445425000E-1,2.190987587E1,-3.098968887E1,-2.604878235E1
1.842825000E-1,2.108696938E1,-3.025588989E1,-2.747038269E1
2.240225000E-1,2.058374596E1,-3.000085449E1,-2.826506042E1
2.637616250E-1,2.029131508E1,-2.981947327E1,-2.901174927E1
3.035016250E-1,2.003277016E1,-2.956033707E1,-2.911045837E1
3.432416250E-1,1.915996742E1,-2.931128311E1,-2.969761658E1
3.829816250E-1,1.850971413E1,-2.886802673E1,-3.062171936E1
4.227216250E-1,1.751585197E1,-2.860845566E1,-3.145669556E1
4.624616250E-1,1.647155952E1,-2.789820862E1,-3.269956970E1
5.022016250E-1,1.579430199E1,-2.745111465E1,-3.362947083E1
5.419416250E-1,1.543719673E1,-2.704018784E1,-3.381428528E1
5.816806250E-1,1.487478065E1,-2.698692322E1,-3.386242676E1
6.214206250E-1,1.476959419E1,-2.732863617E1,-3.430850220E1
6.611606250E-1,1.427329826E1,-2.780490875E1,-3.397726440E1
7.009006250E-1,1.344915199E1,-2.839185715E1,-3.344041443E1
7.406406250E-1,1.283493614E1,-2.897186661E1,-3.339506531E1
7.803806250E-1,1.207502937E1,-2.915378952E1,-3.320277405E1
8.201206250E-1,1.185947990E1,-2.940765762E1,-3.321293640E1
8.598606250E-1,1.213279533E1,-2.956519699E1,-3.294012451E1
8.995996250E-1,1.157692528E1,-2.972238541E1,-3.284475708E1
9.393396250E-1,1.099500847E1,-2.999731827E1,-3.322789001E1
9.790796250E-1,1.009257698E1,-2.999175262E1,-3.343736267E1
1.018819625E0,9.191087723E0,-2.988729095E1,-3.350762939E1
1.058559625E0,8.681287766E0,-2.946706009E1,-3.420100403E1
1.098299625E0,9.785886765E0,-2.904413223E1,-3.424069214E1
1.138039625E0,1.105436134E1,-2.843781281E1,-3.426515198E1
1.177779625E0,1.107711601E1,-2.692732620E1,-3.525534058E1
1.217518625E0,1.212524605E1,-2.358069611E1,-3.751382446E1
1.257258625E0,1.236966515E1,-1.997277069E1,-3.961679077E1
1.296998500E0,1.108162117E1,-1.759310532E1,-4.156027222E1
1.336738500E0,1.039546013E1,-1.533282471E1,-4.260435486E1
1.376478500E0,1.058757591E1,-1.489377594E1,-4.299700928E1
1.416218500E0,1.262228584E1,-1.711710739E1,-4.121047974E1
1.455957500E0,9.970331192E0,-2.234866333E1,-3.941612244E1
1.495697500E0,4.963312149E0,-2.597869110E1,-3.809165955E1
1.535437500E0,3.504426956E0,-2.629162216E1,-3.812306213E1
1.575177500E0,6.367124557E0,-2.502248764E1,-3.894323730E1
1.614917500E0,8.206754684E0,-2.388212204E1,-3.924794006E1
1.654657500E0,9.142511368E0,-2.305123138E1,-3.958998108E1
1.694397500E0,9.277547836E0,-2.265007401E1,-3.996582031E1
1.734136500E0,1.113729286E1,-2.225035095E1,-4.028329468E1
1.773876500E0,1.210503578E1,-2.169981003E1,-4.105458069E1
1.813616500E0,7.423196793E0,-1.986632919E1,-4.347358704E1
1.853356500E0,-1.139680862E0,-1.799472809E1,-4.547209167E1
1.893096500E0,-4.748949051E0,-1.635369492E1,-4.606904602E1
1.932836500E0,3.947486877E-1,-1.582687378E1,-4.675373840E1
1.972575500E0,7.109949112E0,-1.781381607E1,-4.612312317E1
2.012315500E0,1.206825066E1,-1.942179108E1,-4.453558350E1
2.052055500E0,1.716961861E1,-1.784040833E1,-4.340763855E1
2.091795500E0,2.270534325E1,-1.376827621E1,-4.194024658E1
2.131535500E0,2.160048103E1,-9.667446136E0,-4.313793945E1
2.171275500E0,2.014326286E1,-4.319538116E0,-4.375465393E1
2.211014500E0,2.003574944E1,-3.858928680E-1,-4.275802612E1
2.250754500E0,1.757000160E1,1.396940231E0,-4.166082764E1
2.290494000E0,1.410693550E1,1.183940887E0,-4.096333313E1
2.330234000E0,1.118138313E1,1.047172546E-1,-4.074864197E1
2.369974000E0,1.080023766E1,1.413410187E0,-4.028398132E1
2.409713000E0,1.311649513E1,3.813795090E0,-3.975546265E1
2.449453000E0,1.897418022E1,8.643188477E0,-3.705548096E1
2.489193000E0,2.143864250E1,1.421291924E1,-3.410722351E1
2.528933000E0,2.332103157E1,1.787766647E1,-3.134431458E1
2.568673000E0,2.526931572E1,2.088506508E1,-2.794741821E1
2.608413000E0,2.644639778E1,2.312956619E1,-2.507566833E1
2.648152000E0,2.625800514E1,2.582285690E1,-2.261940002E1
2.687892000E0,2.574329567E1,3.002607536E1,-1.769877625E1
2.727632000E0,2.725957298E1,3.101752090E1,-1.338983154E1
2.767372000E0,2.985421944E1,2.904364395E1,-1.227366638E1
2.807112000E0,3.278769684E1,2.593555450E1,-1.134848022E1
2.846851000E0,3.499575806E1,2.135144424E1,-1.324536133E1
2.886591000E0,3.565348053E1,1.863526154E1,-1.464411926E1
2.926331000E0,3.544375610E1,1.580604649E1,-1.724064636E1
2.966071000E0,3.498236847E1,1.370498085E1,-1.899961853E1
3.005810000E0,3.422792816E1,1.086977100E1,-2.091734314E1
3.045550000E0,3.384513092E1,9.389328003E0,-2.207019043E1
3.085290000E0,3.308287811E1,8.792207718E0,-2.333773804E1
3.125030000E0,3.364674377E1,7.073314667E0,-2.321545410E1
3.164770000E0,3.470240784E1,5.627096176E0,-2.268017578E1
3.204509000E0,3.417694092E1,4.028276443E0,-2.378976440E1
3.244249000E0,3.408518982E1,3.177434921E0,-2.393934631E1
3.283989292E0,3.299607086E1,4.548995972E0,-2.536952209E1
3.323729292E0,3.187847328E1,6.801692963E0,-2.625085449E1
3.363469292E0,3.222332764E1,7.602052689E0,-2.508134460E1
3.403208292E0,3.238973236E1,8.980798721E0,-2.444354248E1
3.442948292E0,3.323615265E1,1.061501694E1,-2.257006836E1
3.482688292E0,3.466051483E1,1.126839161E1,-1.967295837E1
3.522428292E0,3.537608337E1,1.251609421E1,-1.750891113E1
3.562167292E0,3.544043732E1,1.378998280E1,-1.680908203E1
3.601907292E0,3.496706390E1,1.560887241E1,-1.628683472E1
3.641647292E0,3.439060974E1,1.670132446E1,-1.692884827E1
3.681387292E0,3.424324799E1,1.636903763E1,-1.734277344E1
3.721126292E0,3.471571350E1,1.461163616E1,-1.796487427E1
3.760866292E0,3.518630219E1,1.010685825E1,-1.954776001E1
3.800606292E0,3.601181793E1,4.699806213E0,-1.939129639E1
3.840346292E0,3.679123688E1,5.362585068E0,-1.784283447E1
3.880086292E0,3.678130341E1,6.401733398E0,-1.792967224E1
3.919825292E0,3.626455688E1,7.781326294E0,-1.836520386E1
3.959565292E0,3.445835876E1,1.051086235E1,-2.063769531E1
3.999305292E0,3.370941925E1,1.339880753E1,-2.014894104E1
4.039044292E0,3.272758484E1,1.431077480E1,-2.068145752E1
4.078784292E0,3.195206261E1,1.440820694E1,-2.181559753E1
4.118524292E0,3.044865227E1,1.492976189E1,-2.306152344E1
4.158264292E0,2.829444313E1,1.670182800E1,-2.438497925E1
