"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.691662500E-2,4.107608185E0,6.634952545E0,6.613097992E0
7.665062500E-2,4.653672638E0,6.380631409E0,7.507787476E0
1.163856250E-1,4.663851471E0,6.095175018E0,5.184917908E0
1.561196250E-1,2.341131592E0,5.436844025E0,8.525072021E0
1.958546250E-1,1.666933594E0,1.479972382E0,1.408391235E1
2.355886250E-1,-1.623673553E0,3.493734741E0,1.151016449E1
2.753236250E-1,-1.390159149E0,2.546803894E0,8.211923218E-1
3.150576250E-1,-3.732637939E0,5.996829529E0,8.265511780E0
3.547926250E-1,4.523593140E-1,8.314909058E0,1.068942123E1
3.945266250E-1,-1.477427673E0,2.664459229E0,8.752449188E0
4.342616250E-1,-1.821861420E0,4.280798035E0,4.512216797E0
4.739956250E-1,-2.764002228E0,3.948489075E0,9.852511597E-1
5.137306250E-1,-2.643353119E0,5.599405975E0,1.435514832E-1
5.534646250E-1,2.252964935E0,8.416697388E0,-2.553240509E0
5.931996250E-1,2.086211700E0,5.524262238E0,1.387913818E0
6.329336250E-1,-2.527643738E0,5.724695435E0,5.330265656E0
6.726686250E-1,-3.910468140E0,2.439926147E0,5.396278381E0
7.124026250E-1,-9.676777039E0,-8.900491333E-1,1.281066010E1
7.521376250E-1,-4.503085785E0,3.304079132E0,8.550219727E0
7.918716250E-1,-5.383255463E0,1.105002136E0,1.007315277E1
8.316066250E-1,-8.759634247E0,-1.588496704E0,1.304851547E1
8.713406250E-1,-7.027286682E0,-1.871857452E0,9.642498322E0
9.110756250E-1,-9.774972839E0,-4.146826630E0,8.850495300E0
9.508106250E-1,-9.435628510E0,-5.354664917E0,3.896696777E0
9.905457083E-1,-8.413853302E0,-4.590953064E0,9.030720520E0
1.030280708E0,-8.799152069E0,-3.335064697E0,8.132737885E0
1.070014708E0,-2.272873535E0,7.138655090E-1,7.062613220E0
1.109749708E0,-9.522897034E0,-2.361638947E0,5.511538696E0
1.149483708E0,-7.921527100E0,-2.094594269E0,4.939278717E0
1.189218708E0,-9.378447418E0,-3.407963104E0,5.053341522E0
1.228952708E0,-4.177063751E0,-2.610122223E0,9.059011688E0
1.268687708E0,-3.368145905E0,-2.725232849E0,6.796616364E0
1.308421708E0,-6.977140961E0,-1.914818115E0,7.209457855E0
1.348156708E0,-5.312003632E0,-2.984793091E-1,7.519912262E0
1.387890708E0,-6.699019318E0,1.157093811E-1,7.015610962E0
1.427625708E0,-7.489226074E0,4.360432434E-1,1.059466827E1
1.467359708E0,-4.393363953E0,-2.739303589E-1,9.581724701E0
1.507094708E0,2.593955841E0,1.478924561E0,8.741222534E0
1.546828708E0,1.927691345E0,-5.465733948E0,8.703351288E0
1.586563708E0,-1.823807373E1,-6.934180298E0,-1.078297668E1
1.626297708E0,-1.659389282E1,-2.207908630E-1,1.294118866E1
1.666032708E0,-6.371949463E0,1.985022125E0,1.291349625E1
1.705766708E0,-2.426753540E0,1.886077881E-1,9.407037964E0
1.745501708E0,-3.259322205E0,-7.693251801E0,2.815345459E0
1.785235708E0,-8.212521973E0,-1.154339539E1,5.365442505E0
1.824970708E0,-7.045399017E0,-4.182153168E0,9.458979950E0
1.864705708E0,-1.042162811E1,-9.610015869E-2,8.418493652E0
1.904439708E0,-2.852318573E0,2.116897888E0,9.922865295E0
1.944174708E0,-9.473350067E0,-2.130070496E-1,7.351213074E-1
1.983908500E0,-7.360942841E0,-1.416953430E0,6.650370483E0
2.023643500E0,-5.968688049E0,-1.970951385E0,6.651118927E0
2.063377500E0,-6.252198486E0,3.174448700E0,7.605983276E0
2.103112500E0,-7.960595856E0,2.764900360E0,6.737938385E0
2.142846500E0,-8.529712372E0,-1.845811615E0,7.453300781E0
2.182581500E0,-2.123484192E0,3.176095276E0,8.391549683E0
2.222315500E0,-2.802472229E0,4.158652039E0,9.045090637E0
2.262050500E0,-1.021595581E1,-3.635489960E0,4.529131622E0
2.301784500E0,-9.574539642E0,-1.387015686E0,8.429720306E0
2.341519500E0,2.359543304E0,-3.416046295E0,7.925718384E0
2.381253500E0,-8.995693359E0,-2.555485840E0,7.604636078E0
2.420988500E0,-7.666008453E0,-2.237546997E0,7.282655640E0
2.460722500E0,-1.403182068E0,-5.007237396E0,4.050876160E0
2.500457500E0,-2.798280945E0,-1.806892548E0,7.875722351E0
2.540191500E0,-8.638536072E0,2.617456970E0,8.985963593E0
2.579926500E0,-1.192899353E1,2.967129822E0,1.130479156E1
2.619660500E0,-7.054829407E-1,3.642824707E0,-3.459306335E-1
2.659395500E0,-5.116210785E0,-1.360909973E1,1.109298203E1
2.699129500E0,-9.493258667E-1,-1.560504913E0,6.077661438E0
2.738864500E0,-6.644981689E0,-4.988975372E0,7.707172852E0
2.778599500E0,-5.113516388E0,-2.284698944E0,9.968520355E0
2.818333500E0,-5.615272980E0,4.948709106E-1,7.525750122E0
2.858068500E0,-6.124064941E0,1.181343384E0,9.340276794E0
2.897802500E0,-3.732787628E0,-2.570754089E0,8.488398285E0
2.937537500E0,-4.286186829E0,-2.117047577E0,8.444389801E0
2.977271500E0,-4.686005402E0,-1.575922852E0,8.341853027E0
3.017006583E0,-4.539609833E0,-2.128124542E0,8.557255096E0
3.056740583E0,-4.636159058E0,-2.829715576E0,8.107290802E0
3.096475583E0,-4.805606689E0,-2.409090271E0,7.280110931E0
3.136209583E0,-3.572620697E0,-2.650388489E0,8.652606812E0
3.175944583E0,-1.221609650E0,-1.993853760E-1,9.795629883E0
3.215678583E0,-4.520299988E0,-1.934427338E0,9.191635895E0
3.255413583E0,-3.129691772E0,-2.838098145E0,6.613247681E0
3.295147583E0,-8.278834076E0,6.159690857E-1,7.193890228E0
3.334882583E0,-4.584666138E0,8.321195984E0,8.220156097E0
3.374616583E0,-4.138444061E0,-7.228468323E-1,7.732170868E0
3.414351583E0,-5.273982697E0,-5.267546082E-1,9.316476288E0
3.454085583E0,-5.991141357E0,1.213975525E-1,7.857160950E0
3.493820583E0,-5.764662323E0,9.116043091E-2,7.818541260E0
3.533554583E0,-5.501359863E0,-4.370910645E-1,7.706873474E0
