"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.678362500E-2,1.851845533E-1,2.565130711E0,-9.409484267E-2
9.651762500E-2,-2.111395448E-1,4.315075874E0,4.880385399E-1
1.362526250E-1,-1.127323866E0,2.726063013E0,2.492867410E-1
1.759876250E-1,-6.747358441E-1,2.752089500E0,-5.368390679E-1
2.157216250E-1,4.860858023E-1,4.078271389E0,-4.394031763E-1
2.554556250E-1,-4.143116474E-1,7.089097977E0,1.276713908E-1
2.951906250E-1,1.842995048E0,-5.075930357E-1,-8.665957302E-2
3.349256250E-1,-3.548715413E-1,-7.438404560E-1,1.405287147E0
3.746596250E-1,-5.567009449E-1,9.671753645E-1,2.360161692E-1
4.143946250E-1,1.529816747E0,2.758815885E-2,1.049705625E0
4.541286250E-1,1.230249047E0,9.855047464E-1,1.222419858E0
4.938636250E-1,-1.475866586E-1,1.923802137E0,1.606592417E0
5.335976250E-1,-1.776969194E0,2.413648367E0,5.525630116E-1
5.733326250E-1,-2.420022488E0,3.243749738E-1,-1.819321513E0
6.130666250E-1,-2.732855082E0,1.951727569E-1,-3.220156193E0
6.528016250E-1,-3.516202927E0,1.122618318E0,-2.752962351E0
6.925356250E-1,-3.974793434E0,8.071447611E-1,-2.429187298E0
7.322706250E-1,-2.198335886E0,9.661586285E-1,-1.265899539E0
7.720046250E-1,-2.480149984E0,1.172161937E0,-1.689768195E0
8.117396250E-1,-1.895249367E0,1.418078542E0,-1.967413664E0
8.514736250E-1,-5.205913186E-1,1.095638275E0,-1.320105910E0
8.912086250E-1,-6.630769968E-1,2.748214304E-1,-8.872805238E-1
9.309426250E-1,-1.879026771E0,2.915810049E-1,-3.319016472E-2
9.706776250E-1,-2.820462465E0,-9.852480888E-1,7.028775811E-1
1.010412708E0,-1.901133180E0,1.285376549E-1,8.532722592E-1
1.050147708E0,1.976915598E0,1.144847155E0,5.009766221E-1
1.089881708E0,3.253887296E-1,-2.949500978E-1,2.907054685E-2
1.129616708E0,-1.003833041E-1,-1.471510172E0,1.106091022E0
1.169350708E0,-2.323041856E-1,-1.566969752E0,1.679675102E0
1.209085708E0,-8.997512609E-2,-7.887902260E-1,1.282608271E0
1.248819708E0,1.082649007E-1,9.449976087E-1,1.081239104E0
1.288554708E0,1.364410073E-1,4.688588083E-1,3.696979284E-1
1.328288708E0,2.744522095E-1,3.238726556E-1,3.489156663E-1
1.368023708E0,4.734742939E-1,-2.313055098E-1,-6.810638309E-2
1.407757708E0,4.063441455E-1,-5.908822641E-2,4.804740548E-1
1.447492708E0,1.452765107E0,-3.461716324E-2,6.854929328E-1
1.487227708E0,4.704355299E-1,-8.692654967E-1,-3.912897706E-1
1.526961708E0,2.100190878E0,-4.563536048E-1,-4.155622005E0
1.566696708E0,7.217897177E-1,2.513343096E0,-5.386622906E0
1.606430708E0,-1.370414019E0,-1.151908875E0,-1.465076327E0
1.646165708E0,1.428614736E0,-6.939082146E-1,-2.116669416E-1
1.685899708E0,1.138053894E0,9.348960221E-2,-9.121585488E-1
1.725634708E0,8.274435401E-1,8.413935900E-1,-1.167657137E0
1.765368708E0,6.470093727E-1,-1.667418957E0,-1.459271908E-1
1.805103708E0,1.170368552E0,3.475213945E-1,1.491025090E0
1.844837708E0,1.957519539E-2,5.199449658E-1,4.930219948E-1
1.884572708E0,1.366549373E0,2.819599628E0,1.126692593E-1
1.924306708E0,6.689214110E-1,1.486614347E0,-7.243631780E-2
1.964041708E0,-8.803519607E-2,8.376217633E-2,9.358128160E-2
2.003775500E0,-1.143794954E-1,-2.201497108E-1,-1.231424063E-1
2.043510500E0,1.606553495E-1,-5.742264986E-1,-2.420831919E-1
2.083244500E0,6.365544200E-1,-1.175178289E-1,-4.652328044E-2
2.122979500E0,3.555465043E-1,-8.956531286E-1,1.024564385E0
2.162713500E0,4.285512865E-1,3.149824142E-1,1.002541304E0
2.202448500E0,1.947685480E0,-5.408899784E-1,3.453959525E-1
2.242182500E0,8.826535344E-1,1.489699483E-1,-1.195678473E0
2.281917500E0,-5.010095239E-1,-7.872818708E-1,-8.024280667E-1
2.321651500E0,-6.713186502E-1,-9.439744949E-1,-4.867292345E-1
2.361386500E0,-2.488459498E-1,-2.798978090E-1,-1.321645737E0
2.401121500E0,-9.839390516E-1,1.044433236E0,-1.106311440E0
2.440855500E0,-4.430266023E-1,8.888613433E-2,-2.212090194E-1
2.480590500E0,2.733646035E-1,-2.130430698E0,1.300410628E0
2.520324500E0,5.405617952E-1,-7.188453525E-2,1.422699928E0
2.560059500E0,9.793782979E-2,1.332314730E0,-1.172581792E0
2.599793500E0,5.019111633E-1,3.246454954E0,-2.029542923E0
2.639528500E0,7.921572924E-1,-3.205627680E0,-6.140762806E0
2.679262500E0,1.172785163E-1,-1.494629495E-2,-1.289470315E0
2.718997500E0,4.998632371E-1,-7.095273137E-1,4.912544191E-1
2.758731500E0,5.806524754E-1,-1.397343397E0,5.825036764E-1
2.798466500E0,2.579567023E-2,-2.494707704E-1,6.068211198E-1
2.838200500E0,2.354506999E-1,-8.509234786E-1,-1.319627166E-1
2.877935500E0,-2.722581625E-1,9.320595860E-2,-1.212866455E-1
2.917669500E0,-7.619115710E-2,-6.477145851E-2,1.977763176E-1
2.957404500E0,-1.058148444E-1,-8.408783376E-2,1.345115453E-1
2.997138583E0,-1.212115586E-2,-9.743209928E-2,-4.120528325E-2
3.036873583E0,-4.844495654E-2,1.540103275E-2,5.185746122E-3
3.076607583E0,-1.013593166E-3,-3.438608721E-2,1.213741973E-1
3.116342583E0,-3.136716783E-2,-3.772370517E-2,1.697121114E-1
3.156076583E0,-7.340348512E-2,-6.627113223E-1,1.886902571E0
3.195811583E0,-1.628295034E-1,2.106989771E-1,2.198621511E0
3.235546583E0,-5.577798933E-2,1.645146906E-1,2.509760618E0
3.275280583E0,5.252631307E-1,1.941643238E0,3.941213608E0
3.315015583E0,2.096842676E-1,-4.588202536E-1,1.068249941E0
3.354749583E0,1.137257516E-1,1.018152311E-1,-9.511841536E-1
3.394484583E0,9.604412317E-2,-3.172260523E-1,-3.044587076E-1
3.434218583E0,1.989909261E-1,1.271960437E-1,-2.517906725E-1
3.473953583E0,1.001384780E-1,-1.708312631E-1,-2.493176311E-1
3.513687583E0,9.209850430E-2,1.682610661E-1,-1.039114073E-1
3.553422583E0,1.277908832E-1,-6.559363753E-2,-2.343046479E-2
3.593156583E0,7.633080333E-2,-7.218983769E-2,-1.595688164E-1
3.632891583E0,5.517111346E-2,-2.273733914E-1,-8.254404366E-2
3.672625583E0,4.905076697E-2,-3.963542730E-2,-8.895388991E-2
3.712360583E0,1.647044346E-2,1.014920976E-2,-1.139942855E-1
3.752094583E0,-1.140796114E-3,-2.773589641E-2,-1.578433216E-1
3.791829583E0,-3.387432918E-2,1.415153891E-1,-6.306406111E-2
3.831563583E0,-2.823253348E-2,2.377744615E-1,-7.751791179E-2
3.871298583E0,-8.660910651E-3,2.861003876E-1,-9.256754816E-2
3.911032583E0,2.186434343E-2,1.988791674E-1,-1.155359372E-1
3.950767583E0,6.321828812E-2,1.303966045E-1,-1.555293649E-1
3.990501208E0,1.082778722E-1,1.760936677E-1,-1.291343272E-1
4.030236208E0,9.482285380E-2,6.189675629E-2,-1.628649384E-1
4.069971208E0,1.235473379E-1,2.722454965E-1,-1.167294309E-1
4.109705208E0,1.085900664E-1,1.758683324E-1,-2.074449211E-1
4.149440208E0,1.784362458E-2,-4.456379265E-2,-2.329362333E-1
4.189174208E0,-8.042048663E-2,4.746381193E-2,-2.843747735E-1
4.228909208E0,-1.875899732E-1,4.081456363E-2,-3.170503676E-1
4.268643208E0,-2.619885504E-1,-3.815329820E-2,-3.729319572E-1
4.308378208E0,-2.867183983E-1,1.277465373E-3,-2.757753134E-1
4.348112208E0,-3.322528005E-1,9.773385525E-2,-1.748000532E-1
4.387847208E0,-1.052919924E-1,3.353982046E-2,-3.823230043E-2
4.427582208E0,1.502493322E-1,-1.703659296E-1,7.860993594E-2
4.467316208E0,-9.342464618E-3,-1.441396177E-1,1.129407138E-1
4.507051208E0,-1.392009556E-1,5.474391207E-2,2.348610163E-1
4.546785208E0,-7.199306041E-2,-2.258388698E-2,2.682112753E-1
4.586520208E0,-1.397045553E-1,-2.845487371E-2,2.121048719E-1
4.626254208E0,-1.279792488E-1,3.091131523E-2,1.803872585E-1
4.665989208E0,-6.822261959E-2,-2.531139180E-2,2.185873389E-1
4.705723208E0,-1.763269491E-2,-7.369334809E-3,2.148021460E-1
4.745458208E0,6.224216893E-2,2.536913380E-2,2.066393048E-1
4.785192208E0,1.443741173E-1,-1.377651002E-2,2.358793914E-1
4.824927208E0,6.008720025E-2,-1.841349304E-1,2.351909578E-1
4.864661208E0,5.788131431E-2,1.504624486E-1,1.927950680E-1
4.904396208E0,9.972921014E-2,2.752560079E-1,2.066729665E-1
4.944131208E0,-5.362259597E-2,-8.961184323E-2,-6.575903296E-2
4.983865458E0,-1.055292711E-1,-7.192485780E-2,-1.744833291E-1
5.023600458E0,-7.291791588E-2,1.409636736E-1,-2.544136643E-1
5.063334458E0,-2.688557468E-2,2.136053443E-1,-2.716654837E-1
5.103069458E0,1.854744256E-1,1.298567802E-1,-2.253547758E-1
5.142803458E0,2.228358537E-1,-2.966566011E-2,-1.527779549E-1
5.182538458E0,1.536030620E-1,3.411876783E-2,-1.510408372E-1
5.222272458E0,1.986448169E-1,1.487963647E-2,-1.368052363E-1
5.262007458E0,2.160497457E-1,-4.611411691E-2,-1.396467537E-1
5.301741458E0,1.511974633E-1,3.496647812E-3,-1.014023125E-1
5.341476458E0,4.437486827E-2,2.166983113E-2,-4.347218946E-2
5.381211458E0,-1.016099937E-3,-2.721109241E-2,1.527405437E-2
5.420945458E0,-3.858978301E-2,-3.524675220E-2,6.090031192E-2
5.460680458E0,-1.161129847E-1,-5.766435713E-2,1.438731849E-1
5.500414458E0,-1.418450624E-1,-8.127177507E-2,2.213706821E-1
5.540149458E0,-1.149348244E-1,-4.038516060E-2,2.743091881E-1
5.579883458E0,-1.434115320E-1,-4.698646069E-2,3.128835261E-1
5.619618458E0,-1.829301417E-1,-3.274212033E-2,3.352894187E-1
5.659352458E0,-1.913693547E-1,2.090099454E-2,3.395168483E-1
5.699087458E0,-1.842857599E-1,1.917638630E-2,3.118586838E-1
5.738821458E0,-1.645603925E-1,5.064990744E-2,2.828511298E-1
5.778556458E0,-1.137008518E-1,4.210121185E-2,2.518782914E-1
5.818290458E0,-1.033663899E-1,5.069455877E-2,2.081464678E-1
5.858025458E0,-8.686523139E-2,4.943932593E-2,1.927418113E-1
5.897759458E0,-4.553249478E-2,2.670562267E-2,1.567839086E-1
5.937494458E0,-2.750874311E-2,2.508185804E-2,9.006614238E-2
5.977228458E0,4.621399101E-3,6.373822689E-3,1.649627648E-2
6.016962958E0,1.852339506E-2,-6.778994109E-3,-5.715866387E-2
6.056696958E0,2.993931249E-2,8.110438474E-3,-1.105054840E-1
6.096431958E0,5.163822696E-2,7.312592119E-3,-1.465654075E-1
6.136165958E0,8.698102832E-2,-1.688492671E-2,-1.647050828E-1
6.175900958E0,1.120173708E-1,-3.399299458E-4,-1.610757858E-1
6.215634958E0,1.631888300E-1,2.804611623E-2,-1.903549433E-1
6.255369958E0,1.766044050E-1,2.784369886E-2,-2.286810428E-1
6.295103958E0,2.133109868E-1,4.261678457E-2,-2.281000465E-1
6.334838958E0,1.804153472E-1,5.560303107E-3,-2.168391943E-1
6.374572958E0,1.300798506E-1,6.721494719E-3,-1.613294929E-1
6.414307958E0,7.641345263E-2,-3.061130643E-3,-1.063878313E-1
6.454041958E0,1.426767278E-2,-2.353396825E-2,-3.086679801E-2
6.493775958E0,-3.805179149E-2,-1.335442625E-2,3.979704529E-2
6.533510958E0,-7.267586887E-2,-4.226293415E-2,8.616569638E-2
6.573244958E0,-6.863456964E-2,-1.262534037E-2,9.382878989E-2
6.612979958E0,-6.225305051E-2,1.428952347E-2,3.314591199E-2
6.652713958E0,-2.101461403E-2,7.795883343E-3,-3.360984847E-2
6.692448958E0,1.973730139E-2,1.011690032E-2,-6.811977178E-2
6.732182958E0,9.108749218E-3,-2.328581363E-2,-9.263251722E-2
6.771917958E0,2.447206527E-2,3.607744351E-3,-6.555695087E-2
6.811651958E0,3.938983008E-2,-3.741657827E-3,-6.801643968E-2
6.851385958E0,7.304804772E-2,-3.879554570E-4,-9.216300398E-2
6.891120958E0,1.430415660E-1,2.592320368E-2,-1.431844980E-1
6.930854958E0,1.758866459E-1,-1.078458130E-2,-1.797596365E-1
6.970589958E0,1.704295874E-1,-1.621483639E-2,-1.393812597E-1
7.010324833E0,1.897727996E-1,4.994745553E-2,-1.263779253E-1
7.050059833E0,1.517033130E-1,2.786930278E-2,-1.584888399E-1
7.089793833E0,1.257122606E-1,2.292748541E-4,-1.647177786E-1
7.129527833E0,8.958261460E-2,2.239078656E-2,-1.152190790E-1
7.169262833E0,2.957108058E-2,2.598230913E-2,-5.093448237E-2
7.208996833E0,-2.762115933E-2,2.162570134E-3,3.305531666E-2
7.248731833E0,-7.623056322E-2,7.891137153E-3,1.084031537E-1
7.288465833E0,-1.177640185E-1,-2.100387961E-2,1.400111020E-1
7.328199833E0,-1.159158498E-1,-1.424493454E-2,1.624186635E-1
7.367934833E0,-1.297961026E-1,-4.374528676E-2,1.749418527E-1
7.407668833E0,-1.204269603E-1,-5.987926945E-2,1.982314289E-1
7.447403833E0,-1.297147572E-1,-2.034676820E-2,2.120176405E-1
7.487137833E0,-1.261369735E-1,-4.769917950E-2,1.523776054E-1
7.526871833E0,-3.879230842E-2,3.044072539E-3,1.005857214E-1
7.566606833E0,-1.339526940E-2,7.027383894E-2,9.654004872E-2
7.606340833E0,-3.541240469E-2,-8.706836961E-4,6.121218204E-2
7.646074833E0,2.124997554E-3,8.984055370E-3,5.758545548E-2
7.685809833E0,-3.620293923E-3,4.637388140E-2,4.340208694E-2
7.725543833E0,1.109018107E-3,5.011335015E-2,2.218488790E-2
7.765278833E0,1.799417101E-2,3.953384981E-2,7.345250342E-3
7.805012833E0,5.648859590E-2,-6.373082101E-2,1.189718489E-2
7.844746833E0,3.162653744E-2,-1.214914210E-2,5.415672809E-2
7.884481833E0,-2.459445968E-2,-1.198228728E-2,9.590423852E-2
7.924215833E0,-4.037211090E-2,4.303509369E-3,1.076285020E-1
7.963949833E0,-4.813319817E-2,-6.106038578E-3,9.236930311E-2
8.003685583E0,-4.473996162E-2,3.026134148E-2,7.975105941E-2
8.043419583E0,-4.144112021E-2,6.353597343E-2,7.244065404E-2
8.083153583E0,-3.023867495E-2,3.232027963E-2,4.384322092E-2
8.122888583E0,-5.600155331E-3,-1.029805373E-2,2.257631160E-2
8.162622583E0,-5.414810730E-4,-7.014642470E-3,1.341636851E-2
8.202357583E0,2.240811707E-3,9.097306989E-3,1.071323082E-2
8.242091583E0,7.403867203E-4,1.815285534E-2,6.341652013E-3
8.281825583E0,-8.413530304E-4,2.167692408E-2,-2.441424411E-3
8.321560583E0,6.248726975E-3,1.547026914E-2,-2.442666795E-3
8.361294583E0,-5.233715638E-4,1.968594268E-2,6.004380994E-4
8.401028583E0,-1.359010022E-2,1.369901653E-2,4.097908270E-3
8.440763583E0,-1.271504071E-2,2.933020703E-3,1.269955933E-2
8.480497583E0,-7.343763020E-3,-7.205259055E-3,3.143162467E-3
8.520231583E0,-7.892730646E-3,-1.310105715E-2,-6.400970742E-4
8.559966583E0,-3.001284087E-3,-3.841811325E-3,-4.741865676E-3
8.599700583E0,1.117409952E-2,-2.530829515E-3,-7.154663093E-3
8.639434583E0,9.198495187E-3,2.576189116E-3,-5.793728866E-3
8.679168583E0,8.005755953E-3,-1.226446591E-3,-4.804391414E-3
8.718903583E0,1.688328921E-3,4.825337790E-3,2.360161394E-3
8.758637583E0,-4.395525903E-3,7.444261573E-3,-1.415971667E-3
8.798371583E0,-4.632312804E-3,-1.534242649E-3,-3.844119608E-3
8.838106583E0,-8.122691885E-3,-5.812279880E-3,-2.455876675E-3
8.877840583E0,2.357029356E-3,-7.782566361E-3,-1.586674713E-3
8.917574583E0,4.249902559E-4,-1.301559806E-2,-5.497473758E-3
8.957309583E0,1.280755270E-3,-8.493723348E-3,-6.396849640E-3
8.997041958E0,5.836019409E-4,2.237129956E-4,-3.053497989E-3
9.036775958E0,-2.595956437E-3,1.006600168E-2,-6.022233050E-3
9.076510958E0,-1.822165214E-3,3.923939541E-3,-9.965160862E-3
9.116244958E0,-5.271316506E-3,3.738223575E-3,-1.225172449E-2
9.155978958E0,-7.920545177E-4,8.536000736E-3,-7.540884893E-3
9.195712958E0,2.492504660E-3,1.460861415E-3,-6.978639867E-3
9.235447958E0,6.946549285E-3,-1.589350868E-3,1.535969786E-4
9.275181958E0,3.659790964E-4,-2.024741098E-2,-7.341518998E-3
9.314915958E0,-1.492051501E-2,-2.260175347E-2,-1.399300061E-3
9.354649958E0,-2.141662873E-2,5.416016653E-2,2.433593199E-2
9.394384958E0,-1.491626166E-2,7.400152832E-2,9.336592630E-3
9.434118958E0,-2.328074537E-3,8.094285429E-2,7.060212083E-4
9.473852958E0,6.233958993E-3,1.569895074E-2,1.335429586E-2
9.513586958E0,5.089404876E-4,-5.512325838E-2,2.662506141E-2
9.553321958E0,-2.376760123E-3,-8.064268529E-2,3.036715090E-2
9.593055958E0,9.586426429E-3,-8.599803597E-2,2.161973342E-2
9.632789958E0,8.230171166E-3,-7.973179221E-2,3.546332009E-4
9.672523958E0,1.331289206E-2,-4.102665931E-2,-2.166166902E-2
9.712258958E0,1.872432791E-2,-1.523993909E-3,-3.473106027E-2
9.751992958E0,2.673745342E-2,3.209633380E-2,-2.436336502E-2
9.791726958E0,2.495170943E-2,2.853319049E-2,-9.088814259E-4
9.831460958E0,1.824629679E-2,2.266731486E-2,8.836234920E-3
9.871195958E0,9.143930860E-3,1.892732829E-2,1.100368984E-2
9.910929958E0,1.962810522E-3,2.770520374E-2,6.547132507E-3
9.950663958E0,-1.305437647E-3,2.675523609E-2,5.401513074E-3
9.990398125E0,-6.635583937E-3,1.996621117E-2,8.271625265E-3
1.003013313E1,-1.614362746E-2,5.084360018E-4,1.976622082E-2
1.006986713E1,-1.900529303E-2,-4.566263407E-3,2.976524271E-2
1.010960113E1,-2.184865251E-2,-2.599854022E-2,2.660628408E-2
1.014933513E1,-2.244357951E-2,-1.853239909E-2,1.694996282E-2
1.018906913E1,-1.746109128E-2,-6.046184339E-3,5.227065179E-3
1.022880413E1,-7.319437340E-3,-5.155182444E-3,-2.225421835E-3
1.026853813E1,4.780079238E-3,-2.992133610E-3,-7.242319174E-3
1.030827213E1,1.234662998E-2,-1.841400284E-3,-1.311878022E-2
1.034800613E1,7.049190812E-3,-9.608948603E-4,-7.465410512E-3
1.038774113E1,3.091395134E-3,3.468617797E-5,-1.831064466E-3
1.042747513E1,-5.195879377E-3,-3.457190469E-4,8.381879888E-3
1.046720913E1,-4.176419694E-3,1.160514541E-3,6.687681191E-3
1.050694313E1,1.041032083E-4,-4.270499572E-3,4.115368240E-3
1.054667713E1,1.905004843E-3,-4.209970590E-3,-1.030344982E-3
1.058641113E1,4.700210411E-3,3.481132910E-3,1.672219951E-3
1.062614613E1,6.788298488E-3,4.148160107E-3,3.078658599E-3
1.066588013E1,4.293328151E-3,4.799286835E-3,5.485507194E-3
1.070561413E1,-1.324806362E-3,4.610227421E-3,1.210215967E-3
1.074534813E1,1.537778997E-3,2.033030614E-3,3.562937491E-4
1.078508213E1,2.609126386E-4,-5.742888898E-4,1.862899866E-3
1.082481613E1,-1.120225294E-3,-9.606336243E-4,6.017549895E-4
1.086455113E1,5.413269173E-5,1.324047334E-3,-2.021006308E-3
1.090428513E1,-9.960521711E-4,8.304165676E-4,-6.397664547E-4
1.094401913E1,1.444567344E-3,4.808210768E-3,-6.861267611E-4
1.098375313E1,-5.446249270E-4,-2.156399656E-3,-9.501539171E-4
1.102348721E1,-6.801281706E-4,2.819318324E-4,-2.703241538E-3
1.106322121E1,1.141412940E-4,2.430798486E-3,9.577558376E-4
1.110295621E1,-2.481160627E-4,-1.092903782E-3,1.194778830E-3
1.114269021E1,-1.948252437E-3,2.796612680E-4,-1.160905696E-3
1.118242421E1,2.217300425E-5,-2.510954626E-3,1.068359707E-3
1.122215821E1,-1.420654007E-3,5.989144556E-3,-6.770491600E-4
1.126189221E1,2.947763074E-3,1.576871611E-3,-1.254257280E-3
1.130162621E1,7.266846951E-4,-2.323831432E-3,-1.141246408E-3
1.134136021E1,6.661176449E-4,2.392530441E-4,1.860773657E-3
1.138109421E1,-2.496000146E-3,4.469365813E-3,3.233732423E-3
1.142082921E1,-1.992101315E-3,5.102593452E-3,1.591808163E-3
1.146056321E1,-2.469927771E-3,3.535084426E-3,-2.025166992E-3
1.150029721E1,8.639167645E-4,1.875441521E-4,-2.283348702E-3
1.154003121E1,2.752000699E-3,-8.113193326E-4,3.712383332E-3
1.157976521E1,3.501513274E-4,-6.304904819E-4,4.542756826E-3
1.161949921E1,2.182521275E-4,-4.965784028E-4,1.908065751E-4
1.165923321E1,-1.002048026E-3,-3.420272842E-4,1.060751732E-3
1.169896721E1,3.021976212E-3,1.314443536E-3,-2.249406185E-3
1.173870221E1,-7.450667908E-4,4.517990164E-3,1.447824761E-3
1.177843621E1,1.346491743E-3,-5.675535649E-4,9.980024770E-4
1.181817021E1,8.632878889E-4,-1.765235793E-3,9.458544664E-4
1.185790421E1,1.142390887E-3,-1.456923783E-3,1.001117751E-3
1.189763821E1,2.037411090E-3,2.320041880E-3,-6.912802346E-4
1.193737221E1,4.620254505E-3,1.349165104E-3,1.196462661E-3
1.197710621E1,3.432723228E-3,-1.374266576E-3,7.004505023E-4
1.201684025E1,1.137780491E-3,1.001552679E-3,9.756688960E-4
1.205657425E1,3.712907899E-3,-1.381499693E-3,1.556845382E-3
1.209630825E1,7.475360762E-4,-4.113673698E-3,1.419992652E-3
1.213604225E1,3.361677518E-3,-6.789729930E-3,-1.311128028E-3
1.217577625E1,1.609883911E-4,-5.458863918E-3,-1.315606292E-3
1.221551025E1,-3.616077011E-4,-5.448631011E-3,-1.064612996E-3
1.225524425E1,-1.903132768E-3,-6.523946300E-3,-2.792190295E-3
1.229497925E1,5.783571978E-4,-1.900361851E-3,-6.253915839E-3
1.233471325E1,2.032653429E-3,1.477156766E-3,-5.420633126E-3
1.237444725E1,1.919808565E-3,-1.553311013E-3,2.326599322E-3
1.241418125E1,3.691963851E-3,-1.223355345E-2,-6.351063959E-3
1.245391525E1,-1.792031457E-3,-3.169398755E-2,-1.379870810E-2
1.249364925E1,-1.339843031E-2,-3.435357660E-2,-3.153526410E-2
1.253338325E1,-6.061747670E-3,-1.155751664E-2,-4.293043539E-2
1.257311725E1,-1.491162460E-2,-1.678357646E-2,-1.939720660E-2
1.261285125E1,-2.361847274E-2,-3.253933042E-2,1.283647958E-3
1.265258525E1,-2.481489815E-2,3.907290287E-3,3.445170075E-2
1.269231925E1,-2.988196164E-2,3.747916967E-2,3.853034973E-2
1.273205325E1,-3.269905597E-2,4.315969348E-2,2.576528862E-2
1.277178725E1,-3.985377029E-2,1.055374183E-2,1.715953089E-2
1.281152125E1,-1.918809675E-2,1.098846085E-3,8.770517074E-3
1.285125525E1,6.509437691E-3,-1.251186989E-2,4.184040241E-3
1.289098925E1,2.488618344E-2,-5.390505306E-3,-1.078343857E-2
1.293072325E1,3.865886480E-2,-1.283126790E-2,-3.839204833E-2
1.297045725E1,4.275400564E-2,-1.864361763E-2,-5.391002074E-2
1.301019113E1,3.406164423E-2,-3.075926192E-2,-6.546062976E-2
1.304992513E1,2.238465846E-2,-1.972556114E-2,-5.679131299E-2
1.308965913E1,6.639696658E-3,-2.649322711E-2,-3.616467863E-2
1.312939313E1,-1.074223546E-3,-2.314442769E-2,-2.225519344E-2
1.316912713E1,-3.277176758E-3,-4.553251900E-3,-1.274679322E-3
1.320886113E1,-2.723598154E-3,1.285378262E-2,1.217736490E-2
1.324859513E1,-2.670155140E-3,1.679735258E-2,1.630279236E-2
1.328832913E1,-1.988875447E-3,1.634050533E-2,1.749099791E-2
1.332806313E1,-4.376900382E-3,1.650666073E-2,1.347818598E-2
1.336779712E1,-3.117033513E-3,6.529001519E-3,9.083229117E-3
1.340753113E1,-4.189440369E-5,1.038980670E-3,4.599931184E-3
1.344726513E1,2.701457823E-3,-3.420243971E-3,3.517127829E-3
