Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.056783625,0.5189023823,-0.5282754689,1.508833069,2024-06-09 15:26:53.056784
0.096517625,2.232177207,-0.05232263982,0.1370318377,2024-06-09 15:26:53.096518
0.136252625,1.279400459,-0.5280515206,-1.008845844,2024-06-09 15:26:53.136253
0.175987625,0.4015823125,-3.478073559,3.641505575,2024-06-09 15:26:53.175988
0.215721625,0.9643429783,-5.163774961,8.030632051,2024-06-09 15:26:53.215722
0.255455625,-0.1393751094,1.569476296,4.519515291,2024-06-09 15:26:53.255456
0.295190625,1.817128245,-0.1882756662,-3.439121747,2024-06-09 15:26:53.295191
0.334925625,-2.470753838,-3.643718162,2.269463439,2024-06-09 15:26:53.334926
0.374659625,3.073274912,0.5329210818,1.499066464,2024-06-09 15:26:53.374660
0.414394625,-0.4060201299,-3.898868433,0.7257020277,2024-06-09 15:26:53.414395
0.454128625,-0.3670734344,-0.9309211707,-5.167157575,2024-06-09 15:26:53.454129
0.493863625,-1.345116147,-3.566413293,-6.798423153,2024-06-09 15:26:53.493864
0.533597625,0.6504704355,-0.2105623287,-8.720165541,2024-06-09 15:26:53.533598
0.573332625,5.139371021,-2.508106436,-6.432666366,2024-06-09 15:26:53.573333
0.613066625,2.419890078,0.3963020575,-4.331923749,2024-06-09 15:26:53.613067
0.652801625,0.7627862388,1.543381927,-4.558181174,2024-06-09 15:26:53.652802
0.692535625,-1.978330279,-1.308806545,-0.2396797085,2024-06-09 15:26:53.692536
0.732270625,-2.7070024,-0.5082559182,3.506448927,2024-06-09 15:26:53.732271
0.772004625,0.365025301,2.008531879,1.340727957,2024-06-09 15:26:53.772005
0.811739625,-1.03924201,0.7659217351,3.751465389,2024-06-09 15:26:53.811740
0.851473625,-1.898600278,-0.5604138127,4.049587433,2024-06-09 15:26:53.851474
0.891208625,-2.148761705,-0.9367645857,0.2313328081,2024-06-09 15:26:53.891209
0.930942625,-2.730204737,-1.953565421,-2.728404964,2024-06-09 15:26:53.930943
0.970677625,-2.289925185,-1.220759172,-1.200327539,2024-06-09 15:26:53.970678
1.010412708,-3.940954937,-1.068937972,2.626502028,2024-06-09 15:26:54.010413
1.050147708,0.5824487525,4.280343121,24.56596793,2024-06-09 15:26:54.050148
1.089881708,0.5990893435,1.456440555,-2.10560633,2024-06-09 15:26:54.089882
1.129616708,-1.720178339,1.581520683,-1.393431251,2024-06-09 15:26:54.129617
1.169350708,-3.2397276,-0.6217069584,-1.032271544,2024-06-09 15:26:54.169351
1.209085708,4.36527159,-0.6435945484,4.117124528,2024-06-09 15:26:54.209086
1.248819708,-1.281457071,-3.48682918,0.2257984185,2024-06-09 15:26:54.248820
1.288554708,2.864301857,0.3498508993,0.936185419,2024-06-09 15:26:54.288555
1.328288708,-0.9665114182,0.2562774687,0.5967978197,2024-06-09 15:26:54.328289
1.368023708,2.411616853,2.018867271,-0.2021464312,2024-06-09 15:26:54.368024
1.407757708,-2.94363337,2.017903504,-1.880747559,2024-06-09 15:26:54.407758
1.447492708,-1.207785078,2.0667241,1.673580709,2024-06-09 15:26:54.447493
1.487227708,4.82027326,1.167639776,-3.320430286,2024-06-09 15:26:54.487228
1.526961708,10.68873828,0.1727018266,9.715261073,2024-06-09 15:26:54.526962
1.566696708,0.8299263078,-2.135766561,-7.390723295,2024-06-09 15:26:54.566697
1.606430708,-11.56855362,-5.159952636,-9.578064929,2024-06-09 15:26:54.606431
1.646165708,-2.630749446,4.17134839,6.489358045,2024-06-09 15:26:54.646166
1.685899708,5.43130905,4.211194534,2.285507614,2024-06-09 15:26:54.685900
1.725634708,0.09838992834,-3.056482878,-0.4978681934,2024-06-09 15:26:54.725635
1.765368708,1.627343266,-7.030709642,-4.879633609,2024-06-09 15:26:54.765369
1.805103708,-3.082020593,-3.054468513,4.370559227,2024-06-09 15:26:54.805104
1.844837708,3.475652227,-1.881307284,1.421166934,2024-06-09 15:26:54.844838
1.884572708,2.332961277,3.395490116,2.120410895,2024-06-09 15:26:54.884573
1.924306708,0.08042786658,0.783784248,-2.495739575,2024-06-09 15:26:54.924307
1.964041708,-0.2010518324,-0.9579529949,1.641789397,2024-06-09 15:26:54.964042
2.0037755,0.9902546221,0.7840960508,-0.7811809945,2024-06-09 15:26:55.003776
2.0435105,2.027509748,3.569024075,-1.617342188,2024-06-09 15:26:55.043511
2.0832445,-0.02667032003,2.919828186,1.099827935,2024-06-09 15:26:55.083245
2.1229795,-3.500370746,2.085001181,-1.852236536,2024-06-09 15:26:55.122980
2.1627135,1.951745621,6.719781026,1.880483265,2024-06-09 15:26:55.162714
2.2024485,-0.5798829943,-5.535924509,-2.943558526,2024-06-09 15:26:55.202449
2.2421825,0.4181618732,-3.60365187,-0.8235317928,2024-06-09 15:26:55.242183
2.2819175,-5.295929051,-2.210731958,0.3927130365,2024-06-09 15:26:55.281918
2.3216515,-3.053418353,1.373228829,-1.468466231,2024-06-09 15:26:55.321652
2.3613865,-0.3076231849,-3.33144264,-0.1370365155,2024-06-09 15:26:55.361387
2.4011215,-2.504996887,0.557004082,2.145918204,2024-06-09 15:26:55.401121
2.4408555,0.9017523354,-3.346700072,-2.243863159,2024-06-09 15:26:55.440856
2.4805905,2.579296871,-1.672628928,-2.281465434,2024-06-09 15:26:55.480590
2.5203245,2.224808838,3.507629772,4.28044077,2024-06-09 15:26:55.520325
2.5600595,-7.510553793,5.020139278,2.256691366,2024-06-09 15:26:55.560059
2.5997935,-3.887244169,1.465592324,1.354724438,2024-06-09 15:26:55.599794
2.6395285,-4.481894306,-2.383963908,-4.834093739,2024-06-09 15:26:55.639528
2.6792625,10.52187512,0.7331759387,1.513515519,2024-06-09 15:26:55.679263
2.7189975,1.053483489,-2.366864018,0.3319967186,2024-06-09 15:26:55.718998
2.7587315,-0.8750834772,-0.6791263238,-0.2169498271,2024-06-09 15:26:55.758732
2.7984665,-1.250954194,-1.850537627,0.4409168977,2024-06-09 15:26:55.798466
2.8382005,-1.38490221,3.957052907,-1.292688988,2024-06-09 15:26:55.838201
