Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.2670817375,51.93578387,4.476311922,2.404201616,0.7300000191,124.4531319,5.94837701,4.0,2024-06-09 15:26:53.267082
1.267005324,51.93578031,4.476317528,2.44210445,0.7300000191,127.6171941,6.707053964,4.0,2024-06-09 15:26:54.267005
2.266930938,51.93576428,4.47630669,2.184413976,0.6600000262,,7.408832724,4.0,2024-06-09 15:26:55.266931
3.266861081,51.93580793,4.476265365,2.35022465,0.6066403475,,20.85429497,1.442482427,2024-06-09 15:26:56.266861
4.266794682,51.93580815,4.47627255,2.345903766,0.5770106237,,23.55896422,1.442741098,2024-06-09 15:26:57.266795
5.266729236,51.9358068,4.47627271,2.34117405,0.5212691925,,26.1585636,1.416503751,2024-06-09 15:26:58.266729
6.266668081,51.93584928,4.476293759,2.344637149,0.8427816533,,26.43397442,1.44302254,2024-06-09 15:26:59.266668
7.266608596,51.93585372,4.476301951,2.341224672,0.841488995,,29.73114758,1.416684248,2024-06-09 15:27:00.266609
8.266551256,51.93585725,4.476298246,2.336245646,0.6820022891,,33.89960305,1.443195887,2024-06-09 15:27:01.266551
9.266496778,51.93585616,4.476297007,2.335997117,0.6096737437,,35.35735743,1.416149884,2024-06-09 15:27:02.266497
10.26644409,51.93585975,4.476307718,2.336796268,0.0,,38.81628982,1.416580495,2024-06-09 15:27:03.266444
11.26639295,51.93585975,4.476307718,2.336796268,0.0,,42.51346511,1.442805415,2024-06-09 15:27:04.266393
12.26634383,51.93585975,4.476307718,2.336796268,0.0,,46.21469377,1.442843839,2024-06-09 15:27:05.266344
13.26629567,51.93585975,4.476307718,2.336796268,0.0,,49.57469816,1.415915697,2024-06-09 15:27:06.266296
14.2662499,51.93588936,4.476292925,2.326598431,0.5211213794,,49.87860376,1.442884968,2024-06-09 15:27:07.266250
15.26620615,51.93590567,4.476251632,2.324452372,0.0,,52.81615152,1.442856876,2024-06-09 15:27:08.266206
16.26616287,51.93590567,4.476251632,2.324452372,0.0,,53.07377582,1.442861914,2024-06-09 15:27:09.266163
17.2661202,51.93590567,4.476251632,2.324452372,0.0,,19.16362355,1.44127083,2024-06-09 15:27:10.266120
18.26608038,51.93590567,4.476251632,2.324452372,0.0,,20.13446027,1.415036994,2024-06-09 15:27:11.266080
19.26604033,51.93590567,4.476251632,2.324452372,0.0,,17.57914345,1.350200552,2024-06-09 15:27:12.266040
20.26600277,51.93590567,4.476251632,2.324452372,0.0,,17.25522391,1.366424752,2024-06-09 15:27:13.266003
21.26596451,51.93590567,4.476251632,2.324452372,0.0,,17.17481797,1.32012907,2024-06-09 15:27:14.265965
22.26592863,51.93590567,4.476251632,2.324452372,0.0,,17.15943849,1.303450648,2024-06-09 15:27:15.265929
23.26589298,51.93590567,4.476251632,2.324452372,0.0,,17.18634283,1.291538831,2024-06-09 15:27:16.265893
24.26585746,51.93590567,4.476251632,2.324452372,0.0,,17.24266914,1.305604266,2024-06-09 15:27:17.265857
25.26582384,51.93590567,4.476251632,2.324452372,0.0,,17.05094869,1.25643048,2024-06-09 15:27:18.265824
26.26579034,51.93590567,4.476251632,2.324452372,0.0,,17.13172319,1.295526351,2024-06-09 15:27:19.265790
27.26575804,51.93585787,4.476265566,2.326978032,0.01511440747,,17.03464364,1.270415629,2024-06-09 15:27:20.265758
28.26572609,51.93585798,4.4762621,2.325165037,0.03562926352,,17.26979968,1.299565023,2024-06-09 15:27:21.265726
29.26569498,51.93585798,4.476261944,2.324694891,0.0,,17.84955027,1.353927204,2024-06-09 15:27:22.265695
30.26566386,51.93585798,4.476261944,2.324694891,0.0,,18.70659682,1.381836649,2024-06-09 15:27:23.265664
31.26563311,51.93585984,4.476260207,2.329243124,0.08735956298,,19.73562964,1.40269303,2024-06-09 15:27:24.265633
32.26560307,51.93586015,4.476267503,2.331823681,0.07843912898,,20.94656023,1.392736648,2024-06-09 15:27:25.265603
33.2655741,51.93586558,4.476266341,2.329084175,0.0,,21.88480465,1.402106614,2024-06-09 15:27:26.265574
34.26554537,51.93586558,4.476266341,2.329084175,0.0,,23.73820767,1.40898232,2024-06-09 15:27:27.265545
35.26551652,51.93586558,4.476266341,2.329084175,0.0,,22.70353002,1.438100588,2024-06-09 15:27:28.265517
36.26548815,51.93583767,4.476227388,2.318207982,0.4037101349,,23.4382524,1.413641939,2024-06-09 15:27:29.265488
37.26546001,51.93583733,4.476226354,2.317463589,0.0,,25.42656862,1.414645772,2024-06-09 15:27:30.265460
38.26543248,51.93583733,4.476226354,2.317463589,0.0,,27.9798182,1.441520108,2024-06-09 15:27:31.265432
39.26540554,51.93583733,4.476226354,2.317463589,0.0,,29.92503947,1.389550105,2024-06-09 15:27:32.265406
40.26537931,51.93583733,4.476226354,2.317463589,0.0,,32.52793829,1.441830926,2024-06-09 15:27:33.265379
41.26535225,51.93583138,4.476234731,2.327182877,0.0491407652,,21.42378293,1.397383698,2024-06-09 15:27:34.265352
42.26532614,51.93583181,4.476236647,2.333251778,0.04472669411,,22.09795724,1.402796156,2024-06-09 15:27:35.265326
43.26530015,51.93583071,4.476239777,2.333500223,0.03605690849,,23.10701592,1.410467698,2024-06-09 15:27:36.265300
44.26527357,51.93583059,4.476239679,2.333813886,0.0,,24.19280417,1.392526586,2024-06-09 15:27:37.265274
45.26524842,51.93583059,4.476239679,2.333813886,0.0,,26.22477075,1.425948583,2024-06-09 15:27:38.265248
46.26522231,51.93583059,4.476239679,2.333813886,0.0,,27.97378763,1.431719164,2024-06-09 15:27:39.265222
47.26519763,51.93583059,4.476239679,2.333813886,0.0,,29.90009484,1.40927713,2024-06-09 15:27:40.265198
48.26517236,51.93583059,4.476239679,2.333813886,0.0,,23.25326791,1.39332956,2024-06-09 15:27:41.265172
49.26514733,51.93583059,4.476239679,2.333813886,0.0,,22.70246476,1.358980192,2024-06-09 15:27:42.265147
50.26512218,51.93583059,4.476239679,2.333813886,0.0,,22.91960467,1.34373378,2024-06-09 15:27:43.265122
51.26509726,51.93583059,4.476239679,2.333813886,0.0,,22.70886681,1.321552075,2024-06-09 15:27:44.265097
52.26507342,51.93583059,4.476239679,2.333813886,0.0,,22.59565087,1.328274663,2024-06-09 15:27:45.265073
53.26504862,51.93582766,4.476265774,2.337013073,0.01592530078,,22.56668104,1.315737723,2024-06-09 15:27:46.265049
54.2650249,51.93582699,4.476270263,2.3377858,0.02518058103,,22.74527857,1.318174094,2024-06-09 15:27:47.265025
55.26499939,51.93582699,4.476270299,2.337812601,0.0,,23.20227871,1.343425468,2024-06-09 15:27:48.264999
