Time (s),X (µT),Y (µT),Z (µT),Datetime
0.056783625,-24.57189941,-28.17834091,-12.04154968,2024-06-09 15:26:53.056784
0.096517625,-23.11073685,-27.88845634,-15.42559814,2024-06-09 15:26:53.096518
0.136252625,-21.48220825,-26.96627617,-19.87296295,2024-06-09 15:26:53.136253
0.175987625,-19.41866302,-25.62582397,-23.98953247,2024-06-09 15:26:53.175988
0.215721625,-16.45892334,-26.11398315,-27.14580536,2024-06-09 15:26:53.215722
0.255455625,-11.1855278,-25.75935173,-31.03427887,2024-06-09 15:26:53.255456
0.295190625,-7.324989319,-26.16479492,-32.13410187,2024-06-09 15:26:53.295191
0.334925625,-7.940925598,-27.24820709,-31.28871918,2024-06-09 15:26:53.334926
0.374659625,-9.174438477,-26.04078293,-32.37737274,2024-06-09 15:26:53.374660
0.414394625,-8.54725647,-25.92933846,-32.87024689,2024-06-09 15:26:53.414395
0.454128625,-9.291702271,-27.26970863,-31.84166718,2024-06-09 15:26:53.454129
0.493863625,-9.068664551,-27.73603439,-31.59590912,2024-06-09 15:26:53.493864
0.533597625,-7.224407196,-26.65634537,-33.49918365,2024-06-09 15:26:53.533598
0.573332625,-4.927524567,-23.75055122,-35.84313202,2024-06-09 15:26:53.573333
0.613066625,-2.412216187,-20.36975861,-38.22423553,2024-06-09 15:26:53.613067
0.652801625,0.8702545166,-16.23769379,-40.20406342,2024-06-09 15:26:53.652802
0.692535625,4.166374207,-9.842775345,-41.86756134,2024-06-09 15:26:53.692536
0.732270625,6.372379303,-4.010841846,-41.93334198,2024-06-09 15:26:53.732271
0.772004625,8.376605988,0.09472703934,-41.22348785,2024-06-09 15:26:53.772005
0.811739625,10.42881393,4.251328468,-39.75341034,2024-06-09 15:26:53.811740
0.851473625,12.45413589,6.725042343,-38.19399261,2024-06-09 15:26:53.851474
0.891208625,13.31715012,7.915717125,-36.68230438,2024-06-09 15:26:53.891209
0.930942625,13.28334427,9.603207588,-35.24140167,2024-06-09 15:26:53.930943
0.970677625,12.41341782,13.13238239,-33.54453278,2024-06-09 15:26:53.970678
1.010412708,11.03675461,16.07081032,-32.45262909,2024-06-09 15:26:54.010413
1.050147708,11.13622665,18.7572422,-31.22063446,2024-06-09 15:26:54.050148
1.089881708,12.63904953,17.4291954,-31.33805084,2024-06-09 15:26:54.089882
1.129616708,12.00156784,16.69102478,-31.88001251,2024-06-09 15:26:54.129617
1.169350708,10.72057724,16.85541725,-32.83808136,2024-06-09 15:26:54.169351
1.209085708,9.234081268,16.87457657,-33.43668365,2024-06-09 15:26:54.209086
1.248819708,9.800640106,16.71796417,-33.96416473,2024-06-09 15:26:54.248820
1.288554708,11.52443314,16.47621346,-33.86225128,2024-06-09 15:26:54.288555
1.328288708,12.55022049,16.14883041,-33.49143219,2024-06-09 15:26:54.328289
1.368023708,12.98721695,15.50259972,-33.46303558,2024-06-09 15:26:54.368024
1.407757708,12.83501053,14.86781502,-34.03652191,2024-06-09 15:26:54.407758
1.447492708,13.40761948,12.94307518,-34.48213959,2024-06-09 15:26:54.447493
1.487227708,13.44792557,10.81505394,-35.33454132,2024-06-09 15:26:54.487228
1.526961708,10.9510231,9.774604797,-35.96698761,2024-06-09 15:26:54.526962
1.566696708,11.19218063,7.806832314,-35.22400665,2024-06-09 15:26:54.566697
1.606430708,12.18806839,10.18286514,-33.02297211,2024-06-09 15:26:54.606431
1.646165708,8.973522186,10.62849712,-33.93541718,2024-06-09 15:26:54.646166
1.685899708,8.190189362,8.526208878,-35.3806839,2024-06-09 15:26:54.685900
1.725634708,8.291980743,7.185333252,-35.46637726,2024-06-09 15:26:54.725635
1.765368708,8.501209259,6.176956177,-35.89992523,2024-06-09 15:26:54.765369
1.805103708,5.662654877,4.881406307,-36.39395905,2024-06-09 15:26:54.805104
1.844837708,6.588909149,3.434111595,-36.76781464,2024-06-09 15:26:54.844838
1.884572708,8.363796234,3.019955635,-36.2410965,2024-06-09 15:26:54.884573
1.924306708,13.21347427,0.7119579315,-34.9235611,2024-06-09 15:26:54.924307
1.964041708,13.91942978,0.6821165085,-34.25336456,2024-06-09 15:26:54.964042
2.0037755,13.92702103,0.6937365532,-34.14974213,2024-06-09 15:26:55.003776
2.0435105,13.45299149,0.8031237125,-34.55182648,2024-06-09 15:26:55.043511
2.0832445,12.87723923,0.3410944939,-34.64739227,2024-06-09 15:26:55.083245
2.1229795,12.12861252,-0.5488512516,-34.83420563,2024-06-09 15:26:55.122980
2.1627135,10.68423843,-2.008245707,-35.44661713,2024-06-09 15:26:55.162714
2.2024485,10.72558212,-3.842978477,-35.26651764,2024-06-09 15:26:55.202449
2.2421825,10.11622238,-5.954105377,-35.25566864,2024-06-09 15:26:55.242183
2.2819175,9.019893646,-5.792541027,-35.53713226,2024-06-09 15:26:55.281918
2.3216515,7.426197052,-4.506103992,-36.26537323,2024-06-09 15:26:55.321652
2.3613865,6.414714813,-3.463541985,-36.80950165,2024-06-09 15:26:55.361387
2.4011215,6.148197174,-2.745810509,-36.81972504,2024-06-09 15:26:55.401121
2.4408555,7.355968475,-1.03153801,-36.43099213,2024-06-09 15:26:55.440856
2.4805905,6.576030731,-0.7256238461,-36.94512177,2024-06-09 15:26:55.480590
