Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Datetime
0.055056886,0.4430037737,-1.109972835,0.1070559174,2024-06-04 14:43:38.055057
0.095545323,-0.423430115,-1.078548431,-0.006391398143,2024-06-04 14:43:38.095545
0.136033813,-0.5640408993,-0.8708279729,-0.09374050796,2024-06-04 14:43:38.136034
0.211624542,-0.1129147038,-0.9259538054,-0.02956021577,2024-06-04 14:43:38.211625
0.252107511,-0.3027924895,-1.287866712,-0.02023942769,2024-06-04 14:43:38.252108
0.292546261,-0.4471315742,-1.755104542,0.07776200771,2024-06-04 14:43:38.292546
0.333020896,-1.008109927,-1.203446984,0.6621754766,2024-06-04 14:43:38.333021
0.373564646,-2.481859684,-0.9965254664,1.688127995,2024-06-04 14:43:38.373565
0.414053136,-3.567864895,-1.508503079,2.14471364,2024-06-04 14:43:38.414053
0.454541625,-3.538570881,-1.948044896,3.184647322,2024-06-04 14:43:38.454542
0.495030063,-1.75017786,-2.445508718,4.071587086,2024-06-04 14:43:38.495030
0.535518553,1.241928577,-1.215430856,2.837248087,2024-06-04 14:43:38.535519
0.575963969,2.462419271,1.189599037,1.215963483,2024-06-04 14:43:38.575964
0.616471573,0.8215609789,-0.8013215661,-0.7925333977,2024-06-04 14:43:38.616472
0.656980792,0.572030127,0.2420742065,-0.3255618513,2024-06-04 14:43:38.656981
0.697443292,0.6710968018,0.0705716908,-0.2797568142,2024-06-04 14:43:38.697443
0.73791423,0.4025249183,-0.2997299433,-0.3279586136,2024-06-04 14:43:38.737914
0.778428292,-0.163513273,0.05698996782,0.01944050193,2024-06-04 14:43:38.778428
0.818908344,-0.3035914004,0.1081211492,0.1334204376,2024-06-04 14:43:38.818908
0.859396573,-0.2516613007,-0.2406095117,-0.05485950038,2024-06-04 14:43:38.859397
0.899938813,-0.1597849578,-0.02583190054,-0.04740286991,2024-06-04 14:43:38.899939
0.940369855,-0.1230344176,-0.06977276504,-0.05006595328,2024-06-04 14:43:38.940370
0.980858136,0.0685743764,-0.03754946589,-0.03568530455,2024-06-04 14:43:38.980858
1.021346417,0.2448704392,0.07509893179,0.07776200771,2024-06-04 14:43:39.021346
1.061833761,0.5464645624,-0.371633172,-0.0929415822,2024-06-04 14:43:39.061834
1.102322042,0.8300828338,-1.036205411,-0.7962616682,2024-06-04 14:43:39.102322
1.142824125,1.234471917,-0.4536561072,-0.8905348182,2024-06-04 14:43:39.142824
1.183295844,1.071091771,0.2924064696,-0.2600499988,2024-06-04 14:43:39.183296
1.223814959,0.06884068251,-0.4038564563,0.163513273,2024-06-04 14:43:39.223815
1.264319542,-0.487344116,-0.2704360485,0.2817541361,2024-06-04 14:43:39.264320
1.304811469,-0.4753602445,0.07323476672,0.1629806459,2024-06-04 14:43:39.304811
1.34528574,-0.1014634445,0.3981308341,0.07856093347,2024-06-04 14:43:39.345286
1.385765636,0.3673722446,-0.1223686412,-0.07909355313,2024-06-04 14:43:39.385766
1.426254334,0.5693670511,-0.5695002079,-0.2813546658,2024-06-04 14:43:39.426254
1.466743292,0.509314537,-0.4975969791,-0.3151758313,2024-06-04 14:43:39.466743
1.507221105,0.5077167153,-0.9504541755,-0.4283568263,2024-06-04 14:43:39.507221
1.547695844,0.5063851476,-0.7627068162,-0.4193023443,2024-06-04 14:43:39.547696
1.588198084,0.4432700872,-0.9517856836,-0.5130428672,2024-06-04 14:43:39.588198
1.628678553,0.3559209704,-0.8348763585,-0.5724295974,2024-06-04 14:43:39.628679
1.669158969,-0.01158440951,-1.022623658,-0.4973306656,2024-06-04 14:43:39.669159
1.709668032,-0.2383458912,-0.5258256793,-0.5316844583,2024-06-04 14:43:39.709668
1.750185688,-0.6407376528,-0.9469921589,-0.5002600551,2024-06-04 14:43:39.750186
1.790637615,-0.4178376496,-0.5343475342,-0.4469984174,2024-06-04 14:43:39.790638
1.831153917,-0.3563204408,-0.416905582,-0.5356790423,2024-06-04 14:43:39.831154
1.87164923,-0.1850842386,-0.4014596939,-0.5356790423,2024-06-04 14:43:39.871649
1.912096938,0.05552527308,-0.4256937504,-0.4137098789,2024-06-04 14:43:39.912097
1.952571365,0.06484606117,-0.153793022,0.02103835158,2024-06-04 14:43:39.952571
1.993059542,-0.06191666797,-0.1644453406,-0.3061213493,2024-06-04 14:43:39.993060
2.033547771,0.03342168778,-0.1335535944,-0.4219654202,2024-06-04 14:43:40.033548
2.074035948,-0.1890788674,-0.04793548584,-0.09081111848,2024-06-04 14:43:40.074036
2.114524178,-0.1744319052,-0.06524552405,0.002130466048,2024-06-04 14:43:40.114524
2.155038917,0.2624467909,-0.02742975019,-0.2054568231,2024-06-04 14:43:40.155039
2.195557459,0.3977313936,-0.1860163212,-0.2344844192,2024-06-04 14:43:40.195557
2.236035532,0.3151758313,-0.1572550237,-0.1977338791,2024-06-04 14:43:40.236036
2.276501417,0.08748225868,-0.230756104,-0.1948044896,2024-06-04 14:43:40.276501
2.317003969,-0.04087831825,-0.1956034154,-0.1782933772,2024-06-04 14:43:40.317004
2.357504386,-0.2985315621,-0.1362166703,0.02316881903,2024-06-04 14:43:40.357504
2.398006157,-0.2961347699,0.1802906841,0.2559222281,2024-06-04 14:43:40.398006
2.438467875,-0.06271559745,0.6339467764,0.5561847687,2024-06-04 14:43:40.438468
2.478922875,0.008921326138,1.252980351,0.6155715585,2024-06-04 14:43:40.478923
2.519411313,-0.1912093312,0.8792167306,0.7844109535,2024-06-04 14:43:40.519411
2.559899698,-0.3121132851,0.08761541545,0.3022598624,2024-06-04 14:43:40.559900
2.600388084,-0.5027899742,0.2002638131,0.4559197426,2024-06-04 14:43:40.600388
2.640876469,-0.4713656008,-0.02689713426,0.4463326335,2024-06-04 14:43:40.640876
2.681370271,-0.3693695366,-0.3711005449,0.4852136374,2024-06-04 14:43:40.681370
