Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
0.055056886,0.0,0.0,0.0,2024-06-04 14:43:38.055057
0.095545323,-0.05530524254,0.2985281944,0.6084275246,2024-06-04 14:43:38.095545
0.136033813,0.09433460236,0.0406088829,1.365319252,2024-06-04 14:43:38.136034
0.211624542,-0.2429816723,0.07010126114,0.7274355888,2024-06-04 14:43:38.211625
0.252107511,-0.6473031044,-0.3737082481,-0.5338959694,2024-06-04 14:43:38.252108
0.292546261,-0.7070827484,0.05461883545,-0.8830180168,2024-06-04 14:43:38.292546
0.333020896,-1.213055134,0.2461843491,-0.4336633682,2024-06-04 14:43:38.333021
0.373564646,-2.632517338,-0.1629691124,-1.083517551,2024-06-04 14:43:38.373565
0.414053136,-0.2831604481,0.07267308235,-1.146131516,2024-06-04 14:43:38.414053
0.454541625,0.08445177227,-0.260550499,1.309529305,2024-06-04 14:43:38.454542
0.495030063,-0.4424797297,-1.52053082,1.762862206,2024-06-04 14:43:38.495030
0.535518553,3.347450972,-1.420216203,4.102576256,2024-06-04 14:43:38.535519
0.575963969,3.177872896,-1.999199629,1.457119942,2024-06-04 14:43:38.575964
0.616471573,2.883867741,-0.7833559513,-4.157590389,2024-06-04 14:43:38.616472
0.656980792,-0.9376621246,-1.121560097,0.3214559555,2024-06-04 14:43:38.656981
0.697443292,-0.3507056236,-1.008954525,0.9018125534,2024-06-04 14:43:38.697443
0.73791423,-0.2311279774,-0.4332606792,-1.181159496,2024-06-04 14:43:38.737914
0.778428292,-1.278317809,-0.7661633492,-1.900628567,2024-06-04 14:43:38.778428
0.818908344,-0.4580981731,-0.4978921413,-0.2088098526,2024-06-04 14:43:38.818908
0.859396573,0.2641117573,0.1995646954,-0.1537218094,2024-06-04 14:43:38.859397
0.899938813,0.3008131981,-0.1251199245,0.6298522949,2024-06-04 14:43:38.899939
0.940369855,0.009251356125,-0.2075707912,0.1205396652,2024-06-04 14:43:38.940370
0.980858136,0.0007383823395,-0.3598997593,0.5314712524,2024-06-04 14:43:38.980858
1.021346417,-0.2336637974,-0.595719099,0.8680896759,2024-06-04 14:43:39.021346
1.061833761,-0.1530549526,-0.2620251179,0.8342847824,2024-06-04 14:43:39.061834
1.102322042,1.555267096,-0.7623229027,1.144868851,2024-06-04 14:43:39.102322
1.142824125,0.1880908012,-0.9532372952,1.433238983,2024-06-04 14:43:39.142824
1.183295844,-0.6911697388,-1.140290737,-0.1241607666,2024-06-04 14:43:39.183296
1.223814959,-0.9842576981,-0.09129667282,-3.054162025,2024-06-04 14:43:39.223815
1.264319542,0.1031689644,0.0976061821,-1.535894394,2024-06-04 14:43:39.264320
1.304811469,1.645313978,0.2355623245,0.864481926,2024-06-04 14:43:39.304811
1.34528574,1.668405533,0.2831199169,2.250411987,2024-06-04 14:43:39.345286
1.385765636,0.8378884792,0.0724029541,1.535840988,2024-06-04 14:43:39.385766
1.426254334,0.9025919437,-0.1355361938,0.5546112061,2024-06-04 14:43:39.426254
1.466743292,0.9166026115,-0.3278894424,0.1357774734,2024-06-04 14:43:39.466743
1.507221105,0.4654800892,-0.2926621437,-0.6072034836,2024-06-04 14:43:39.507221
1.547695844,0.0136013031,-0.4677548409,-0.2015161514,2024-06-04 14:43:39.547696
1.588198084,0.1548686028,-0.5186486244,-0.5090498924,2024-06-04 14:43:39.588198
1.628678553,-0.1198682785,-0.5592455864,-0.3102340698,2024-06-04 14:43:39.628679
1.669158969,-0.266238451,-0.3607473373,-0.7718539238,2024-06-04 14:43:39.669159
1.709668032,0.2765302658,-0.3213806152,0.1292743683,2024-06-04 14:43:39.709668
1.750185688,-0.1466012001,-0.2508807182,-0.8489232063,2024-06-04 14:43:39.750186
1.790637615,-0.08698749542,-0.4866299629,1.074678421,2024-06-04 14:43:39.790638
1.831153917,-0.07176113129,-0.4104127884,0.8995895386,2024-06-04 14:43:39.831154
1.87164923,-0.7402133942,-0.3658533096,0.902490139,2024-06-04 14:43:39.871649
1.912096938,-1.096540451,-0.03757143021,0.9195942879,2024-06-04 14:43:39.912097
1.952571365,-2.286285162,-0.2468194962,0.4749956131,2024-06-04 14:43:39.952571
1.993059542,0.1519389153,0.7153019905,-0.04578828812,2024-06-04 14:43:39.993060
2.033547771,0.1097359657,0.08544015884,0.6479072571,2024-06-04 14:43:40.033548
2.074035948,-1.337862015,-0.4997982979,-0.2761940956,2024-06-04 14:43:40.074036
2.114524178,-0.6831278801,-0.2367219925,-0.08371353149,2024-06-04 14:43:40.114524
