Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Datetime
0.0,3.605086327,6.455835342,5.837889194,2024-06-05 15:39:52.000000
0.010624488,3.087937593,6.168397903,6.412764549,2024-06-05 15:39:52.010624
0.050624488,2.675773859,6.259325027,7.227221489,2024-06-05 15:39:52.050624
0.090624488,3.119044304,6.695416927,6.781558514,2024-06-05 15:39:52.090624
0.130624488,3.090330362,6.403193474,7.500302792,2024-06-05 15:39:52.130624
0.170624488,3.286541939,6.570990086,7.126723289,2024-06-05 15:39:52.170624
0.210624488,3.286541939,6.570990086,7.126723289,2024-06-05 15:39:52.210624
0.250624488,2.817249537,6.427121639,7.165008068,2024-06-05 15:39:52.250624
0.290624488,1.579861164,6.574579239,6.721737862,2024-06-05 15:39:52.290624
0.330624488,1.428814173,7.208079338,6.945765972,2024-06-05 15:39:52.330624
0.370624488,1.620539188,5.652146339,7.902894974,2024-06-05 15:39:52.370624
0.410624488,2.314158678,5.955137253,5.054538727,2024-06-05 15:39:52.410624
0.450624488,3.166900873,6.021239281,4.478466511,2024-06-05 15:39:52.450624
0.490624488,-1.528415442,3.466302633,15.17079449,2024-06-05 15:39:52.490624
0.530624488,-2.27078867,3.405285835,9.243174553,2024-06-05 15:39:52.530624
0.570624488,-1.229013562,4.540679932,8.761619568,2024-06-05 15:39:52.570624
0.610624488,2.478066921,6.441478729,8.502895355,2024-06-05 15:39:52.610624
0.650624488,0.195314154,5.676074505,8.51844883,2024-06-05 15:39:52.650624
0.690624488,0.195314154,5.676074505,8.51844883,2024-06-05 15:39:52.690624
0.730624488,1.905584097,6.091827393,7.984251022,2024-06-05 15:39:52.730624
0.770624488,0.4516452849,5.630610943,7.372286797,2024-06-05 15:39:52.770624
0.810624488,0.4516452849,5.630610943,7.372286797,2024-06-05 15:39:52.810624
0.850624488,0.4516452849,5.630610943,7.372286797,2024-06-05 15:39:52.850624
0.890624488,0.4516452849,5.630610943,7.372286797,2024-06-05 15:39:52.890624
0.930624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:52.930624
0.970624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:52.970624
1.010624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:53.010624
1.050624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:53.050624
1.090624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:53.090624
1.130624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:53.130624
1.170624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:53.170624
1.210624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:53.210624
1.250624488,1.936690807,5.499005318,8.260921478,2024-06-05 15:39:53.250624
1.290624488,1.469492197,5.146662235,10.66361427,2024-06-05 15:39:53.290624
1.330624488,-0.3963112533,5.280959606,8.864510536,2024-06-05 15:39:53.330624
1.370624488,0.5078766346,5.897709846,7.556533813,2024-06-05 15:39:53.370624
1.410624488,-0.5820540786,4.764708042,6.769594193,2024-06-05 15:39:53.410624
1.450624488,-0.5820540786,4.764708042,6.769594193,2024-06-05 15:39:53.450624
1.490624488,-0.5820540786,4.764708042,6.769594193,2024-06-05 15:39:53.490624
1.530624488,-0.5820540786,4.764708042,6.769594193,2024-06-05 15:39:53.530624
1.570624488,-0.5820540786,4.764708042,6.769594193,2024-06-05 15:39:53.570624
1.610624488,-0.5820540786,4.764708042,6.769594193,2024-06-05 15:39:53.610624
1.650624488,-0.5820540786,4.764708042,6.769594193,2024-06-05 15:39:53.650624
1.690624488,0.171385929,6.909873486,7.445267677,2024-06-05 15:39:53.690624
1.730624488,0.171385929,6.909873486,7.445267677,2024-06-05 15:39:53.730624
1.770624488,0.171385929,6.909873486,7.445267677,2024-06-05 15:39:53.770624
1.810624488,0.171385929,6.909873486,7.445267677,2024-06-05 15:39:53.810624
1.850624488,0.171385929,6.909873486,7.445267677,2024-06-05 15:39:53.850624
1.890624488,0.171385929,6.909873486,7.445267677,2024-06-05 15:39:53.890624
1.930624488,0.7498508096,5.761318684,7.066603661,2024-06-05 15:39:53.930624
