"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.895904580E-1,5.233479320E1,4.864110200E0,2.357132707E1,NaN,NaN,2.639999962E1,1.487270832E1
2.033259046E1,5.233478800E1,4.864086000E0,2.357130590E1,NaN,NaN,3.000000000E1,2.048123121E0
4.129759046E1,5.233474890E1,4.864123600E0,2.237126786E1,NaN,NaN,3.000000000E1,2.369230986E0
6.149359046E1,5.233473830E1,4.864077900E0,2.237122680E1,NaN,NaN,2.045800018E1,3.649829626E0
8.133159046E1,5.233480090E1,4.864178700E0,2.357137710E1,NaN,NaN,4.250000000E1,3.022058010E0
1.015375905E2,5.233479730E1,4.864179300E0,2.357137238E1,NaN,NaN,3.440000153E1,5.475400448E0
1.214325905E2,5.233480520E1,4.864334400E0,2.237146767E1,NaN,NaN,4.559999847E1,6.656400204E0
1.413605905E2,5.233479910E1,4.864192900E0,2.357138269E1,NaN,NaN,1.968099976E1,1.615821648E1
1.614715905E2,5.233477030E1,4.863979100E0,2.357121983E1,NaN,NaN,1.999099922E1,8.141448021E0
1.815015905E2,5.233478740E1,4.864053200E0,2.357128629E1,NaN,NaN,2.810000038E1,2.855462313E0
2.013735905E2,5.233477780E1,4.864140700E0,2.327131981E1,NaN,NaN,1.779199982E1,3.286763191E0
2.213795905E2,5.233480420E1,4.864218100E0,2.237139971E1,NaN,NaN,4.559999847E1,5.681889057E0
2.415075905E2,5.233466460E1,4.864205900E0,2.307120098E1,NaN,NaN,1.398900032E1,3.946606636E0
2.613795905E2,5.233477830E1,4.864158700E0,2.327133082E1,NaN,NaN,3.209899902E1,1.938757300E0
2.815465905E2,5.233478740E1,4.864085600E0,2.357130483E1,NaN,NaN,3.209899902E1,3.065895557E0
3.015545905E2,5.233477900E1,4.864005600E0,2.357124723E1,NaN,NaN,3.209899902E1,2.819181204E0
3.214495905E2,5.233475000E1,4.864124100E0,2.237126969E1,NaN,NaN,3.209899902E1,2.419071674E0
3.414575905E2,5.233478700E1,4.864089400E0,2.357130644E1,NaN,NaN,3.000000000E1,1.972591400E0
3.615005905E2,5.233478350E1,4.864038400E0,2.357127233E1,NaN,NaN,2.810000038E1,2.474198103E0
3.814845905E2,5.233475470E1,4.864116000E0,2.357127624E1,NaN,NaN,3.209899902E1,2.350106001E0
4.014955905E2,5.233474600E1,4.863957800E0,2.357117347E1,NaN,NaN,3.209899902E1,1.590669632E1
4.215045905E2,5.233471830E1,4.864085300E0,2.237120291E1,NaN,NaN,2.345499992E1,2.741520166E0
4.415005905E2,5.233480140E1,4.864212600E0,2.357139720E1,NaN,NaN,3.959999847E1,3.018015146E0
4.616065905E2,5.233479640E1,4.864144600E0,2.327134820E1,NaN,NaN,3.440000153E1,2.025273800E0
4.815405905E2,5.233479320E1,4.864122100E0,2.327133082E1,NaN,NaN,3.690000153E1,2.253012419E0
