Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
-0.0002769998973,-1.557062073,5.009632416,6.903045044,2024-06-16 11:10:07.999723
0.04002200009,-1.480421448,4.412823486,8.320746918,2024-06-16 11:10:08.040022
0.08032200008,-1.369801483,4.379891968,8.538843384,2024-06-16 11:10:08.080322
0.1206210001,-1.391656036,3.778742065,8.358767853,2024-06-16 11:10:08.120621
0.1609210001,-2.283052368,3.88472168,8.472381592,2024-06-16 11:10:08.160921
0.20122,-2.151475983,3.473826141,7.967481537,2024-06-16 11:10:08.201220
0.24152,-0.9514215088,2.903811493,8.13094162,2024-06-16 11:10:08.241520
0.281819,0.09849517822,2.570005646,10.72070618,2024-06-16 11:10:08.281819
0.322119,-2.663860474,1.178349609,9.730515289,2024-06-16 11:10:08.322119
0.362418,-1.600172424,1.992506561,9.581125946,2024-06-16 11:10:08.362418
0.402718,-1.528621216,1.397493896,10.56368271,2024-06-16 11:10:08.402718
0.4430170001,-1.970502319,1.195114746,13.51868774,2024-06-16 11:10:08.443017
0.4833170001,-3.758534088,0.243842926,9.978100433,2024-06-16 11:10:08.483317
0.5236160001,-5.419330444,0.8912466431,7.251370697,2024-06-16 11:10:08.523616
0.5639160001,-5.492977295,0.6227050781,6.461313629,2024-06-16 11:10:08.563916
0.6042150001,-3.551813965,1.991309052,7.995323639,2024-06-16 11:10:08.604215
0.6445150001,-3.715423737,1.697470093,9.171577606,2024-06-16 11:10:08.644515
0.684814,-2.399360504,2.247127075,9.30689621,2024-06-16 11:10:08.684814
0.725114,-1.641336823,2.290836182,9.532327423,2024-06-16 11:10:08.725114
0.7654125834,-1.9481987,1.97514267,8.627459106,2024-06-16 11:10:08.765413
0.8057125834,-0.5131329346,2.243983612,8.090525665,2024-06-16 11:10:08.805713
0.8460115833,1.031654663,3.228486328,9.447902985,2024-06-16 11:10:08.846012
0.8863115833,3.662433929,4.579277344,9.940827942,2024-06-16 11:10:08.886312
0.9266105833,3.51963089,4.415517883,8.368647308,2024-06-16 11:10:08.926611
0.9669105834,2.452799377,4.595144348,9.096733246,2024-06-16 11:10:08.966911
1.007209583,3.765868835,4.873565369,7.9215271,2024-06-16 11:10:09.007210
1.047509583,2.931653595,4.590354309,7.228468323,2024-06-16 11:10:09.047510
1.087808583,3.337010651,4.097579041,7.553592224,2024-06-16 11:10:09.087809
1.128108583,3.467838593,4.243076477,8.119116211,2024-06-16 11:10:09.128109
1.168407583,3.157683563,3.197051697,6.134992218,2024-06-16 11:10:09.168408
1.208706583,1.183139648,1.737287292,4.367467804,2024-06-16 11:10:09.208707
1.249006583,2.863096161,2.214794312,5.764812012,2024-06-16 11:10:09.249007
1.289305583,3.610491943,1.806892548,7.016359406,2024-06-16 11:10:09.289306
1.329605583,1.310973816,1.734443207,11.84501816,2024-06-16 11:10:09.329606
1.369904583,4.39950119,4.941973114,12.36219269,2024-06-16 11:10:09.369905
1.410204583,3.986659698,4.738546143,11.94486053,2024-06-16 11:10:09.410205
1.450503583,2.22437439,4.624932404,11.34999756,2024-06-16 11:10:09.450504
1.490803583,4.386478271,5.385351105,11.59653488,2024-06-16 11:10:09.490804
1.531102583,3.963907013,4.912783813,9.26707901,2024-06-16 11:10:09.531103
1.571402583,1.528621216,3.606600037,8.449928284,2024-06-16 11:10:09.571403
1.611701583,1.822310486,3.393892365,10.54586975,2024-06-16 11:10:09.611702
1.652001583,1.093925171,3.689527588,7.888894958,2024-06-16 11:10:09.652002
1.692300583,-1.125210114,3.183879089,9.126970367,2024-06-16 11:10:09.692301
1.732600583,0.4882846069,3.515439606,9.186247101,2024-06-16 11:10:09.732601
1.772900083,-0.3302133179,3.33476532,8.985664215,2024-06-16 11:10:09.772900
1.813200083,-0.02694396973,3.28791275,7.692802734,2024-06-16 11:10:09.813200
1.853499083,0.0005987548828,3.055446167,8.124654694,2024-06-16 11:10:09.853499
1.893799083,0.7598199463,2.723286896,7.642507324,2024-06-16 11:10:09.893799
1.934098083,0.2127076721,2.100581818,6.378835144,2024-06-16 11:10:09.934098
1.974398083,-0.8918453979,0.1936972046,4.83943634,2024-06-16 11:10:09.974398
2.014697083,1.331930237,-0.4489164734,6.098917236,2024-06-16 11:10:10.014697
2.054996083,2.381996613,-1.709894257,3.947590942,2024-06-16 11:10:10.054996
2.095296083,0.9699829102,-3.341351624,5.780080261,2024-06-16 11:10:10.095296
2.135595083,2.125579834,-3.251239014,11.51420609,2024-06-16 11:10:10.135595
2.175895083,-0.9701325989,-4.05312149,12.12613358,2024-06-16 11:10:10.175895
2.216194083,1.590891724,-3.770958252,12.62489639,2024-06-16 11:10:10.216194
2.256494083,3.32892746,-0.2067201233,23.18139404,2024-06-16 11:10:10.256494
2.296793083,-1.475631409,-1.896256714,11.91118057,2024-06-16 11:10:10.296793
2.337093083,1.713486786,-0.3345542908,11.69038971,2024-06-16 11:10:10.337093
2.377392083,0.6367758179,-1.193767548,10.2054776,2024-06-16 11:10:10.377392
2.417692083,1.450334015,-2.060165863,6.824458466,2024-06-16 11:10:10.417692
2.457991083,0.7439529419,-3.368594971,8.105793915,2024-06-16 11:10:10.457991
2.498291083,-1.958826599,-4.947212219,12.4111409,2024-06-16 11:10:10.498291
2.538590083,-1.593586121,-5.145699463,10.58838135,2024-06-16 11:10:10.538590
2.578889083,-3.369343414,-5.783972168,11.67527115,2024-06-16 11:10:10.578889
2.619189083,-4.399201813,-6.150410156,10.60185333,2024-06-16 11:10:10.619189
2.659488083,-6.090534668,-7.389683075,7.113208008,2024-06-16 11:10:10.659488
2.699788083,2.064656525,-2.272723846,10.06297394,2024-06-16 11:10:10.699788
2.740087083,-3.907324677,-5.413342896,10.29050079,2024-06-16 11:10:10.740087
2.780386875,-6.977590027,-5.367837524,8.764424286,2024-06-16 11:10:10.780387
2.820685875,-4.240681458,-3.120261383,5.357958069,2024-06-16 11:10:10.820686
2.860985875,-3.697910156,-2.564916229,7.785010986,2024-06-16 11:10:10.860986
2.901284875,-5.104085999,-3.487148438,7.974666595,2024-06-16 11:10:10.901285
2.941584875,-3.704047394,-2.308649139,4.767885132,2024-06-16 11:10:10.941585
2.981883875,-4.551435242,-3.263962555,6.051016846,2024-06-16 11:10:10.981884
3.022183875,-3.146007843,-3.213367767,5.822142792,2024-06-16 11:10:11.022184
3.062482875,-1.653012543,-2.526895294,10.15832565,2024-06-16 11:10:11.062483
3.102781875,-2.646346893,-1.557660828,10.85542603,2024-06-16 11:10:11.102782
3.143081875,-0.6282435608,-1.255289612,9.846973114,2024-06-16 11:10:11.143082
3.183380875,0.2236349487,-2.278861084,9.463021545,2024-06-16 11:10:11.183381
3.223680875,0.1817221069,-2.35894455,8.908724213,2024-06-16 11:10:11.223681
3.263979875,-2.098785553,-2.317780151,8.440048828,2024-06-16 11:10:11.263980
3.304279875,-2.009421387,-1.529070282,9.453441467,2024-06-16 11:10:11.304280
3.344578875,-3.831282806,-1.599423981,10.21700363,2024-06-16 11:10:11.344579
3.384878875,-4.005670166,-2.044448547,9.62049408,2024-06-16 11:10:11.384879
3.425177875,-4.22750885,-0.5584886169,14.02209091,2024-06-16 11:10:11.425178
3.465477875,-5.774092712,-1.975591736,6.918462982,2024-06-16 11:10:11.465478
3.505776875,-7.735613708,-2.993774414,6.204597473,2024-06-16 11:10:11.505777
3.546075875,-6.688391418,-1.949845276,6.842271423,2024-06-16 11:10:11.546076
3.586375875,-8.197403412,-3.215762787,6.83912796,2024-06-16 11:10:11.586376
3.626674875,-6.309529266,-2.739004211,6.033802643,2024-06-16 11:10:11.626675
3.666974875,-4.524790649,-1.519490204,5.579347687,2024-06-16 11:10:11.666975
3.707273875,-4.292174377,-2.280058594,6.217620392,2024-06-16 11:10:11.707274
3.74757325,0.2721340942,-1.471140747,4.432881775,2024-06-16 11:10:11.747573
3.78787225,-5.211113434,-4.369264069,8.647367706,2024-06-16 11:10:11.787872
3.82817225,-3.450325012,-5.114863586,5.620212708,2024-06-16 11:10:11.828172
3.86847125,-2.391876068,-4.995262299,4.328848114,2024-06-16 11:10:11.868471
3.90877025,-5.873486023,-5.146597595,5.92183548,2024-06-16 11:10:11.908770
3.94907025,-4.465663605,-3.261417847,7.47455658,2024-06-16 11:10:11.949070
3.98936925,-5.627697144,-4.523892517,9.136550446,2024-06-16 11:10:11.989369
4.02966925,-6.867119751,-6.370602264,9.314680023,2024-06-16 11:10:12.029669
4.06996825,-2.868634644,-6.159840546,11.53351593,2024-06-16 11:10:12.069968
4.11026825,-5.151986389,-6.848708038,12.25247086,2024-06-16 11:10:12.110268
4.15056725,-3.159330139,-6.506369934,11.20090759,2024-06-16 11:10:12.150567
4.19086725,-0.2469863892,-6.264023895,6.716383209,2024-06-16 11:10:12.190867
4.23116625,2.481988678,-5.188360748,6.595883789,2024-06-16 11:10:12.231166
4.27146525,1.580114136,-4.990172882,8.121660919,2024-06-16 11:10:12.271465
4.31176525,2.473306732,-3.863765259,8.588989105,2024-06-16 11:10:12.311765
4.35206425,2.596350861,-3.103496246,8.124954071,2024-06-16 11:10:12.352064
4.39236425,3.304827576,-2.537074127,8.679999847,2024-06-16 11:10:12.392364
4.43266325,4.783153381,-2.056573334,9.531279602,2024-06-16 11:10:12.432663
4.47296325,3.872297516,-2.12019104,9.038803711,2024-06-16 11:10:12.472963
4.51326225,3.579656067,-2.499202881,7.492668915,2024-06-16 11:10:12.513262
4.55356225,4.502337341,-2.02543808,7.887398071,2024-06-16 11:10:12.553562
4.59386125,4.037703552,-2.047741699,8.937614136,2024-06-16 11:10:12.593861
4.63416025,2.728825378,-2.257455597,8.376880188,2024-06-16 11:10:12.634160
4.67446025,5.488187256,-1.435215454,9.690099335,2024-06-16 11:10:12.674460
4.71475925,3.577410736,-1.671124878,8.394393768,2024-06-16 11:10:12.714759
4.755060208,3.53834198,-1.653012543,8.848249969,2024-06-16 11:10:12.755060
4.795359208,4.413871307,-1.13853241,9.928553467,2024-06-16 11:10:12.795359
4.835659208,3.266806641,-1.835333405,8.073760529,2024-06-16 11:10:12.835659
4.875958208,2.67134491,-1.447190552,9.055119781,2024-06-16 11:10:12.875958
4.916257208,3.584446106,-1.179696808,10.23376877,2024-06-16 11:10:12.916257
4.956557208,1.387913818,0.48559021,10.42237656,2024-06-16 11:10:12.956557
4.996856208,2.157463531,1.095571747,8.385412445,2024-06-16 11:10:12.996856
5.037156208,1.742825775,2.750081177,12.03392532,2024-06-16 11:10:13.037156
5.077455208,1.087937622,2.684667206,9.730515289,2024-06-16 11:10:13.077455
5.117755208,1.882784729,3.360960846,9.568103027,2024-06-16 11:10:13.117755
5.158054208,-0.1273851013,2.271226959,7.559729462,2024-06-16 11:10:13.158054
5.198354208,0.4435276794,-1.975891113,6.863377533,2024-06-16 11:10:13.198354
5.238653208,-1.018482056,-5.0828302,8.523724823,2024-06-16 11:10:13.238653
5.278952208,-5.060825958,-10.06491989,3.299738159,2024-06-16 11:10:13.278952
5.319252208,-10.18901184,-12.8570636,3.221151581,2024-06-16 11:10:13.319252
