Time (s),X (hPa),Datetime
-0.5688826666,1002.794342,2024-06-16 11:10:07.431117
0.4399053333,1002.796783,2024-06-16 11:10:08.439905
1.448698333,1002.799225,2024-06-16 11:10:09.448698
2.457499333,1002.810822,2024-06-16 11:10:10.457499
3.466311333,1002.810822,2024-06-16 11:10:11.466311
3.813639333,1002.808685,2024-06-16 11:10:11.813639
4.889649333,1002.807846,2024-06-16 11:10:12.889649
5.965699333,1002.80777,2024-06-16 11:10:13.965699
7.041741333,1002.803116,2024-06-16 11:10:15.041741
8.117794333,1002.802505,2024-06-16 11:10:16.117794
9.193791333,1002.800903,2024-06-16 11:10:17.193791
10.26980833,1002.793961,2024-06-16 11:10:18.269808
11.34581533,1002.785263,2024-06-16 11:10:19.345815
12.42180033,1002.777176,2024-06-16 11:10:20.421800
13.49774733,1002.765884,2024-06-16 11:10:21.497747
14.57375433,1002.75528,2024-06-16 11:10:22.573754
15.64976733,1002.750397,2024-06-16 11:10:23.649767
16.72576633,1002.746964,2024-06-16 11:10:24.725766
17.80179733,1002.746964,2024-06-16 11:10:25.801797
18.87780333,1002.748566,2024-06-16 11:10:26.877803
19.95375833,1002.751617,2024-06-16 11:10:27.953758
21.02970433,1002.757645,2024-06-16 11:10:29.029704
22.10570233,1002.765961,2024-06-16 11:10:30.105702
23.18166633,1002.771606,2024-06-16 11:10:31.181666
24.25762533,1002.777252,2024-06-16 11:10:32.257625
25.33358833,1002.783203,2024-06-16 11:10:33.333588
26.40959133,1002.78717,2024-06-16 11:10:34.409591
27.48557233,1002.790298,2024-06-16 11:10:35.485572
28.56154233,1002.793121,2024-06-16 11:10:36.561542
29.63747933,1002.795639,2024-06-16 11:10:37.637479
30.71340933,1002.797318,2024-06-16 11:10:38.713409
31.78932833,1002.799072,2024-06-16 11:10:39.789328
32.86525333,1002.800751,2024-06-16 11:10:40.865253
33.94123033,1002.801437,2024-06-16 11:10:41.941230
35.01724333,1002.801437,2024-06-16 11:10:43.017243
36.09320833,1002.799835,2024-06-16 11:10:44.093208
37.16911033,1002.794189,2024-06-16 11:10:45.169110
38.24499733,1002.790146,2024-06-16 11:10:46.244997
39.32093933,1002.790146,2024-06-16 11:10:47.320939
40.39689233,1002.793121,2024-06-16 11:10:48.396892
41.47282833,1002.801514,2024-06-16 11:10:49.472828
42.54878033,1002.813187,2024-06-16 11:10:50.548780
43.62475333,1002.81929,2024-06-16 11:10:51.624753
44.70069633,1002.82341,2024-06-16 11:10:52.700696
45.77662133,1002.824936,2024-06-16 11:10:53.776621
46.85253333,1002.824936,2024-06-16 11:10:54.852533
47.92845533,1002.82547,2024-06-16 11:10:55.928455
49.00443133,1002.82608,2024-06-16 11:10:57.004431
50.08040433,1002.826767,2024-06-16 11:10:58.080404
51.15646233,1002.827454,2024-06-16 11:10:59.156462
52.23252733,1002.826767,2024-06-16 11:11:00.232527
53.30860633,1002.827454,2024-06-16 11:11:01.308606
54.38466233,1002.827988,2024-06-16 11:11:02.384662
55.46068733,1002.828293,2024-06-16 11:11:03.460687
56.53669433,1002.830276,2024-06-16 11:11:04.536694
