Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.009797000093,-0.6109069586,-0.1274794489,-0.03940339759,2024-06-16 11:10:08.009797
0.05009700009,-0.6229487658,-0.2229250968,-0.05056105182,2024-06-16 11:10:08.050097
0.09039600007,-0.581317544,-0.2735830843,-0.07023660094,2024-06-16 11:10:08.090396
0.1306960001,-1.071100831,0.6787739992,0.1125928983,2024-06-16 11:10:08.130696
0.1709960001,-1.267845273,1.004716992,-0.01673736423,2024-06-16 11:10:08.170996
0.211295,-1.330878854,-0.11005494,0.1687773615,2024-06-16 11:10:08.211295
0.251594,-1.507580042,-0.4953922331,-0.07343711704,2024-06-16 11:10:08.251594
0.291894,-0.5347737074,-1.03508234,-0.8621160388,2024-06-16 11:10:08.291894
0.332193,-0.9573148489,0.07360715419,-0.3175928295,2024-06-16 11:10:08.332193
0.372493,-0.8706158996,0.1069752127,-0.3135501742,2024-06-16 11:10:08.372493
0.412792,-0.9542220831,1.532423377,-0.4399086535,2024-06-16 11:10:08.412792
0.4530920001,-0.04057092965,3.187033653,-0.5715937018,2024-06-16 11:10:08.453092
0.4933920001,0.634534359,2.407968283,-0.1760801226,2024-06-16 11:10:08.493392
0.5336910001,0.5781245828,0.4746044874,0.4201925099,2024-06-16 11:10:08.533691
0.5739910001,0.07463425398,-0.9979865551,0.8916538358,2024-06-16 11:10:08.573991
0.6142900001,0.1794181317,-2.010817766,0.7343810201,2024-06-16 11:10:08.614290
0.654589,0.3446532488,-1.672754645,0.8729574084,2024-06-16 11:10:08.654589
0.694889,0.3331868947,-1.048751473,0.6024578214,2024-06-16 11:10:08.694889
0.735188,0.6627866626,-1.09070158,0.4172430634,2024-06-16 11:10:08.735188
0.7754875834,1.5298841,-3.422728777,1.132630587,2024-06-16 11:10:08.775488
0.8157865833,1.099595308,-3.569784641,1.407855511,2024-06-16 11:10:08.815787
0.8560865833,1.450750232,-3.757939816,1.452673554,2024-06-16 11:10:08.856087
0.8963855833,0.8100640178,-0.9715787172,0.212149024,2024-06-16 11:10:08.896386
0.9366855834,0.1640546322,-0.09230852127,-0.1258591413,2024-06-16 11:10:08.936686
0.9769845834,0.6186695099,-0.5713490248,0.2490193993,2024-06-16 11:10:08.976985
1.017284583,0.2291401476,0.1511212885,-0.1097326428,2024-06-16 11:10:09.017285
1.057583583,-0.15503335,0.6947751641,-0.07576640695,2024-06-16 11:10:09.057584
1.097883583,0.03064673208,-0.01083809044,-0.03801534697,2024-06-16 11:10:09.097884
1.138182583,0.2719545364,0.2640676498,-0.2422573119,2024-06-16 11:10:09.138183
1.178482583,-0.3615247607,1.05656147,-0.4443761408,2024-06-16 11:10:09.178483
1.218781583,-0.6276202798,-0.30701226,0.4311274588,2024-06-16 11:10:09.218782
1.259081583,-1.132404447,0.04200834408,0.4579930604,2024-06-16 11:10:09.259082
1.299380583,-1.165245414,0.4971732497,0.2324247211,2024-06-16 11:10:09.299381
1.339680583,-0.1580334455,-0.928822279,0.7937814593,2024-06-16 11:10:09.339681
1.379979583,-0.806458056,-0.7817730904,-0.1539963335,2024-06-16 11:10:09.379980
1.420279583,-0.691188395,0.1719593108,-0.8047904968,2024-06-16 11:10:09.420280
1.460578583,-0.08361347765,-0.6347006559,-0.2669352889,2024-06-16 11:10:09.460579
1.500878583,0.4648668766,-0.2647468448,-1.136512041,2024-06-16 11:10:09.500879
1.541177583,0.1288934648,1.444873095,-1.901507616,2024-06-16 11:10:09.541178
1.581477583,-0.109015815,1.229604483,-1.620654464,2024-06-16 11:10:09.581478
1.621776583,0.6375849247,0.8344032168,-1.594728351,2024-06-16 11:10:09.621777
1.662076583,-0.2266828567,1.289725542,-1.624513745,2024-06-16 11:10:09.662077
1.702375583,-0.1823507249,1.307502985,-0.7327594757,2024-06-16 11:10:09.702376
1.742676083,0.2399988919,0.19240731,-0.344096452,2024-06-16 11:10:09.742676
1.782975083,0.2742210031,0.2280500531,-0.06719885767,2024-06-16 11:10:09.782975
1.823275083,-0.1031344831,0.1242470443,0.02068553306,2024-06-16 11:10:09.823275
1.863574083,-0.1132348552,0.02597403899,0.1454492211,2024-06-16 11:10:09.863574
1.903873083,-0.1482746452,-0.0281204246,0.08015006036,2024-06-16 11:10:09.903873
1.944173083,-0.7860762477,0.3543570936,0.1657621413,2024-06-16 11:10:09.944173
1.984472083,-1.807372808,0.1931527406,0.8827317953,2024-06-16 11:10:09.984472
2.024772083,-1.509662271,-0.8054558635,0.9480195045,2024-06-16 11:10:10.024772
2.065071083,-2.729308367,0.4742913544,0.1391854733,2024-06-16 11:10:10.065071
2.105371083,-3.504796505,0.4875670075,-0.2874726057,2024-06-16 11:10:10.105371
2.145670083,-2.247786045,-1.512986064,-0.1141285375,2024-06-16 11:10:10.145670
2.185970083,-1.893130064,-1.589996338,1.114819884,2024-06-16 11:10:10.185970
2.226269083,-2.517374992,-0.2338613719,0.121157594,2024-06-16 11:10:10.226269
2.266569083,1.345023513,-2.695752859,-0.2006438971,2024-06-16 11:10:10.266569
2.306868083,-0.09264746308,-0.6949437857,0.7220841646,2024-06-16 11:10:10.306868
2.347168083,-0.6051904559,0.5794602036,0.2302533537,2024-06-16 11:10:10.347168
2.387467083,-0.6234600544,0.6418762207,0.3851233125,2024-06-16 11:10:10.387467
2.427767083,-2.262159824,2.332791805,-0.2824447453,2024-06-16 11:10:10.427767
2.468066083,-3.293891191,3.882322788,-0.7238126993,2024-06-16 11:10:10.468066
2.508365083,-2.067499399,3.391755342,-0.01410738938,2024-06-16 11:10:10.508365
2.548665083,-1.35442555,1.770874739,0.4570257068,2024-06-16 11:10:10.548665
2.588964083,0.002438925439,0.3474059999,1.360818624,2024-06-16 11:10:10.588964
2.629264083,0.5242959261,-0.4561101496,2.17508173,2024-06-16 11:10:10.629264
2.669563083,-0.2727127075,-0.4343567193,2.656497478,2024-06-16 11:10:10.669563
2.709863083,0.1272648275,-0.4510080814,0.6574088931,2024-06-16 11:10:10.709863
2.750161875,0.5186848044,0.5840346813,0.786424458,2024-06-16 11:10:10.750162
2.790461875,-0.5454075933,3.317943811,0.8378353715,2024-06-16 11:10:10.790462
2.830760875,-0.1789272577,0.6018086672,0.8778817058,2024-06-16 11:10:10.830761
2.871060875,0.3427815139,-0.4027327299,0.6685290337,2024-06-16 11:10:10.871061
2.911359875,0.5757983923,0.1732325405,0.6861198545,2024-06-16 11:10:10.911360
2.951659875,0.9213846326,-2.186296463,0.6901623607,2024-06-16 11:10:10.951660
2.991958875,1.097604752,-2.708226204,1.074813247,2024-06-16 11:10:10.991959
3.032257875,0.8156299591,-3.542436361,1.256996751,2024-06-16 11:10:11.032258
3.072557875,1.446368814,-4.832856655,1.753535748,2024-06-16 11:10:11.072558
3.112856875,0.493999958,-2.563603401,0.7506744266,2024-06-16 11:10:11.112857
3.153156875,0.4218422771,-1.342275858,0.09346285462,2024-06-16 11:10:11.153157
3.193455875,0.1859406382,1.034374475,-1.209483266,2024-06-16 11:10:11.193456
3.233755875,-0.08096851408,3.428379059,-2.316949129,2024-06-16 11:10:11.233756
3.274054875,0.02001882717,3.616086483,-1.930293322,2024-06-16 11:10:11.274055
3.314354875,0.1526151597,3.550396919,-1.826559544,2024-06-16 11:10:11.314355
3.354653875,0.4069883227,2.454941273,-1.415359497,2024-06-16 11:10:11.354654
3.394953875,0.5153669715,1.000122428,-0.8990049958,2024-06-16 11:10:11.394954
3.435252875,1.041115642,2.262016058,-1.452616811,2024-06-16 11:10:11.435253
3.475551875,0.4184383452,1.616330147,-1.116474509,2024-06-16 11:10:11.475552
3.515851875,0.073033005,1.25118959,-0.2294003069,2024-06-16 11:10:11.515852
3.556150875,0.2470751256,0.9366827011,0.01131751668,2024-06-16 11:10:11.556151
3.596450875,0.1526229233,0.110904783,0.814994812,2024-06-16 11:10:11.596451
3.636749875,-0.7649344206,0.9692143202,0.4770227969,2024-06-16 11:10:11.636750
3.677049875,-0.5115129948,-1.248822689,0.4858832359,2024-06-16 11:10:11.677050
3.717348875,-0.1902768463,-3.850494385,1.018580437,2024-06-16 11:10:11.717349
3.75764825,-0.805778563,-4.183191299,-0.3374147713,2024-06-16 11:10:11.757648
3.79794725,-0.4378569424,-0.6814020276,-0.7318179607,2024-06-16 11:10:11.797947
3.83824625,-1.398885131,2.840117216,-2.354707956,2024-06-16 11:10:11.838246
3.87854625,-1.050242186,1.862553596,-2.692484856,2024-06-16 11:10:11.878546
3.91884525,-1.429236293,2.123584747,-2.56791234,2024-06-16 11:10:11.918845
3.95914525,-1.670106053,2.132213593,-3.65942812,2024-06-16 11:10:11.959145
3.99944425,-1.102865219,1.878149033,-4.123922825,2024-06-16 11:10:11.999444
4.03974425,0.1849685311,-0.8231286407,-3.345198631,2024-06-16 11:10:12.039744
4.08004325,1.861243129,-3.386151791,-2.729598999,2024-06-16 11:10:12.080043
4.12034325,3.513607502,-5.01673317,-0.4391152859,2024-06-16 11:10:12.120343
4.16064225,3.739667654,-3.595199823,0.542032063,2024-06-16 11:10:12.160642
4.20094125,2.753348827,-2.859092712,0.9108188152,2024-06-16 11:10:12.200941
4.24124125,1.566603303,-1.540314913,0.1739218533,2024-06-16 11:10:12.241241
4.28154025,1.383472085,-1.48406601,0.5638943315,2024-06-16 11:10:12.281540
4.32184025,1.22049427,-1.04987812,0.4964841306,2024-06-16 11:10:12.321840
4.36213925,0.7223802805,-0.6613579988,0.4968765974,2024-06-16 11:10:12.362139
4.40243925,0.3898788095,-0.3651229739,0.4000537097,2024-06-16 11:10:12.402439
4.44273825,0.6335029602,-0.4379437566,0.1227435991,2024-06-16 11:10:12.442738
4.48303825,0.5152553916,-0.2495699972,0.06074464694,2024-06-16 11:10:12.483038
4.52333725,0.04717998952,0.02596797049,0.0081769526,2024-06-16 11:10:12.523337
4.56363625,-0.1743019521,0.3115518391,-0.3779730201,2024-06-16 11:10:12.563636
4.60393625,0.1175319999,-0.03810674325,-0.1322535574,2024-06-16 11:10:12.603936
4.64423525,0.03531271964,-0.06192613021,0.3073578477,2024-06-16 11:10:12.644235
4.68453525,0.232118547,0.2718991041,-0.3291862607,2024-06-16 11:10:12.684535
4.72483425,-0.01206806116,0.30466488,-0.1466087848,2024-06-16 11:10:12.724834
4.765135208,-0.01121353172,0.1549707204,0.0176703427,2024-06-16 11:10:12.765135
4.805434208,0.1744726896,0.7455675602,-0.3769078851,2024-06-16 11:10:12.805434
4.845733208,0.1407598108,0.2330654711,-0.005323327612,2024-06-16 11:10:12.845733
4.886033208,0.1659415811,0.7459920049,-0.04350986704,2024-06-16 11:10:12.886033
4.926332208,0.7624681592,0.9240294099,-0.101508975,2024-06-16 11:10:12.926332
4.966632208,0.4621780217,2.838899136,0.1134845018,2024-06-16 11:10:12.966632
5.006931208,0.9574575424,0.479550153,0.2409883887,2024-06-16 11:10:13.006931
5.047231208,1.741328597,0.22450611,-0.2257467359,2024-06-16 11:10:13.047231
5.087530208,2.218752623,-0.8058586121,0.308847338,2024-06-16 11:10:13.087530
5.127830208,1.651363254,-0.02926243097,-0.7666812539,2024-06-16 11:10:13.127830
5.168129208,-0.2981653214,3.990817308,-2.78094697,2024-06-16 11:10:13.168129
5.208428208,-3.468211412,7.226486683,-4.947486877,2024-06-16 11:10:13.208428
5.248728208,-4.697962761,9.882811546,-6.681369781,2024-06-16 11:10:13.248728
5.289027208,-6.533326626,10.80727196,-5.817195415,2024-06-16 11:10:13.289027
5.329327208,-6.018736362,5.438436508,-1.823128343,2024-06-16 11:10:13.329327
5.369626208,-5.480186462,1.237497211,-0.09705611318,2024-06-16 11:10:13.369626
5.409926208,-3.187015772,-0.2567989826,-0.3517995775,2024-06-16 11:10:13.409926
5.450225208,-1.144787312,-1.073151827,-1.199498653,2024-06-16 11:10:13.450225
5.490524208,-0.8387125134,0.2146114558,-1.83569181,2024-06-16 11:10:13.490524
5.530824208,-0.2148638219,-0.9726446271,-1.241795182,2024-06-16 11:10:13.530824
5.571123208,-1.825059891,-3.3784132,-1.539422989,2024-06-16 11:10:13.571123
5.611423208,-2.639634848,-4.084091663,-0.2172653377,2024-06-16 11:10:13.611423
5.651722208,-1.032985091,-4.989243984,1.148571491,2024-06-16 11:10:13.651722
5.692022208,0.2377004325,-2.616607904,1.114954948,2024-06-16 11:10:13.692022
5.732321208,1.535493731,-1.894206166,1.16881597,2024-06-16 11:10:13.732321
5.772619583,0.833063364,-0.7141830921,0.9004852772,2024-06-16 11:10:13.772620
5.812919583,-1.841291785,-1.306257486,1.485630512,2024-06-16 11:10:13.812920
5.853218583,-0.8978754282,-1.393902063,0.5846232772,2024-06-16 11:10:13.853219
5.893518583,-1.723406672,-1.193276405,-0.07140007615,2024-06-16 11:10:13.893519
5.933817583,-1.456995368,-1.067206144,-1.159185529,2024-06-16 11:10:13.933818
5.974117583,-0.9479679465,-0.4673575759,-1.744139075,2024-06-16 11:10:13.974118
6.014416583,-1.320934057,0.3548071086,-1.958257794,2024-06-16 11:10:14.014417
6.054715583,-0.5691582561,-1.362885594,-1.508367419,2024-06-16 11:10:14.054716
6.095015583,0.222052902,-1.508876324,-1.772988677,2024-06-16 11:10:14.095016
6.135314583,1.095103025,-0.8280777931,-1.196701527,2024-06-16 11:10:14.135315
6.175614583,0.8751357198,-1.767864704,-2.082772493,2024-06-16 11:10:14.175615
6.215913583,-0.7688746452,-1.084287643,0.03992129862,2024-06-16 11:10:14.215914
6.256213583,-0.6129220724,-0.7688195109,-0.7649680972,2024-06-16 11:10:14.256214
6.296512583,-0.8559966683,-1.023033738,-2.310921907,2024-06-16 11:10:14.296513
6.336811583,-1.165178061,0.2127828151,-3.606933117,2024-06-16 11:10:14.336812
6.377111583,0.8749090433,3.875332832,-0.6580815315,2024-06-16 11:10:14.377112
6.417410583,1.975111604,2.807845592,3.485255957,2024-06-16 11:10:14.417411
6.457710583,0.7321255803,1.135614157,2.003403425,2024-06-16 11:10:14.457711
6.498009583,-0.5220605731,0.5146242976,-0.475959897,2024-06-16 11:10:14.498010
6.538309583,-3.513145447,-1.341249585,0.7925447822,2024-06-16 11:10:14.538310
6.578608583,-2.741624832,1.104379416,0.7626796961,2024-06-16 11:10:14.578609
6.618907583,-3.165933609,-2.857800722,-1.677376866,2024-06-16 11:10:14.618908
6.659207583,-0.6696204543,-1.21056056,-1.171876669,2024-06-16 11:10:14.659208
6.699506583,2.365725756,1.364966393,-0.6290389299,2024-06-16 11:10:14.699507
6.739806583,3.349473953,1.420913935,1.717109561,2024-06-16 11:10:14.739807
6.780106208,3.32405591,2.605421305,3.184504747,2024-06-16 11:10:14.780106
6.820406208,2.059168816,4.086117744,1.24165535,2024-06-16 11:10:14.820406
6.860705208,0.362136066,5.711156368,0.7061699629,2024-06-16 11:10:14.860705
6.901004208,-2.073948622,4.350376129,0.1058001965,2024-06-16 11:10:14.901004
6.941304208,-4.695034027,-7.007519722,-1.053165436,2024-06-16 11:10:14.941304
6.981603208,-0.3550689518,1.23801446,-0.9994542599,2024-06-16 11:10:14.981603
7.021903208,1.429395676,2.11196661,-0.4613498449,2024-06-16 11:10:15.021903
7.062202208,1.493310452,-0.2419278324,-0.5039798021,2024-06-16 11:10:15.062202
7.102502208,-0.1078479365,-4.39012289,-0.5580182076,2024-06-16 11:10:15.102502
7.142801208,-1.833127856,-3.583427906,-0.2777975202,2024-06-16 11:10:15.142801
7.183101208,1.237106204,4.99511385,0.3727261424,2024-06-16 11:10:15.183101
7.223400208,2.680774212,0.8055474162,1.727821112,2024-06-16 11:10:15.223400
7.263699208,2.883841753,-0.8170247078,1.993856072,2024-06-16 11:10:15.263699
7.303999208,1.596523762,1.11892128,1.635779142,2024-06-16 11:10:15.303999
7.344298208,0.006659207866,-0.2297703028,0.5021518469,2024-06-16 11:10:15.344298
7.384598208,-1.603601694,-1.488858223,0.5602905154,2024-06-16 11:10:15.384598
7.424897208,-1.239979744,-1.705110908,0.866941452,2024-06-16 11:10:15.424897
7.465197208,-0.7730701566,-0.9387513399,0.8680631518,2024-06-16 11:10:15.465197
7.505496208,-0.7303528786,-1.753336191,0.4441027939,2024-06-16 11:10:15.505496
7.545795208,-1.442710042,-1.640469909,-0.1274525076,2024-06-16 11:10:15.545795
7.586095208,-1.223332524,-0.9754189849,-0.3792831898,2024-06-16 11:10:15.586095
7.626394208,-0.6507195234,-2.263081312,0.126285702,2024-06-16 11:10:15.626394
7.666694208,-2.918312788,-3.201431513,0.3403663039,2024-06-16 11:10:15.666694
7.706993208,-3.954120636,-2.013423681,0.3547251523,2024-06-16 11:10:15.706993
7.747292125,-0.5763906837,0.3252209425,-0.599671185,2024-06-16 11:10:15.747292
7.787592125,-0.9711326361,-0.8624923825,-0.2507219613,2024-06-16 11:10:15.787592
7.827891125,-1.860684991,-3.256876469,0.1786498129,2024-06-16 11:10:15.827891
7.868191125,-2.048335314,-1.770871282,-0.2034876347,2024-06-16 11:10:15.868191
7.908490125,-1.224662304,-0.6924768686,0.1572615802,2024-06-16 11:10:15.908490
7.948789125,-0.5583403111,0.1269928068,0.6010146737,2024-06-16 11:10:15.948789
7.989089125,0.1889599115,0.6313407421,0.6113239527,2024-06-16 11:10:15.989089
8.029388125,-0.3343708515,-0.1093392819,0.6328914165,2024-06-16 11:10:16.029388
