Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.009797000093,-0.007831175923,0.0102735579,-1.585810493,2024-06-16 11:10:08.009797
0.05009700009,0.07918679506,-0.4405488154,-0.0809599632,2024-06-16 11:10:08.050097
0.09039600007,0.1213525289,-0.3578460896,0.1187832624,2024-06-16 11:10:08.090396
0.1306960001,0.2817627043,-0.2832783026,-0.4286383295,2024-06-16 11:10:08.130696
0.1709960001,0.8475460151,-0.6149490389,-0.796629923,2024-06-16 11:10:08.170996
0.211295,-0.20402061,-0.1381720448,-1.116746854,2024-06-16 11:10:08.211295
0.251594,1.373836793,-0.01644734055,-1.097929929,2024-06-16 11:10:08.251594
0.291894,0.4912706338,-0.3109137055,2.20671229,2024-06-16 11:10:08.291894
0.332193,-0.8902094932,-1.048026575,-0.7580809844,2024-06-16 11:10:08.332193
0.372493,0.6046335272,0.03097810999,0.9777094209,2024-06-16 11:10:08.372493
0.412792,-0.334492895,-0.9219845787,1.399399504,2024-06-16 11:10:08.412792
0.4530920001,-0.09816597998,0.4901860484,3.375163733,2024-06-16 11:10:08.453092
0.4933920001,-0.4107821023,-1.173320565,-0.07326268852,2024-06-16 11:10:08.493392
0.5336910001,-1.352701593,-0.4859401658,-1.867598925,2024-06-16 11:10:08.533691
0.5739910001,-0.1146624371,-0.6693744837,-1.584510072,2024-06-16 11:10:08.573991
0.6142900001,0.6086279064,-0.296832587,-0.5070781428,2024-06-16 11:10:08.614290
0.654589,-0.5039835039,-0.5042532067,-0.01981621385,2024-06-16 11:10:08.654589
0.694889,0.5818593532,0.03362295181,0.2720890707,2024-06-16 11:10:08.694889
0.735188,0.6727750781,-0.2086631531,0.3494921726,2024-06-16 11:10:08.735188
0.7754875834,-1.134240992,-1.031057078,-0.58764108,2024-06-16 11:10:08.775488
0.8157865833,-0.0270358441,-0.7919059575,-1.404859049,2024-06-16 11:10:08.815787
0.8560865833,-0.2012212555,-0.2618839252,1.405784079,2024-06-16 11:10:08.856087
0.8963855833,0.8659472027,0.3500169602,0.7123610204,2024-06-16 11:10:08.896386
0.9366855834,-0.01470896333,0.2137566626,0.8943181854,2024-06-16 11:10:08.936686
0.9769845834,-0.4705558491,0.1690643468,0.5470795298,2024-06-16 11:10:08.976985
1.017284583,0.3139940187,0.269684988,-0.3489086205,2024-06-16 11:10:09.017285
1.057583583,-0.458693018,-0.2941801438,-1.009235269,2024-06-16 11:10:09.057584
1.097883583,1.104033253,-0.1921707889,0.4606857491,2024-06-16 11:10:09.097884
1.138182583,0.04782086849,-0.8243401703,-0.4800745314,2024-06-16 11:10:09.138183
1.178482583,0.6339051273,-1.777319085,-3.350028892,2024-06-16 11:10:09.178483
1.218781583,-1.647897398,-2.691775081,-3.386849978,2024-06-16 11:10:09.218782
1.259081583,0.6373336422,-1.817973021,-2.022937226,2024-06-16 11:10:09.259082
1.299380583,0.6671070796,-1.570079437,-1.492688321,2024-06-16 11:10:09.299381
1.339680583,-0.1596775192,-0.6818037638,2.768802207,2024-06-16 11:10:09.339681
1.379979583,1.874095474,1.664920982,4.087683797,2024-06-16 11:10:09.379980
1.420279583,0.0435939163,1.756826933,2.511447535,2024-06-16 11:10:09.420280
1.460578583,-0.4413867214,2.169674857,2.781386585,2024-06-16 11:10:09.460579
1.500878583,0.9496576962,2.194284326,3.083350834,2024-06-16 11:10:09.500879
1.541177583,0.6186474028,0.1724481305,-0.8349221689,2024-06-16 11:10:09.541178
1.581477583,-0.7826436755,0.08837306321,0.1844007164,2024-06-16 11:10:09.581478
1.621776583,1.105473422,0.05815728396,0.3399606264,2024-06-16 11:10:09.621777
1.662076583,-0.3475943857,-0.7698096219,-0.4239424306,2024-06-16 11:10:09.662077
1.702375583,-1.015243721,-0.3755812794,0.4196716243,2024-06-16 11:10:09.702376
1.742676083,0.2365552123,-0.3092571893,0.860691433,2024-06-16 11:10:09.742676
1.782975083,-0.05444680536,-0.7379931673,-0.8073507929,2024-06-16 11:10:09.782975
1.823275083,0.2540274053,-0.7341983244,-1.077513206,2024-06-16 11:10:09.823275
1.863574083,0.6444524811,-1.117600839,-0.8275277799,2024-06-16 11:10:09.863574
1.903873083,0.9008819774,-1.300436549,-1.686384357,2024-06-16 11:10:09.903873
1.944173083,0.3667269138,-2.123905484,-3.092665449,2024-06-16 11:10:09.944173
1.984472083,-0.295767809,-3.839239697,-4.465055494,2024-06-16 11:10:09.984472
2.024772083,2.877264549,-3.245374256,-3.498366321,2024-06-16 11:10:10.024772
2.065071083,1.329817199,-4.478117005,-5.72662677,2024-06-16 11:10:10.065071
2.105371083,1.824947142,-3.930593086,-2.202800503,2024-06-16 11:10:10.105371
2.145670083,1.410051815,-2.723266723,4.131153168,2024-06-16 11:10:10.145670
2.185970083,-1.429001764,-3.186857953,0.6219823623,2024-06-16 11:10:10.185970
2.226269083,1.940767327,-0.1503548647,8.065922336,2024-06-16 11:10:10.226269
2.266569083,-0.4918211491,1.7685085,10.16958739,2024-06-16 11:10:10.266569
2.306868083,-3.146080348,0.06585002705,0.5016022253,2024-06-16 11:10:10.306868
2.347168083,-0.01472343519,1.845137285,1.622625732,2024-06-16 11:10:10.347168
2.387467083,-1.544526812,1.003564931,0.3517351645,2024-06-16 11:10:10.387467
2.427767083,0.7931110686,0.9419408333,-3.328455005,2024-06-16 11:10:10.427767
2.468066083,-0.7630021472,0.04703003258,0.3538313913,2024-06-16 11:10:10.468066
2.508365083,-1.056535808,0.2477669924,3.978677664,2024-06-16 11:10:10.508365
2.548665083,-0.2207306367,0.2215299511,2.335738705,2024-06-16 11:10:10.548665
2.588964083,-1.417217286,-0.1967734247,4.140332712,2024-06-16 11:10:10.588964
2.629264083,-1.049193094,-1.046286736,0.355972057,2024-06-16 11:10:10.629264
2.669563083,-1.834672669,-1.48388183,-0.8659024715,2024-06-16 11:10:10.669563
2.709863083,5.611582217,3.101604672,3.685019969,2024-06-16 11:10:10.709863
2.750161875,0.1449463364,0.1341637784,-0.1809923744,2024-06-16 11:10:10.750162
2.790461875,-2.81905581,-0.02421536654,-0.6620656103,2024-06-16 11:10:10.790462
2.830760875,1.09378016,1.360620185,0.4410519683,2024-06-16 11:10:10.830761
2.871060875,2.086815718,1.706482699,-0.3185440296,2024-06-16 11:10:10.871061
2.911359875,0.6020433569,0.8192311656,-0.1549190551,2024-06-16 11:10:10.911360
2.951659875,2.220052713,1.718667711,-2.778128516,2024-06-16 11:10:10.951660
2.991958875,0.8143832392,-0.3582957405,-2.438123451,2024-06-16 11:10:10.991959
3.032257875,0.8712102816,0.1702928469,-1.370864507,2024-06-16 11:10:11.032258
3.072557875,0.5571843955,-0.4694736756,1.059632421,2024-06-16 11:10:11.072558
3.112856875,-1.785848418,0.1518540908,1.30826714,2024-06-16 11:10:11.112857
3.153156875,-0.867589174,-0.9005590649,0.4889786714,2024-06-16 11:10:11.153157
3.193455875,0.328515323,-1.11796132,-0.4704997158,2024-06-16 11:10:11.193456
3.233755875,-0.1079225709,-1.400493518,-1.898268741,2024-06-16 11:10:11.233756
3.274054875,-0.2283766021,-0.7929360907,-0.8159117013,2024-06-16 11:10:11.274055
3.314354875,0.7776486915,0.005352687389,0.2692046392,2024-06-16 11:10:11.314355
3.354653875,0.1498243761,0.2864645965,2.01760515,2024-06-16 11:10:11.354654
3.394953875,-0.04884003818,0.09246859923,2.949442579,2024-06-16 11:10:11.394954
3.435252875,0.3888462728,0.8141266926,3.355752146,2024-06-16 11:10:11.435253
3.475551875,-1.663219442,-1.370212542,-1.328421907,2024-06-16 11:10:11.475552
3.515851875,-1.292902996,-0.6946832795,-1.50389568,2024-06-16 11:10:11.515852
3.556150875,0.3512837595,-0.09765025556,-1.168816894,2024-06-16 11:10:11.556151
3.596450875,-0.1131483006,-1.360873954,-1.721840703,2024-06-16 11:10:11.596451
3.636749875,1.215006389,-0.8265914945,-0.5358786035,2024-06-16 11:10:11.636750
3.677049875,2.219574995,-0.3945215803,-1.672959149,2024-06-16 11:10:11.677050
3.717348875,2.427794344,-0.8541469368,-1.742243977,2024-06-16 11:10:11.717349
3.75764825,4.149466063,-0.609889297,-1.886295982,2024-06-16 11:10:11.757648
3.79794725,-0.2101085848,-2.322309551,-2.303896523,2024-06-16 11:10:11.797947
3.83824625,1.652270823,-2.739728681,-4.158803481,2024-06-16 11:10:11.838246
3.87854625,1.597570121,-1.331462167,-1.529072621,2024-06-16 11:10:11.878546
3.91884525,-1.048521541,0.1223105952,0.4282401341,2024-06-16 11:10:11.918845
3.95914525,1.047689483,2.273697993,0.6487006295,2024-06-16 11:10:11.959145
3.99944425,-2.264001262,1.207526046,2.854736981,2024-06-16 11:10:11.999444
4.03974425,-2.347926641,0.9741712707,4.470187595,2024-06-16 11:10:12.039744
4.08004325,-1.831773766,-0.7385021675,3.722499452,2024-06-16 11:10:12.080043
4.12034325,-3.646448519,1.036273963,7.407738692,2024-06-16 11:10:12.120343
4.16064225,-3.008845028,-1.589245148,-0.7154144365,2024-06-16 11:10:12.160642
4.20094125,-0.728719191,-1.851879855,-1.55746787,2024-06-16 11:10:12.200941
4.24124125,-0.3610801846,-1.437993466,-1.539005871,2024-06-16 11:10:12.241241
4.28154025,-1.39480827,-1.603276419,-0.9135830069,2024-06-16 11:10:12.281540
4.32184025,-0.3822257629,-0.7890314662,-0.3101982987,2024-06-16 11:10:12.321840
4.36213925,-0.8640898347,-0.6236290844,-0.6699961889,2024-06-16 11:10:12.362139
4.40243925,0.1500377995,0.03120118126,0.5255021346,2024-06-16 11:10:12.402439
4.44273825,0.2897897619,0.1286353822,0.4619762295,2024-06-16 11:10:12.442738
4.48303825,0.07121674776,-0.01258847058,-0.1076682901,2024-06-16 11:10:12.483038
4.52333725,0.0689904204,-0.4951942617,-0.7757015687,2024-06-16 11:10:12.523337
4.56363625,0.9601879469,0.04023425236,-0.340440098,2024-06-16 11:10:12.563636
4.60393625,-1.23399873,-0.420620335,0.3956968707,2024-06-16 11:10:12.603936
4.64423525,-0.4377845442,-0.3774360162,-0.3777459186,2024-06-16 11:10:12.644235
4.68453525,1.267819026,0.4447867312,0.6643928021,2024-06-16 11:10:12.684535
4.72483425,-0.2571032417,0.04806674391,-0.4326968819,2024-06-16 11:10:12.724834
4.765135208,-0.2225555527,0.007973994166,0.01502734423,2024-06-16 11:10:12.765135
