Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.01374399662,52.35777952,4.911861053,4.177545667,,,14.66101009,24.98050308,2024-06-16 11:10:08.013744
0.01374399662,52.35777952,4.911861053,3.962211013,,,14.66101009,19.1966877,2024-06-16 11:10:08.013744
6.025088072,52.35777952,4.911861053,3.820712715,,,14.66101009,20.24975777,2024-06-16 11:10:14.025088
12.72349906,52.35777952,4.911861053,3.739156574,,,14.66101009,20.83622742,2024-06-16 11:10:20.723499
18.72727501,52.35777952,4.911861053,3.697478801,,,14.66101009,20.70334625,2024-06-16 11:10:26.727275
33.73174703,52.35777952,4.911861053,3.680647105,,,14.66101009,18.17991257,2024-06-16 11:10:41.731747
37.15455198,52.35777952,4.911861053,3.736301303,,,14.66101009,18.47195625,2024-06-16 11:10:45.154552
42.69228172,52.35773003,4.911847143,1.676540443,0.0,,13.98775428,1.31888656,2024-06-16 11:10:50.692282
43.69227958,52.35773003,4.911847143,1.676540443,0.0,,14.01381071,1.32405254,2024-06-16 11:10:51.692280
44.69227791,52.35773003,4.911847143,1.676540443,0.0,,14.04019782,1.312039538,2024-06-16 11:10:52.692278
45.69227529,52.35773003,4.911847143,1.676540443,0.0,,14.03256438,1.2816554,2024-06-16 11:10:53.692275
46.69227362,52.35773003,4.911847143,1.676540443,0.0,,14.08754008,1.275820123,2024-06-16 11:10:54.692274
47.69227064,52.35773003,4.911847143,1.676540443,0.0,,14.14617763,1.271777531,2024-06-16 11:10:55.692271
48.69226766,52.35773003,4.911847143,1.676540443,0.0,,14.20712937,1.268888311,2024-06-16 11:10:56.692268
49.69226468,52.35773003,4.911847143,1.676540443,0.0,,13.44799588,1.266556763,2024-06-16 11:10:57.692265
50.69226193,52.35773003,4.911847143,1.676540443,0.0,,12.90825129,1.264664899,2024-06-16 11:10:58.692262
51.69225836,52.35773003,4.911847143,1.676540443,0.0,,12.28940581,1.263046452,2024-06-16 11:10:59.692258
52.69225574,52.35773003,4.911847143,1.676540443,0.0,,12.32561337,1.261704309,2024-06-16 11:11:00.692256
53.69225216,52.35779896,4.911994401,1.668874359,0.06050115861,,12.43719958,1.313785299,2024-06-16 11:11:01.692252
54.69224834,52.35780101,4.911993519,1.752208401,0.06304276251,,12.69568032,1.321528437,2024-06-16 11:11:02.692248
55.69224596,52.35780106,4.911993869,1.758508774,0.0,,13.48581992,1.349788772,2024-06-16 11:11:03.692246
56.69224143,52.35780106,4.911993869,1.758508774,0.0,,15.01063833,1.398983676,2024-06-16 11:11:04.692241
57.69223821,52.35780106,4.911993869,1.758508774,0.0,,16.88042931,1.41652222,2024-06-16 11:11:05.692238
58.6922338,52.35780106,4.911993869,1.758508774,0.0,,13.89884521,1.382991801,2024-06-16 11:11:06.692234
59.69222975,52.35780106,4.911993869,1.758508774,0.0,,13.65848883,1.355274845,2024-06-16 11:11:07.692230
60.69222689,52.35780106,4.911993869,1.758508774,0.0,,13.6159578,1.332098045,2024-06-16 11:11:08.692227
61.69222212,52.35780106,4.911993869,1.758508774,0.0,,13.04090082,1.293720564,2024-06-16 11:11:09.692222
62.69221759,52.35780106,4.911993869,1.758508774,0.0,,13.03477176,1.281423028,2024-06-16 11:11:10.692218
63.69221294,52.35780106,4.911993869,1.758508774,0.0,,13.10099099,1.271817691,2024-06-16 11:11:11.692213
64.69220996,52.35780106,4.911993869,1.758508774,0.0,,13.16651228,1.265130627,2024-06-16 11:11:12.692210
65.69220471,52.35780106,4.911993869,1.758508774,0.0,,13.36855562,1.289853396,2024-06-16 11:11:13.692205
66.69220102,52.3578052,4.912040607,1.976385277,0.0,,13.67488604,1.342285769,2024-06-16 11:11:14.692201
67.69219649,52.3578052,4.912040607,1.976385277,0.0,,13.80049688,1.371546694,2024-06-16 11:11:15.692196
68.69219136,52.3578052,4.912040607,1.976385277,0.0,,14.1843183,1.395796397,2024-06-16 11:11:16.692191
69.69218755,52.3578052,4.912040607,1.976385277,0.0,,11.94181135,1.386017347,2024-06-16 11:11:17.692188
70.69218254,52.35781852,4.912022917,2.047965714,0.1119760087,,12.44888636,1.399178933,2024-06-16 11:11:18.692183
71.69217801,52.35781891,4.912021407,2.025370434,0.111526503,,13.47286227,1.40781275,2024-06-16 11:11:19.692178
