Time (s),X (µT),Y (µT),Z (µT),Datetime
0.009797000093,-12.03106689,-13.77540588,-49.90712738,2024-06-16 11:10:08.009797
0.05009700009,-12.2633667,-12.4364624,-50.16251373,2024-06-16 11:10:08.050097
0.09039600007,-12.75653076,-11.38347626,-50.4556427,2024-06-16 11:10:08.090396
0.1306960001,-12.62631226,-9.938690186,-51.03917694,2024-06-16 11:10:08.130696
0.1709960001,-10.43466187,-7.768737793,-52.15466309,2024-06-16 11:10:08.170996
0.211295,-9.358337402,-4.923500061,-53.0212326,2024-06-16 11:10:08.211295
0.251594,-9.922943115,-2.194900513,-53.40328979,2024-06-16 11:10:08.251594
0.291894,-11.42468262,0.06713867188,-53.47026062,2024-06-16 11:10:08.291894
0.332193,-12.5748291,1.059165955,-53.61174774,2024-06-16 11:10:08.332193
0.372493,-12.35220337,3.041702271,-53.80062866,2024-06-16 11:10:08.372493
0.412792,-11.17318726,4.64289856,-54.019104,2024-06-16 11:10:08.412792
0.4530920001,-6.293884277,5.632347107,-54.96959686,2024-06-16 11:10:08.453092
0.4933920001,-0.1116333008,4.662864685,-55.19803619,2024-06-16 11:10:08.493392
0.5336910001,2.927429199,3.216278076,-55.00538635,2024-06-16 11:10:08.533691
0.5739910001,2.37612915,2.544960022,-54.90063477,2024-06-16 11:10:08.573991
0.6142900001,0.5741271973,2.551795959,-55.00930786,2024-06-16 11:10:08.614290
0.654589,-3.880615234,1.978919983,-54.72556305,2024-06-16 11:10:08.654589
0.694889,-7.092895508,1.470062256,-54.62782288,2024-06-16 11:10:08.694889
0.735188,-9.189880371,0.7766342163,-54.14450836,2024-06-16 11:10:08.735188
0.7754875834,-13.13861084,-0.9332885742,-53.16990662,2024-06-16 11:10:08.775488
0.8157865833,-20.5007019,-2.971984863,-50.32102966,2024-06-16 11:10:08.815787
0.8560865833,-27.94921875,-3.847724915,-46.40814209,2024-06-16 11:10:08.856087
0.8963855833,-33.03399658,-4.922515869,-42.39441681,2024-06-16 11:10:08.896386
0.9366855834,-33.76423645,-5.605522156,-41.88022614,2024-06-16 11:10:08.936686
0.9769845834,-34.26994324,-6.298728943,-41.21579742,2024-06-16 11:10:08.976985
1.017284583,-34.81665039,-6.850990295,-40.58204651,2024-06-16 11:10:09.017285
1.057583583,-34.05093384,-6.963829041,-41.27133179,2024-06-16 11:10:09.057584
1.097883583,-33.2237854,-6.884918213,-41.88283539,2024-06-16 11:10:09.097884
1.138182583,-33.21594238,-7.364257812,-41.54715729,2024-06-16 11:10:09.138183
1.178482583,-31.70016479,-8.019844055,-42.72922516,2024-06-16 11:10:09.178483
1.218781583,-31.41165161,-7.180633545,-43.31775665,2024-06-16 11:10:09.218782
1.259081583,-32.08773804,-5.637786865,-43.14414978,2024-06-16 11:10:09.259082
1.299380583,-31.77627563,-3.316215515,-44.38323212,2024-06-16 11:10:09.299381
1.339680583,-32.18276978,-1.521690369,-44.47210693,2024-06-16 11:10:09.339681
1.379979583,-34.10916138,-0.1261901855,-43.05963898,2024-06-16 11:10:09.379980
1.420279583,-34.99990845,0.4096374512,-42.52789307,2024-06-16 11:10:09.420280
1.460578583,-35.11549377,0.5115356445,-42.6227417,2024-06-16 11:10:09.460579
1.500878583,-36.10906982,-0.4047317505,-41.29589081,2024-06-16 11:10:09.500879
1.541177583,-34.73335266,-3.033805847,-42.02068329,2024-06-16 11:10:09.541178
1.581477583,-31.46109009,-5.319892883,-44.12186432,2024-06-16 11:10:09.581478
1.621776583,-28.86221313,-7.616012573,-45.06320953,2024-06-16 11:10:09.621777
1.662076583,-25.75900269,-9.678581238,-46.17267609,2024-06-16 11:10:09.662077
1.702375583,-22.72912598,-10.33416748,-47.78645325,2024-06-16 11:10:09.702376
1.742676083,-20.9894104,-10.74163055,-48.28612518,2024-06-16 11:10:09.742676
1.782975083,-20.52810669,-11.73577118,-48.28512573,2024-06-16 11:10:09.782975
1.823275083,-20.2991333,-11.7866745,-48.40618134,2024-06-16 11:10:09.823275
1.863574083,-20.1862793,-11.39012146,-48.53535461,2024-06-16 11:10:09.863574
1.903873083,-20.17807007,-11.26902771,-48.58123016,2024-06-16 11:10:09.903873
1.944173083,-20.21316528,-10.51165771,-48.79598236,2024-06-16 11:10:09.944173
1.984472083,-19.72201538,-8.234527588,-49.74140167,2024-06-16 11:10:09.984472
2.024772083,-20.55673218,-4.057922363,-50.38113403,2024-06-16 11:10:10.024772
2.065071083,-22.02542114,-0.02893066406,-50.43980408,2024-06-16 11:10:10.065071
2.105371083,-21.26779175,6.154953003,-50.9516449,2024-06-16 11:10:10.105371
2.145670083,-21.55932617,12.33338928,-50.32284546,2024-06-16 11:10:10.145670
2.185970083,-25.1506958,15.89108276,-47.77766418,2024-06-16 11:10:10.185970
2.226269083,-25.974823,21.59781265,-45.43185425,2024-06-16 11:10:10.226269
2.266569083,-28.85919189,21.9335022,-43.13541412,2024-06-16 11:10:10.266569
2.306868083,-31.76379395,20.9675293,-41.49806976,2024-06-16 11:10:10.306868
2.347168083,-31.11965942,22.22055817,-41.41474152,2024-06-16 11:10:10.347168
2.387467083,-30.35617065,23.3238678,-41.36383057,2024-06-16 11:10:10.387467
2.427767083,-27.87283325,25.56687546,-42.04937744,2024-06-16 11:10:10.427767
2.468066083,-23.11297607,29.67246246,-43.05460358,2024-06-16 11:10:10.468066
2.508365083,-18.79174805,32.75699234,-42.76953888,2024-06-16 11:10:10.508365
2.548665083,-13.73849487,35.88898468,-43.08078766,2024-06-16 11:10:10.548665
2.588964083,-10.91940308,37.54903412,-42.2483902,2024-06-16 11:10:10.588964
2.629264083,-8.420654297,37.80868149,-42.8197403,2024-06-16 11:10:10.629264
2.669563083,-6.411956787,38.09870529,-43.00322723,2024-06-16 11:10:10.669563
2.709863083,-4.188995361,38.94277954,-42.72852325,2024-06-16 11:10:10.709863
2.750161875,-3.430023193,38.11597443,-43.26255035,2024-06-16 11:10:10.750162
2.790461875,0.5768432617,37.91790009,-43.40525818,2024-06-16 11:10:10.790462
2.830760875,5.71862793,38.92770386,-42.22084045,2024-06-16 11:10:10.830761
2.871060875,6.903045654,38.05426025,-42.57550049,2024-06-16 11:10:10.871061
2.911359875,7.722167969,37.33172989,-43.29669189,2024-06-16 11:10:10.911360
2.951659875,7.673492432,36.04771042,-44.36551666,2024-06-16 11:10:10.951660
2.991958875,4.073913574,33.83224487,-46.31144714,2024-06-16 11:10:10.991959
3.032257875,-0.01626586914,32.22895432,-47.63264465,2024-06-16 11:10:11.032258
3.072557875,-6.580993652,30.41617203,-48.35521698,2024-06-16 11:10:11.072558
3.112856875,-12.74874878,29.19971085,-47.71142578,2024-06-16 11:10:11.112857
3.153156875,-15.29989624,28.74240875,-47.43997192,2024-06-16 11:10:11.153157
3.193455875,-16.90774536,27.87827301,-47.13173676,2024-06-16 11:10:11.193456
3.233755875,-14.93505859,26.52769089,-48.58401489,2024-06-16 11:10:11.233756
3.274054875,-9.701202393,25.8693161,-50.0906601,2024-06-16 11:10:11.274055
3.314354875,-4.272766113,25.03855515,-51.13088226,2024-06-16 11:10:11.314355
3.354653875,1.272369385,24.72150421,-51.45330048,2024-06-16 11:10:11.354654
3.394953875,2.761016846,23.55411911,-51.84291077,2024-06-16 11:10:11.394954
3.435252875,5.650268555,22.50506592,-52.11869812,2024-06-16 11:10:11.435253
3.475551875,8.541992188,21.22595215,-51.72510529,2024-06-16 11:10:11.475552
3.515851875,11.09927368,21.0453949,-51.25027466,2024-06-16 11:10:11.515852
3.556150875,13.84210205,21.09927368,-50.60362244,2024-06-16 11:10:11.556151
3.596450875,14.78408813,19.79307556,-50.53108215,2024-06-16 11:10:11.596451
3.636749875,16.51226807,20.3466568,-49.99440002,2024-06-16 11:10:11.636750
3.677049875,16.97302246,21.16148376,-49.62850952,2024-06-16 11:10:11.677050
3.717348875,12.22720337,21.12744141,-51.16038513,2024-06-16 11:10:11.717349
3.75764825,3.714233398,22.33117294,-52.10326385,2024-06-16 11:10:11.757648
3.79794725,-0.7813110352,22.54082108,-52.47930908,2024-06-16 11:10:11.797947
3.83824625,-0.4750366211,24.18440247,-51.34275055,2024-06-16 11:10:11.838246
3.87854625,2.019439697,27.10780716,-50.21899414,2024-06-16 11:10:11.878546
3.91884525,2.81652832,29.54810333,-48.80956268,2024-06-16 11:10:11.918845
3.95914525,4.115447998,33.10814285,-46.33867645,2024-06-16 11:10:11.959145
3.99944425,2.818237305,35.90773773,-44.76837158,2024-06-16 11:10:11.999444
4.03974425,-0.1276550293,37.66114426,-43.4285202,2024-06-16 11:10:12.039744
4.08004325,-7.936859131,35.26719666,-44.6449585,2024-06-16 11:10:12.080043
4.12034325,-16.8939209,30.91646194,-44.82545471,2024-06-16 11:10:12.120343
4.16064225,-24.32373047,24.17743683,-44.7379303,2024-06-16 11:10:12.160642
4.20094125,-29.6395874,19.6870575,-43.1757431,2024-06-16 11:10:12.200941
4.24124125,-33.04486084,16.87957001,-41.91747284,2024-06-16 11:10:12.241241
4.28154025,-35.33927917,14.96846008,-40.32054901,2024-06-16 11:10:12.281540
4.32184025,-36.99951172,13.76326752,-38.93840027,2024-06-16 11:10:12.321840
4.36213925,-37.9546814,13.10881805,-38.18415833,2024-06-16 11:10:12.362139
4.40243925,-38.64302063,13.07216644,-37.0761795,2024-06-16 11:10:12.402439
4.44273825,-39.12013245,12.84497833,-36.78001404,2024-06-16 11:10:12.442738
4.48303825,-39.6063385,12.27205658,-36.27106476,2024-06-16 11:10:12.483038
4.52333725,-39.95761108,11.84655762,-36.10939026,2024-06-16 11:10:12.523337
4.56363625,-39.81108093,11.71772766,-36.31769562,2024-06-16 11:10:12.563636
4.60393625,-39.55575562,11.21118164,-36.65757751,2024-06-16 11:10:12.603936
4.64423525,-39.75402832,11.29068756,-36.92034149,2024-06-16 11:10:12.644235
4.68453525,-39.41763306,11.35167694,-37.03851318,2024-06-16 11:10:12.684535
4.72483425,-38.97871399,10.4988327,-37.72763062,2024-06-16 11:10:12.724834
4.765135208,-38.90309143,10.59155273,-37.76148987,2024-06-16 11:10:12.765135
4.805434208,-38.24234009,10.22401428,-38.45155334,2024-06-16 11:10:12.805434
4.845733208,-37.34104919,9.826309204,-39.07954407,2024-06-16 11:10:12.845733
4.886033208,-36.59915161,9.589981079,-39.94192505,2024-06-16 11:10:12.886033
4.926332208,-35.6750946,8.724021912,-41.30093384,2024-06-16 11:10:12.926332
4.966632208,-32.14053345,7.668334961,-44.36886597,2024-06-16 11:10:12.966632
5.006931208,-29.37545776,6.016433716,-46.41374969,2024-06-16 11:10:13.006931
5.047231208,-29.15579224,4.069160461,-46.63278198,2024-06-16 11:10:13.047231
5.087530208,-29.01721191,0.8002548218,-46.65364075,2024-06-16 11:10:13.087530
5.127830208,-30.61450195,-2.812156677,-44.89929962,2024-06-16 11:10:13.127830
5.168129208,-27.85202026,-6.359115601,-46.05832672,2024-06-16 11:10:13.168129
5.208428208,-16.06280518,-6.534957886,-51.2894516,2024-06-16 11:10:13.208428
