"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.020041691E-3,-2.258802795E0,9.223220215E0,9.116043091E-1
4.231604165E-2,-2.534379730E0,8.877588959E0,2.274520111E0
8.261104161E-2,-3.147355042E0,8.938362579E0,3.303630066E0
1.229070417E-1,-2.846929779E0,8.601113892E0,3.748804321E0
1.632020416E-1,-2.396067352E0,8.946296082E0,3.567082214E0
2.034980416E-1,-2.720891876E0,8.699010315E0,3.270099792E0
2.437930417E-1,-2.548899536E0,9.354646912E0,3.315305786E0
2.840890416E-1,-1.773811340E0,8.715027008E0,2.844385071E0
3.243850416E-1,-3.082988892E0,9.124126282E0,1.979034576E0
3.646800417E-1,-1.215622101E0,8.967851257E0,2.616259460E0
4.049760416E-1,-1.185085602E0,7.427853699E0,2.701582031E0
4.452720416E-1,-1.721420288E-1,8.663534088E0,7.438930664E0
4.855670417E-1,5.944139099E-1,6.414461060E0,9.309440918E0
5.258630416E-1,-1.625320129E0,6.650819550E0,6.285429382E0
5.661552916E-1,-7.237449646E-1,6.887477417E0,5.529950409E0
6.064502917E-1,6.032455444E-1,6.295757904E0,6.932982788E0
6.467462917E-1,3.349434814E0,6.038143616E0,7.678582306E0
6.870422916E-1,8.207432556E-1,2.916385345E0,7.321275330E0
7.273382917E-1,2.656525726E0,4.522395630E0,8.835975494E0
7.676332917E-1,3.422033844E0,5.535189514E0,8.716074829E0
8.079292916E-1,5.890251160E-1,1.829645233E0,1.272488846E1
8.482252917E-1,2.402803345E0,-1.722318420E0,1.204185883E1
8.885212917E-1,1.651216278E0,1.121767273E0,9.573940887E0
9.288172916E-1,1.492995300E0,2.839744720E0,9.688452759E0
9.691132917E-1,1.104403381E0,3.175496521E0,7.264243927E0
1.009408292E0,-2.704126740E0,3.943998413E0,4.338577881E0
1.049704292E0,-4.675527191E0,1.643133087E0,6.555318146E0
1.090000292E0,-9.877958679E-1,1.369651794E0,1.437520660E1
1.130296292E0,3.844006348E-1,2.178120575E0,9.311536560E0
1.170592292E0,2.062710571E-1,3.638633423E0,5.294040985E0
1.210888292E0,2.947969666E0,3.055595856E0,5.783373413E0
1.251184292E0,3.435655518E0,2.155667267E0,7.752079468E0
1.291480292E0,8.861272888E0,4.745282135E0,7.735014954E0
1.331776292E0,1.199156342E1,5.297334137E0,9.270222473E0
1.372072292E0,5.981710968E0,1.591789856E0,7.007827148E0
1.412368292E0,4.726271667E0,-5.141807556E-1,7.546706543E0
1.452664292E0,4.083208923E0,-4.524640961E0,1.057371185E1
1.492959292E0,3.622616730E0,-3.203787689E0,1.383183655E1
1.533255292E0,4.659660187E0,-3.173101501E0,1.006656647E1
1.573552958E0,4.566254425E0,-3.480861511E0,1.031475037E1
1.613848958E0,-2.543361053E0,-3.667523346E0,5.355862427E0
1.654144958E0,9.574090576E-1,-7.085515594E0,9.747130737E0
1.694440958E0,5.970334625E0,-3.378923492E0,8.249195709E0
1.734736958E0,7.801776123E-1,-5.966891785E0,6.317013702E0
1.775032958E0,2.079775085E0,-5.474266205E0,5.294789429E0
1.815328958E0,1.797162781E0,-6.548432465E0,6.752458191E0
1.855624958E0,-8.828640747E-1,-6.359525299E0,1.213137268E1
1.895920958E0,9.433383179E-1,-3.325933685E0,1.040201889E1
1.936216958E0,1.467548218E0,-5.809419250E0,1.384545822E1
1.976512958E0,4.564158783E0,-6.822213135E0,1.001731888E1
2.016808958E0,1.967059479E0,-7.855065308E0,1.060155396E1
2.057104958E0,-2.705923004E0,-9.057814178E0,1.197719330E1
2.097401958E0,-3.616030426E0,-7.014563141E0,-3.590433655E0
2.137697958E0,-6.363566895E0,-7.897876282E0,5.071453857E-1
2.177993958E0,-1.064885559E0,-7.253166962E0,9.440867615E0
2.218289958E0,-1.462458801E-1,-5.976172485E0,9.437125397E0
2.258585958E0,2.202220459E0,-5.767356720E0,5.417234802E0
2.298881958E0,-4.106560364E0,-8.900042267E0,5.280569000E0
2.339178958E0,-4.658013611E0,-6.812633057E0,4.395758972E0
2.379474958E0,-4.655768280E0,-4.766238556E0,1.032777328E1
2.419770958E0,-5.543572083E0,-9.410480804E0,1.652413788E0
2.460066958E0,-5.279371490E0,-2.027533722E0,5.213209076E0
2.500363958E0,1.150058441E0,-4.513713684E0,7.571105804E0
2.540659958E0,-3.955075378E0,-4.997208252E0,9.454040222E0
2.580955542E0,-3.366798706E0,-8.899443512E0,5.760321350E0
2.621251542E0,-4.627626801E0,-8.264913025E0,5.950575714E0
2.661548542E0,-4.856800232E0,-5.093158722E0,7.487579498E0
2.701844542E0,-3.382965088E0,-1.658101959E0,8.015531616E0
2.742140542E0,-4.768932953E0,-1.658850403E0,8.068072357E0
2.782437542E0,-3.870201874E0,-4.339026947E0,7.982151031E0
2.822733542E0,-4.959786072E0,-3.605252838E0,8.101752319E0
2.863029542E0,-4.324806519E0,-4.391717377E0,7.514074402E0
2.903326542E0,-5.349425812E0,-2.890938263E0,7.687713318E0
2.943622542E0,-5.087171173E0,-1.031504974E0,7.804021454E0
2.983918542E0,-6.043682098E0,6.523434448E-1,1.019574783E1
3.024215542E0,-6.689738617E0,-6.095324707E0,8.714577942E0
3.064511542E0,-9.098379822E0,-4.058360596E0,6.493796082E0
3.104807542E0,-6.567442932E0,-2.650388489E0,7.191644897E0
3.145104542E0,-4.687801666E0,-2.458487549E0,7.394024048E0
3.185400542E0,-5.278024292E0,-1.031804352E0,6.960525513E0
3.225697542E0,-5.545967102E0,5.047503662E-1,6.689439240E0
3.265993542E0,-4.910538483E0,-1.965263214E0,7.152127075E0
3.306290542E0,-5.778433685E0,-2.719844055E-1,7.253466339E0
3.346586542E0,-3.539988556E0,-2.887046356E0,5.534141693E0
3.386882542E0,-5.833369446E0,-9.608668671E0,4.215084686E0
3.427179542E0,-6.623725891E0,-6.241570587E0,7.154372406E0
3.467475542E0,-5.871240692E0,-1.104478226E1,6.446943512E0
3.507772542E0,-4.259093170E0,-1.015488281E1,4.313879242E0
3.548068917E0,-4.777914276E0,-1.240470428E1,6.286626892E0
