"Time (s)","X (hPa)"
-5.399717083E-1,1.002923355E3
4.678742916E-1,1.002930756E3
1.475704292E0,1.002938232E3
2.483608292E0,1.002942963E3
3.491529292E0,1.002946320E3
3.840131292E0,1.002947845E3
4.915314292E0,1.002949753E3
5.990432292E0,1.002951965E3
7.065568292E0,1.002953568E3
8.140719292E0,1.002957306E3
9.215828292E0,1.002960892E3
1.029090729E1,1.002963104E3
1.136604329E1,1.002964096E3
1.244118029E1,1.002964096E3
1.351631629E1,1.002962265E3
1.459147129E1,1.002961807E3
1.566660729E1,1.002960358E3
1.674174629E1,1.002954330E3
1.781687829E1,1.002948914E3
1.889201829E1,1.002944183E3
1.996717529E1,1.002937241E3
2.104233829E1,1.002933197E3
2.211745029E1,1.002931595E3
2.319253929E1,1.002929688E3
2.426765829E1,1.002929382E3
2.534280329E1,1.002929382E3
2.641793829E1,1.002930374E3
2.749305729E1,1.002934494E3
2.856819529E1,1.002941895E3
2.964332929E1,1.002945328E3
3.071842329E1,1.002948608E3
3.179358529E1,1.002949753E3
3.286870429E1,1.002949753E3
3.394390229E1,1.002946701E3
3.501905429E1,1.002946243E3
3.609420229E1,1.002946243E3
3.716933429E1,1.002946243E3
3.824444029E1,1.002946396E3
3.931953029E1,1.002946701E3
4.039462929E1,1.002947845E3
4.146979129E1,1.002947769E3
4.254491829E1,1.002947769E3
4.362004729E1,1.002946930E3
4.469516229E1,1.002942429E3
4.577033529E1,1.002939224E3
4.684541629E1,1.002934494E3
4.792052129E1,1.002930222E3
4.899563229E1,1.002929611E3
5.007075129E1,1.002929611E3
5.114587429E1,1.002931213E3
5.222098229E1,1.002932510E3
5.329612329E1,1.002933960E3
5.437131529E1,1.002935333E3
5.544645929E1,1.002936783E3
5.652158929E1,1.002940979E3
5.759669729E1,1.002946854E3
5.867180029E1,1.002953339E3
5.974691329E1,1.002960129E3
6.082202529E1,1.002963715E3
6.189720629E1,1.002965546E3
6.297238429E1,1.002966614E3
6.404756129E1,1.002967224E3
6.512277629E1,1.002972031E3
6.619795829E1,1.002974777E3
6.727312229E1,1.002978287E3
6.834831029E1,1.002983551E3
6.942349529E1,1.002984161E3
7.049863429E1,1.002984161E3
7.157377329E1,1.002983627E3
7.264893229E1,1.002983246E3
7.372410229E1,1.002978745E3
7.479922729E1,1.002974701E3
7.587437329E1,1.002971802E3
7.694950129E1,1.002968140E3
7.802459529E1,1.002965012E3
7.909969129E1,1.002964783E3
8.017482729E1,1.002963715E3
8.124999029E1,1.002963562E3
8.232517529E1,1.002963333E3
8.340031029E1,1.002961578E3
8.447543529E1,1.002958069E3
8.555053729E1,1.002956619E3
8.662566429E1,1.002953339E3
8.770084229E1,1.002949448E3
8.877604529E1,1.002946167E3
8.985127229E1,1.002945023E3
9.092650329E1,1.002945023E3
9.200169929E1,1.002946396E3
9.307683629E1,1.002949905E3
9.415199129E1,1.002956924E3
9.522718129E1,1.002962875E3
9.630237229E1,1.002965317E3
9.737754029E1,1.002965317E3
9.845270129E1,1.002964935E3
9.952786829E1,1.002962189E3
1.006030223E2,1.002959442E3
1.016781833E2,1.002957764E3
1.027533973E2,1.002957306E3
1.038285713E2,1.002957306E3
1.049037453E2,1.002958069E3
1.059789673E2,1.002959976E3
1.070542123E2,1.002962189E3
1.081294693E2,1.002965546E3
1.092047473E2,1.002967453E3
1.102800543E2,1.002967453E3
1.113553393E2,1.002965393E3
1.124306713E2,1.002963104E3
1.135060233E2,1.002959061E3
1.145813753E2,1.002958679E3
1.156567213E2,1.002956924E3
1.167320593E2,1.002956696E3
1.178074113E2,1.002956924E3
1.188827483E2,1.002956924E3
1.199580503E2,1.002957230E3
1.210333683E2,1.002957230E3
1.221086563E2,1.002960434E3
1.231839873E2,1.002963409E3
1.242593473E2,1.002963943E3
1.253346283E2,1.002967606E3
1.264099423E2,1.002969666E3
1.274852543E2,1.002969666E3
1.285605483E2,1.002968521E3
1.296358503E2,1.002967377E3
1.307111893E2,1.002965240E3
1.317865003E2,1.002965240E3
1.328618103E2,1.002965698E3
1.339370903E2,1.002967529E3
1.350124783E2,1.002969360E3
1.360878453E2,1.002974472E3
1.371632223E2,1.002977371E3
1.382385773E2,1.002978287E3
1.393139183E2,1.002978287E3
1.403892843E2,1.002977448E3
1.414646583E2,1.002975540E3
1.425400373E2,1.002968597E3
1.436154253E2,1.002959442E3
1.446908363E2,1.002952881E3
1.457662223E2,1.002946701E3
1.468416103E2,1.002941437E3
