"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.105604161E-2,-6.328145862E-1,-8.078519106E-1,-1.820681691E-1
8.135204169E-2,-6.199558973E-1,-6.547567844E-1,-3.397934139E-2
1.216470416E-1,-3.507713675E-1,-3.067102432E-1,4.934911802E-2
1.619430416E-1,-1.862811297E-1,-2.935945988E-1,6.648035347E-2
2.022390417E-1,-1.746832952E-2,-4.496146739E-1,7.036488503E-2
2.425340416E-1,-2.318710238E-1,-3.505891562E-1,1.462364346E-1
2.828300416E-1,-1.272586435E-1,-8.599245548E-1,-5.437340215E-2
3.231250417E-1,-5.211392045E-1,-1.134207010E0,5.719975382E-2
3.634210416E-1,-1.462081194E0,-1.574137807E0,1.328412592E-1
4.037170416E-1,-2.237817526E0,-3.112715006E0,4.808215052E-2
4.440120417E-1,-2.496142864E0,-1.871289611E0,3.046062291E-1
4.843080416E-1,-9.489096999E-1,-7.894376516E-1,-2.372420728E-1
5.246040417E-1,-5.172652006E-1,-1.259885430E0,1.921177655E-1
5.648952917E-1,-6.980605721E-1,-2.123368740E0,6.546113491E-1
6.051912917E-1,-9.254142642E-1,-2.322202206E0,1.329410553E0
6.454872916E-1,-1.527659297E0,1.104800999E-1,1.614190340E0
6.857832917E-1,-3.521048784E0,3.379231691E0,3.136076450E0
7.260792917E-1,-2.663247347E0,1.622658372E0,2.988221169E0
7.663742916E-1,-9.152533412E-1,1.865132153E-1,-8.781907558E-1
8.066702917E-1,8.635085225E-1,2.217811942E-1,-5.236473083E-1
8.469662917E-1,1.382428169E0,1.502520800E0,5.287566781E-1
8.872622916E-1,1.042678833E0,1.489564538E0,2.520647049E0
9.275572917E-1,1.139737368E0,2.252288103E0,2.586387873E0
9.678532917E-1,4.863031507E-1,1.832682729E0,3.949758410E-1
1.008149292E0,-2.344903231E0,1.170025587E0,-9.966418892E-2
1.048445292E0,-4.399698734E0,-2.522073388E-1,1.725961924E0
1.088741292E0,-1.540457129E0,-1.193380594E0,1.897776127E0
1.129037292E0,1.625202417E0,-2.598402977E0,7.170990109E-1
1.169333292E0,1.920242757E-1,-2.520965099E0,7.138608098E-1
1.209629292E0,-6.674767733E-1,-3.377566576E0,5.277234316E-1
1.249924292E0,6.723892689E-1,-2.701023102E0,1.375583649E0
1.290220292E0,-1.192002892E-1,-2.107197762E0,1.479501963E0
1.330516292E0,-2.122894287E0,2.627416611E0,8.939564824E-1
1.370812292E0,-2.726432323E0,3.836533308E0,9.297623634E-1
1.411108292E0,-3.750959635E0,3.229702413E-1,1.178000093E0
1.451404292E0,-3.352706194E0,3.702452183E-1,1.411918879E0
1.491700292E0,-7.520888448E-1,1.020608991E-1,1.046274304E0
1.531996292E0,-1.699455678E-1,7.720344067E-1,4.794065952E-1
1.572292958E0,4.418143034E-1,1.316749454E0,-7.326139808E-1
1.612588958E0,-1.457247019E0,6.408137679E-1,7.499579191E-1
1.652884958E0,-1.661428571E0,-1.043104649E0,2.517899036E0
1.693180958E0,-1.931515336E0,-2.291645527E0,5.234237909E-1
1.733476958E0,-2.055526972E0,-1.141303420E0,4.307758808E-1
1.773772958E0,-3.108967066E0,-4.678569436E-1,5.769463181E-1
1.814069958E0,-3.481594086E0,2.908941507E-1,4.507457912E-1
1.854365958E0,-1.498770475E0,8.045032024E-1,8.910654187E-1
1.894661958E0,-8.026475310E-1,2.617033243E0,1.094935060E0
1.934957958E0,1.550407410E0,1.991499066E0,6.445935369E-1
1.975253958E0,1.377691627E0,1.492587209E0,5.354443789E-1
2.015549958E0,1.762033343E0,1.553465009E0,7.850485444E-1
2.055845958E0,3.427051306E0,3.316193342E0,1.975034952E0
2.096141958E0,1.293242127E-1,2.979473472E-1,1.339122415E0
2.136438958E0,-1.642982244E0,-3.075135708E0,2.225569010E0
2.176734958E0,-1.498133421E0,-1.083374381E0,2.132340908E0
2.217030958E0,-1.700326651E-1,5.045853853E-1,1.544113040E0
2.257326958E0,8.734039217E-2,7.755264640E-1,5.653979182E-1
2.297622958E0,-5.868682861E-1,1.670839667E0,5.154187325E-3
2.337918958E0,-3.688988090E-1,1.485386848E0,-2.903778255E-1
2.378215958E0,1.685492754E0,2.496022940E0,-5.057210922E-1
2.418511958E0,1.035632849E0,1.791468382E0,-7.011067867E-1
2.458807958E0,1.181678414E0,-9.305736423E-1,-7.220576406E-1
2.499103958E0,1.033322692E0,-6.698181629E-1,-1.120917678E0
2.539400958E0,2.049334049E0,-2.702282667E-1,-1.014986753E0
2.579696542E0,1.539675236E0,3.465207219E-1,-2.890130281E-1
2.619992542E0,7.369697690E-1,-6.289520860E-1,-3.089961708E-1
2.660288542E0,1.384738088E0,-2.608970106E-1,1.060639143E0
2.700585542E0,1.795571923E0,3.528887331E-1,7.702955604E-1
2.740881542E0,3.532113433E-1,6.333354712E-1,2.066283375E-1
2.781178542E0,2.488845736E-1,4.997400343E-1,2.607605159E-1
2.821474542E0,-1.433985084E-1,4.277570248E-1,5.323214456E-3
2.861770542E0,3.568203449E-1,4.982040823E-1,4.757213872E-3
2.902067542E0,2.822152376E-1,6.683193445E-1,1.489122063E-1
2.942363542E0,1.230127811E0,4.536015093E-1,8.075691462E-1
2.982659542E0,1.934432268E0,2.463762283E0,1.880218029E0
3.022956542E0,1.098912954E0,2.917295396E-1,-3.048713207E-1
3.063252542E0,5.890733004E-1,1.057389617E0,4.816304445E-1
3.103548542E0,-1.387804747E-1,2.188975662E-1,-5.545973182E-1
3.143845542E0,-9.933073819E-2,4.692038298E-1,-2.407724380E0
3.184141542E0,6.147534847E-1,3.290248513E-1,-1.873165011E0
3.224438542E0,2.375257313E-1,1.837328970E-1,-1.926730752E0
3.264734542E0,-4.291546941E-1,-1.559398293E0,-3.045458794E0
3.305031542E0,-3.597768545E-1,-5.064219832E-1,-2.530841112E0
3.345327542E0,7.704085857E-2,1.481697679E0,-1.180270791E0
3.385623542E0,-2.468894243E0,1.292671800E0,-1.718977690E0
3.425920542E0,-2.324742317E0,5.439039469E-1,-2.100240439E-1
3.466216542E0,-1.068645120E0,-8.377744257E-2,-5.857222676E-1
3.506513542E0,-3.272384405E-1,1.131398320E0,-1.015474319E0
3.546809917E0,1.624392271E0,1.748516202E0,-6.544496417E-1
3.587106917E0,1.114879131E0,1.127988577E0,8.085892200E-1
3.627402917E0,-1.375979304E0,-4.161818624E-1,1.470988512E0
3.667699917E0,4.858684540E-1,3.624986708E-1,5.613520625E-4
3.707995917E0,2.070031911E-1,9.654878825E-2,1.094305068E-1
3.748292917E0,-1.745823324E-1,-1.794572733E-2,8.190304041E-2
3.788588917E0,-3.843829036E-2,2.821674943E-1,9.519912302E-2
3.828885917E0,-3.121068701E-2,2.606820166E-1,8.201921731E-2
3.869181917E0,-9.557179175E-3,3.180377483E-1,8.156029880E-2
3.909478917E0,-5.914158002E-2,3.629163802E-1,5.340671912E-2
