"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.105604161E-2,2.926347247E-1,-1.980767691E-1,-2.502561522E-1
8.135204169E-2,-3.950680026E-1,-3.200239599E-2,4.671133009E-1
1.216470416E-1,-1.574371585E-1,-3.185516310E-1,7.385588855E-1
1.619430416E-1,2.636693725E-1,6.785927653E-2,3.942973396E-1
2.022390417E-1,-1.127983448E-1,-2.018558246E-1,4.711686373E-2
2.425340416E-1,-7.289928406E-2,4.571516919E-1,-5.158852190E-2
2.828300416E-1,6.020588520E-1,-1.600494021E-1,-4.991472718E-1
3.231250417E-1,-7.951882920E-1,2.431400907E-1,-1.651515656E0
3.634210416E-1,7.832500318E-1,3.368119007E-1,-1.460040101E0
4.037170416E-1,4.050158706E-1,-8.884388101E-1,-2.253713964E0
4.440120417E-1,6.622750137E-1,8.500202644E-1,1.328162291E0
4.843080416E-1,1.395735054E0,-8.668198997E-1,2.937555774E0
5.246040417E-1,-1.276813213E0,-5.379151887E-1,-3.684196097E-1
5.648952917E-1,-9.024545860E-1,-1.605680501E-1,-1.258588026E0
6.051912917E-1,-5.751835871E-1,-4.630918783E-1,-1.219857824E-1
6.454872916E-1,1.391739944E0,-3.843100029E-1,4.691016465E-1
6.857832917E-1,-9.210116020E-1,-2.392324550E0,-6.431820273E-1
7.260792917E-1,1.148860639E0,2.810911515E-1,-9.466291308E-2
7.663742916E-1,2.258546249E0,2.419600933E0,-3.396214879E-1
8.066702917E-1,-7.430683313E-1,-1.646037399E0,3.618734179E0
8.469662917E-1,1.425714898E0,-5.502236361E0,3.204594605E0
8.872622916E-1,1.012821147E0,-3.230625532E0,8.759754699E-1
9.275572917E-1,1.150283120E0,-1.841766804E0,9.768142122E-1
9.678532917E-1,1.203867297E0,-1.826098897E0,-1.033160321E0
1.008149292E0,-1.892613899E0,-6.863947052E-1,-4.309729473E0
1.048445292E0,-3.864986157E0,-1.641376584E0,-2.723696201E0
1.088741292E0,-8.169154490E-1,-7.575877717E-1,4.898147063E0
1.129037292E0,-2.587898345E-1,-1.416663408E-1,-2.075761557E-4
1.169333292E0,-1.587314251E0,9.315865839E-1,-3.895888692E0
1.209629292E0,4.927039325E-2,6.228866342E-1,-3.358708498E0
1.249924292E0,-7.239390922E-1,-1.970532140E-1,-8.304741919E-1
1.290220292E0,3.576557043E0,2.355035394E0,-4.345393395E-1
1.330516292E0,6.952092074E0,3.812624341E0,9.796314007E-1
1.370812292E0,2.330853064E0,1.173375968E0,-1.904008952E0
1.411108292E0,1.544816541E0,4.388149698E-1,-1.997255085E0
1.451404292E0,1.391325376E0,-1.956020813E0,1.483495914E0
1.491700292E0,8.996821287E-1,4.191167235E-2,4.965325724E0
1.531996292E0,2.340177765E0,2.209981468E-1,1.176049315E0
1.572292958E0,2.728757843E0,1.215887564E-1,1.534973046E0
1.612588958E0,-4.128226052E0,-4.261939010E-1,-3.620596517E0
1.652884958E0,-5.961863472E-1,-2.969729494E0,9.773919171E-1
1.693180958E0,4.161228907E0,1.707881645E0,-5.913990855E-2
1.733476958E0,-1.426977166E0,-4.431365007E-1,-1.219253806E0
1.773772958E0,-2.440481633E-1,9.005092174E-1,-1.705297176E0
1.814069958E0,-2.922951476E-1,8.048242110E-1,6.268478304E-1
1.854365958E0,-2.892216464E0,1.621912957E0,6.923667004E0
1.894661958E0,-4.142269164E-1,5.124130254E0,5.225726795E0
1.934957958E0,8.253967622E-1,2.801395757E0,8.803840367E0
1.975253958E0,4.589125224E0,1.116507118E0,4.269067935E0
2.015549958E0,2.887718201E0,-7.575009406E-2,4.193994364E0
2.055845958E0,-7.618957078E-1,-2.262195935E0,5.621050029E0
2.096141958E0,-5.468950501E-1,-8.330463821E-1,-1.058813810E1
2.136438958E0,-3.815062338E0,-1.647143692E0,-6.689990047E0
2.176734958E0,1.468372383E0,-6.359221244E-1,2.534491997E0
2.217030958E0,3.008570793E0,5.413200223E-1,3.110921041E0
2.257326958E0,5.392779408E0,9.056664616E-1,-1.097864440E0
2.297622958E0,1.667275071E-2,-1.698247772E0,-4.574808902E-1
2.337918958E0,-4.656754705E-1,-1.135225224E-1,-1.135289544E0
2.378215958E0,2.206154466E-1,1.105730699E0,4.110238262E0
2.418511958E0,-2.806885707E-1,-2.595380223E0,-3.517646930E0
2.458807958E0,-5.675477082E-1,4.329637488E0,-5.490482873E-1
2.499103958E0,5.623496504E0,2.128497595E0,1.673454993E0
2.539400958E0,2.245286956E-1,8.214987159E-1,3.253051066E0
2.579696542E0,5.712256068E-1,-3.614465711E0,-1.126532754E0
2.619992542E0,-7.002043667E-1,-3.015336607E0,-1.382747219E0
2.660288542E0,-1.150063411E0,-1.618503445E-1,-3.146620631E-2
2.700585542E0,6.763313547E-1,2.644366149E0,2.013991570E-1
2.740881542E0,-5.090729204E-1,2.504662426E0,2.163118958E-1
2.781178542E0,7.845296949E-1,-5.628190649E-1,1.044148993E-1
2.821474542E0,-1.409024021E-1,2.075948668E-1,4.705845004E-1
2.861770542E0,6.033917248E-1,-6.760199904E-1,-1.158497143E-1
2.902067542E0,-2.420431530E-1,8.051785523E-1,1.814443642E-1
2.942363542E0,2.905452222E-1,1.442701937E0,1.311021763E-1
2.982659542E0,8.007352531E-2,3.173942623E0,2.702918705E0
3.022956542E0,-3.960669994E-1,-3.830229138E0,1.292586662E0
3.063252542E0,-2.869979503E0,-2.608081545E0,-6.600313640E-1
3.103548542E0,3.974504507E-1,-9.360588267E-1,8.171600819E-2
3.143845542E0,2.218775096E0,-1.114317043E-1,3.549955720E-1
3.184141542E0,1.380018323E0,1.203922699E0,9.959913254E-2
3.224438542E0,9.119235671E-1,3.384253814E0,-9.969327271E-2
3.264734542E0,1.010114105E0,1.624839781E0,1.342766297E-1
3.305031542E0,-7.881736797E-1,3.884497439E0,1.400390607E-1
3.345327542E0,1.541647058E0,1.448766961E0,-1.632596989E0
3.385623542E0,-5.062899381E-1,-4.242457842E0,-2.455510731E0
3.425920542E0,-1.482437568E0,-3.882200360E-1,1.391152006E0
3.466216542E0,-5.464784360E-1,-4.385584817E0,1.122539105E0
3.506513542E0,6.185822064E-1,-3.355168594E0,-6.017170823E-1
3.546809917E0,4.994855332E-1,-5.422704872E0,1.344137469E0
3.587106917E0,2.275748026E0,-2.339935836E0,4.589157969E-2
