"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.105604161E-2,1.021487427E1,-4.980811310E1,-4.067936897E0
8.135204169E-2,1.034780884E1,-4.955605316E1,-5.523702145E0
1.216470416E-1,1.020037842E1,-4.934711456E1,-6.981449127E0
1.619430416E-1,1.008331299E1,-4.923421478E1,-7.781548500E0
2.022390417E-1,1.003686523E1,-4.915766144E1,-7.926332951E0
2.425340416E-1,9.753997803E0,-4.912540436E1,-8.312939644E0
2.828300416E-1,9.613281250E0,-4.902175140E1,-8.906996727E0
3.231250417E-1,9.380187988E0,-4.891570282E1,-9.686474800E0
3.634210416E-1,8.786376953E0,-4.851110077E1,-1.174686050E1
4.037170416E-1,7.503814697E0,-4.755304718E1,-1.637238884E1
4.440120417E-1,5.321228027E0,-4.582524872E1,-2.245801735E1
4.843080416E-1,3.960174561E0,-4.391603851E1,-2.635342598E1
5.246040417E-1,3.461975098E0,-4.331064606E1,-2.733845139E1
5.648952917E-1,1.540710449E0,-4.275553131E1,-2.864771080E1
6.051912917E-1,-2.658294678E0,-4.191786957E1,-3.018516350E1
6.454872916E-1,-7.176483154E0,-4.049704742E1,-3.175467873E1
6.857832917E-1,-8.516723633E0,-3.723145294E1,-3.563970184E1
7.260792917E-1,-8.658538818E0,-3.106309509E1,-4.224909210E1
7.663742916E-1,-8.021118164E0,-2.731628418E1,-4.543227768E1
8.066702917E-1,-7.324035645E0,-2.676547241E1,-4.646261597E1
8.469662917E-1,-5.804138184E0,-2.900332642E1,-4.487973785E1
8.872622916E-1,-5.000366211E0,-3.116741180E1,-4.347797012E1
9.275572917E-1,-6.009155273E0,-3.306953430E1,-4.213484573E1
9.678532917E-1,-5.490722656E0,-3.459932709E1,-4.148750305E1
1.008149292E0,-3.612762451E0,-3.331430054E1,-4.290093613E1
1.048445292E0,-3.476776123E0,-2.719908142E1,-4.829354095E1
1.088741292E0,-7.426239014E0,-1.889277649E1,-5.282600784E1
1.129037292E0,-1.100811768E1,-1.741325378E1,-5.286385345E1
1.169333292E0,-1.642550659E1,-1.933039856E1,-4.971767044E1
1.209629292E0,-2.210302734E1,-1.875395203E1,-4.754349136E1
1.249924292E0,-2.873855591E1,-1.749548340E1,-4.457004547E1
1.290220292E0,-3.453741455E1,-1.672356415E1,-4.075010300E1
1.330516292E0,-3.690814209E1,-1.330359650E1,-4.035814285E1
1.370812292E0,-3.183221436E1,-8.187400818E0,-4.617219925E1
1.411108292E0,-2.714001465E1,-9.859542847E-1,-5.015921783E1
1.451404292E0,-2.569338989E1,7.533630371E0,-5.095441818E1
1.491700292E0,-2.475390625E1,1.403950500E1,-5.033867645E1
1.531996292E0,-2.342590332E1,1.566255188E1,-5.064468384E1
1.572292958E0,-2.132559204E1,1.554883575E1,-5.163487625E1
1.612588958E0,-1.840777588E1,1.598993683E1,-5.309745789E1
1.652884958E0,-1.828335571E1,2.095238495E1,-5.176807404E1
1.693180958E0,-1.973971558E1,2.623170090E1,-4.898505402E1
1.733476958E0,-2.179473877E1,2.947214890E1,-4.676358795E1
