Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.002822208335,-1.999242554,6.236331482,5.852679291,2024-06-04 14:48:30.002822
0.04312320833,-2.045795746,5.697601776,7.908354492,2024-06-04 14:48:30.043123
0.08342520833,-2.200274506,5.418582001,7.0708461,2024-06-04 14:48:30.083425
0.1237262083,-1.132395172,6.168372803,5.705235901,2024-06-04 14:48:30.123726
0.1640282083,-2.850073242,4.565505981,6.861281891,2024-06-04 14:48:30.164028
0.2043285,-2.449955292,5.173391876,10.27762756,2024-06-04 14:48:30.204328
0.2446295,-2.608325958,4.523892517,8.367449799,2024-06-04 14:48:30.244630
0.2849315,-4.424499207,4.098626862,9.999056854,2024-06-04 14:48:30.284932
0.3252325,-3.36754715,3.833528137,7.171287231,2024-06-04 14:48:30.325232
0.3655345,-2.52270401,4.733456726,10.73522598,2024-06-04 14:48:30.365534
0.4058355,-4.193679199,3.7676651,7.101382599,2024-06-04 14:48:30.405836
0.4461365,-4.487518158,3.17205368,6.267317047,2024-06-04 14:48:30.446136
0.4864385,-2.657124481,2.837200012,5.191055145,2024-06-04 14:48:30.486438
0.5267395,-1.459764404,3.542383575,-2.293530579,2024-06-04 14:48:30.526740
0.5670415,2.094594269,0.9195378113,1.566941528,2024-06-04 14:48:30.567042
0.6073425,0.6228547668,-2.003433838,1.3748909,2024-06-04 14:48:30.607342
0.6476445,1.203347626,-4.139491882,0.5571414185,2024-06-04 14:48:30.647644
0.6879455,-0.05343887329,-10.65050217,2.002386017,2024-06-04 14:48:30.687946
0.7282465,-1.257085876,-10.90467361,8.061336365,2024-06-04 14:48:30.728246
0.7685485,-11.50312912,-13.84740417,11.45178589,2024-06-04 14:48:30.768548
0.8088495,-11.8179245,-13.86237305,11.17710709,2024-06-04 14:48:30.808850
0.8491515,-16.74253372,-12.73551636,8.770711212,2024-06-04 14:48:30.849152
0.8894525,-21.60921341,-8.248896332,3.464844818,2024-06-04 14:48:30.889452
0.9297545,-24.22562256,-6.271957397,4.865482178,2024-06-04 14:48:30.929754
0.9700555,-16.06668915,-6.273304596,0.860710144,2024-06-04 14:48:30.970056
1.0103575,-8.328081665,-9.353000336,2.277962952,2024-06-04 14:48:31.010358
1.0506585,-9.839788055,-10.97996704,-4.339176636,2024-06-04 14:48:31.050658
1.0909605,-2.662812653,-6.297703857,3.215014343,2024-06-04 14:48:31.090960
1.1312615,-8.813821564,-13.02112244,-8.805139618,2024-06-04 14:48:31.131261
1.1715625,-7.693401489,-6.243366852,3.153791656,2024-06-04 14:48:31.171563
1.211864958,-5.010680237,-9.07637558,0.9517208862,2024-06-04 14:48:31.211865
1.252165958,-7.814349976,-6.422244873,-0.3487747192,2024-06-04 14:48:31.252166
1.292467958,0.7167095947,-6.86367691,8.070916443,2024-06-04 14:48:31.292468
1.332768958,-6.40383316,-2.889441376,0.423918457,2024-06-04 14:48:31.332769
1.408334958,-3.978127441,-1.653760986,-1.265468445,2024-06-04 14:48:31.408335
1.448635958,-7.180118866,-6.212231598,-2.483934631,2024-06-04 14:48:31.448636
1.488936958,-9.971663818,-0.7120692444,-5.186115417,2024-06-04 14:48:31.488937
1.529238958,-7.483687592,-4.461921387,-2.190844116,2024-06-04 14:48:31.529239
1.569539958,-5.556295624,-1.969454498,1.586999817,2024-06-04 14:48:31.569540
1.609841958,-13.4157019,-6.333479462,-5.4491185,2024-06-04 14:48:31.609842
1.650142958,-6.783743134,-6.313570862,-4.505929871,2024-06-04 14:48:31.650143
1.690444958,-9.862391052,-5.709876251,0.2986289978,2024-06-04 14:48:31.690445
1.730745958,-6.800208893,-5.223986664,-0.2049238586,2024-06-04 14:48:31.730746
1.771047958,-2.353855133,-3.735032959,-0.7402107239,2024-06-04 14:48:31.771048
1.811348958,-2.79768219,-5.63278656,-1.86631897,2024-06-04 14:48:31.811349
1.851650958,-0.5505551147,-7.746391296,-2.65487915,2024-06-04 14:48:31.851651
1.891951958,-3.405717773,-5.392087097,-0.3555107117,2024-06-04 14:48:31.891952
1.932253958,-6.465355225,-28.84486679,-1.093326416,2024-06-04 14:48:31.932254
1.972554958,0.7506889343,-9.11379776,-0.7050338745,2024-06-04 14:48:31.972555
2.012856958,3.438050537,-8.206085358,-2.703977051,2024-06-04 14:48:32.012857
2.053157958,6.201154633,-10.56967026,-2.988834686,2024-06-04 14:48:32.053158
2.093459958,4.591551819,-10.05099884,1.725461884,2024-06-04 14:48:32.093460
2.133760958,1.83353714,-9.808952179,-1.045126648,2024-06-04 14:48:32.133761
2.174062958,2.584375763,-9.618548126,-0.4881349182,2024-06-04 14:48:32.174063
2.2143635,2.665806427,-9.423952789,-0.1390608215,2024-06-04 14:48:32.214364
2.2546655,2.753074951,-9.409582672,-0.1399589539,2024-06-04 14:48:32.254666
2.2949665,2.431992645,-9.520052948,-0.1044827271,2024-06-04 14:48:32.294967
2.3352685,2.095791779,-9.647138672,-0.09205856323,2024-06-04 14:48:32.335269
2.3755705,2.063758392,-9.555080109,0.1311273193,2024-06-04 14:48:32.375570
2.4158715,1.963466949,-9.371112671,0.1654060364,2024-06-04 14:48:32.415872
2.4561735,1.757345581,-9.423054657,0.07364685059,2024-06-04 14:48:32.456173
2.4964745,1.837279358,-9.647138672,0.3980223083,2024-06-04 14:48:32.496475
2.5367765,1.373843079,-9.416318665,0.1965412903,2024-06-04 14:48:32.536777
2.5770775,1.97858551,-9.645641785,0.2577639771,2024-06-04 14:48:32.577078
2.6173795,2.241588593,-9.608219604,0.2284249878,2024-06-04 14:48:32.617380
2.6576805,2.461331635,-9.629475403,0.2330653381,2024-06-04 14:48:32.657681
2.6979825,2.877765656,-9.601184235,-0.02814147949,2024-06-04 14:48:32.697983
2.7382835,2.550695801,-9.640103302,0.1062789917,2024-06-04 14:48:32.738284
2.7785855,1.76333313,-9.335786133,0.08337661743,2024-06-04 14:48:32.778586
2.8188875,1.782642975,-9.583071899,0.3421884155,2024-06-04 14:48:32.818888
2.8591885,1.090781708,-9.631720734,0.2192939758,2024-06-04 14:48:32.859189
2.8994905,1.223555603,-9.783954163,0.9966275024,2024-06-04 14:48:32.899491
2.9397915,1.778900757,-9.734107819,0.4559518433,2024-06-04 14:48:32.939792
2.9800935,1.738035736,-9.77961319,-0.1519340515,2024-06-04 14:48:32.980094
3.0203945,1.218765564,-9.463021545,-0.04550537109,2024-06-04 14:48:33.020395
3.0606965,1.130449219,-9.726024628,1.123114471,2024-06-04 14:48:33.060697
3.1009975,0.6518943787,-10.11940659,1.030157776,2024-06-04 14:48:33.100998
3.1412995,0.5737568665,-9.492061157,0.2466870117,2024-06-04 14:48:33.141300
3.1816015,0.4884342957,-9.964029694,0.7773335266,2024-06-04 14:48:33.181602
3.221902833,1.274449768,-9.458381195,0.6489006042,2024-06-04 14:48:33.221903
3.262204833,1.250499573,-9.733209686,0.07723937988,2024-06-04 14:48:33.262205
