Time (s),X (hPa),Datetime
-0.5628927917,1009.82666,2024-06-04 14:48:29.437107
0.4459772083,1009.839325,2024-06-04 14:48:30.445977
1.454806208,1009.852066,2024-06-04 14:48:31.454806
2.463636208,1009.870682,2024-06-04 14:48:32.463636
3.472443208,1009.877243,2024-06-04 14:48:33.472443
3.819739208,1009.883575,2024-06-04 14:48:33.819739
4.895855208,1009.885254,2024-06-04 14:48:34.895855
5.971942208,1009.88739,2024-06-04 14:48:35.971942
7.048035208,1009.888077,2024-06-04 14:48:37.048035
8.124081208,1009.88739,2024-06-04 14:48:38.124081
9.200167208,1009.886703,2024-06-04 14:48:39.200167
10.27630821,1009.885941,2024-06-04 14:48:40.276308
11.35246521,1009.882126,2024-06-04 14:48:41.352465
12.42864021,1009.87999,2024-06-04 14:48:42.428640
13.50476821,1009.877243,2024-06-04 14:48:43.504768
14.58085121,1009.876022,2024-06-04 14:48:44.580851
15.65696521,1009.873047,2024-06-04 14:48:45.656965
16.73305121,1009.873047,2024-06-04 14:48:46.733051
17.80912121,1009.873886,2024-06-04 14:48:47.809121
18.88519121,1009.873962,2024-06-04 14:48:48.885191
19.96127221,1009.875641,2024-06-04 14:48:49.961272
21.03738421,1009.875793,2024-06-04 14:48:51.037384
22.11354121,1009.876251,2024-06-04 14:48:52.113541
23.18970621,1009.876251,2024-06-04 14:48:53.189706
24.26588921,1009.876251,2024-06-04 14:48:54.265889
25.34205921,1009.876633,2024-06-04 14:48:55.342059
26.41821121,1009.877319,2024-06-04 14:48:56.418211
27.49438121,1009.877701,2024-06-04 14:48:57.494381
28.57051221,1009.878922,2024-06-04 14:48:58.570512
29.64665021,1009.879837,2024-06-04 14:48:59.646650
30.72278221,1009.8806,2024-06-04 14:49:00.722782
31.79883121,1009.8806,2024-06-04 14:49:01.798831
32.87491821,1009.878769,2024-06-04 14:49:02.874918
33.95104821,1009.878006,2024-06-04 14:49:03.951048
35.02714621,1009.877319,2024-06-04 14:49:05.027146
36.10324021,1009.877014,2024-06-04 14:49:06.103240
37.17934921,1009.877014,2024-06-04 14:49:07.179349
38.25544621,1009.878922,2024-06-04 14:49:08.255446
39.33160721,1009.878922,2024-06-04 14:49:09.331607
40.40774721,1009.874191,2024-06-04 14:49:10.407747
41.48386521,1009.872208,2024-06-04 14:49:11.483865
42.55998121,1009.871674,2024-06-04 14:49:12.559981
43.63611621,1009.868393,2024-06-04 14:49:13.636116
44.71226321,1009.865875,2024-06-04 14:49:14.712263
45.78841021,1009.865875,2024-06-04 14:49:15.788410
46.86453221,1009.865875,2024-06-04 14:49:16.864532
47.94065421,1009.865723,2024-06-04 14:49:17.940654
49.01684221,1009.865723,2024-06-04 14:49:19.016842
50.09302321,1009.868393,2024-06-04 14:49:20.093023
51.16917321,1009.870529,2024-06-04 14:49:21.169173
52.24532021,1009.872208,2024-06-04 14:49:22.245320
53.32147921,1009.872437,2024-06-04 14:49:23.321479
54.39763021,1009.873886,2024-06-04 14:49:24.397630
55.47378321,1009.873886,2024-06-04 14:49:25.473783
56.54987521,1009.871597,2024-06-04 14:49:26.549875
57.62603521,1009.869308,2024-06-04 14:49:27.626035
58.70213521,1009.868088,2024-06-04 14:49:28.702135
59.77822921,1009.865952,2024-06-04 14:49:29.778229
60.85431321,1009.865875,2024-06-04 14:49:30.854313
61.93042321,1009.865952,2024-06-04 14:49:31.930423
63.00651421,1009.86618,2024-06-04 14:49:33.006514
64.08259921,1009.86824,2024-06-04 14:49:34.082599
65.15871221,1009.868622,2024-06-04 14:49:35.158712
66.23476421,1009.868927,2024-06-04 14:49:36.234764
67.31079321,1009.870987,2024-06-04 14:49:37.310793
68.38682121,1009.871979,2024-06-04 14:49:38.386821
69.46286921,1009.874344,2024-06-04 14:49:39.462869
70.53890321,1009.876633,2024-06-04 14:49:40.538903
71.61500121,1009.878311,2024-06-04 14:49:41.615001
72.69112421,1009.878387,2024-06-04 14:49:42.691124
73.76726321,1009.878387,2024-06-04 14:49:43.767263
74.84338921,1009.875565,2024-06-04 14:49:44.843389
75.91952121,1009.870605,2024-06-04 14:49:45.919521
76.99564421,1009.867172,2024-06-04 14:49:46.995644
78.07175621,1009.866333,2024-06-04 14:49:48.071756
79.14783921,1009.863205,2024-06-04 14:49:49.147839
80.22392221,1009.861526,2024-06-04 14:49:50.223922
81.30006421,1009.861145,2024-06-04 14:49:51.300064
82.37624921,1009.861145,2024-06-04 14:49:52.376249
83.45240021,1009.859161,2024-06-04 14:49:53.452400
84.52853321,1009.859009,2024-06-04 14:49:54.528533
85.60465121,1009.859009,2024-06-04 14:49:55.604651
86.68073921,1009.859009,2024-06-04 14:49:56.680739
87.75685821,1009.860687,2024-06-04 14:49:57.756858
88.83291421,1009.861908,2024-06-04 14:49:58.832914
89.90899521,1009.862366,2024-06-04 14:49:59.908995
90.98510621,1009.863129,2024-06-04 14:50:00.985106
92.06120121,1009.863129,2024-06-04 14:50:02.061201
93.13733921,1009.859238,2024-06-04 14:50:03.137339
94.21344121,1009.85817,2024-06-04 14:50:04.213441
95.28952021,1009.857559,2024-06-04 14:50:05.289520
96.36563221,1009.857559,2024-06-04 14:50:06.365632
97.44174821,1009.858322,2024-06-04 14:50:07.441748
98.51786621,1009.860229,2024-06-04 14:50:08.517866
99.59404121,1009.861984,2024-06-04 14:50:09.594041
100.6701842,1009.863663,2024-06-04 14:50:10.670184
101.7463482,1009.863663,2024-06-04 14:50:11.746348
102.8224142,1009.861526,2024-06-04 14:50:12.822414
103.8985042,1009.86084,2024-06-04 14:50:13.898504
104.9745852,1009.860458,2024-06-04 14:50:14.974585
106.0507022,1009.86084,2024-06-04 14:50:16.050702
107.1268342,1009.861603,2024-06-04 14:50:17.126834
108.2029982,1009.862595,2024-06-04 14:50:18.202998
109.2791462,1009.862747,2024-06-04 14:50:19.279146
110.3552702,1009.862747,2024-06-04 14:50:20.355270
111.4313792,1009.861526,2024-06-04 14:50:21.431379
112.5074852,1009.860687,2024-06-04 14:50:22.507485
113.5835432,1009.860306,2024-06-04 14:50:23.583543
114.6596032,1009.859772,2024-06-04 14:50:24.659603
115.7356852,1009.859772,2024-06-04 14:50:25.735685
116.8117382,1009.859772,2024-06-04 14:50:26.811738
117.8877742,1009.859772,2024-06-04 14:50:27.887774
118.9638272,1009.859772,2024-06-04 14:50:28.963827
120.0398362,1009.860458,2024-06-04 14:50:30.039836
121.1158772,1009.865646,2024-06-04 14:50:31.115877
122.1919252,1009.86763,2024-06-04 14:50:32.191925
123.2679552,1009.869232,2024-06-04 14:50:33.267955
124.3440032,1009.871368,2024-06-04 14:50:34.344003
125.4200592,1009.871368,2024-06-04 14:50:35.420059
126.4960982,1009.870071,2024-06-04 14:50:36.496098
127.5721372,1009.869766,2024-06-04 14:50:37.572137
128.6481612,1009.867859,2024-06-04 14:50:38.648161
129.7241922,1009.867859,2024-06-04 14:50:39.724192
130.8002202,1009.869919,2024-06-04 14:50:40.800220
131.8762802,1009.872208,2024-06-04 14:50:41.876280
132.9523572,1009.872284,2024-06-04 14:50:42.952357
134.0284702,1009.872284,2024-06-04 14:50:44.028470
135.1045292,1009.871216,2024-06-04 14:50:45.104529
136.1805922,1009.865646,2024-06-04 14:50:46.180592
137.2566892,1009.86084,2024-06-04 14:50:47.256689
138.3327862,1009.860458,2024-06-04 14:50:48.332786
139.4088572,1009.860458,2024-06-04 14:50:49.408857
140.4849652,1009.861984,2024-06-04 14:50:50.484965
141.5611182,1009.867172,2024-06-04 14:50:51.561118
142.6372162,1009.86969,2024-06-04 14:50:52.637216
143.7133822,1009.86969,2024-06-04 14:50:53.713382
144.7895972,1009.868927,2024-06-04 14:50:54.789597
145.8657622,1009.868927,2024-06-04 14:50:55.865762
146.9419772,1009.868851,2024-06-04 14:50:56.941977
148.0181772,1009.867554,2024-06-04 14:50:58.018177
149.0943152,1009.867554,2024-06-04 14:50:59.094315
150.1704212,1009.86824,2024-06-04 14:51:00.170421
151.2465112,1009.86824,2024-06-04 14:51:01.246511
152.3226272,1009.867172,2024-06-04 14:51:02.322627
153.3987472,1009.867172,2024-06-04 14:51:03.398747
154.4748952,1009.866943,2024-06-04 14:51:04.474895
155.5510642,1009.866791,2024-06-04 14:51:05.551064
156.6271702,1009.865265,2024-06-04 14:51:06.627170
157.7032832,1009.862823,2024-06-04 14:51:07.703283
158.7794012,1009.859238,2024-06-04 14:51:08.779401
159.8554782,1009.856644,2024-06-04 14:51:09.855478
160.9315412,1009.854584,2024-06-04 14:51:10.931541
162.0076222,1009.854584,2024-06-04 14:51:12.007622
163.0837142,1009.854584,2024-06-04 14:51:13.083714
164.1598432,1009.856873,2024-06-04 14:51:14.159843
165.2359372,1009.857101,2024-06-04 14:51:15.235937
166.3120572,1009.85733,2024-06-04 14:51:16.312057
167.3881812,1009.85733,2024-06-04 14:51:17.388181
168.4642602,1009.85733,2024-06-04 14:51:18.464260
169.5403672,1009.854813,2024-06-04 14:51:19.540367
170.6164672,1009.854584,2024-06-04 14:51:20.616467
171.6925942,1009.854584,2024-06-04 14:51:21.692594
172.7686922,1009.853439,2024-06-04 14:51:22.768692
