Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.01667420833,-0.5787674189,-0.3974147141,-0.2324899733,2024-06-04 14:48:30.016674
0.05697620833,-0.3752804697,-0.04304822162,-0.1120903566,2024-06-04 14:48:30.056976
0.09727720833,-0.5888280869,0.04049118608,-0.04600415379,2024-06-04 14:48:30.097277
0.1375782083,-1.439553738,0.3788920939,-0.3968626857,2024-06-04 14:48:30.137578
0.1778802083,-2.078475237,1.942940831,0.02766704373,2024-06-04 14:48:30.177880
0.2181805,-0.9404618144,0.6182160378,-0.1949985623,2024-06-04 14:48:30.218180
0.2584825,-1.005622268,1.116919279,-0.2302926034,2024-06-04 14:48:30.258482
0.2987835,0.1221408769,0.05363742262,0.127935335,2024-06-04 14:48:30.298784
0.3390845,-0.116211161,0.008974972181,0.3171467781,2024-06-04 14:48:30.339084
0.3793865,1.236344695,0.2725468874,-0.04978679866,2024-06-04 14:48:30.379386
0.4196875,0.4601101577,1.482788563,0.1222384796,2024-06-04 14:48:30.419688
0.4599895,0.0665615052,2.240350246,0.8749055862,2024-06-04 14:48:30.459990
0.5002905,0.1566742212,0.8908472657,1.525589943,2024-06-04 14:48:30.500290
0.5405925,-1.067157507,-3.234227419,1.795527816,2024-06-04 14:48:30.540592
0.5808935,-2.410118103,-1.451721549,0.7619180679,2024-06-04 14:48:30.580894
0.6211945,-4.151802063,1.053624511,0.2206440568,2024-06-04 14:48:30.621194
0.6614965,-5.441421032,3.175932646,-0.6923652291,2024-06-04 14:48:30.661496
0.7017975,-5.922260761,3.066557407,-1.371102333,2024-06-04 14:48:30.701798
0.7420995,-4.067470074,4.605852604,-2.001022816,2024-06-04 14:48:30.742100
0.7824005,-2.50840044,0.2345182002,-2.567674637,2024-06-04 14:48:30.782400
0.8227025,-4.77370882,4.6577425,-3.539220095,2024-06-04 14:48:30.822702
0.8630035,-3.639945269,5.527456284,-2.865105867,2024-06-04 14:48:30.863004
0.9033055,-2.338368893,4.492664814,-2.755442858,2024-06-04 14:48:30.903306
0.9436065,0.2294407487,3.769297123,0.005779501982,2024-06-04 14:48:30.943606
0.9839075,1.716859579,2.907805204,-0.8008326888,2024-06-04 14:48:30.983908
1.0242095,0.9246323705,2.987242222,-0.4304231107,2024-06-04 14:48:31.024209
1.0645105,-1.454375148,-0.8343176246,1.904324174,2024-06-04 14:48:31.064510
1.1048125,-1.248614669,-3.117405415,0.8397877812,2024-06-04 14:48:31.104812
1.1451135,-2.681843042,-2.576507807,1.223967314,2024-06-04 14:48:31.145113
1.1854155,-2.088209391,-2.655222416,0.8284407258,2024-06-04 14:48:31.185415
1.225716958,-3.651221991,-1.771959424,0.5227116346,2024-06-04 14:48:31.225717
1.266018958,-5.159047604,-1.929585934,0.5433475375,2024-06-04 14:48:31.266019
1.306319958,-2.96105814,-0.8459991813,-0.6241489053,2024-06-04 14:48:31.306320
1.346621958,-1.968666553,-1.085363388,-0.1753325313,2024-06-04 14:48:31.346622
1.386922958,-1.206699491,-2.672488213,0.01407162286,2024-06-04 14:48:31.386923
1.427224958,-0.7313506007,-2.517634153,2.582572699,2024-06-04 14:48:31.427225
1.467525958,0.009705770761,-1.264913559,1.829160213,2024-06-04 14:48:31.467526
1.507827958,1.561995029,1.400261521,1.724117994,2024-06-04 14:48:31.507828
1.548128958,1.631102681,-0.5383421183,-0.2258363068,2024-06-04 14:48:31.548129
1.588429958,1.553551078,1.58578229,-3.519647837,2024-06-04 14:48:31.588430
1.628731958,0.2387037128,1.218734622,-0.9868862629,2024-06-04 14:48:31.628732
1.669033958,1.572608948,-2.484731436,-3.019800186,2024-06-04 14:48:31.669034
1.709334958,0.7146661282,0.1130562723,-3.050218105,2024-06-04 14:48:31.709335
1.749635958,0.1971909255,-0.340675354,-1.805652857,2024-06-04 14:48:31.749636
1.789937958,0.161906302,-0.9437419176,-1.653565288,2024-06-04 14:48:31.789938
1.830238958,-0.4948360622,-0.6106932759,-3.506692648,2024-06-04 14:48:31.830239
1.870540958,-0.1300726831,-0.7876848578,-5.059146404,2024-06-04 14:48:31.870541
1.910841958,-0.08890991658,-1.44459033,-2.998000383,2024-06-04 14:48:31.910842
1.951143958,-0.8917297125,-2.137745619,-3.786275148,2024-06-04 14:48:31.951144
1.991444958,-0.04104793072,-1.635449052,-2.719726324,2024-06-04 14:48:31.991445
2.031746958,0.54691118,0.003884747624,-1.810649157,2024-06-04 14:48:32.031747
2.072047958,0.75948596,-0.7468499541,-1.111491919,2024-06-04 14:48:32.072048
2.112349958,-0.02110788412,-0.01815033332,-0.03562224284,2024-06-04 14:48:32.112350
2.152650958,0.0641085729,0.2187670022,0.08241559565,2024-06-04 14:48:32.152651
2.192952958,0.1281858981,0.2753035128,0.1486490965,2024-06-04 14:48:32.192953
2.2332545,0.1365234256,0.2828668952,0.1297275275,2024-06-04 14:48:32.233255
2.2735555,0.1522814184,0.2690552771,0.09146249294,2024-06-04 14:48:32.273556
2.3138575,0.1431258321,0.2359578609,0.09431524575,2024-06-04 14:48:32.313858
2.3541585,0.1535810828,0.2516665161,0.1006934345,2024-06-04 14:48:32.354159
2.3944605,0.173824802,0.2214808613,0.09932351857,2024-06-04 14:48:32.394461
2.4347615,0.1411779076,0.2061445266,0.09960261732,2024-06-04 14:48:32.434762
2.4750635,0.1045296192,0.1282081604,0.09481887519,2024-06-04 14:48:32.475064
2.5153645,0.06641106308,-0.09274517,0.09349330515,2024-06-04 14:48:32.515364
2.5556665,0.03190856054,-0.1771824658,0.1262994409,2024-06-04 14:48:32.555667
2.5959675,0.05651673302,-0.261148721,0.09346725792,2024-06-04 14:48:32.595968
2.6362695,0.09055709094,-0.2103738487,0.094440341,2024-06-04 14:48:32.636270
2.6765705,0.09039892256,0.02870828286,0.1293577552,2024-06-04 14:48:32.676570
2.7168725,0.1330537349,0.1229940504,0.1564078182,2024-06-04 14:48:32.716872
2.7571735,0.1765827388,0.4297509491,0.1981701255,2024-06-04 14:48:32.757174
2.7974755,0.09243165702,0.5577548146,0.2324576974,2024-06-04 14:48:32.797476
2.8377775,0.06736103445,0.2985358238,0.1952456683,2024-06-04 14:48:32.837778
2.8780785,0.02142283879,0.2522852421,0.228099674,2024-06-04 14:48:32.878078
2.9183805,0.01986257732,0.1604504585,0.2203620076,2024-06-04 14:48:32.918380
2.9586815,0.006113765296,0.2087107003,0.1627540141,2024-06-04 14:48:32.958682
2.9989835,-0.0494315438,0.3329154551,0.2041150331,2024-06-04 14:48:32.998984
3.0392845,-0.08519963175,0.2215066552,0.1913069189,2024-06-04 14:48:33.039284
3.0795865,-0.1989394724,0.6752817035,0.1202320978,2024-06-04 14:48:33.079586
