Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.01667420833,0.2142511909,-0.2374706304,-0.9223778039,2024-06-04 14:48:30.016674
0.05697620833,0.07543098226,-0.599296335,0.6410963255,2024-06-04 14:48:30.056976
0.09727720833,0.2121689974,-0.271275723,-0.9640930098,2024-06-04 14:48:30.097277
0.1375782083,0.5614743514,0.3184621686,-1.611304353,2024-06-04 14:48:30.137578
0.1778802083,0.1062620348,-1.320528751,0.2353539383,2024-06-04 14:48:30.177880
0.2181805,0.5892236289,0.8772712129,2.504167167,2024-06-04 14:48:30.218180
0.2584825,0.5157723677,0.1913416538,0.8978048801,2024-06-04 14:48:30.258482
0.2987835,-1.034639082,-0.2637585425,0.6021696568,2024-06-04 14:48:30.298784
0.3390845,0.7087863252,0.843998217,-0.4372968864,2024-06-04 14:48:30.339084
0.3793865,0.9879019949,0.4932635111,3.151525276,2024-06-04 14:48:30.379386
0.4196875,-0.105462428,-1.049197772,-1.585288337,2024-06-04 14:48:30.419688
0.4599895,0.01865086377,-1.576680943,-1.300514901,2024-06-04 14:48:30.459990
0.5002905,2.373299756,-1.939553007,-3.262467422,2024-06-04 14:48:30.500290
0.5405925,1.887716563,-3.282000046,-6.68164607,2024-06-04 14:48:30.540592
0.5808935,5.243739143,-3.578326702,-5.774600251,2024-06-04 14:48:30.580894
0.6211945,2.678313914,-6.43760317,-8.119185793,2024-06-04 14:48:30.621194
0.6614965,4.60257879,-8.363688869,-8.283987227,2024-06-04 14:48:30.661496
0.7017975,4.042574868,-11.19815005,-3.661037614,2024-06-04 14:48:30.701798
0.7420995,3.180329829,-9.886226642,0.343947258,2024-06-04 14:48:30.742100
0.7824005,-9.033038941,-12.47838856,7.627767663,2024-06-04 14:48:30.782400
0.8227025,-6.430775376,-9.164741042,5.044046203,2024-06-04 14:48:30.822702
0.8630035,-13.21970557,-2.113814651,3.796043099,2024-06-04 14:48:30.863004
0.9033055,-17.33056481,-0.01949052393,0.6334107453,2024-06-04 14:48:30.903306
0.9436065,-14.08627931,3.981891879,1.524436948,2024-06-04 14:48:30.943606
0.9839075,-7.525113945,1.908214855,2.09473811,2024-06-04 14:48:30.983908
1.0242095,-5.163005467,-2.328907403,1.905100043,2024-06-04 14:48:31.024209
1.0645105,-1.246972532,1.455956113,1.014384327,2024-06-04 14:48:31.064510
1.1048125,-0.1311208874,-2.05314862,-2.758866034,2024-06-04 14:48:31.104812
1.1451135,-2.864973702,-4.180524133,-1.911898162,2024-06-04 14:48:31.145113
1.1854155,-3.151049897,0.2632287848,-5.538812449,2024-06-04 14:48:31.185415
1.225716958,-1.433049061,-1.798960215,0.5937685235,2024-06-04 14:48:31.225717
1.266018958,-0.6474043018,-1.503847148,-4.600798606,2024-06-04 14:48:31.266019
1.306319958,2.681071753,3.466219499,0.679871259,2024-06-04 14:48:31.306320
1.346621958,4.463151056,6.636156487,4.651886606,2024-06-04 14:48:31.346622
1.386922958,6.419896047,3.808341256,0.7496966618,2024-06-04 14:48:31.386923
1.427224958,0.3332106006,1.008358186,2.773639901,2024-06-04 14:48:31.427225
1.467525958,2.356741319,0.9412944236,-1.004824129,2024-06-04 14:48:31.467526
1.507827958,-0.9341505879,-3.57298644,1.24061924,2024-06-04 14:48:31.507828
1.548128958,3.189728644,2.357293881,1.454703054,2024-06-04 14:48:31.548129
1.588429958,2.405170298,2.961857387,4.328506637,2024-06-04 14:48:31.588430
1.628731958,-4.243264757,-1.661955274,-5.639682766,2024-06-04 14:48:31.628732
1.669033958,2.330068075,1.394552747,1.781564894,2024-06-04 14:48:31.669034
1.709334958,-5.113717532,1.161953432,2.072890574,2024-06-04 14:48:31.709335
1.749635958,1.346677499,2.068231512,-0.6798486011,2024-06-04 14:48:31.749636
1.789937958,2.996364731,4.065783636,1.595122769,2024-06-04 14:48:31.789938
1.830238958,2.463672567,0.7419982177,-2.846597657,2024-06-04 14:48:31.830239
1.870540958,1.692942301,3.340694396,-0.4449157719,2024-06-04 14:48:31.870541
1.910841958,-7.320820416,-7.246119897,2.058553201,2024-06-04 14:48:31.910842
1.951143958,1.10267626,-8.282520745,1.00557133,2024-06-04 14:48:31.951144
1.991444958,0.8239182206,1.925728435,-1.143936406,2024-06-04 14:48:31.991445
2.031746958,2.894329063,0.3236094725,-1.892693421,2024-06-04 14:48:32.031747
2.072047958,3.556509279,-1.603506507,1.385454479,2024-06-04 14:48:32.072048
2.112349958,0.4582945302,-0.3468609256,1.198573886,2024-06-04 14:48:32.112350
2.152650958,-0.2035705206,-0.3785855788,-0.1283709419,2024-06-04 14:48:32.152651
2.192952958,0.3345659852,0.04571645558,0.1572151836,2024-06-04 14:48:32.192953
2.2332545,0.3686869736,0.08435017884,0.5054368293,2024-06-04 14:48:32.233255
2.2735555,0.2578261037,0.02099384308,0.2511765039,2024-06-04 14:48:32.273556
2.3138575,-0.09189001724,-0.111717487,0.1982720296,2024-06-04 14:48:32.313858
2.3541585,-0.2449074116,-0.001588103771,0.2042257194,2024-06-04 14:48:32.354159
2.3944605,-0.2011047497,0.01000692487,0.4304626242,2024-06-04 14:48:32.394461
2.4347615,-0.3665848996,0.2775369215,0.1629233086,2024-06-04 14:48:32.434762
2.4750635,-0.3555181669,-0.04343428731,0.2088707292,2024-06-04 14:48:32.475064
2.5153645,-0.5802844056,0.02310001016,0.2020329952,2024-06-04 14:48:32.515364
2.5556665,-0.5023079842,0.06155948639,0.1903327167,2024-06-04 14:48:32.555667
2.5959675,0.07514417633,-0.02297780335,0.2057220036,2024-06-04 14:48:32.595968
2.6362695,0.401765842,-0.01196457267,0.2180292231,2024-06-04 14:48:32.636270
2.6765705,0.5842492564,-0.01410699248,-0.1028314642,2024-06-04 14:48:32.676570
2.7168725,1.058077792,0.03939736962,0.02198437968,2024-06-04 14:48:32.716872
2.7571735,0.3116067468,0.2107628882,-0.1261039764,2024-06-04 14:48:32.757174
2.7974755,0.07507488683,0.2248576015,-0.1113164045,2024-06-04 14:48:32.797476
2.8377775,-0.2310460022,0.04135560215,-0.06149746936,2024-06-04 14:48:32.837778
2.8780785,-0.3444590355,-0.0543177098,0.181045511,2024-06-04 14:48:32.878078
2.9183805,-0.1560569233,-0.1565556908,0.3406096673,2024-06-04 14:48:32.918380
2.9586815,0.4931059286,-0.02249131501,-0.1606867486,2024-06-04 14:48:32.958682
2.9989835,0.2535066193,-0.03996805787,-0.5181042373,2024-06-04 14:48:32.998984
3.0392845,-0.04931687862,0.3305992341,0.1756731258,2024-06-04 14:48:33.039284
3.0795865,-0.4008093106,-0.4468085521,0.7068260461,2024-06-04 14:48:33.079586
3.1198875,-0.5971195628,-0.05132101178,0.1982422819,2024-06-04 14:48:33.119887
3.1601895,-0.6729535644,0.134095366,0.2103950618,2024-06-04 14:48:33.160189
3.200491833,-0.07239854313,0.08981849492,0.9992605036,2024-06-04 14:48:33.200492
3.240792833,0.417295462,0.1784546828,-0.03326248923,2024-06-04 14:48:33.240793
3.281094833,-0.531422879,-0.1983510035,0.08953726212,2024-06-04 14:48:33.281095
3.321395833,-0.4964402302,0.006067070961,0.1697534412,2024-06-04 14:48:33.321396
3.361697833,-0.120392343,0.0808623147,0.05588007669,2024-06-04 14:48:33.361698
3.401998833,-0.7328773653,-0.1609796941,0.2085163879,2024-06-04 14:48:33.401999
3.442300833,-0.5010223277,0.1680138946,0.1477626479,2024-06-04 14:48:33.442301
3.482602833,-1.03748536,-0.1898947603,0.5470900548,2024-06-04 14:48:33.482603
3.522903833,-1.059929898,-0.04930606127,0.6838728011,2024-06-04 14:48:33.522904
3.563205833,-1.38812885,0.02846833885,1.286610807,2024-06-04 14:48:33.563206
3.603506833,-2.454764042,-0.2388371247,0.6544753397,2024-06-04 14:48:33.603507
3.643808833,-2.425937853,0.04290686846,1.003930675,2024-06-04 14:48:33.643809
3.684109833,-1.188297039,0.1028858525,0.9186736659,2024-06-04 14:48:33.684110
3.724411833,-0.4947716542,-0.005563625693,0.4920175425,2024-06-04 14:48:33.724412
3.764713833,0.03558849335,0.08305151224,0.9382136719,2024-06-04 14:48:33.764714
3.805014833,-0.4465271549,-1.165868728,1.033457798,2024-06-04 14:48:33.805015
3.845316833,-0.5868787493,-1.113085327,0.619017897,2024-06-04 14:48:33.845317
3.885617833,1.507828078,-0.8631244594,-0.7584728209,2024-06-04 14:48:33.885618
3.925919833,1.767322393,0.3360710585,-1.676478589,2024-06-04 14:48:33.925920
3.966220833,1.307695867,0.1340269536,0.3713040411,2024-06-04 14:48:33.966221
4.006522833,1.336716475,-0.3706725419,-0.4911386329,2024-06-04 14:48:34.006523
4.046824833,1.062167189,-0.6031362015,-1.541672786,2024-06-04 14:48:34.046825
4.087125833,1.805731291,0.2118598258,-1.575005423,2024-06-04 14:48:34.087126
4.127427833,2.019950322,0.3748685038,-0.6853574091,2024-06-04 14:48:34.127428
4.167728833,1.578570617,0.8284066164,-1.178592342,2024-06-04 14:48:34.167729
4.208030833,1.080679327,0.6567949301,-1.537700772,2024-06-04 14:48:34.208031
4.248332833,2.113396868,0.760889402,-1.986644728,2024-06-04 14:48:34.248333
4.288633833,2.847330898,0.899035719,-2.474625279,2024-06-04 14:48:34.288634
4.328935833,0.8963641262,-0.7262510812,-1.615716078,2024-06-04 14:48:34.328936
4.369237833,-1.362706764,-0.1502272493,0.02368591944,2024-06-04 14:48:34.369238
4.409538833,-3.226976285,-2.378917469,4.347976111,2024-06-04 14:48:34.409539
4.449840833,-2.562461276,0.2182490784,-2.696915953,2024-06-04 14:48:34.449841
4.490141833,-1.737346934,-0.1749358284,1.01251965,2024-06-04 14:48:34.490142
4.530443833,0.7766178274,0.0527857393,-0.7662173118,2024-06-04 14:48:34.530444
4.570745833,0.4417678137,-0.4741121256,0.01483380139,2024-06-04 14:48:34.570746
4.611046833,-0.8126540713,0.1588676798,0.1789388323,2024-06-04 14:48:34.611047
4.651348833,-0.726792241,-0.1930715525,-0.1030583453,2024-06-04 14:48:34.651349
4.691650833,0.09885405108,0.08938287735,-0.1053850255,2024-06-04 14:48:34.691651
4.731951833,-0.07902965114,0.2400843358,-0.5180942971,2024-06-04 14:48:34.731952
4.772253833,-0.05416422039,-0.1423732692,-1.424907251,2024-06-04 14:48:34.772254
4.812554833,-0.3777329086,-0.4399871904,-1.486302577,2024-06-04 14:48:34.812555
4.852856833,-0.7427210797,-0.3553709632,-1.486330205,2024-06-04 14:48:34.852857
4.893158833,0.6558918276,-0.3578490132,-1.17388146,2024-06-04 14:48:34.893159
4.933459833,0.2948493576,-0.07710489392,-1.252344954,2024-06-04 14:48:34.933460
4.973761833,-0.4205662483,-1.022089788,-2.905076246,2024-06-04 14:48:34.973762
5.014063833,2.58186146,0.5055683917,-1.523904559,2024-06-04 14:48:35.014064
5.054364833,2.274805455,2.569968224,1.236838723,2024-06-04 14:48:35.054365
5.094666833,1.639017232,1.203818327,3.848577408,2024-06-04 14:48:35.094667
5.134968833,0.4832528586,-0.1476568133,2.42090457,2024-06-04 14:48:35.134969
5.175269833,3.548248333,-1.310676193,2.323555154,2024-06-04 14:48:35.175270
5.215572208,0.5634422319,2.239823903,1.37780486,2024-06-04 14:48:35.215572
5.255874208,0.4130123035,2.865750797,0.367251336,2024-06-04 14:48:35.255874
5.296175208,-1.798529275,0.5768289936,3.698865007,2024-06-04 14:48:35.296175
5.336477208,-1.579698691,0.8795872951,3.605775287,2024-06-04 14:48:35.336477
5.376779208,0.7829708272,0.05108946204,3.22665001,2024-06-04 14:48:35.376779
5.417080208,-1.326799451,-1.246729873,3.736732452,2024-06-04 14:48:35.417080
5.457382208,-0.6937101567,0.6003552657,2.18823158,2024-06-04 14:48:35.457382
5.497684208,-1.830622011,0.7730288064,0.8316667315,2024-06-04 14:48:35.497684
5.537985208,1.531228051,0.561709848,-1.915644912,2024-06-04 14:48:35.537985
5.578287208,1.253652684,0.02353036523,-1.1919783,2024-06-04 14:48:35.578287
5.618589208,-0.2652440277,-0.4173239672,-1.997295723,2024-06-04 14:48:35.618589
5.658890208,-0.09039283767,-0.8135359776,-2.032206232,2024-06-04 14:48:35.658890
5.699192208,0.4070714593,-0.1247328043,-0.07656285703,2024-06-04 14:48:35.699192
5.739494208,-0.3496784064,0.04656137824,-0.6542796041,2024-06-04 14:48:35.739494
5.779795208,-0.325694882,-0.04538433373,-1.376930847,2024-06-04 14:48:35.779795
5.820097208,0.03158972874,-0.2941424292,-0.7949852474,2024-06-04 14:48:35.820097
5.860399208,-0.1090817083,-0.07724054933,-0.7494515173,2024-06-04 14:48:35.860399
5.900700208,-0.3487943074,-0.1161333042,-0.4033081913,2024-06-04 14:48:35.900700
5.941002208,-0.4975585833,-0.1600716215,-0.1020315742,2024-06-04 14:48:35.941002
5.981304208,-0.004105768651,0.1031355286,-0.9767629029,2024-06-04 14:48:35.981304
6.021605208,-0.1189708118,0.1608416998,-0.9573472233,2024-06-04 14:48:36.021605
6.061907208,-0.2224375851,0.09335489094,-0.6147546921,2024-06-04 14:48:36.061907
6.102209208,-0.1183485219,0.6112299174,-0.2637655592,2024-06-04 14:48:36.102209
6.142510208,0.1668988305,1.020834391,-0.7955996436,2024-06-04 14:48:36.142510
6.182812208,1.46894848,-0.1958051258,-0.458742098,2024-06-04 14:48:36.182812
6.223114208,2.900087986,-1.969717038,1.668673725,2024-06-04 14:48:36.223114
6.263415208,1.102485348,-0.6583619839,1.595622121,2024-06-04 14:48:36.263415
6.303717208,-0.5572864294,0.2079784441,-1.541616068,2024-06-04 14:48:36.303717
6.344019208,-0.6865392776,0.6746073031,-0.8334322983,2024-06-04 14:48:36.344019
6.384320208,0.1284337994,0.3059789479,-0.3995419266,2024-06-04 14:48:36.384320
6.424622208,-0.157696044,0.03296601713,0.415626484,2024-06-04 14:48:36.424622
6.464924208,0.4159925562,-0.07831994534,0.9565202808,2024-06-04 14:48:36.464924
6.505225208,0.5720595659,-0.1934042591,0.1799240516,2024-06-04 14:48:36.505225
6.545527208,-0.1770272313,-0.1112321681,0.09650420129,2024-06-04 14:48:36.545527
6.585829208,-0.3798598333,-0.01933147967,0.1232194718,2024-06-04 14:48:36.585829
6.626131208,-0.2595042546,0.02027112722,-0.05687937498,2024-06-04 14:48:36.626131
6.666432208,-0.1151921949,-0.01807491302,0.1157064575,2024-06-04 14:48:36.666432
6.706734208,-0.1173327143,0.009377764463,0.3500518242,2024-06-04 14:48:36.706734
6.747036208,0.06482077092,0.1979387748,0.3052053612,2024-06-04 14:48:36.747036
6.787337208,-0.2868127982,-0.06448367894,0.3081412482,2024-06-04 14:48:36.787337
6.827639208,-0.4931703942,-0.08194171071,0.1246767441,2024-06-04 14:48:36.827639
6.867941208,-0.5879552217,-0.0665109086,0.3376803584,2024-06-04 14:48:36.867941
6.908243208,-0.3058751598,-0.04949960411,0.447048288,2024-06-04 14:48:36.908243
6.948544208,-0.1519211876,0.0651362282,0.3469117963,2024-06-04 14:48:36.948544
6.988846208,-0.004310567379,0.2142068982,0.2230285925,2024-06-04 14:48:36.988846
7.029148208,0.2424710231,0.1737821728,0.0439092274,2024-06-04 14:48:37.029148
7.069449208,0.2712197359,0.3012444574,0.04861492038,2024-06-04 14:48:37.069449
7.109751208,0.0884528777,0.4654313493,-0.02046057701,2024-06-04 14:48:37.109751
7.150053208,0.07969696462,0.05883526862,0.2035234505,2024-06-04 14:48:37.150053
7.190354208,0.06980391428,-0.972242859,0.271997781,2024-06-04 14:48:37.190354
7.230656625,0.6214485115,-0.3966376877,0.4269578397,2024-06-04 14:48:37.230657
7.270958625,0.5596386181,0.5681558186,0.1919254982,2024-06-04 14:48:37.270959
7.311260625,0.4033356732,0.1051843929,-0.2870925144,2024-06-04 14:48:37.311261
7.351561625,-0.02335772619,0.06198691785,-0.1866648314,2024-06-04 14:48:37.351562
7.391863625,-0.4383697043,-0.06894919753,0.0702525419,2024-06-04 14:48:37.391864
7.432165625,0.09216746762,0.02846132219,-0.1335024583,2024-06-04 14:48:37.432166
7.472467625,0.3350825867,-0.05168236971,-0.1891270208,2024-06-04 14:48:37.472468
7.512768625,0.3816675,-0.1039447832,0.235681894,2024-06-04 14:48:37.512769
7.553070625,0.2291187599,-0.06449595809,0.2870871788,2024-06-04 14:48:37.553071
7.593372625,0.0249171786,0.04106265664,0.008940392733,2024-06-04 14:48:37.593373
7.633674625,-0.05148195639,0.1292509478,-0.08705225028,2024-06-04 14:48:37.633675
7.673975625,0.3238348827,0.1454436421,-0.1068238791,2024-06-04 14:48:37.673976
7.714277625,0.3835600975,-0.05212792754,-0.0140151912,2024-06-04 14:48:37.714278
7.754579625,0.4176635443,0.01584303081,0.008912910819,2024-06-04 14:48:37.754580
