Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.00843501091,52.33474563,4.864997791,1.148794889,,,35.0,14.16725826,2024-06-04 14:48:30.008435
0.01727890968,52.33473215,4.865000392,1.168852568,,,92.93870128,17.7669735,2024-06-04 14:48:30.017279
0.01727890968,52.33472466,4.865002231,1.178486347,,,92.93870128,15.28719044,2024-06-04 14:48:30.017279
0.5876759291,52.33475425,4.865003986,1.179239273,,,35.0,14.41571236,2024-06-04 14:48:30.587676
6.597510934,52.33472622,4.865008126,1.172740936,,,136.7533422,18.90146637,2024-06-04 14:48:36.597511
7.076848984,52.33475604,4.864993469,1.164654016,,,35.0,16.46481705,2024-06-04 14:48:37.076849
13.08675992,52.33471857,4.865001099,1.156784296,,,141.0822754,19.47671127,2024-06-04 14:48:43.086760
13.49791193,52.33476272,4.865006149,1.147998333,,,35.0,16.72190666,2024-06-04 14:48:43.497912
19.50778902,52.33471756,4.8650121,1.140890598,,,142.2991255,19.54945946,2024-06-04 14:48:49.507789
19.93250394,52.33475444,4.864990708,1.19045639,,,35.0,16.7743454,2024-06-04 14:48:49.932504
25.9421699,52.33470765,4.865000276,1.240112305,,,142.7251929,19.56419563,2024-06-04 14:48:55.942170
26.38450491,52.33476544,4.865013815,1.245268583,,,35.0,16.79829407,2024-06-04 14:48:56.384505
32.39402497,52.33471462,4.865018396,1.250117302,,,142.9100134,19.57089806,2024-06-04 14:49:02.394025
32.80163991,52.33476605,4.86499641,1.230151176,,,35.0,16.77074242,2024-06-04 14:49:02.801640
38.81137896,52.33471222,4.865003081,1.210231304,,,142.8770072,19.56321526,2024-06-04 14:49:08.811379
39.22156394,52.33476645,4.865014509,1.233961582,,,35.0,16.76882362,2024-06-04 14:49:09.221564
45.231269,52.33471088,4.865017052,1.206052065,,,142.8709143,19.56265259,2024-06-04 14:49:15.231269
46.36519396,52.33473675,4.864990396,1.327391624,,,35.0,17.38771057,2024-06-04 14:49:16.365194
52.37240291,52.33469283,4.864996369,1.431233406,,,144.2287348,19.7366848,2024-06-04 14:49:22.372403
52.79828691,52.33475828,4.86499037,1.491740942,,,35.0,16.87807083,2024-06-04 14:49:22.798287
58.80871797,52.33471194,4.865000804,1.54556942,,,143.3884958,19.5939827,2024-06-04 14:49:28.808718
59.33504796,52.33475745,4.865002593,1.415304184,,,35.0,16.8893528,2024-06-04 14:49:29.335048
65.34420097,52.33470968,4.865011313,1.290359259,,,143.3301231,19.59649277,2024-06-04 14:49:35.344201
65.76071,52.334764,4.865013993,1.252903223,,,35.0,16.79284859,2024-06-04 14:49:35.760710
68.76638496,52.33476836,4.865013993,1.222934246,,,35.0,17.6248703,2024-06-04 14:49:38.766385
71.76912892,52.3347619,4.865014236,1.202576876,,,58.33316661,17.96074104,2024-06-04 14:49:41.769129
72.19072497,52.33476252,4.865013393,1.243964672,,,35.0,15.86748886,2024-06-04 14:49:42.190725
78.19658101,52.33473632,4.865012655,1.276741028,,,122.9313412,19.30565834,2024-06-04 14:49:48.196581
78.63927901,52.33476068,4.864994872,1.299778938,,,35.0,16.65597916,2024-06-04 14:49:48.639279
