Time (s),X (µT),Y (µT),Z (µT),Datetime
0.01667420833,-5.477355957,-24.0225296,-40.65941238,2024-06-04 14:48:30.016674
0.05697620833,-5.631286621,-23.10855103,-41.06136322,2024-06-04 14:48:30.056976
0.09727720833,-5.559753418,-22.40528107,-41.53054428,2024-06-04 14:48:30.097277
0.1375782083,-5.244262695,-21.01034546,-42.14803314,2024-06-04 14:48:30.137578
0.1778802083,-4.472900391,-18.90029144,-43.35056686,2024-06-04 14:48:30.177880
0.2181805,-1.878753662,-15.89116669,-44.5120163,2024-06-04 14:48:30.218180
0.2584825,0.002380371094,-14.2024231,-45.39080429,2024-06-04 14:48:30.258482
0.2987835,1.586914062,-13.15179443,-45.48510361,2024-06-04 14:48:30.298784
0.3390845,1.621612549,-13.25601196,-45.5547905,2024-06-04 14:48:30.339084
0.3793865,1.607086182,-13.58681488,-45.49237442,2024-06-04 14:48:30.379386
0.4196875,2.819213867,-15.40525818,-44.94624329,2024-06-04 14:48:30.419688
0.4599895,5.399108887,-15.79692078,-44.40984726,2024-06-04 14:48:30.459990
0.5002905,8.27230835,-16.43307495,-43.98389435,2024-06-04 14:48:30.500290
0.5405925,4.199798584,-16.62348938,-44.39931107,2024-06-04 14:48:30.540592
0.5808935,-1.014251709,-13.78173828,-45.11572266,2024-06-04 14:48:30.580894
0.6211945,-1.995758057,-8.575546265,-46.11906433,2024-06-04 14:48:30.621194
0.6614965,1.446624756,-0.0489730835,-46.97316742,2024-06-04 14:48:30.661496
0.7017975,7.203796387,10.2741394,-44.55221939,2024-06-04 14:48:30.701798
0.7420995,11.90182495,19.48269653,-39.94898224,2024-06-04 14:48:30.742100
0.7824005,14.59396362,25.08298874,-35.58212662,2024-06-04 14:48:30.782400
0.8227025,13.9810791,29.79968262,-30.21122169,2024-06-04 14:48:30.822702
0.8630035,16.76837158,33.1834259,-19.82735252,2024-06-04 14:48:30.863004
0.9033055,10.98791504,38.19739532,-25.26168251,2024-06-04 14:48:30.903306
0.9436065,4.764343262,43.04864502,-16.62940407,2024-06-04 14:48:30.943606
0.9839075,6.646026611,43.86074829,-15.05958366,2024-06-04 14:48:30.983908
1.0242095,6.712371826,44.22887802,-17.40650749,2024-06-04 14:48:31.024209
1.0645105,10.73910522,45.82162857,-15.69785118,2024-06-04 14:48:31.064510
1.1048125,15.10198975,45.30699539,-13.77847672,2024-06-04 14:48:31.104812
1.1451135,16.97982788,44.00982285,-8.819522858,2024-06-04 14:48:31.145113
1.1854155,17.72824097,41.71704102,-7.221411228,2024-06-04 14:48:31.185415
1.225716958,17.68395996,40.49162292,-3.794835567,2024-06-04 14:48:31.225717
1.266018958,18.22402954,39.26461029,1.85353899,2024-06-04 14:48:31.266019
1.306319958,18.74725342,37.68143082,7.670158386,2024-06-04 14:48:31.306320
1.346621958,18.70297241,36.29521561,11.35778427,2024-06-04 14:48:31.346622
1.386922958,18.41967773,35.85442352,12.73907471,2024-06-04 14:48:31.386923
1.427224958,22.56588745,34.34420395,11.38199043,2024-06-04 14:48:31.427225
1.467525958,26.27536011,32.00427246,11.55265999,2024-06-04 14:48:31.467526
1.507827958,29.19125366,30.21529388,10.67043686,2024-06-04 14:48:31.507828
1.548128958,30.53088379,29.51925278,9.323731422,2024-06-04 14:48:31.548129
1.588429958,29.21072388,31.41957474,7.540186882,2024-06-04 14:48:31.588430
1.628731958,24.69607544,34.69428253,7.62173748,2024-06-04 14:48:31.628732
1.669033958,22.83456421,36.18515778,6.844860554,2024-06-04 14:48:31.669034
1.709334958,18.32003784,38.93459702,3.294582129,2024-06-04 14:48:31.709335
1.749635958,13.51531982,40.61376572,2.130481482,2024-06-04 14:48:31.749636
1.789937958,10.85263062,41.32585907,1.689230442,2024-06-04 14:48:31.789938
1.830238958,7.866210938,41.32674789,0.5488452911,2024-06-04 14:48:31.830239
1.870540958,1.556213379,38.49954605,-3.392399311,2024-06-04 14:48:31.870541
1.910841958,-38.99580383,-19.91604614,-60.87944412,2024-06-04 14:48:31.910842
