"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.235595070E1,4.956366700E0,NaN,NaN,NaN,6.999990234E2,0.000000000E0
1.543684020E-1,5.235586250E1,4.956934900E0,5.254477189E0,NaN,NaN,2.990800095E1,1.000000000E0
1.643763999E1,5.235587210E1,4.956945420E0,2.270568880E2,0.000000000E0,NaN,7.167940521E1,1.160133972E2
1.743716916E1,5.235587869E1,4.956924260E0,2.381782841E2,0.000000000E0,NaN,6.261523056E1,9.236997986E1
1.843781187E1,5.235590468E1,4.957131320E0,2.046796002E2,0.000000000E0,NaN,4.110831070E1,7.554289246E1
1.943637067E1,5.235590554E1,4.957129800E0,2.053843735E2,0.000000000E0,NaN,4.306608200E1,7.400961304E1
2.043715020E1,5.235591166E1,4.957160900E0,2.013895271E2,0.000000000E0,NaN,3.884691238E1,6.933297729E1
2.143529301E1,5.235590833E1,4.957232470E0,1.908473883E2,0.000000000E0,NaN,4.066983795E1,7.312285614E1
2.243724166E1,5.235591918E1,4.957048290E0,2.198499221E2,0.000000000E0,NaN,1.919954300E1,5.935235214E1
2.343658687E1,5.235592118E1,4.957060500E0,2.119035819E2,0.000000000E0,NaN,1.999902153E1,5.938280869E1
2.443629374E1,5.235592131E1,4.957060040E0,2.127600271E2,0.000000000E0,NaN,2.139309883E1,5.913195419E1
2.543711306E1,5.235592054E1,4.957062020E0,2.217387259E2,0.000000000E0,NaN,2.272190285E1,5.349555969E1
2.643798035E1,5.235592027E1,4.957063070E0,2.273087335E2,0.000000000E0,NaN,2.393227959E1,5.496686935E1
2.743839681E1,5.235592123E1,4.957065050E0,2.270836383E2,0.000000000E0,NaN,2.584269524E1,5.739066315E1
2.843803416E1,5.235592326E1,4.957078530E0,2.221416324E2,0.000000000E0,NaN,2.688224602E1,5.792023849E1
2.943620645E1,5.235592218E1,4.957084870E0,2.117110925E2,0.000000000E0,NaN,2.604034805E1,5.329360199E1
3.043725754E1,5.235592379E1,4.957099380E0,2.181263864E2,0.000000000E0,NaN,2.691578674E1,5.100741959E1
3.143507681E1,5.235592379E1,4.957099390E0,2.181431100E2,0.000000000E0,NaN,2.958800507E1,4.950347519E1
3.243719848E1,5.235592406E1,4.957099700E0,2.183295730E2,0.000000000E0,NaN,3.157149887E1,4.684117889E1
3.343803092E1,5.235592406E1,4.957099720E0,2.182407668E2,0.000000000E0,NaN,2.830832100E1,4.345186234E1
3.443950254E1,5.235592603E1,4.957114420E0,2.126865789E2,0.000000000E0,NaN,2.433318901E1,4.041252899E1
3.543712697E1,5.235592686E1,4.957115980E0,2.123126186E2,0.000000000E0,NaN,2.271296692E1,3.869152832E1
3.643768608E1,5.235592693E1,4.957116610E0,2.122272309E2,0.000000000E0,NaN,2.264817047E1,3.897483444E1
3.744290629E1,5.235592726E1,4.957116810E0,2.123649268E2,0.000000000E0,NaN,2.389083862E1,3.993234634E1
3.843636525E1,5.235592723E1,4.957117140E0,2.119699074E2,0.000000000E0,NaN,2.387903976E1,3.848257065E1
3.943741676E1,5.235592727E1,4.957117140E0,2.121282326E2,0.000000000E0,NaN,2.510864067E1,3.875522614E1
4.043767405E1,5.235592768E1,4.957117060E0,2.126188948E2,0.000000000E0,NaN,2.677409554E1,3.905271912E1
4.143620639E1,5.235592770E1,4.957138890E0,2.033506579E2,0.000000000E0,NaN,2.428151512E1,3.681684875E1
4.243903826E1,5.235592231E1,4.957102090E0,2.069144718E2,0.000000000E0,NaN,1.588718128E1,3.120087051E1
4.343707748E1,5.235592343E1,4.957109460E0,2.034675172E2,0.000000000E0,NaN,1.666007996E1,3.062533188E1
4.443731316E1,5.235592346E1,4.957109840E0,2.034735599E2,0.000000000E0,NaN,1.818186951E1,2.976066017E1
4.544211321E1,5.235592357E1,4.957110220E0,2.037119026E2,0.000000000E0,NaN,2.001608086E1,2.855955887E1
4.643704342E1,5.235592366E1,4.957110230E0,2.040504647E2,0.000000000E0,NaN,2.428354263E1,2.976427269E1
4.743595332E1,5.235592359E1,4.957110120E0,2.042552375E2,0.000000000E0,NaN,2.244916344E1,3.066545296E1
4.843684691E1,5.235592358E1,4.957110380E0,2.040973397E2,0.000000000E0,NaN,2.529302025E1,3.172785568E1
4.943607415E1,5.235592359E1,4.957110340E0,2.040822640E2,0.000000000E0,NaN,2.917934608E1,3.313652420E1
5.043694936E1,5.235592398E1,4.957121460E0,1.967642168E2,0.000000000E0,NaN,3.013789177E1,3.241057968E1
5.143787040E1,5.235592401E1,4.957121630E0,1.966789508E2,0.000000000E0,NaN,3.245675659E1,3.221154022E1
5.243667102E1,5.235592407E1,4.957121780E0,1.965400960E2,0.000000000E0,NaN,2.862628937E1,3.214371490E1
5.343718686E1,5.235592296E1,4.957129220E0,1.895743394E2,0.000000000E0,NaN,2.577854538E1,3.156782913E1
5.443649670E1,5.235592299E1,4.957129310E0,1.896969591E2,0.000000000E0,NaN,2.554501724E1,3.086357307E1
5.543725279E1,5.235592409E1,4.957136120E0,1.866536297E2,0.000000000E0,NaN,2.441634750E1,3.057090759E1
5.643643425E1,5.235592442E1,4.957136360E0,1.872569018E2,0.000000000E0,NaN,2.644499397E1,3.366716003E1
5.743530800E1,5.235592513E1,4.957130350E0,1.814351830E2,0.000000000E0,NaN,2.810574913E1,3.618829346E1
5.843678191E1,5.235592426E1,4.957132030E0,1.767205221E2,0.000000000E0,NaN,3.044926262E1,3.880882263E1
5.943711967E1,5.235592427E1,4.957131920E0,1.766592427E2,0.000000000E0,NaN,3.091653252E1,3.912864685E1
6.043818071E1,5.235592457E1,4.957133560E0,1.759513584E2,0.000000000E0,NaN,3.055929947E1,3.852859879E1
6.143587670E1,5.235592453E1,4.957133700E0,1.756387363E2,0.000000000E0,NaN,3.132973289E1,3.870259857E1
6.243801862E1,5.235592435E1,4.957122770E0,1.771361663E2,0.000000000E0,NaN,2.574750900E1,3.609633636E1
6.343683774E1,5.235592435E1,4.957122770E0,1.771143157E2,0.000000000E0,NaN,2.614051247E1,3.535774612E1
6.443648789E1,5.235592435E1,4.957122770E0,1.771143157E2,0.000000000E0,NaN,2.743001366E1,3.491719055E1
6.543635477E1,5.235592435E1,4.957122770E0,1.770907561E2,0.000000000E0,NaN,2.816126251E1,3.338827515E1
6.643728498E1,5.235592439E1,4.957123390E0,1.769348117E2,0.000000000E0,NaN,2.850865555E1,3.169338608E1
6.743789445E1,5.235592445E1,4.957123730E0,1.768798193E2,0.000000000E0,NaN,2.885182953E1,2.975378418E1
6.843732924E1,5.235592443E1,4.957123270E0,1.763377658E2,0.000000000E0,NaN,2.464938545E1,2.769429970E1
6.943706784E1,5.235592465E1,4.957123040E0,1.765145238E2,0.000000000E0,NaN,2.777272224E1,3.059523392E1
7.043703810E1,5.235592372E1,4.957125260E0,1.701944554E2,0.000000000E0,NaN,2.358086205E1,2.778806877E1
7.143776258E1,5.235592383E1,4.957125840E0,1.700344217E2,0.000000000E0,NaN,2.182014847E1,2.625481987E1
7.243693466E1,5.235592381E1,4.957125870E0,1.699885843E2,0.000000000E0,NaN,2.071485138E1,2.521784210E1
7.343667903E1,5.235592381E1,4.957125870E0,1.699885843E2,0.000000000E0,NaN,2.073362923E1,2.452118683E1
7.443634331E1,5.235592390E1,4.957126600E0,1.705006698E2,0.000000000E0,NaN,2.069307518E1,2.362623405E1
7.543692211E1,5.235592391E1,4.957127060E0,1.703275744E2,0.000000000E0,NaN,2.137053871E1,2.365135956E1
7.643792528E1,5.235592380E1,4.957128310E0,1.699209587E2,0.000000000E0,NaN,2.185369682E1,2.327895164E1
7.743699664E1,5.235592390E1,4.957127460E0,1.691177357E2,0.000000000E0,NaN,2.194852066E1,2.284383774E1
