"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.019709700E-2,-2.276935577E-1,-8.204957247E-1,-2.069215178E-1
7.017678500E-2,8.038514853E-1,9.378045201E-1,-5.059856921E-3
1.463561080E-1,6.382077336E-1,-2.113156021E-1,-1.275616586E-1
1.868409520E-1,6.232944727E-1,-2.736317217E-1,-5.149070024E-1
2.272624620E-1,-1.864157850E-3,6.340799332E-1,-5.228962898E-1
2.677486600E-1,8.753552437E-1,-9.893351793E-2,-3.219666779E-1
3.082313160E-1,7.985253334E-1,-1.437132478E0,-2.958684862E-1
3.483767850E-1,-1.022623703E-1,-1.292260766E0,-6.011908650E-1
3.892127740E-1,5.090482235E-1,6.398055553E-1,-6.391398143E-3
4.296475660E-1,1.603175700E-1,-5.946663618E-1,2.742975019E-2
4.701538160E-1,-2.143781483E-1,-1.524614692E-1,-9.800143838E-1
5.106619930E-1,1.275616586E-1,6.657706201E-2,-1.499315500E-1
5.511269930E-1,7.833457589E-1,1.930734813E-1,8.227593303E-1
5.916461080E-1,7.093120217E-1,1.321954131E0,7.572475076E-1
6.320422540E-1,9.065132737E-1,1.206775904E0,6.121095419E-1
6.726035560E-1,-1.775077701E0,2.479329854E-1,-6.531209946E-1
7.130936600E-1,-3.581846058E-1,-7.169018388E-1,-1.184805393E0
7.535215240E-1,7.109099030E-1,-8.615072072E-2,-9.877372980E-1
7.940172020E-1,1.327546597E0,-1.881467849E-1,-7.740249634E-1
8.344744930E-1,1.324883580E0,-1.333006024E0,-8.224930763E-1
8.751419410E-1,-5.045210123E-1,-3.007951677E-1,-2.179600000E0
9.155227740E-1,-1.774811387E0,1.195857167E0,-3.148695707E0
9.559420450E-1,-3.018471003E0,2.357493877E0,-3.652950287E0
9.964456390E-1,-1.539528012E0,1.696117282E0,-4.276511192E0
1.036917254E0,-2.385589361E0,1.539528012E0,-6.232145786E0
1.077388972E0,-2.835517168E0,3.479983091E0,-6.971550465E0
1.117983295E0,-1.129945874E0,2.337254524E0,-5.983946323E0
1.158334910E0,-4.352408886E0,4.923507214E0,-5.185554504E0
