"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.577407000E-3,-4.642374992E0,4.462913513E0,5.480760098E0
2.550959500E-2,-4.053142548E0,3.672384501E0,6.451049805E0
6.550959500E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.055095950E-1,-4.127319813E0,5.385047436E0,6.733702183E0
1.455095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
1.855095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
2.255095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
2.655095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
3.055095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
3.455095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
3.855095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
4.255095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
4.655095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
5.055095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
5.455095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
5.855095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
6.255095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
6.655095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
7.055095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
7.455095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
7.855095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
8.255095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
8.655095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
9.055095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
9.455095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
9.855095950E-1,-4.218546391E0,4.491627216E0,8.333902359E0
1.025509595E0,-4.218546391E0,4.491627216E0,8.333902359E0
1.065509595E0,-4.218546391E0,4.491627216E0,8.333902359E0
1.105509595E0,-4.218546391E0,4.491627216E0,8.333902359E0
1.145509595E0,-1.014257717E1,-5.569593906E0,5.864210129E0
1.185509595E0,-1.014257717E1,-5.569593906E0,5.864210129E0
1.225509595E0,-1.014257717E1,-5.569593906E0,5.864210129E0
1.265509595E0,-1.014257717E1,-5.569593906E0,5.864210129E0
1.305509595E0,-2.264806747E0,-5.028217793E0,1.805085540E0
1.345509595E0,-2.920140982E0,-1.050060272E1,3.040978432E0
