Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
0.0,52.3312104,4.8522635,5.859516706,,,11.4989996,1.198815346,2024-06-11 14:01:25.000000
17.5671247,52.331211,4.8522861,5.859530466,,,11.49400043,1.007086635,2024-06-11 14:01:42.567125
37.5741247,52.3311287,4.8519949,5.859248492,,,15.40699959,1.937876463,2024-06-11 14:02:02.574125
57.5781247,52.3312207,4.8522901,5.859546369,,,11.50500011,1.073202729,2024-06-11 14:02:22.578125
77.6031247,52.3312203,4.8522893,5.859545351,,,11.47999954,1.164550662,2024-06-11 14:02:42.603125
97.5991247,52.3312232,4.8522635,5.859534675,,,11.48900032,1.042604685,2024-06-11 14:03:02.599125
117.6181247,52.3312387,4.852274,5.859562437,,,11.49800014,1.0,2024-06-11 14:03:22.618125
137.6161247,52.3312032,4.8522592,5.959502614,,,11.60700035,1.116483212,2024-06-11 14:03:42.616125
157.6361247,52.331227,4.85229,5.859555157,,,11.5539999,1.0,2024-06-11 14:04:02.636125
177.6161247,52.3312092,4.8522831,5.859526224,,,11.85599995,1.177000523,2024-06-11 14:04:22.616125
197.6301247,52.3312003,4.8522112,5.859472634,,,22.13400078,1.468311548,2024-06-11 14:04:42.630125
217.6521247,52.3312048,4.8522671,5.859510902,,,12.49400043,1.147014618,2024-06-11 14:05:02.652125
237.6421247,52.3312058,4.8522716,6.059515641,,,11.50300026,1.229251742,2024-06-11 14:05:22.642125
257.6781247,52.3312239,4.852287,5.85954909,,,11.5010004,1.0,2024-06-11 14:05:42.678125
277.6741247,52.3311996,4.8522736,5.959505791,,,11.52000046,1.098868132,2024-06-11 14:06:02.674125
297.6891247,52.3312209,4.8522848,5.859543621,,,13.18999958,1.138035059,2024-06-11 14:06:22.689125
317.6961247,52.3312232,4.8522947,5.859552508,,,11.52499962,1.0,2024-06-11 14:06:42.696125
337.6841247,52.3312194,4.8522915,5.859545345,,,11.51900005,1.023757339,2024-06-11 14:07:02.684125
357.7141247,52.3311954,4.8522599,5.85949359,,,13.22999954,1.156090736,2024-06-11 14:07:22.714125
377.7121247,52.331228,4.852285,5.859553703,,,11.73700047,1.0,2024-06-11 14:07:42.712125
