Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Datetime
0.000862923,-5.631807327,5.104787827,2.256431818,2024-06-11 14:17:07.000863
0.0208186,-2.385943174,6.374479294,5.195715427,2024-06-11 14:17:07.020819
0.0608186,0.0,0.0,0.0,2024-06-11 14:17:07.060819
0.1008186,0.0,0.0,0.0,2024-06-11 14:17:07.100819
0.1408186,0.0,0.0,0.0,2024-06-11 14:17:07.140819
0.1808186,0.0,0.0,0.0,2024-06-11 14:17:07.180819
0.2208186,0.0,0.0,0.0,2024-06-11 14:17:07.220819
0.2608186,0.0,0.0,0.0,2024-06-11 14:17:07.260819
0.3008186,0.0,0.0,0.0,2024-06-11 14:17:07.300819
0.3408186,0.0,0.0,0.0,2024-06-11 14:17:07.340819
0.3808186,0.0,0.0,0.0,2024-06-11 14:17:07.380819
0.4208186,0.0,0.0,0.0,2024-06-11 14:17:07.420819
0.4608186,-0.07058826834,1.62652123,10.20239735,2024-06-11 14:17:07.460819
0.5008186,1.288834095,5.365904808,2.752344131,2024-06-11 14:17:07.500819
0.5408186,0.2814557552,4.417449474,6.845267296,2024-06-11 14:17:07.540819
0.5808186,1.559522152,5.437689304,6.434299946,2024-06-11 14:17:07.580819
0.6208186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.620819
0.6608186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.660819
0.7008186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.700819
0.7408186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.740819
0.7808186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.780819
0.8208186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.820819
0.8608186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.860819
0.9008186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.900819
0.9408186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.940819
0.9808186,0.01316052489,5.594718456,4.568197727,2024-06-11 14:17:07.980819
1.0208186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.020819
1.0608186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.060819
1.1008186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.100819
1.1408186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.140819
1.1808186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.180819
1.2208186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.220819
1.2608186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.260819
1.3008186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.300819
1.3408186,0.9149555564,-10.55922699,9.845567703,2024-06-11 14:17:08.340819
1.3808186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.380819
1.4208186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.420819
1.4608186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.460819
1.5008186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.500819
1.5408186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.540819
1.5808186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.580819
1.6208186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.620819
1.6608186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.660819
1.7008186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.700819
1.7408186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.740819
1.7808186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.780819
1.8208186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.820819
1.8608186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.860819
1.9008186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.900819
1.9408186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.940819
1.9808186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:08.980819
2.0208186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:09.020819
2.0608186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:09.060819
2.1008186,-3.570390463,-3.250649452,4.241278172,2024-06-11 14:17:09.100819
2.1408186,2.030309916,-9.277871132,-2.657827854,2024-06-11 14:17:09.140819
2.1808186,-14.13470268,-19.77368736,4.067499161,2024-06-11 14:17:09.180819
2.2208186,-5.810371399,-7.836793423,6.124130249,2024-06-11 14:17:09.220819
2.2608186,0.2431706041,-4.434199333,-0.347258389,2024-06-11 14:17:09.260819
2.3008186,-2.323729992,-10.47428226,-3.800400496,2024-06-11 14:17:09.300819
2.3408186,-2.323729992,-10.47428226,-3.800400496,2024-06-11 14:17:09.340819
2.3808186,5.009075165,-10.35224819,1.462313771,2024-06-11 14:17:09.380819
2.4208186,5.009075165,-10.35224819,1.462313771,2024-06-11 14:17:09.420819
2.4608186,5.009075165,-10.35224819,1.462313771,2024-06-11 14:17:09.460819
2.5008186,5.009075165,-10.35224819,1.462313771,2024-06-11 14:17:09.500819
2.5408186,5.009075165,-10.35224819,1.462313771,2024-06-11 14:17:09.540819
2.5808186,5.009075165,-10.35224819,1.462313771,2024-06-11 14:17:09.580819
2.6208186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.620819
2.6608186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.660819
2.7008186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.700819
2.7408186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.740819
2.7808186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.780819
2.8208186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.820819
2.8608186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.860819
2.9008186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.900819
2.9408186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.940819
2.9808186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:09.980819
3.0208186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.020819
3.0608186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.060819
3.1008186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.100819
3.1408186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.140819
3.1808186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.180819
3.2208186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.220819
3.2608186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.260819
3.3008186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.300819
3.3408186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.340819
3.3808186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.380819
3.4208186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.420819
3.4608186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.460819
3.5008186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.500819
3.5408186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.540819
3.5808186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.580819
3.6208186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.620819
3.6608186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.660819
3.7008186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.700819
3.7408186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.740819
3.7808186,3.468695641,-8.939884186,-0.3125624657,2024-06-11 14:17:10.780819
3.8208186,1.594218135,-9.126823425,-0.1845464408,2024-06-11 14:17:10.820819
3.8608186,1.655235052,-9.834799767,-0.4145565331,2024-06-11 14:17:10.860819
3.9008186,1.821835399,-9.882657051,-0.9786644578,2024-06-11 14:17:10.900819
3.9408186,2.423032045,-8.921937943,-0.832403183,2024-06-11 14:17:10.940819
3.9808186,1.848156333,-8.954241753,-0.4145565331,2024-06-11 14:17:10.980819
4.0208186,1.848156333,-8.954241753,-0.4145565331,2024-06-11 14:17:11.020819
4.0608186,1.848156333,-8.954241753,-0.4145565331,2024-06-11 14:17:11.060819
